Cluster,HydroYear,Season,Value_m
C3,2009,Summer_Min,-1.2325
C3,2010,Summer_Min,-1.235
C3,2011,Summer_Min,-1.5368
C3,2012,Summer_Min,-1.5679
C3,2013,Summer_Min,-1.2251
C3,2014,Summer_Min,-1.2262
C3,2015,Summer_Min,-1.4495
C3,2016,Summer_Min,-1.0324
C3,2017,Summer_Min,-1.3702
C3,2018,Summer_Min,-1.4225
C3,2019,Summer_Min,-1.4683
C3,2020,Summer_Min,-1.2463
C3,2021,Summer_Min,-1.0371
C3,2022,Summer_Min,-1.4763
C3,2023,Summer_Min,-1.2555
C3,2024,Summer_Min,-1.043
C3,2025,Summer_Min,-1.4524
C3,2006,Winter_Max,-0.4958
C3,2007,Winter_Max,-0.1725
C3,2008,Winter_Max,-0.356
C3,2009,Winter_Max,-0.244
C3,2010,Winter_Max,-0.5854
C3,2011,Winter_Max,-0.8662
C3,2012,Winter_Max,-1.31
C3,2013,Winter_Max,-0.2824
C3,2014,Winter_Max,-0.2106
C3,2015,Winter_Max,-0.6386
C3,2016,Winter_Max,-0.139
C3,2017,Winter_Max,-0.7752
C3,2018,Winter_Max,-0.649
C3,2019,Winter_Max,-0.9033
C3,2020,Winter_Max,-0.5
C3,2021,Winter_Max,-0.0862
C3,2022,Winter_Max,-0.3319
C3,2023,Winter_Max,-0.6795
C3,2024,Winter_Max,-0.169
C3,2025,Winter_Max,-0.4805
C3,2026,Winter_Max,-0.4
C4,2006,Summer_Min,-1.5
C4,2007,Summer_Min,-1.3375
C4,2008,Summer_Min,-1.5075
C4,2009,Summer_Min,-1.598
C4,2010,Summer_Min,-1.8622
C4,2011,Summer_Min,-2.3443
C4,2012,Summer_Min,-2.49
C4,2013,Summer_Min,-1.5956
C4,2014,Summer_Min,-1.64
C4,2015,Summer_Min,-2.05
C4,2016,Summer_Min,-1.5178
C4,2017,Summer_Min,-2.0711
C4,2018,Summer_Min,-2.0639
C4,2019,Summer_Min,-2.2993
C4,2020,Summer_Min,-2.0133
C4,2021,Summer_Min,-1.43
C4,2022,Summer_Min,-1.9144
C4,2023,Summer_Min,-1.9433
C4,2024,Summer_Min,-1.425
C4,2025,Summer_Min,-1.9767
C4,2007,Winter_Max,-0.6167
C4,2008,Winter_Max,-0.915
C4,2009,Winter_Max,-0.518
C4,2010,Winter_Max,-1.236
C4,2011,Winter_Max,-1.6089
C4,2012,Winter_Max,-2.1555
C4,2013,Winter_Max,-0.8544
C4,2014,Winter_Max,-0.7411
C4,2015,Winter_Max,-1.3211
C4,2016,Winter_Max,-0.8422
C4,2017,Winter_Max,-1.4944
C4,2018,Winter_Max,-1.3133
C4,2019,Winter_Max,-1.6567
C4,2020,Winter_Max,-1.4556
C4,2021,Winter_Max,-0.4578
C4,2022,Winter_Max,-0.8622
C4,2023,Winter_Max,-1.4478
C4,2024,Winter_Max,-0.5933
C4,2025,Winter_Max,-1.1044
C4,2026,Winter_Max,-1.2233
C5,2006,Summer_Min,-0.49
C5,2007,Summer_Min,-0.94
C5,2008,Summer_Min,-1.0825
C5,2009,Summer_Min,-1.2525
C5,2010,Summer_Min,-1.504
C5,2011,Summer_Min,-1.794
C5,2012,Summer_Min,-1.9102
C5,2013,Summer_Min,-1.5462
C5,2014,Summer_Min,-1.5262
C5,2015,Summer_Min,-1.6982
C5,2016,Summer_Min,-1.4722
C5,2017,Summer_Min,-1.7782
C5,2018,Summer_Min,-1.7962
C5,2019,Summer_Min,-1.8373
C5,2020,Summer_Min,-1.8082
C5,2021,Summer_Min,-1.5382
C5,2022,Summer_Min,-1.7107
C5,2023,Summer_Min,-1.7282
C5,2024,Summer_Min,-1.4502
C5,2025,Summer_Min,-1.7582
C5,2007,Winter_Max,0.54
C5,2008,Winter_Max,-0.5683
C5,2009,Winter_Max,-0.475
C5,2010,Winter_Max,-0.905
C5,2011,Winter_Max,-1.228
C5,2012,Winter_Max,-1.6122
C5,2013,Winter_Max,-0.9242
C5,2014,Winter_Max,-0.7182
C5,2015,Winter_Max,-1.2062
C5,2016,Winter_Max,-0.8102
C5,2017,Winter_Max,-1.3542
C5,2018,Winter_Max,-1.2602
C5,2019,Winter_Max,-1.4342
C5,2020,Winter_Max,-1.2582
C5,2021,Winter_Max,-0.8122
C5,2022,Winter_Max,-1.1202
C5,2023,Winter_Max,-1.2962
C5,2024,Winter_Max,-0.8602
C5,2025,Winter_Max,-1.1122
C5,2026,Winter_Max,-1.0722
