easting_m,break_northing_raw_m,break_elevation_m,plain_elevation_m,relief_m,break_northing_m,withheld,withheld_reason
242319.0,364857.0,12.261666706630159,9.26345230738322,27.6950001898266,364857.0,False,
242321.0,364859.0,12.256785665239608,9.286309446607317,27.473334289732435,364859.0,False,
242323.0,364861.0,12.256547564551939,9.315023771921792,27.2908093724932,364861.0,False,
242325.0,364863.0,12.284047626313706,9.323047674269905,27.14123767671131,364861.0,False,
242327.0,364863.0,12.227976208641413,9.299357087271554,27.006595257350376,364863.0,False,
242329.0,364863.0,12.198214303879508,9.254404712858653,26.90547633398147,364863.0,False,
242331.0,364863.0,12.179404803684779,9.227999846140541,26.83569052105858,364863.0,False,
242333.0,364863.0,12.167381014142718,9.168392876216343,26.802440856751936,364863.0,False,
242335.0,364861.0,12.03238096691313,9.123357159750801,26.73461911791847,364863.0,False,
242337.0,364863.0,12.13226200285412,9.138869085766022,26.60589278993152,364863.0,False,
242339.0,364863.0,12.098095167250861,9.143928577786399,26.50595251265026,364863.0,False,
242341.0,364863.0,12.057500158037456,9.12152380716233,26.40288062776838,364863.0,False,
242343.0,364863.0,12.00392859322684,9.104392950875418,26.34155987330845,364863.0,False,
242345.0,364863.0,11.943333307902018,9.046976096289498,26.253618778501234,364863.0,False,
242347.0,364863.0,11.869285674322219,8.979488088971094,26.188964400972637,364863.0,False,
242349.0,364865.0,11.906666664850142,9.01025000299726,26.074154533658714,364865.0,False,
242351.0,364867.0,11.940238089788528,9.035333310990106,25.959666710808165,364867.0,False,
242353.0,364871.0,12.082023802257718,9.084297625223796,25.82403592609223,364871.0,False,
242355.0,364873.0,12.096547580900648,9.108845102219355,25.699845468430297,364873.0,False,
242357.0,364873.0,12.005119096665155,9.037571516491118,25.618500100998645,364873.0,False,
242359.0,364875.0,12.011785688854399,9.028904610588436,25.446690409524102,364875.0,False,
242361.0,364877.0,12.008571488516669,9.076297542027065,25.252154976981025,364877.0,False,
242363.0,364879.0,11.99690478188651,9.075773720514206,25.1755361738659,364879.0,False,
242365.0,364883.0,12.057976223173597,9.070154825846354,25.091392517089837,364883.0,False,
242367.0,364885.0,12.009761946541921,9.034988094511487,24.89667850676037,364885.0,False,
242369.0,364887.0,11.974047660827638,9.015357153756277,24.66238085428874,364887.0,False,
242371.0,364889.0,11.9489286059425,8.990797637757801,24.511345495496478,364889.0,False,
242373.0,364893.0,12.00369035629999,9.008273755936395,24.438511398860385,364893.0,False,
242375.0,364895.0,11.99238091423398,9.002880886622837,24.43842763446626,364895.0,False,
