month,site_anomaly_m,site_sd_m,n_wells,P_m,PET,site_anomaly_smoothed_m
1947-03-01,0.3629765558910163,0.1446447805457806,50,0.1439,0.0222153073507243,-0.004463843823034888
1947-04-01,0.4388960159083071,0.14374276907707498,50,0.0955,0.0440307785465713,0.032292514891519304
1947-05-01,0.3927451197996228,0.1298818549188273,50,0.0803,0.0812304598378595,0.060310742555384315
1947-06-01,0.27823796643267007,0.11139070855069386,50,0.0686,0.0975254805997864,0.06691817811577205
1947-07-01,0.11284810424516536,0.09148162293592454,50,0.0556,0.1016410225074161,0.04821255952939698
1947-08-01,-0.2113501142114524,0.06674556769006829,50,0.018,0.1132862799483885,0.05965012375288451
1947-09-01,-0.1507793976411183,0.08380759670043647,50,0.0922,0.0740272950030053,0.0729411226535452
1947-10-01,-0.3961032582338814,0.05617743065409551,50,0.0092,0.0480192716738738,0.05110974531468165
1947-11-01,-0.22741387249086337,0.05263762312101685,50,0.0985,0.0273377368863829,0.01045712450302804
1947-12-01,-0.24094161206172932,0.03707178511450857,50,0.0538999999999999,0.0188292764060662,-0.04236449795070066
1948-01-01,0.32372619641923206,0.11099899383417919,50,0.1948,0.0183946870464968,-0.08681118694528205
1948-02-01,0.19245176778557352,0.0697656576770998,50,0.0346,0.0177663153885294,-0.12458480572453533
1948-03-01,0.10100002782465356,0.05404177304008246,50,0.0489,0.0375922572053875,-0.1277200748238869
1948-04-01,-0.04893543383153613,0.05107431103147986,50,0.035,0.0435761798504129,-0.14121444769550104
1948-05-01,-0.24111434964512157,0.05768561702745386,50,0.031,0.0689458110526837,-0.13461355185303514
1948-06-01,-0.25512230150230647,0.039280600973501,50,0.0762,0.0831020293143521,-0.13998435030217382
1948-07-01,-0.34043532110587393,0.038187709008536304,50,0.0645999999999999,0.0997530531560917,-0.12859312637519593
1948-08-01,-0.2489733434036715,0.04807723875470458,50,0.1024,0.0885423554360346,-0.16411549984581997
1948-09-01,-0.31271187210048795,0.050916880241396956,50,0.0586,0.067287105785858,-0.19968827807230194
1948-10-01,-0.31689250812429065,0.0462065045127717,50,0.0644,0.0460240439416045,-0.22740721793283822
1948-11-01,-0.2918634538805276,0.03676446325425937,50,0.0657,0.0300190740226869,-0.24947321478143883
1948-12-01,-0.1042469249379944,0.03916032430079377,50,0.1025,0.0206663732959694,-0.26614077627591887
1949-01-01,-0.10254228522825645,0.033174716485562916,50,0.0605,0.0210104703753932,-0.30641947550993315
1949-02-01,-0.23442157093221042,0.049836670531780834,50,0.0278999999999999,0.0214026357566629,-0.3509700878699183
1949-03-01,-0.2316272505017812,0.059446680681459765,50,0.0607,0.027992986685292,-0.40980730125533205
1949-04-01,-0.3137273960147441,0.06812318164802353,50,0.0472,0.048207235697184,-0.46764769669684664
1949-05-01,-0.4411250875788811,0.07359609705240622,50,0.0419,0.0684414271515364,-0.4973206765712826
1949-06-01,-0.7384666923104781,0.10197488372411456,50,0.0079,0.0957638680005256,-0.5161217392300596
1949-07-01,-0.8750426694256964,0.10234254521937708,50,0.0469,0.1095554258443865,-0.5442469412476901
1949-08-01,-0.9550199040286357,0.10497287346247776,50,0.0538,0.096546174135549,-0.5823844356126467
1949-09-01,-1.0067966173986638,0.10848637072659241,50,0.0526,0.077549418764338,-0.5851244623043774
1949-10-01,-0.6729682666175215,0.08868505487945282,50,0.1369,0.0519672916857415,-0.5904826050502057
1949-11-01,-0.5174762057858523,0.08165518786988349,50,0.0904,0.026795273217313,-0.58807319353472
1949-12-01,-0.4417493491495603,0.06945552831967744,50,0.0714,0.0204753297635484,-0.5952463425058652
1950-01-01,-0.5601922176077349,0.051530687909131734,50,0.0233999999999999,0.0154633904972659,-0.593380633070396
1950-02-01,-0.2673018912329798,0.0613882696772796,50,0.1232,0.0195822202005754,-0.5871387279464774
1950-03-01,-0.29592496345171937,0.05185650089729066,50,0.0544,0.0322546396613607,-0.5645886343633529
1950-04-01,-0.28481445782891607,0.05023678603992158,50,0.0659,0.0388698442705107,-0.5003911469617214
1950-05-01,-0.5272028752326238,0.04960244302868849,50,0.0158,0.0715439467497228,-0.4593177287160521
1950-06-01,-0.7160781790848477,0.0633054437442289,50,0.0335,0.0965764703323174,-0.4196579264564641
1950-07-01,-0.8001398079386736,0.07529534274911333,50,0.0573,0.100666735044364,-0.3763733954583002
1950-08-01,-0.6844187810311422,0.08931885813216851,50,0.1009,0.0898187000615174,-0.31696711264326966
1950-09-01,-0.236426768579085,0.14472586311106653,50,0.175,0.0636005928042059,-0.2758760326003488
1950-10-01,-0.1800872476694898,0.13785780594676098,50,0.0800999999999999,0.0431529385726549,-0.21759634212715273
1950-11-01,-0.041558578670796556,0.1339948274196092,50,0.0935999999999999,0.0221289874783175,-0.1726611280349523
1950-12-01,0.07766502282840695,0.1237340748040797,50,0.087,0.0102341752178312,-0.11354978791798527
1951-01-01,0.15268317617263105,0.11243113428503264,50,0.0802,0.0158289904392947,-0.06391838733532153
1951-02-01,0.22579106928206996,0.1054371096383727,50,0.0809,0.0157115676851485,-0.028621386754427613
1951-03-01,0.40343132222663386,0.12143645180018701,50,0.1102,0.0228289580859053,0.018006385265235434
1951-04-01,0.2544081112774895,0.08717262083229561,50,0.0385,0.0369639859084293,0.036874668709687995
1951-05-01,0.18213320617098014,0.07094796320218405,50,0.0655999999999999,0.0680346487041969,0.03555689183682839
1951-06-01,-0.12050137209288281,0.0369496801032188,50,0.0176,0.0948996801486607,0.05447372756705777
1951-07-01,-0.3765758009679465,0.04294223274974178,50,0.0273,0.1053458332455533,0.09006784133014996
1951-08-01,-0.12488551679518561,0.06210568347818595,50,0.1426,0.0932232542147075,0.1265185237585816
1951-09-01,-0.01000736724565429,0.08836844651472318,50,0.1072,0.0746220539647974,0.1400910375751959
1951-10-01,-0.19590057014380513,0.05398572345144597,50,0.0265,0.048774647771273,0.13213408642066188
1951-11-01,0.18544345009195606,0.09893586524290285,50,0.1553,0.0307363796063577,0.12751723823337013
1951-12-01,0.5047943879855132,0.13571455501266244,50,0.1433,0.020327466031033,0.12062671609792354
1952-01-01,0.5900913653138108,0.12573026753689115,50,0.0897,0.0146112143075823,0.1250593444573825
1952-02-01,0.3886612350814411,0.07620664920415214,50,0.0221,0.0178216632151993,0.129431111618471
1952-03-01,0.3079479083722259,0.06758365080459765,50,0.0528999999999999,0.0321167129338196,0.11475445352038771
1952-04-01,0.1990059330299885,0.06358516423870067,50,0.0507,0.0495836278886181,0.09433688966164694
1952-05-01,0.09944694054562113,0.05018000852672084,50,0.0617,0.0794401675676027,0.10120389616454141
1952-06-01,-0.06730983177937534,0.0454763464456386,50,0.0465,0.0877401085621398,0.0792765678563516
1952-07-01,-0.3241145950348842,0.06295380668652335,50,0.0286,0.1074203121323511,0.041440227200264385
