well,code,month,observed_m_bg,predicted_m_bg,predicted_lo_m_bg,predicted_hi_m_bg,residual_m
nw13,1D,1993-12,-1.52,-0.8443784890173709,-0.8443784890173709,-0.46371860003182147,-0.6756215109826291
nw13,1D,1994-01,-1.52,-0.7760559382589441,-0.7760559382589441,-0.39366812188555733,-0.7439440617410559
nw13,1D,1994-02,-1.33,-0.6454242193066875,-0.6454242193066875,-0.2554072431700029,-0.6845757806933126
nw13,1D,1994-03,-1.07,-0.4319857571524172,-0.4319857571524172,-0.022281812358911857,-0.6380142428475828
nw13,1D,1994-04,-1.0,-0.3383815325965234,-0.3383815325965234,0.08066660045397589,-0.6616184674034766
nw13,1D,1994-05,-1.24,-0.5872014472579127,-0.5872014472579127,-0.1883210396645682,-0.6527985527420873
nw13,1D,1994-06,-1.45,-0.9036662843045683,-0.9036662843045683,-0.5291270306188529,-0.5463337156954317
nw13,1D,1994-07,-1.59,-1.1086212310023333,-1.1086212310023333,-0.745073881088403,-0.48137876899766674
nw13,1D,1994-08,-1.72,-1.106498441022012,-1.106498441022012,-0.7364896424647874,-0.613501558977988
nw13,1D,1994-09,-1.64,-1.0497178115154715,-1.0497178115154715,-0.6730505480953267,-0.5902821884845284
nw13,1D,1994-10,-1.59,-1.0540036395478967,-1.0540036395478967,-0.6797717240238396,-0.5359963604521034
nw13,1D,1994-11,-1.32,-0.9444893538901153,-0.9444893538901153,-0.5632519397772804,-0.3755106461098847
nw13,1D,1994-12,-0.98,-0.6195512003798211,-0.6195512003798211,-0.21145945449275022,-0.36044879962017884
nw13,1D,1995-01,-0.72,-0.2683921677668409,-0.2683921677668409,0.1688383374788816,-0.4516078322331591
nw13,1D,1995-02,-0.66,-0.14368425927682182,-0.14368425927682182,0.30146367770892574,-0.5163157407231782
nw13,1D,1995-03,-0.7,-0.2688916986272396,-0.2688916986272396,0.16031360592041688,-0.43110830137276035
nw13,1D,1995-04,-0.87,-0.5491358508702224,-0.5491358508702224,-0.14801217007813344,-0.32086414912977756
nw13,1D,1995-05,-1.04,-0.7460080774415218,-0.7460080774415218,-0.3601987073449906,-0.2939919225584783
nw13,1D,1995-06,-1.23,-1.073267162784769,-1.073267162784769,-0.713044746608225,-0.156732837215231
nw13,1D,1995-07,-1.36,-1.27953272260777,-1.27953272260777,-0.9295158242559052,-0.08046727739223014
