decade,well,scope,mean_anomaly_m
1940,t41a,well,-0.3075924894856408
1940,t41b,well,-0.2899353620378557
1940,t41c,well,-0.2940880039296987
1940,t41d,well,-0.27641067069371933
1940,wmc1,well,-0.2859483852987586
1940,wmc2,well,-0.27841529538033605
1940,wmc4,well,-0.32218753475823836
1950,ceh1,well,-0.0009730748507997928
1950,ceh10,well,-0.0018663905775994842
1950,ceh11,well,-0.023184764587555782
1950,ceh18,well,-0.022956286423007906
1950,ceh21,well,-0.03509582786830602
1950,ceh23,well,-0.024431630633885423
1950,ceh24,well,-0.016685994875426154
1950,ceh25,well,-0.017131636824811336
1950,ceh26,well,-0.025555886561551208
1950,ceh27,well,-0.018932118641616723
1950,ceh28,well,-0.01820584907512476
1950,ceh36,well,-0.04555883921554668
1950,ceh39,well,-0.060226612062948624
1950,ceh4,well,-0.020414744774273796
1950,ceh40,well,-0.08515915973292931
1950,ceh41,well,-0.08430549535761961
1950,ceh42,well,-0.07279783988573703
1950,ceh5,well,-0.015356399988888665
1950,ceh6,well,-0.034512263329513966
1950,ceh9,well,-0.024036712284074988
1950,d10,well,-0.01822852982748468
1950,d15,well,-0.015918049991938153
1950,d17,well,-0.02053765278125894
1950,d25,well,-0.022567097531665626
1950,d38,well,-0.00795451984534195
1950,d41,well,-0.024062917992591124
1950,d43,well,-0.00903768517978679
1950,d44,well,-0.010947328573007599
1950,d5,well,-0.013903805536638444
1950,d6,well,-0.011005839991696046
1950,d7,well,-0.019237236461270752
1950,d8,well,-0.02513199292330314
1950,d9,well,-0.01222697043874507
1950,l7,well,0.01682681717957674
1950,nw1,well,0.023681855029676475
1950,nw13,well,-0.047492563825395025
1950,nw2,well,0.016988300481603817
1950,nw3,well,0.009528880307569458
1950,nw4,well,-0.007060981494587821
1950,nw4b,well,-0.023060234005043624
1950,nw5,well,0.011021612675566205
1950,nw6,well,-0.005557959885893746
1950,nw7,well,0.011801733147152108
1950,t41a,well,-0.007158434450719264
1950,t41b,well,-0.02649640356377746
1950,t41c,well,-0.02085906433863555
1950,t41d,well,-0.018249345318942557
1950,wmc1,well,-0.030294933504204258
1950,wmc2,well,-0.03232467303321218
1950,wmc4,well,-0.046127625702295186
1960,ceh1,well,0.21878624056005685
1960,ceh10,well,0.12132949479774022
1960,ceh11,well,0.10956987474984362
1960,ceh18,well,0.1754385435749172
1960,ceh21,well,0.1726324848843848
1960,ceh23,well,0.11065159723596649
1960,ceh24,well,0.16980308415992465
1960,ceh25,well,0.09131279454895784
1960,ceh26,well,0.11102079051632772
1960,ceh27,well,0.1176137023428613
1960,ceh28,well,0.15871057980136113
1960,ceh36,well,0.15366041125353663
1960,ceh39,well,0.3247972779002246
1960,ceh4,well,0.13937212060250942
1960,ceh40,well,0.22518505461900598
1960,ceh41,well,0.26847436487228366
1960,ceh42,well,0.15166571895203923
1960,ceh5,well,0.1300149746562328
1960,ceh6,well,0.06930383190683113
1960,ceh9,well,0.34611196558318763
1960,d10,well,0.21894633173914393
1960,d15,well,0.21618596369706075
1960,d17,well,0.16482113455484473
1960,d25,well,0.18770608846417067
1960,d38,well,0.12182083958006834
1960,d41,well,0.16783922192302775
1960,d43,well,0.1716105077516897
1960,d44,well,0.134772342197284
1960,d5,well,0.17794098429304314
1960,d6,well,0.19992130099198874
1960,d7,well,0.1548277401913766
1960,d8,well,0.20548334508179086
1960,d9,well,0.2202470123123221
1960,l7,well,0.16862902074251865
1960,nw1,well,0.1408829263053715
1960,nw13,well,0.10809249331623919
1960,nw2,well,0.1808933272860881
1960,nw3,well,0.21219550369822418
1960,nw4,well,0.2022118091366477
1960,nw4b,well,0.17227046804325788
1960,nw5,well,0.26894660169088175
1960,nw6,well,0.2070552178470448
1960,nw7,well,0.2822848040957136
1960,t41a,well,0.15020103292825757
1960,t41b,well,0.16808747173426664
1960,t41c,well,0.16749592322863055
1960,t41d,well,0.16438143619738155
1960,wmc1,well,0.18589134226473894
1960,wmc2,well,0.2326432258042215
1960,wmc4,well,0.1094813374214217
1970,ceh1,well,-0.4182376677465156
1970,ceh10,well,-0.3117120100978787
1970,ceh11,well,-0.3460649089011156
1970,ceh18,well,-0.3595429299926178
1970,ceh21,well,-0.3120433341679414
1970,ceh23,well,-0.3492099686935216
