mode,month,well,observed_h_m,modelled_h_recurrence_m,modelled_h_nearest_hollow_m
R,2006-08,ceh1,-0.51,-1.042,-1.831
R,2006-08,ceh2,-1.125,-1.53,-2.499
R,2006-08,ceh4,-0.235,-0.981,-1.181
R,2006-08,ceh5,-0.66,-0.763,-1.556
R,2006-08,ceh6,-0.47,-0.684,-0.739
R,2006-08,ceh9,-0.53,-1.041,-3.215
R,2006-08,ceh10,-1.455,-1.268,-1.375
R,2006-08,ceh11,-0.635,-0.783,-0.868
R,2006-08,ceh13,-0.875,-1.317,-3.955
R,2006-08,ceh14,-0.83,-1.419,-3.748
R,2006-08,nw8,-1.135,-1.474,-1.798
R,2006-08,ceh3,-0.67,-1.221,-1.064
R,2006-08,ceh7,-0.605,-0.842,-0.769
R,2006-08,ceh8,-0.48,-0.854,-0.978
R,2006-08,ceh12,-1.46,-1.166,-24.485
R,2006-09,nw1,-1.75,-1.448,-2.35
R,2006-09,nw2,-0.92,-1.037,-1.22
R,2006-09,nw3,-0.8,-0.715,-1.433
R,2006-09,nw4,-0.52,-0.633,-0.911
R,2006-09,nw4b,-0.55,-0.818,-1.007
R,2006-09,nw5,-0.73,-1.027,-1.037
R,2006-09,nw6,-0.49,-0.903,-1.205
R,2006-09,nw7,-1.24,-1.108,-2.04
R,2006-09,nw9,-0.459,-1.167,0.164
R,2006-09,ceh1,-0.76,-1.059,-1.844
R,2006-09,ceh2,-1.28,-1.58,-2.512
R,2006-09,ceh4,-0.46,-1.002,-1.213
R,2006-09,ceh5,-0.77,-0.742,-1.599
R,2006-09,ceh6,-0.58,-0.67,-0.728
R,2006-09,ceh9,-0.78,-1.058,-3.295
R,2006-09,ceh10,-1.57,-1.254,-1.386
R,2006-09,ceh11,-0.77,-0.76,-0.908
R,2006-09,ceh13,-0.97,-1.371,-4.017
R,2006-09,ceh14,-1.07,-1.471,-3.761
R,2006-09,nw8,-1.28,-1.487,-1.831
R,2006-09,ceh3,-0.63,-1.245,-1.096
R,2006-09,ceh7,-0.83,-0.856,-0.81
R,2006-09,ceh8,-0.71,-0.867,-1.002
R,2006-09,ceh12,-1.55,-1.159,-24.502
R,2006-10,nw1,-1.46,-1.517,-1.781
R,2006-10,nw2,-0.64,-0.734,-0.808
R,2006-10,nw3,-0.55,-0.59,-1.263
R,2006-10,nw4,-0.31,-0.328,-0.466
R,2006-10,nw4b,-0.33,-0.356,-0.562
R,2006-10,nw5,-0.52,-0.555,0.165
R,2006-10,nw6,-0.36,-0.329,-0.531
R,2006-10,nw7,-1.09,-1.036,-1.332
R,2006-10,nw9,-0.319,-0.373,0.417
R,2006-10,ceh1,-0.55,-0.583,-1.624
R,2006-10,ceh2,-1.18,-1.156,-2.292
R,2006-10,ceh4,-0.26,-0.3,-0.564
R,2006-10,ceh5,-0.42,-0.514,-0.886
R,2006-10,ceh6,-0.17,-0.341,-0.348
R,2006-10,ceh9,-0.61,-0.602,-2.093
R,2006-10,ceh10,-1.33,-1.31,-1.088
R,2006-10,ceh11,-0.52,-0.514,0.418
R,2006-10,ceh13,-0.99,-0.852,-3.78
R,2006-10,ceh14,-1.1,-0.95,-3.637
