month,mode,median_level_modelled_m,median_level_observed_m,n_wells_observed,open_water_ha_modelled,wet_floor_ha_modelled,open_water_ha_observed,wet_floor_ha_observed,sentinel_index
2011-04,R,-1.008,-0.97,50,0.286,21.439,0.338,22.231,
2011-05,R,-1.018,-1.075,50,0.274,21.235,0.212,20.111,
2011-06,R,-1.154,-1.175,50,0.15,18.651,0.136,18.281,
2011-07,R,-1.305,-1.25,50,0.077,16.149,0.098,17.019,
2011-08,R,-1.354,-1.259,45,0.062,15.411,0.094,16.873,
2011-09,R,-1.284,-1.232,40,0.084,16.475,0.106,17.313,
2011-10,R,-1.107,-1.215,28,0.184,19.507,0.114,17.597,
2011-11,R,-1.091,-1.23,39,0.198,19.807,0.107,17.347,
2011-12,R,-0.948,-1.05,41,0.373,22.702,0.237,20.597,
2012-01,R,-0.92,-1.079,40,0.422,23.317,0.209,20.035,
2012-02,R,-0.987,-1.13,43,0.314,21.873,0.166,19.083,
2012-03,R,-1.143,-1.269,43,0.157,18.848,0.09,16.713,
2012-04,R,-1.116,-1.329,42,0.177,19.34,0.069,15.783,
2012-05,R,-1.207,-1.379,41,0.118,17.731,0.055,15.048,
2012-06,R,-1.114,-1.359,41,0.179,19.377,0.06,15.338,
2012-07,R,-1.174,-1.26,42,0.137,18.299,0.094,16.857,
2012-08,R,-1.097,-1.11,43,0.193,19.694,0.182,19.451,
2012-09,R,-0.963,-1.07,43,0.349,22.38,0.217,20.208,
2012-10,R,-0.889,-0.865,46,0.485,24.017,0.539,24.573,
2012-11,R,-0.533,-0.475,48,2.348,33.732,3.036,35.651,
2012-12,R,-0.269,-0.11,49,7.567,43.395,15.311,50.504,
2013-01,R,-0.27,-0.095,50,7.533,43.353,16.364,51.232,
2013-02,R,-0.277,-0.205,50,7.303,43.065,10.049,46.127,
2013-03,R,-0.185,-0.345,50,10.981,47.016,5.403,40.359,
2013-04,R,-0.343,-0.51,50,5.451,40.436,2.6,34.48,
2013-05,R,-0.52,-0.62,50,2.487,34.153,1.597,31.045,
2013-06,R,-0.761,-0.785,50,0.855,27.137,0.768,26.523,
2013-07,R,-0.996,-0.929,50,0.302,21.686,0.406,23.118,
2013-08,R,-1.081,-0.965,50,0.207,19.997,0.346,22.337,
2013-09,R,-1.083,-1.035,50,0.205,19.958,0.254,20.894,
2013-10,R,-0.652,-0.779,49,1.385,30.111,0.789,26.675,
2013-11,R,-0.746,-0.82,49,0.913,27.528,0.658,25.651,
2013-12,R,-0.48,-0.57,49,2.97,35.482,1.993,32.562,
2014-01,R,-0.102,-0.095,50,15.864,50.891,16.364,51.232,
2014-02,R,0.023,-0.03,50,27.609,57.338,21.828,54.51,
2014-03,R,-0.059,-0.15,50,19.195,53.022,12.823,48.613,
2014-04,R,-0.235,-0.395,51,8.798,44.826,4.329,38.479,
2014-05,R,-0.23,-0.44,51,8.995,45.04,3.546,36.862,
2014-06,R,-0.432,-0.7,51,3.674,37.144,1.12,28.763,
2014-07,R,-0.647,-0.845,54,1.417,30.255,0.589,25.047,
2014-08,R,-0.585,-0.91,54,1.865,32.099,0.441,23.541,
2014-09,R,-0.869,-1.045,54,0.529,24.48,0.243,20.695,
2014-10,R,-0.715,-0.735,54,1.048,28.354,0.959,27.819,
2014-11,R,-0.722,-0.669,54,1.016,28.166,1.285,29.627,
2014-12,R,-0.681,-0.605,54,1.218,29.289,1.706,31.492,
2015-01,R,-0.604,-0.47,54,1.714,31.522,3.104,35.822,
2015-02,R,-0.68,-0.64,54,1.224,29.317,1.461,30.458,
2015-03,R,-0.694,-0.685,54,1.15,28.928,1.197,29.178,
2015-04,R,-0.832,-0.82,54,0.624,25.359,0.658,25.651,
2015-05,R,-0.69,-0.785,54,1.171,29.039,0.768,26.523,
2015-06,R,-0.923,-0.97,55,0.417,23.25,0.338,22.231,
2015-07,R,-1.015,-1.07,55,0.277,21.296,0.217,20.208,
2015-08,R,-1.092,-1.2,55,0.197,19.788,0.122,17.85,
2015-09,R,-1.197,-1.265,52,0.124,17.901,0.092,16.777,
2015-10,R,-1.124,-1.24,50,0.171,19.193,0.102,17.182,
2015-11,R,-0.831,-1.02,55,0.627,25.384,0.271,21.195,
2015-12,R,-0.136,-0.1,53,13.644,49.266,16.005,50.988,
2016-01,R,0.016,-0.12,53,26.765,56.956,14.647,50.024,
2016-02,R,0.059,-0.025,52,32.386,59.341,22.317,54.771,
2016-03,R,-0.006,-0.18,52,24.278,55.773,11.227,47.241,
2016-04,R,-0.003,-0.26,52,24.603,55.933,7.875,43.769,
2016-05,R,-0.188,-0.485,52,10.836,46.882,2.905,35.313,
2016-06,R,-0.308,-0.56,51,6.366,41.81,2.083,32.874,
2016-07,R,-0.433,-0.74,50,3.658,37.109,0.938,27.686,
2016-08,R,-0.573,-0.83,50,1.966,32.469,0.629,25.408,
2016-09,R,-0.547,-0.909,50,2.207,33.284,0.443,23.563,
2016-10,R,-1.108,-1.024,50,0.184,19.488,0.266,21.114,
2016-11,R,-1.001,-0.86,50,0.295,21.583,0.551,24.691,16.185
2016-12,R,-0.925,-0.89,50,0.413,23.206,0.482,23.994,26.2
2017-01,R,-0.981,-0.8,50,0.322,21.999,0.719,26.146,20.69
2017-02,R,-0.793,-0.72,50,0.742,26.321,1.025,28.22,
2017-03,R,-0.743,-0.635,50,0.926,27.607,1.494,30.604,
2017-04,R,-0.938,-0.865,50,0.39,22.92,0.539,24.573,
2017-05,R,-1.129,-1.039,50,0.167,19.101,0.249,20.814,
2017-06,R,-0.978,-1.044,50,0.327,22.062,0.244,20.715,
2017-07,R,-1.044,-1.16,49,0.244,20.715,0.146,18.545,
2017-08,R,-1.141,-1.28,46,0.159,18.884,0.086,16.538,
