well,network,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,se_beta_1,se_beta_2,se_beta_3,n_obs,h_disp_eq_m,EWI_m_bg,EWI_se_m_beta3,EWI_se_m_full,cluster_id,cluster_label,E,N
ceh2,reference,2.7589646958145666,2.872773657929504,0.0176085074317177,0.23884758501718478,0.32963254436980166,0.011447212931130098,100,2.528711305441919,-1.1712886945580814,1.6439040541624075,2.151881412139364,4,C4 (Main Forest),241421.0,363979.0
ceh4,reference,3.4540349587792267,1.0797739854615216,0.0666734649238728,0.18527916411087475,0.2310417660222516,0.0072466379563153535,100,2.84123199202932,-0.8587680079706801,0.30880920347616453,0.4106958738408506,3,C3 (Western Residual),241131.693,363211.05
ceh5,reference,5.321091995177552,1.3274007446290463,0.0971869480497756,0.2942933373180014,0.35272886839280965,0.009749506530894528,100,3.1864674498734735,-0.5135325501265267,0.31965696872293126,0.4314650683079555,1,C1 (Lake Edge),242521.077,364465.817
ceh6,reference,5.287220644086087,-0.2328606416528892,0.1175483254168705,0.3197070467802931,0.3685708194927783,0.01019003594083882,100,3.3190142094817627,-0.38098579051823744,0.28771889316868093,0.3850820117231758,1,C1 (Lake Edge),242621.679,364724.912
ceh9,reference,3.0550112147888404,2.2548689914323896,0.0329674312711341,0.2047514717556726,0.2690065547057935,0.008119794633865468,100,2.9878834091780497,-0.7121165908219504,0.7359080989031208,0.9624769362399301,3,C3 (Western Residual),241711.211,363459.012
ceh10,reference,4.592870239637506,1.6254014500656877,0.1039497151028528,0.3530787870632454,0.4249763671059357,0.015510075691167862,100,2.3263294527605645,-1.3736705472394357,0.3471057699312467,0.47596723744218694,2,C2 (Dune),242538.185,363173.915
ceh11,reference,4.4660147194053215,0.7627397667776663,0.0906962911965706,0.2771036913225489,0.331280592423415,0.009677653629212205,100,3.071595083041299,-0.6284049169587012,0.32775136569188595,0.43900373693369604,1,C1 (Lake Edge),242618.62,362688.287
ceh16,reference,2.47923653493312,1.4682724342583355,0.0363651201950211,0.172597830275516,0.2242958193570705,0.0074279402706132905,100,2.7264505845939797,-0.9735494154060205,0.5569048578565002,0.7297224462320513,5,C5 (Coastal Forest),240988.214,363614.897
ceh17,reference,2.039907194590953,1.2064831207524456,0.0545736892458355,0.171556700752253,0.21855917129276856,0.012511387144643926,100,1.4963935029338256,-2.2036064970661746,0.3430583252599809,0.46194879766692054,5,C5 (Coastal Forest),240804.597413,363576.069469
ceh18,reference,3.2415551734703927,1.6062179382718451,0.0543382072570442,0.26355931471756616,0.33490703281512635,0.01070896551231652,100,2.69217731506447,-1.00782268493553,0.5305738903693556,0.7133050216675965,3,C3 (Western Residual),241267.167,363202.889
