well,window_years,window_end_year,MINw_m_bg,cluster_id,cluster_label,network
ceh22,4,2021,-0.8674999999999999,3,C3 (Western Residual),Extended
ceh22,4,2022,-0.8849999999999999,3,C3 (Western Residual),Extended
ceh23,4,2014,-0.7875000000000001,1,C1 (Lake Edge),Reference
ceh23,4,2015,-0.84,1,C1 (Lake Edge),Reference
ceh23,4,2016,-0.8225,1,C1 (Lake Edge),Reference
ceh23,4,2022,-0.9025,1,C1 (Lake Edge),Reference
ceh23,4,2023,-0.895,1,C1 (Lake Edge),Reference
ceh23,4,2024,-0.87,1,C1 (Lake Edge),Reference
ceh23,4,2025,-0.88,1,C1 (Lake Edge),Reference
ceh24,4,2016,-0.8925000000000001,2,C2 (Dune),Reference
ceh24,4,2017,-0.8700000000000001,2,C2 (Dune),Reference
ceh24,4,2018,-0.9125,2,C2 (Dune),Reference
ceh24,4,2019,-0.9475,2,C2 (Dune),Reference
ceh24,4,2020,-0.9325000000000001,2,C2 (Dune),Reference
ceh24,4,2021,-0.9299999999999999,2,C2 (Dune),Reference
ceh24,4,2022,-0.8900000000000001,2,C2 (Dune),Reference
ceh24,4,2023,-0.9099999999999999,2,C2 (Dune),Reference
ceh24,4,2024,-0.875,2,C2 (Dune),Reference
ceh24,4,2025,-0.83,2,C2 (Dune),Reference
ceh25,4,2014,-0.8724999999999999,1,C1 (Lake Edge),Reference
ceh25,4,2015,-0.9149999999999999,1,C1 (Lake Edge),Reference
ceh25,4,2016,-0.8975,1,C1 (Lake Edge),Reference
ceh25,4,2017,-0.9225,1,C1 (Lake Edge),Reference
ceh25,4,2018,-0.9075,1,C1 (Lake Edge),Reference
ceh25,4,2019,-0.94,1,C1 (Lake Edge),Reference
ceh25,4,2020,-0.93,1,C1 (Lake Edge),Reference
ceh25,4,2021,-0.9550000000000001,1,C1 (Lake Edge),Reference
ceh25,4,2022,-0.9925,1,C1 (Lake Edge),Reference
ceh25,4,2023,-0.9824999999999999,1,C1 (Lake Edge),Reference
ceh25,4,2024,-0.9675,1,C1 (Lake Edge),Reference
ceh25,4,2025,-0.9675,1,C1 (Lake Edge),Reference
ceh26,4,2014,-0.7899999999999999,1,C1 (Lake Edge),Reference
ceh26,4,2015,-0.8374999999999999,1,C1 (Lake Edge),Reference
ceh26,4,2016,-0.82,1,C1 (Lake Edge),Reference
ceh26,4,2017,-0.8174999999999999,1,C1 (Lake Edge),Reference
ceh26,4,2018,-0.845,1,C1 (Lake Edge),Reference
ceh26,4,2019,-0.8799999999999999,1,C1 (Lake Edge),Reference
ceh26,4,2020,-0.875,1,C1 (Lake Edge),Reference
ceh26,4,2021,-0.8925,1,C1 (Lake Edge),Reference
ceh26,4,2022,-0.8875,1,C1 (Lake Edge),Reference
ceh26,4,2023,-0.8849999999999999,1,C1 (Lake Edge),Reference
ceh26,4,2024,-0.8599999999999999,1,C1 (Lake Edge),Reference
ceh26,4,2025,-0.87,1,C1 (Lake Edge),Reference
ceh27,4,2014,-0.8125,1,C1 (Lake Edge),Reference
ceh27,4,2015,-0.8475,1,C1 (Lake Edge),Reference
ceh27,4,2016,-0.8225,1,C1 (Lake Edge),Reference
ceh27,4,2017,-0.8,1,C1 (Lake Edge),Reference
ceh27,4,2018,-0.8325,1,C1 (Lake Edge),Reference
ceh27,4,2019,-0.8674999999999999,1,C1 (Lake Edge),Reference
ceh27,4,2020,-0.8650000000000001,1,C1 (Lake Edge),Reference
ceh27,4,2021,-0.8925000000000001,1,C1 (Lake Edge),Reference
ceh27,4,2022,-0.8775,1,C1 (Lake Edge),Reference
ceh27,4,2023,-0.8775,1,C1 (Lake Edge),Reference
ceh27,4,2024,-0.845,1,C1 (Lake Edge),Reference
ceh27,4,2025,-0.8374999999999999,1,C1 (Lake Edge),Reference
ceh28,4,2016,-1.0,2,C2 (Dune),Reference
ceh28,4,2017,-0.985,2,C2 (Dune),Reference
ceh3,4,2010,-0.8375,5,C5 (Coastal Forest),Extended
ceh3,4,2011,-0.96,5,C5 (Coastal Forest),Extended
ceh3,4,2012,-1.115,5,C5 (Coastal Forest),Extended
ceh3,4,2013,-1.22,5,C5 (Coastal Forest),Extended
ceh3,4,2014,-1.275,5,C5 (Coastal Forest),Extended
ceh3,4,2015,-1.295,5,C5 (Coastal Forest),Extended
ceh3,4,2016,-1.2675,5,C5 (Coastal Forest),Extended
ceh3,4,2017,-1.2525,5,C5 (Coastal Forest),Extended
ceh3,4,2018,-1.3075,5,C5 (Coastal Forest),Extended
ceh3,4,2019,-1.365,5,C5 (Coastal Forest),Extended
ceh3,4,2020,-1.4175,5,C5 (Coastal Forest),Extended
ceh3,4,2021,-1.4625000000000001,5,C5 (Coastal Forest),Extended
ceh3,4,2022,-1.44,5,C5 (Coastal Forest),Extended
ceh3,4,2023,-1.42,5,C5 (Coastal Forest),Extended
ceh3,4,2024,-1.3800000000000001,5,C5 (Coastal Forest),Extended
ceh3,4,2025,-1.3250000000000002,5,C5 (Coastal Forest),Extended
ceh30,4,2014,-2.2625,4,C4 (Main Forest),Reference
ceh30,4,2015,-2.2175000000000002,4,C4 (Main Forest),Reference
ceh30,4,2016,-2.1624999999999996,4,C4 (Main Forest),Reference
ceh30,4,2017,-2.0175,4,C4 (Main Forest),Reference
ceh30,4,2018,-2.115,4,C4 (Main Forest),Reference
ceh30,4,2019,-2.1999999999999997,4,C4 (Main Forest),Reference
ceh30,4,2020,-2.235,4,C4 (Main Forest),Reference
ceh30,4,2021,-2.2924999999999995,4,C4 (Main Forest),Reference
ceh30,4,2022,-2.17,4,C4 (Main Forest),Reference
ceh30,4,2023,-2.13,4,C4 (Main Forest),Reference
ceh30,4,2024,-2.0375,4,C4 (Main Forest),Reference
ceh30,4,2025,-1.9549999999999998,4,C4 (Main Forest),Reference
ceh31,4,2016,-1.9275,5,C5 (Coastal Forest),Reference
ceh31,4,2017,-1.8375000000000001,5,C5 (Coastal Forest),Reference
ceh31,4,2018,-1.9,5,C5 (Coastal Forest),Reference
ceh31,4,2019,-1.9699999999999998,5,C5 (Coastal Forest),Reference
ceh31,4,2020,-1.9975,5,C5 (Coastal Forest),Reference
ceh31,4,2021,-2.0475,5,C5 (Coastal Forest),Reference
ceh31,4,2022,-1.97,5,C5 (Coastal Forest),Reference
ceh32,4,2016,-2.2275,4,C4 (Main Forest),Reference
ceh32,4,2017,-2.01,4,C4 (Main Forest),Reference
ceh32,4,2018,-2.17,4,C4 (Main Forest),Reference
ceh32,4,2019,-2.2800000000000002,4,C4 (Main Forest),Reference
ceh32,4,2020,-2.3200000000000003,4,C4 (Main Forest),Reference
ceh32,4,2021,-2.4099999999999997,4,C4 (Main Forest),Reference
ceh32,4,2022,-2.2175000000000002,4,C4 (Main Forest),Reference
ceh32,4,2023,-2.1925,4,C4 (Main Forest),Reference
ceh32,4,2024,-2.105,4,C4 (Main Forest),Reference
ceh32,4,2025,-1.965,4,C4 (Main Forest),Reference
ceh33,4,2015,-2.2475,4,C4 (Main Forest),Reference
ceh33,4,2016,-2.1725000000000003,4,C4 (Main Forest),Reference
ceh33,4,2017,-2.0025,4,C4 (Main Forest),Reference
ceh33,4,2018,-2.12,4,C4 (Main Forest),Reference
ceh33,4,2019,-2.2775,4,C4 (Main Forest),Reference
ceh33,4,2020,-2.3150000000000004,4,C4 (Main Forest),Reference
ceh33,4,2021,-2.3775000000000004,4,C4 (Main Forest),Reference
ceh33,4,2022,-2.23,4,C4 (Main Forest),Reference
ceh33,4,2023,-2.1725000000000003,4,C4 (Main Forest),Reference
ceh33,4,2024,-2.0925000000000002,4,C4 (Main Forest),Reference
ceh33,4,2025,-1.98,4,C4 (Main Forest),Reference
ceh34,4,2016,-1.3599999999999999,4,C4 (Main Forest),Reference
ceh34,4,2017,-1.185,4,C4 (Main Forest),Reference
ceh34,4,2018,-1.3025,4,C4 (Main Forest),Reference
ceh34,4,2019,-1.4075,4,C4 (Main Forest),Reference
ceh34,4,2020,-1.4474999999999998,4,C4 (Main Forest),Reference
ceh34,4,2021,-1.5124999999999997,4,C4 (Main Forest),Reference
ceh34,4,2022,-1.3449999999999998,4,C4 (Main Forest),Reference
ceh34,4,2023,-1.3375,4,C4 (Main Forest),Reference
ceh34,4,2024,-1.25,4,C4 (Main Forest),Reference
ceh34,4,2025,-1.1525,4,C4 (Main Forest),Reference
ceh36,4,2016,-1.085,3,C3 (Western Residual),Reference
ceh36,4,2017,-0.9825,3,C3 (Western Residual),Reference
ceh36,4,2018,-0.97,3,C3 (Western Residual),Reference
ceh36,4,2019,-0.9875,3,C3 (Western Residual),Reference
ceh36,4,2020,-0.985,3,C3 (Western Residual),Reference
ceh36,4,2021,-1.03,3,C3 (Western Residual),Reference
ceh36,4,2022,-0.9900000000000001,3,C3 (Western Residual),Reference
ceh36,4,2023,-0.9974999999999999,3,C3 (Western Residual),Reference
ceh36,4,2024,-0.9675,3,C3 (Western Residual),Reference
ceh36,4,2025,-0.9199999999999999,3,C3 (Western Residual),Reference
ceh37,4,2016,-0.9824999999999999,2,C2 (Dune),Extended
ceh37,4,2023,-1.0125000000000002,2,C2 (Dune),Extended
ceh37,4,2024,-0.9725,2,C2 (Dune),Extended
ceh38,4,2016,-0.915,3,C3 (Western Residual),Extended
ceh39,4,2018,-0.9624999999999999,3,C3 (Western Residual),Reference
ceh39,4,2019,-1.0350000000000001,3,C3 (Western Residual),Reference
ceh39,4,2020,-1.045,3,C3 (Western Residual),Reference
ceh39,4,2021,-1.07,3,C3 (Western Residual),Reference
ceh39,4,2022,-0.9550000000000001,3,C3 (Western Residual),Reference
ceh39,4,2023,-0.97,3,C3 (Western Residual),Reference
ceh39,4,2024,-0.89,3,C3 (Western Residual),Reference
ceh39,4,2025,-0.8425,3,C3 (Western Residual),Reference
ceh4,4,2010,-0.59,3,C3 (Western Residual),Reference
ceh4,4,2011,-0.7124999999999999,3,C3 (Western Residual),Reference
ceh4,4,2012,-0.8800000000000001,3,C3 (Western Residual),Reference
ceh4,4,2013,-1.0150000000000001,3,C3 (Western Residual),Reference
ceh4,4,2014,-1.0575,3,C3 (Western Residual),Reference
ceh4,4,2015,-1.075,3,C3 (Western Residual),Reference
ceh4,4,2016,-1.08,3,C3 (Western Residual),Reference
ceh4,4,2017,-1.0474999999999999,3,C3 (Western Residual),Reference
ceh4,4,2018,-1.07,3,C3 (Western Residual),Reference
ceh4,4,2019,-1.115,3,C3 (Western Residual),Reference
ceh4,4,2020,-1.1325,3,C3 (Western Residual),Reference
ceh4,4,2021,-1.1575,3,C3 (Western Residual),Reference
ceh4,4,2022,-1.1150000000000002,3,C3 (Western Residual),Reference
ceh4,4,2023,-1.1400000000000001,3,C3 (Western Residual),Reference
ceh4,4,2024,-1.0975,3,C3 (Western Residual),Reference
ceh4,4,2025,-1.08,3,C3 (Western Residual),Reference
ceh40,4,2019,-1.065,3,C3 (Western Residual),Reference
ceh40,4,2020,-1.0525,3,C3 (Western Residual),Reference
ceh40,4,2021,-1.0675,3,C3 (Western Residual),Reference
ceh40,4,2022,-0.9775,3,C3 (Western Residual),Reference
ceh40,4,2023,-1.0025,3,C3 (Western Residual),Reference
ceh40,4,2024,-0.94,3,C3 (Western Residual),Reference
ceh40,4,2025,-0.9125000000000001,3,C3 (Western Residual),Reference
ceh41,4,2019,-1.0075,3,C3 (Western Residual),Reference
ceh41,4,2020,-0.9925,3,C3 (Western Residual),Reference
ceh41,4,2021,-1.01,3,C3 (Western Residual),Reference
ceh41,4,2022,-0.94,3,C3 (Western Residual),Reference
ceh41,4,2023,-0.9625000000000001,3,C3 (Western Residual),Reference
ceh41,4,2024,-0.905,3,C3 (Western Residual),Reference
ceh41,4,2025,-0.87,3,C3 (Western Residual),Reference
ceh42,4,2019,-0.8900000000000001,3,C3 (Western Residual),Reference
ceh42,4,2020,-0.8975,3,C3 (Western Residual),Reference
ceh42,4,2021,-0.9099999999999999,3,C3 (Western Residual),Reference
ceh42,4,2022,-0.8625,3,C3 (Western Residual),Reference
ceh42,4,2023,-0.8625,3,C3 (Western Residual),Reference
