cluster_id,window_years,window_end_year,cluster_label,n_wells,MINw_m_bg_mean,MINw_m_bg_median,MINw_m_bg_std
4,4,2013,C4 (Main Forest),2,-1.728,-1.728,0.1760695885154504
4,4,2014,C4 (Main Forest),3,-1.9086666666666667,-1.8599999999999999,0.33218456215383246
4,4,2015,C4 (Main Forest),6,-1.9293333333333333,-2.01,0.387350831503776
4,4,2016,C4 (Main Forest),6,-1.8580833333333333,-1.9499999999999997,0.38136995380688643
4,4,2017,C4 (Main Forest),10,-1.6151,-1.53,0.2974499771203368
4,4,2018,C4 (Main Forest),9,-1.7738888888888888,-1.6824999999999999,0.2965033492409675
4,4,2019,C4 (Main Forest),9,-1.8827777777777779,-1.7825,0.3030559056419202
4,4,2020,C4 (Main Forest),8,-1.8915625,-1.8299999999999998,0.37415843068144294
4,4,2021,C4 (Main Forest),8,-1.9534375,-1.8975,0.3824169786185156
4,4,2022,C4 (Main Forest),9,-1.7355555555555555,-1.7325000000000002,0.3964190841493101
4,4,2023,C4 (Main Forest),9,-1.716388888888889,-1.72,0.3818153822348062
4,4,2024,C4 (Main Forest),11,-1.6129545454545455,-1.5374999999999999,0.34646936766079733
4,4,2025,C4 (Main Forest),10,-1.50375,-1.42625,0.35765682263557863
5,4,2010,C5 (Coastal Forest),3,-0.9405,-0.8375,0.42007975433243633
5,4,2011,C5 (Coastal Forest),3,-1.0663333333333334,-0.96,0.406079220514093
5,4,2012,C5 (Coastal Forest),5,-1.2883,-1.0825,0.5204217760624549
5,4,2013,C5 (Coastal Forest),5,-1.4513,-1.22,0.5298239802047469
5,4,2014,C5 (Coastal Forest),6,-1.5681666666666667,-1.2925,0.5111527821177018
5,4,2015,C5 (Coastal Forest),6,-1.5644166666666666,-1.3025,0.504853980539588
5,4,2016,C5 (Coastal Forest),6,-1.5260833333333335,-1.2437500000000001,0.5141527415726445
5,4,2017,C5 (Coastal Forest),6,-1.4585833333333333,-1.20125,0.5112563365540488
5,4,2018,C5 (Coastal Forest),6,-1.5177500000000002,-1.2550000000000001,0.5099601700133062
5,4,2019,C5 (Coastal Forest),6,-1.5860833333333335,-1.3162500000000001,0.5106207415163103
5,4,2020,C5 (Coastal Forest),6,-1.56275,-1.38,0.3829756846067384
