cluster_id,window_end_year,cluster_label,n_wells,MSL5_m_bg_mean,MSL5_m_bg_median,MSL5_m_bg_std,MAX5_m_bg_mean,MAX5_m_bg_median
3,2024,C3 (Western Residual),23,-0.46978094559277744,-0.43666666666666665,0.3331411019245206,-0.19704347826086957,-0.08199999999999999
3,2025,C3 (Western Residual),22,-0.48538748137108795,-0.441,0.3336486451153371,-0.2008181818181818,-0.10600000000000001
4,2011,C4 (Main Forest),3,-0.7295555555555556,-0.8973333333333333,0.31456801655132877,-0.4586666666666666,-0.6459999999999999
4,2012,C4 (Main Forest),1,-1.0102,-1.0102,,-0.6864,-0.6864
4,2013,C4 (Main Forest),2,-1.1186666666666665,-1.1186666666666665,0.11219427594826567,-0.8251,-0.8251
4,2014,C4 (Main Forest),2,-1.0953333333333335,-1.0953333333333335,0.12067955732250409,-0.859,-0.859
4,2015,C4 (Main Forest),6,-1.3904444444444444,-1.458333333333333,0.3943646742499844,-1.1336666666666666,-1.204
4,2016,C4 (Main Forest),6,-1.2285555555555554,-1.3086666666666664,0.3965631050618504,-0.991,-1.085
4,2017,C4 (Main Forest),10,-0.8999333333333333,-0.7713333333333332,0.39727062020619175,-0.6335999999999999,-0.47900000000000004
4,2018,C4 (Main Forest),9,-0.9812592592592593,-0.868,0.4140632593167973,-0.7466666666666666,-0.6180000000000001
4,2019,C4 (Main Forest),9,-1.158074074074074,-1.068,0.4065869381468186,-0.9233333333333333,-0.8
4,2020,C4 (Main Forest),10,-1.1236666666666666,-1.0643333333333334,0.4188676387182855,-0.9236000000000001,-0.79
4,2021,C4 (Main Forest),10,-1.0616666666666668,-0.9829999999999999,0.4245509174191967,-0.8513999999999999,-0.7040000000000001
4,2022,C4 (Main Forest),11,-0.9296363636363636,-0.7833333333333334,0.42388608151366575,-0.757090909090909,-0.568
4,2023,C4 (Main Forest),11,-0.9670303030303029,-0.882,0.42099684492207706,-0.7718181818181818,-0.6180000000000001
4,2024,C4 (Main Forest),11,-0.7467878787878788,-0.5826666666666667,0.44068460056112374,-0.5563636363636364,-0.348
4,2025,C4 (Main Forest),11,-0.7081818181818181,-0.5413333333333333,0.43784533960536964,-0.48090909090909084,-0.262
5,2010,C5 (Coastal Forest),2,-0.5673333333333334,-0.5673333333333334,0.43548349630675504,-0.2635,-0.2635
5,2011,C5 (Coastal Forest),3,-0.7586666666666666,-0.7706666666666666,0.314838230066031,-0.4406666666666667,-0.5
5,2012,C5 (Coastal Forest),6,-1.0457777777777777,-0.8556666666666666,0.4614710134952101,-0.7776666666666666,-0.5820000000000001
5,2013,C5 (Coastal Forest),6,-1.096111111111111,-0.9073333333333333,0.4719972536015516,-0.8243333333333333,-0.6389999999999999
5,2014,C5 (Coastal Forest),6,-1.0947777777777776,-0.9116666666666666,0.4776336888670445,-0.8529999999999999,-0.661
5,2015,C5 (Coastal Forest),7,-1.1824761904761907,-1.0946666666666667,0.44497535750091693,-0.9351428571428572,-0.818
5,2016,C5 (Coastal Forest),6,-1.0883333333333332,-0.9196666666666665,0.4807367956238286,-0.8286666666666668,-0.623
5,2017,C5 (Coastal Forest),6,-1.0165555555555554,-0.852,0.48411374543439534,-0.77,-0.607
5,2018,C5 (Coastal Forest),6,-1.0563333333333333,-0.8933333333333333,0.48409012016818154,-0.8406666666666666,-0.675
5,2019,C5 (Coastal Forest),6,-1.1743333333333335,-1.0093333333333332,0.48354115072498705,-0.9796666666666667,-0.8
5,2020,C5 (Coastal Forest),7,-1.2345714285714284,-1.206,0.45967483331258463,-1.036,-0.942
5,2021,C5 (Coastal Forest),8,-1.2926079234972678,-1.2799999999999998,0.472989685725324,-1.11625,-1.087
5,2022,C5 (Coastal Forest),9,-1.277037037037037,-1.3226666666666669,0.44180841890161576,-1.0942222222222222,-1.1199999999999999
5,2023,C5 (Coastal Forest),9,-1.2932592592592593,-1.3393333333333335,0.4418727122454616,-1.0979999999999999,-1.138
5,2024,C5 (Coastal Forest),9,-1.1617037037037037,-1.2166666666666668,0.4382167286110469,-0.9724444444444443,-1.0219999999999998
5,2025,C5 (Coastal Forest),9,-1.1403703703703703,-1.1926666666666665,0.43946231175925676,-0.9406666666666665,-0.962
