quadrat,piezo,window_end_year,msl5_pipeline_m,msl5_published_m,diff_m,datum_offset_m,resid_m
CEH5-3,CEH5,2017,-0.11122033898305084,-0.06866666666666708,-0.04255367231638375,-0.03964092906465746,-0.002912743251726295
CEH5-3,CEH5,2018,-0.10600000000000001,-0.07000000000000042,-0.03599999999999959,-0.03964092906465746,0.0036409290646578704
CEH5-3,CEH5,2019,-0.16533333333333336,-0.12933333333333377,-0.03599999999999959,-0.03964092906465746,0.0036409290646578704
CEH5-4,CEH5,2011,-0.21266666666666664,-0.1216666666666674,-0.09099999999999925,-0.09464092906465714,0.0036409290646578912
CEH5-4,CEH5,2012,-0.29666666666666663,-0.20566666666666739,-0.09099999999999925,-0.09464092906465714,0.0036409290646578912
CEH5-4,CEH5,2013,-0.2878870056497175,-0.19033333333333402,-0.09755367231638346,-0.09464092906465714,-0.0029127432517263158
CEH5-4,CEH5,2014,-0.2352203389830508,-0.13766666666666738,-0.09755367231638343,-0.09464092906465714,-0.002912743251726288
CEH5-4,CEH5,2015,-0.26788700564971746,-0.17033333333333406,-0.0975536723163834,-0.09464092906465714,-0.0029127432517262603
CEH5-4,CEH5,2016,-0.17522033898305084,-0.07766666666666737,-0.09755367231638347,-0.09464092906465714,-0.0029127432517263296
CEH5-4,CEH5,2017,-0.11122033898305084,-0.013666666666667392,-0.09755367231638344,-0.09464092906465714,-0.002912743251726302
CEH5-4,CEH5,2018,-0.10600000000000001,-0.015000000000000718,-0.09099999999999929,-0.09464092906465714,0.0036409290646578496
CEH5-4,CEH5,2019,-0.16533333333333336,-0.07433333333333406,-0.0909999999999993,-0.09464092906465714,0.0036409290646578357
CEH5-5,CEH5,2011,-0.21266666666666664,-0.17766666666666828,-0.034999999999998366,-0.038640929064656236,0.0036409290646578704
CEH5-5,CEH5,2012,-0.29666666666666663,-0.26166666666666827,-0.034999999999998366,-0.038640929064656236,0.0036409290646578704
CEH5-5,CEH5,2013,-0.2878870056497175,-0.24633333333333493,-0.041553672316382545,-0.038640929064656236,-0.002912743251726309
CEH5-5,CEH5,2014,-0.2352203389830508,-0.19366666666666826,-0.041553672316382545,-0.038640929064656236,-0.002912743251726309
CEH5-5,CEH5,2015,-0.26788700564971746,-0.22633333333333497,-0.04155367231638249,-0.038640929064656236,-0.0029127432517262533
CEH5-5,CEH5,2016,-0.17522033898305084,-0.1336666666666683,-0.041553672316382545,-0.038640929064656236,-0.002912743251726309
CEH5-5,CEH5,2017,-0.11122033898305084,-0.0696666666666683,-0.04155367231638253,-0.038640929064656236,-0.002912743251726295
CEH5-5,CEH5,2018,-0.10600000000000001,-0.07100000000000165,-0.034999999999998366,-0.038640929064656236,0.0036409290646578704
CEH5-5,CEH5,2019,-0.16533333333333336,-0.130333333333335,-0.034999999999998366,-0.038640929064656236,0.0036409290646578704
CEH6-1,CEH6,2011,-0.198,-0.2620000000000001,0.06400000000000011,0.0640000000000001,1.3877787807814457e-17
CEH6-1,CEH6,2012,-0.238,-0.3020000000000001,0.06400000000000011,0.0640000000000001,1.3877787807814457e-17
CEH6-1,CEH6,2013,-0.25133333333333335,-0.3153333333333334,0.06400000000000006,0.0640000000000001,-4.163336342344337e-17
CEH6-1,CEH6,2014,-0.19466666666666668,-0.2586666666666667,0.06400000000000003,0.0640000000000001,-6.938893903907228e-17
CEH6-1,CEH6,2015,-0.20933333333333332,-0.27333333333333343,0.06400000000000011,0.0640000000000001,1.3877787807814457e-17
CEH6-1,CEH6,2016,-0.13066666666666665,-0.19466666666666677,0.06400000000000011,0.0640000000000001,1.3877787807814457e-17
CEH6-1,CEH6,2017,-0.08,-0.14400000000000007,0.06400000000000007,0.0640000000000001,-2.7755575615628914e-17
CEH6-1,CEH6,2018,-0.07266666666666666,-0.13666666666666677,0.06400000000000011,0.0640000000000001,1.3877787807814457e-17
CEH6-1,CEH6,2019,-0.12066666666666666,-0.18466666666666676,0.0640000000000001,0.0640000000000001,0.0
CEH6-2,CEH6,2011,-0.198,-0.35500000000000004,0.15700000000000003,0.15700000000000006,-2.7755575615628914e-17
CEH6-2,CEH6,2012,-0.238,-0.395,0.15700000000000003,0.15700000000000006,-2.7755575615628914e-17
CEH6-2,CEH6,2013,-0.25133333333333335,-0.4083333333333334,0.15700000000000003,0.15700000000000006,-2.7755575615628914e-17
CEH6-2,CEH6,2014,-0.19466666666666668,-0.3516666666666667,0.157,0.15700000000000006,-5.551115123125783e-17
CEH6-2,CEH6,2015,-0.20933333333333332,-0.3663333333333334,0.15700000000000008,0.15700000000000006,2.7755575615628914e-17
CEH6-2,CEH6,2016,-0.13066666666666665,-0.28766666666666674,0.15700000000000008,0.15700000000000006,2.7755575615628914e-17
CEH6-2,CEH6,2017,-0.08,-0.23700000000000004,0.15700000000000003,0.15700000000000006,-2.7755575615628914e-17
