well,network,cluster_id,cluster_label,n_springs,n_msl5_windows,n_obs_ssm,spring_sd_mm,rho_lag1,rho_ar1_expected,t_R_months,beta_2,beta_3,se_beta_3,rel_se_beta_3,msl5_window_se_mm,msl5_window_spread_mm,ewi_se_mm_beta3,ewi_se_mm_full,ewi_over_msl5_se_beta3
nw11,reference,3,C3 (Western Residual),18,14,100,346.00327215616636,-0.014469704625816772,0.4035028312147055,13.222094753391529,2.014347637254651,0.0756309812212997,0.009466061463758144,0.1251611616152383,154.73736739570964,380.6666666666667,355.202783619674,477.1141980356307,2.2955204007789174
nw13,reference,3,C3 (Western Residual),14,10,100,317.29357647959665,-0.31352871844854685,0.34581209918079064,11.300927800048632,1.6344067412287744,0.0884883097824673,0.009194505846550868,0.10390644672899638,141.8980011664813,208.00000000000003,301.4517434688224,406.35268975076343,2.1244255802810446
ceh1,reference,3,C3 (Western Residual),19,15,100,444.57498083028344,-0.011625528170938438,0.4498427315962485,15.021457351113364,2.184750673497012,0.066571436886973,0.00911550182711516,0.1369281219300063,198.81997564643592,415.33333333333326,413.293532675791,551.8197387970404,2.078732437885196
ceh2,reference,4,C4 (Main Forest),18,10,100,403.831324394346,-0.0998012803821914,0.7953980748378251,52.42176163245717,2.779483157917483,0.0190760472151101,0.011180769177894885,0.5861156167111298,180.59885855790534,466.6666666666666,1461.8870035802045,1926.4714051622168,8.094663583443857
ceh4,reference,3,C3 (Western Residual),19,15,100,293.50661637031527,-0.03877986710435337,0.4364225696981059,14.472752062300488,0.967566189390509,0.0690953590371289,0.007022526180524822,0.10163528026174978,131.2601492099955,302.0000000000001,289.83489049725864,385.47357379951916,2.2080950862974307
ceh5,reference,1,C1 (Lake Edge),19,15,100,182.242734396169,-0.24665952688918574,0.3073123959318046,10.17043554482281,1.2510057628471714,0.0983242060374733,0.009299542940281614,0.09458040207044616,81.50142850305458,225.99999999999997,299.78175531463495,406.3982041960134,3.67823927532018
ceh6,reference,1,C1 (Lake Edge),19,15,100,144.14003010303094,-0.05250624747485067,0.23076042482086845,8.183444295634022,-0.4001883327302702,0.1221979357192562,0.00975500790281038,0.0798295637761184,64.46138111784863,225.33333333333334,262.8970270265498,353.7313501055689,4.078364789391032
ceh9,reference,3,C3 (Western Residual),18,10,100,329.77540166154176,-0.04355785239988991,0.6573633186907323,28.604226936822503,2.145505473916032,0.0349598680715503,0.007602225748154927,0.21745579052517874,147.4800430845009,244.00000000000017,646.9743516198788,849.5701478338103,4.386860337769126
ceh10,reference,3,C3 (Western Residual),19,15,100,407.4792954474173,-0.1775616494461146,0.2968466498657255,9.88028711542112,1.7230682451090007,0.1012116336618602,0.015858032397286122,0.1566819131708368,182.23028080882912,508.6666666666668,371.91453452263437,508.4749736794094,2.040904139926096
ceh11,reference,1,C1 (Lake Edge),19,15,100,235.03898450367168,-0.2621617275158602,0.32954130393236813,10.810288999768721,0.671597865432548,0.0925044649612415,0.009426355042460987,0.10190162222343042,105.1126293425459,238.97777777777776,312.18154455084573,419.40090979745855,2.9699717960007836
