well,cid,cluster,beta3,se3,p3,VIF,hd_sd,n,beta3_full,se3_full,p3_full,VIF_full,hd_sd_full,n_full
ceh17,5,C5 (Coastal Forest),0.05914428714985098,0.011932333798785347,3.043796525077009e-06,1.2985476166579204,0.23709728823180987,100,0.06123334050416419,0.00694541583638164,3.984513811358122e-16,1.139622204674867,0.3037898305721944,219
ceh18,3,C3 (Western Residual),0.06073534830053992,0.009854266644386671,1.6273119125762715e-08,1.4500018549942542,0.3298045978608596,100,0.05231459300010996,0.005360812648773833,7.158284291090509e-19,1.2497848701087262,0.3475438762642942,219
ceh19,5,C5 (Coastal Forest),0.0444637711288769,0.006663244056490869,1.5556073212419215e-09,1.41308647945268,0.22384317228039538,100,0.047074963753813946,0.0044506575400893094,2.863938650286248e-21,1.222063414419827,0.2510396078860271,215
ceh20,4,C4 (Main Forest),0.023344035717624414,0.009251839216210011,0.013255539659292371,1.2447082377297594,0.3845473495197316,100,0.03080228655629793,0.006009797346255353,7.007878529159431e-07,1.1460526345635211,0.4055282967385751,202
ceh21,3,C3 (Western Residual),0.04366293804197634,0.00668600933320795,3.019109609755991e-09,1.3968967188108934,0.24546407223781447,100,0.04743788358206427,0.004766399716065159,5.836774759021406e-19,1.2192776038358801,0.25619845601162106,188
ceh23,1,C1 (Lake Edge),0.09441811522320448,0.00966709587585131,4.2718510486924437e-16,2.1950283714792627,0.33542969117879273,100,0.08669730191703924,0.008064428180580004,8.083200495253442e-21,1.8604109431967715,0.3264426747333897,170
ceh24,2,C2 (Dune),0.07451392876448873,0.010209958200197117,8.055089011853231e-11,1.6281743834914297,0.4135245153282584,100,0.0723881867969046,0.006624607392139278,9.158418317433295e-22,1.3769284636078682,0.4093609023774929,188
ceh25,1,C1 (Lake Edge),0.13434145134502273,0.012481056188036807,3.0353726803925703e-18,2.4443033780901136,0.4455972761562494,100,0.11750682825802622,0.008685897995919576,1.4554216274107003e-29,1.9034398214588042,0.41240922160734433,191
ceh26,1,C1 (Lake Edge),0.08761778537218887,0.00950567320131609,6.568096449667204e-15,2.1990235534431077,0.3276744995081736,100,0.07815055960498221,0.00755083881196769,3.8983004990725075e-20,1.7027369325269723,0.31219982938395247,190
ceh27,1,C1 (Lake Edge),0.09835636217726085,0.009126903537699875,2.847728701555776e-18,2.031966575693192,0.3836244107269349,100,0.08756049963852344,0.0066810198334021804,2.6766237459752125e-28,1.621793213281373,0.35857581308688385,191
ceh28,2,C2 (Dune),0.07805750655498356,0.010088902629200544,9.677770420080586e-12,1.453418647982497,0.36981360682360354,100,0.07396595896118256,0.007398056310653148,2.0029353123198013e-18,1.3546045556435446,0.3741925997359218,156
ceh30,4,C4 (Main Forest),0.02644979402466932,0.010673460980384965,0.014936696225264851,1.2225640018372808,0.3509017275353166,100,0.03440219114735656,0.007850424045018463,1.965801900189688e-05,1.1156946367714842,0.36678048314081374,188
ceh31,5,C5 (Coastal Forest),0.04020858524856575,0.012168989017076734,0.0013353264907680648,1.2914102953910245,0.2810588417886306,100,0.0507790510898983,0.00796358542843824,1.5121664057222713e-09,1.178347176341611,0.28600088248619954,181
Ceh32,4,C4 (Main Forest),0.01625546523367688,0.012289153903270036,0.1890289241877374,1.196427215095963,0.42621116440267237,100,0.022818157371549408,0.008427098848300433,0.00742425930468565,1.0980659104126864,0.44859357009897355,184
ceh33,4,C4 (Main Forest),0.022615706376002118,0.011112534335272426,0.044563569614186734,1.212813373226138,0.36815542457168365,100,0.030141643154465197,0.007926978726539033,0.0001947715888425962,1.1051289867631935,0.3898704054351093,187
ceh34,4,C4 (Main Forest),0.009387441007877563,0.007594939598368143,0.21943868139783013,1.1953908226770988,0.4138593327486829,100,0.016670120433341984,0.006021014100663721,0.006218123713783142,1.1074488861678982,0.42498712704946945,183
ceh36,3,C3 (Western Residual),0.050610543589148335,0.007299233481218858,4.5695965920585246e-10,1.4655356725273718,0.2715079701018226,100,0.052466024506745985,0.005278316878232145,9.705740883775207e-19,1.277363035373486,0.28892100188402053,178
ceh39,3,C3 (Western Residual),0.0335400388138642,0.007185770185442605,9.778516314176575e-06,1.3166579361763553,0.3613926870773168,100,0.03567030292352966,0.005635740394666294,2.7744318602934782e-09,1.2054753948583858,0.3534027692025965,151
ceh40,3,C3 (Western Residual),0.03714287468246382,0.009103941566032643,9.24923788775541e-05,1.3987618055902133,0.31262672418979,100,0.03912661526275657,0.007107813170311355,1.7805182247035168e-07,1.2804781902936084,0.3038456096000668,139
ceh41,3,C3 (Western Residual),0.037323126880347786,0.008310704342018308,1.9566374753574732e-05,1.4570231514438128,0.3574929856677723,100,0.03791509052638806,0.006822856404309278,1.395700048483123e-07,1.2992885542046695,0.3483228045084089,139
ceh42,3,C3 (Western Residual),0.05176654404258359,0.008349021857544763,1.3757816494432913e-08,1.4144213858979287,0.3455235409495821,100,0.052789755084132806,0.007109767898312552,1.1147267265546243e-11,1.2800833608611981,0.3540584479702623,139
WMC1,2,C2 (Dune),0.05824160875955017,0.009251114058620462,8.90635529539675e-09,1.5191848067508857,0.34142638165774464,100,0.05648664299171265,0.0059782950166863994,1.0006990754686862e-17,1.3916942493447146,0.3347073611587076,201
WMC2,3,C3 (Western Residual),0.04744362091529891,0.007773069676345086,2.1332233056659897e-08,1.3461012744356924,0.3723892175343157,100,0.04862827775130725,0.004960900301147956,1.0314987964897782e-18,1.2510962435704533,0.36836753018173535,199
wmc3,3,C3 (Western Residual),0.03464308401728843,0.00994905265534948,0.0007478088770826552,1.2556549144646476,0.32758960160797845,100,0.03652971412629001,0.007128333166691182,7.533255974401016e-07,1.1264860728882378,0.3120361117866898,186
wmc4,3,C3 (Western Residual),0.08891709365247175,0.008908417811217442,1.4717086642079023e-16,1.643405553862455,0.41042265980275644,100,0.0838662695934857,0.006667264937305731,7.129903416918905e-26,1.435793511624243,0.4127235505004706,168
L7,2,C2 (Dune),0.08525492117204352,0.009124924426811959,3.517065197228368e-15,1.6236783982373144,0.43228882902204,100,0.08639082663646722,0.006839188409334385,4.745693140607103e-27,1.3689134355846049,0.4165684996425192,196
D5,2,C2 (Dune),0.07071615882559354,0.009900281525931686,1.6927911394968092e-10,1.6228883880945446,0.37961727907432896,100,0.06497257239062469,0.006619680840405386,1.2754977238495948e-18,1.3176686854645057,0.3791187150236244,191
D6,2,C2 (Dune),0.06719526646914023,0.008611985924841766,7.035020750074069e-12,1.701019000883311,0.40564740656210674,100,0.06352979166182585,0.005856428254827001,1.331114476802587e-21,1.3614543680681612,0.3971081497337515,191
D7,2,C2 (Dune),0.07598791070080456,0.009165230584229219,6.440329780973367e-13,1.3956426011176164,0.3548524946679223,100,0.07538612673324571,0.0064793538115211595,3.150380057196399e-23,1.330795258063272,0.3686258200078515,168
D8,2,C2 (Dune),0.05675018355975307,0.008580278532968213,2.047956682515214e-09,1.5456798711808097,0.34448274575707544,100,0.05397260493542627,0.00610938562456457,8.398805373182029e-16,1.3197159785970145,0.34009945583184914,185
D9,3,C3 (Western Residual),0.06230797139050788,0.00884540969383659,2.7080449958347586e-10,1.4603020313598492,0.4108242347603415,100,0.0651327185043418,0.006315852112869608,6.897788656734588e-20,1.316250627942332,0.41554083888654164,183
D10,2,C2 (Dune),0.05950455477579476,0.008271108851818481,1.3244197465919122e-10,1.653167292971665,0.3768798615160659,100,0.057779950401024016,0.005754860978596973,3.4283513259601596e-19,1.3353375226173705,0.36170680286221624,187
D15,3,C3 (Western Residual),0.06283758865249625,0.007989578677224411,5.190234768166479e-12,1.548610195244013,0.4111882993101777,100,0.061402435411672514,0.0053840047396336915,3.6984371087132967e-23,1.3136535231555724,0.40389734674120437,188
D17,2,C2 (Dune),0.07242073552037774,0.010735684643895835,1.106550872249784e-09,1.6803582586229096,0.36521372083293246,100,0.06666925781507983,0.006649537011332482,3.1830493063088636e-19,1.357230139438496,0.36526864741585285,191
D25,3,C3 (Western Residual),0.06618166348733005,0.007570479861521063,6.944334894568307e-14,1.2587376939832293,0.4252682838453666,100,0.06308268528940866,0.005710639126190974,1.5711012730459446e-21,1.2453354757979491,0.4094470761601036,166
D38,3,C3 (Western Residual),0.10892240599514577,0.010368419852081796,1.0913037157836069e-17,1.7182929788308623,0.4319737209699205,100,0.10592224264171052,0.007119496968875424,2.4842786616044785e-33,1.4725922712373425,0.42688579324828,186
D41,2,C2 (Dune),0.0663853619816698,0.009157266900512743,1.0171252288536035e-10,1.7867560666219298,0.35300151687794556,100,0.06357542456637626,0.006086692403473378,2.38657940848906e-20,1.465733640356677,0.33824217363411446,187
T41a,3,C3 (Western Residual),0.0962838877438416,0.011305223990881075,2.1155788030212309e-13,1.614146496134252,0.48244830251826953,100,0.09154620140571529,0.007669246173975154,1.0804295121077877e-24,1.3721802215314114,0.4649754310468277,187
T41b,2,C2 (Dune),0.06592275841699627,0.009014969463201905,7.516592663231683e-11,1.8139484707608087,0.3446901738994497,100,0.06335358837796971,0.005945348509705804,4.827255942855566e-21,1.4406505086484114,0.3462970464211262,191
T41c,2,C2 (Dune),0.0708245145416409,0.008427962030153975,3.698649000241871e-13,1.763408815462053,0.36605601166057605,100,0.06602076213875376,0.005908518971032016,1.8540980053283012e-22,1.452955525253048,0.34779812651228825,187
T41d,2,C2 (Dune),0.06911855040749573,0.00934278159570185,4.984911824286359e-11,1.8364427904240577,0.35015168922588163,100,0.06492814787488389,0.006211970424621558,2.276843226670087e-20,1.4667506595551316,0.33615221579054105,187
D43,2,C2 (Dune),0.07702766407705554,0.007927391046357276,5.486494324790721e-16,1.642030477431607,0.40956248016628377,100,0.0752246853148153,0.005618190456686466,3.792532210111982e-29,1.3756266380556241,0.4054554849532096,191
D44,2,C2 (Dune),0.09021156214143478,0.0119051207529316,2.0967895893373805e-11,1.7888538895990909,0.38883004386228126,100,0.08065691092738166,0.007867155052342199,7.125433507834261e-20,1.4410414335641908,0.37735082565280426,191
