Well,Period,beta_3_internal_brake,P_Value,Conf_Low,Conf_High,N,Mean_Pre_Scraping,Mean_Post_Scraping_PreFell,Mean_Post_Felling,Mean_PF_Pre_Scrape2,Mean_PF_Post_Scrape2,Step_Change_From_Clean_Baseline,Step_PF_Pre_Scrape2,Step_PF_Post_Scrape2,Combined_Hydrological_Cost
CEH20,After_Scrape2,-0.023674916888358592,0.6856467371139846,-0.14256171953133448,0.09521188575461728,28.0,,,,,,,,,
CEH30,Before,0.011309497041589355,0.6659194715722097,-0.04058351939985552,0.06320251348303424,88.0,,,,,,,,,
CEH30,After,-0.01658412876264513,0.6208950749858239,-0.0832029762610461,0.05003471873575584,69.0,,,,,,,,,
CEH30,After_Scrape2,-0.018976423311718043,0.7394975403534723,-0.13503510881848502,0.09708226219504894,28.0,,,,,,,,,
CEH16,Before,0.04665917892608603,0.025402877990868152,0.005844277562472806,0.08747408028969925,123.0,,,,,,,,,
CEH16,After,0.01545743231471169,0.6234752463963664,-0.04709809536485704,0.07801295999428043,69.0,,,,,,,,,
CEH16,After_Scrape2,0.036740843409065964,0.5572852716557744,-0.09028341131723955,0.1637650981353715,28.0,,,,,,,,,
NW8B,Before,0.026833841505331663,0.5683714874929277,-0.06862819995885101,0.12229588296951434,28.0,,,,,,,,,
NW8B,After,0.02459786632620767,0.5143721669825737,-0.05029978013251543,0.09949551278493077,69.0,,,,,,,,,
NW8B,After_Scrape2,0.022009792626682623,0.6716345794160656,-0.08350967716882474,0.12752926242218998,28.0,,,,,,,,,
CEH32,Before,-0.009113894661860933,0.6676031095693603,-0.05116354859354413,0.032935759269822264,87.0,,,,,,,,,
CEH32,After,-0.03206595472544034,0.2555552294142914,-0.08787824965001692,0.02374634019913624,69.0,,,,,,,,,
CEH32,After_Scrape2,-0.014910809592673636,0.8467760808989353,-0.1719503828669861,0.14212876368163885,28.0,,,,,,,,,
CEH34,Before,-0.0010373444813085945,0.9663183907179858,-0.04974485131648504,0.047670162353867854,86.0,,,,,,,,,
CEH34,After,-0.0368287164828677,0.151995091332037,-0.08755968139347281,0.013902248427737414,69.0,,,,,,,,,
CEH34,After_Scrape2,-0.029080193199391292,0.60258379581614,-0.14248116162190433,0.08432077522312176,28.0,,,,,,,,,
CEH33,Before,0.003905371147193838,0.8686575077045614,-0.0429095079620346,0.050720250256422274,87.0,,,,,,,,,
CEH33,After,-0.023932993705271525,0.45102491467809097,-0.08694295074944179,0.03907696333889875,69.0,,,,,,,,,
CEH33,After_Scrape2,-0.013568769513517041,0.8293080277109721,-0.1416440097195031,0.11450647069246903,28.0,,,,,,,,,
NW10,Before,-0.01676811562534192,0.46963701144868564,-0.06255430383320316,0.02901807258251932,116.0,,,,,,,,,
NW10,After,0.0007314627428348865,0.9820456034132511,-0.06390325971021,0.06536618519587979,69.0,,,,,,,,,
NW10,After_Scrape2,-0.00025133805375594787,0.995476747237145,-0.0905110222706648,0.09000834616315291,28.0,,,,,,,,,
CEH19,Before,0.08631962503055354,0.0010974275582355053,0.035277509658336585,0.1373617404027705,115.0,,,,,,,,,
CEH19,After,0.06803796892091363,0.03451059391532526,0.005109237123646762,0.1309667007181805,69.0,,,,,,,,,
CEH19,After_Scrape2,0.09725258570080038,0.18703388253671685,-0.05026513640068765,0.24477030780228842,28.0,,,,,,,,,
CEH9,Before,0.029066523325272396,0.18965788356601337,-0.014543424803342996,0.07267647145388778,135.0,,,,,,,,,
CEH9,After,0.010636913272204085,0.7241226374600249,-0.04926432262719987,0.07053814917160804,69.0,,,,,,,,,
CEH9,After_Scrape2,0.02670811151550879,0.6615842011556148,-0.09727861110114441,0.150694834132162,28.0,,,,,,,,,
NW7,Before,0.037461754145153785,0.11539424734043531,-0.009290192384991874,0.08421370067529944,140.0,,,,,,,,,
NW7,After,0.023602983545672997,0.5300745870679312,-0.05103855470691762,0.09824452179826362,69.0,,,,,,,,,
NW7,After_Scrape2,0.028268052139751757,0.6423177996421758,-0.09537789428607009,0.1519139985655736,28.0,,,,,,,,,
NW6,Before,0.09887587158068378,0.0009861669935418494,0.040781658732684016,0.15697008442868354,144.0,,,,,,,,,
NW6,After,0.1439802162450692,0.0026972089814959483,0.05175737073127268,0.23620306175886574,69.0,,,,,,,,,
NW6,After_Scrape2,0.10696728911842397,0.14561258520740186,-0.03959739755176957,0.2535319757886175,28.0,,,,,,,,,
BACI_SUMMARY,Impact,,,,,,-0.11003759739504539,-0.3273247526460918,-0.36762553962087896,,,-0.04030078697478717,,,-0.2575879422258336
BACI_SUMMARY,Edge,,,,,,-0.18233010551257128,-0.216686261381984,-0.21643155217327528,,,0.00025470920870870883,,,-0.034101446660704
BACI_SUMMARY,Impact_PF_PreScrape2,,,,,,,,,-0.36455316262482285,,,-0.03722840997873106,,
BACI_SUMMARY,Edge_PF_PreScrape2,,,,,,,,,-0.21314378193265524,,,0.003542479449328756,,
BACI_SUMMARY,Impact_PF_PostScrape2,,,,,,,,,,-0.37469200671180797,,,-0.04736725406571618,
BACI_SUMMARY,Edge_PF_PostScrape2,,,,,,,,,,-0.22399342372670142,,,-0.007307162344717427,
