h,P_m,PET,P_m_lag1,h_prev,Delta_h,Drainage_Component,Well_Name,Period,neg_h_prev
-1.91,0.0764,0.0962307127782272,0.0072,-1.78,-0.1299999999999999,0.03683182915743724,FE2,After,1.78
-2.04,0.0994,0.0969163493097241,0.0764,-1.91,-0.13000000000000012,-0.1426138590045224,FE2,After,1.91
-2.08,0.1192,0.0976132155179787,0.0994,-2.04,-0.040000000000000036,-0.11135149333991895,FE2,After,2.04
-1.81,0.0606,0.0672317697887623,0.1192,-2.08,0.27,0.08831646951829597,FE2,After,2.08
-1.92,0.116,0.0447405822887121,0.0606,-1.81,-0.10999999999999988,-0.18199320574240319,FE2,After,1.81
-1.89,0.0848,0.0295056397138296,0.116,-1.92,0.030000000000000027,-0.2161023380295825,FE2,After,1.92
-1.63,0.1505999999999999,0.0168909492945821,0.0848,-1.89,0.26,0.07106497272899218,FE2,After,1.89
-1.35,0.1102,0.0129870686539831,0.1505999999999999,-1.63,0.2799999999999998,-0.0883527387831389,FE2,After,1.63
-1.05,0.089,0.0186818521964761,0.1102,-1.35,0.30000000000000004,0.04816843795175402,FE2,After,1.35
-0.88,0.0424,0.0312899332564512,0.089,-1.05,0.17000000000000004,-0.002129223416299543,FE2,After,1.05
-0.92,0.0158,0.0374313956455442,0.0424,-0.88,-0.040000000000000036,-0.07855034276831377,FE2,After,0.88
-1.15,0.1077999999999999,0.0642263455138479,0.0158,-0.92,-0.22999999999999987,-0.14737370324548846,FE2,After,0.92
-0.96,0.0252,0.0942497072885958,0.1077999999999999,-1.15,0.18999999999999995,0.09021693287102076,FE2,After,1.15
-1.33,0.0272,0.1169174567508262,0.0252,-0.96,-0.3700000000000001,-0.21028173730336389,FE2,After,0.96
-1.52,0.0456,0.094777510509353,0.0272,-1.33,-0.18999999999999995,-0.0782167556193922,FE2,After,1.33
-1.66,0.0952,0.0776241874685951,0.0456,-1.52,-0.1399999999999999,-0.10937306139276545,FE2,After,1.52
-1.74,0.2012,0.0515176231476902,0.0952,-1.66,-0.08000000000000007,-0.22930369541984907,FE2,After,1.66
-1.32,0.0467999999999999,0.0294710066467027,0.2012,-1.74,0.41999999999999993,-0.04873366152667611,FE2,After,1.74
-1.35,0.1002,0.019867764121142,0.0467999999999999,-1.32,-0.030000000000000027,-0.11392654725189783,FE2,After,1.32
-1.2,0.0252,0.0186109214291315,0.1002,-1.35,0.15000000000000013,-0.07584580030119498,FE2,After,1.35
-1.31,0.0866,0.0237653141318251,0.0252,-1.2,-0.1100000000000001,-0.12998291967343464,FE2,After,1.2
-1.28,0.0327999999999999,0.0347917962835035,0.0866,-1.31,0.030000000000000027,-0.12910430453792535,FE2,After,1.31
-1.4,0.0448,0.045473161701825,0.0327999999999999,-1.28,-0.11999999999999988,-0.1179591608550647,FE2,After,1.28
-1.52,0.0472,0.0756288090461812,0.0448,-1.4,-0.1200000000000001,-0.09113256792700872,FE2,After,1.4
-1.62,0.0238,0.0905318964807798,0.0472,-1.52,-0.10000000000000009,-0.04865222341118794,FE2,After,1.52
-1.76,0.0168,0.1104619647837164,0.0238,-1.62,-0.1399999999999999,0.010922040576122505,FE2,After,1.62
-1.9,0.0412,0.1016991709218285,0.0168,-1.76,-0.1399999999999999,0.012303421481528937,FE2,After,1.76
-2.04,0.0952,0.0699637377456108,0.0412,-1.9,-0.14000000000000012,-0.11265700681999499,FE2,After,1.9
-2.13,0.116,0.0526106372307681,0.0952,-2.04,-0.08999999999999986,-0.23719514571230654,FE2,After,2.04
-2.13,0.1258,0.0308987736620354,0.116,-2.13,0.0,-0.24341482263107572,FE2,After,2.13
-1.83,0.0917999999999999,0.0137812707174706,0.1258,-2.13,0.2999999999999998,-0.002036595328646029,FE2,After,2.13
-1.55,0.0232,0.0219836897846353,0.0917999999999999,-1.83,0.28,0.0826036373347514,FE2,After,1.83
-1.74,0.0965999999999999,0.028068936764161,0.0232,-1.55,-0.18999999999999995,-0.1964562182418249,FE2,After,1.55
-1.61,0.036,0.0440285592259995,0.0965999999999999,-1.74,0.1299999999999999,-0.03740812325101779,FE2,After,1.74
-1.66,0.0273999999999999,0.0781688547498778,0.036,-1.61,-0.04999999999999982,0.006755355882608366,FE2,After,1.61
-1.84,0.0243999999999999,0.1107041047341038,0.0273999999999999,-1.66,-0.18000000000000016,-0.03801497797181572,FE2,After,1.66
-1.98,0.1128,0.1028168865805784,0.0243999999999999,-1.84,-0.1399999999999999,-0.005393549095891015,FE2,After,1.84
-2.06,0.1142,0.09381376705751,0.1128,-1.98,-0.08000000000000007,-0.1936853435780249,FE2,After,1.98
-1.96,0.134,0.0791147484570001,0.1142,-2.06,0.10000000000000009,-0.04569860210477614,FE2,After,2.06
-1.87,0.1362,0.0482170198018847,0.134,-1.96,0.08999999999999986,-0.16702660830978525,FE2,After_Scrape2,1.96
-1.64,0.0754,0.0259060594787389,0.1362,-1.87,0.2300000000000002,-0.07581398433855976,FE2,After_Scrape2,1.87
-1.39,0.124,0.0215973634135762,0.0754,-1.64,0.25,0.09469942575686363,FE2,After_Scrape2,1.64
-1.32,0.1112,0.0174196053541396,0.124,-1.39,0.06999999999999984,-0.22031576276113385,FE2,After_Scrape2,1.39
-1.23,0.0765999999999999,0.0256833704695574,0.1112,-1.32,0.09000000000000008,-0.15093708865431812,FE2,After_Scrape2,1.32
-1.07,0.1064,0.03473113553075,0.0765999999999999,-1.23,0.15999999999999992,0.02690126924686409,FE2,After_Scrape2,1.23
-1.08,0.0828,0.0480210734698828,0.1064,-1.07,-0.010000000000000009,-0.19530624814016026,FE2,After_Scrape2,1.07
-1.02,0.0448,0.0851606842163695,0.0828,-1.08,0.06000000000000005,0.00798965177927713,FE2,After_Scrape2,1.08
-1.21,0.0304,0.0880180561124374,0.0448,-1.02,-0.18999999999999995,-0.13723228733349446,FE2,After_Scrape2,1.02
-1.39,0.072,0.0988404071816598,0.0304,-1.21,-0.17999999999999994,-0.06873819179294582,FE2,After_Scrape2,1.21
-1.52,0.0494,0.0946305050728842,0.072,-1.39,-0.13000000000000012,-0.13552957313316416,FE2,After_Scrape2,1.39
-1.66,0.0942,0.0672397287495123,0.0494,-1.52,-0.1399999999999999,-0.13933246122963644,FE2,After_Scrape2,1.52
-1.79,0.0752,0.0483438039919346,0.0942,-1.66,-0.13000000000000012,-0.28281409757503334,FE2,After_Scrape2,1.66
-1.75,0.049,0.0272394490051505,0.0752,-1.79,0.040000000000000036,-0.10389389119209122,FE2,After_Scrape2,1.79
-1.74,0.1192,0.0224852154410495,0.049,-1.75,0.010000000000000009,-0.07462415399660333,FE2,After_Scrape2,1.75
-1.47,0.0973,0.0140101211804201,0.1192,-1.74,0.27,-0.014354203573153375,FE2,After_Scrape2,1.74
-1.37,0.0382,0.0192260797585776,0.0973,-1.47,0.09999999999999987,-0.1170835365780867,FE2,After_Scrape2,1.47
-1.35,0.0218,0.0353490293272799,0.0382,-1.37,0.020000000000000018,-0.011595976527864205,FE2,After_Scrape2,1.37
-1.55,0.0682,0.0552150687059312,0.0218,-1.35,-0.19999999999999996,-0.15043104843067862,FE2,After_Scrape2,1.35
-1.7,0.031,0.0771729304951504,0.0682,-1.55,-0.1499999999999999,-0.17928065340289098,FE2,After_Scrape2,1.55
-1.77,0.0834,0.0982893286794334,0.031,-1.7,-0.07000000000000006,0.03863135875989546,FE2,After_Scrape2,1.7
-1.86,0.0283999999999999,0.1122005792724127,0.0834,-1.77,-0.09000000000000008,-0.09141464063313129,FE2,After_Scrape2,1.77
-1.99,0.0264,0.1025614789707804,0.0283999999999999,-1.86,-0.1299999999999999,-0.006335297848455657,FE2,After_Scrape2,1.86
-2.11,0.1485999999999999,0.0664402364352144,0.0264,-1.99,-0.11999999999999988,-0.060792804440214704,FE2,After_Scrape2,1.99
-2.0,0.074,0.0464380731615376,0.1485999999999999,-2.11,0.10999999999999988,-0.188597389907618,FE2,After_Scrape2,2.11
-2.12,0.1840999999999999,0.0278318303644965,0.074,-2.0,-0.1200000000000001,-0.2596164080689373,FE2,After_Scrape2,2.0
-1.65,0.1416,0.0207287668301382,0.1840999999999999,-2.12,0.4700000000000002,0.029071191790612523,FE2,After_Scrape2,2.12
-1.36,0.1242,0.0773953132087707,0.1416,-1.65,0.2899999999999998,0.06940849856754097,FE2,After_Scrape2,1.65
-1.49,0.0792,0.0173753308217581,0.104,-2.0,0.51,0.2788968462586054,FE4,After,2.0
-1.65,0.0886,0.016843406399149,0.0792,-1.49,-0.15999999999999992,-0.32888773638507834,FE4,After,1.49
-1.71,0.062,0.0130734806917993,0.0886,-1.65,-0.06000000000000005,-0.26028419604231834,FE4,After,1.65
-1.65,0.0948,0.0219099754243658,0.062,-1.71,0.06000000000000005,-0.055042923394611525,FE4,After,1.71
-1.46,0.065,0.0476546327440168,0.0948,-1.65,0.18999999999999995,0.041945666759134206,FE4,After,1.65
-1.49,0.029,0.0774579471188726,0.065,-1.46,-0.030000000000000027,-0.04339376865424083,FE4,After,1.46
-1.65,0.0108,0.1057139093761601,0.029,-1.49,-0.15999999999999992,-0.02596240966957672,FE4,After,1.49
-1.79,0.049,0.115506484690514,0.0108,-1.65,-0.14000000000000012,0.05973266347376252,FE4,After,1.65
-1.94,0.0373999999999999,0.0939167922714824,0.049,-1.79,-0.1499999999999999,-0.09019342567525648,FE4,After,1.79
-2.08,0.087,0.0659618410912312,0.0373999999999999,-1.94,-0.14000000000000012,-0.1056100941664666,FE4,After,1.94
-2.13,0.0975999999999999,0.0444083991785766,0.087,-2.08,-0.04999999999999982,-0.1845450054988672,FE4,After,2.08
-2.03,0.1392,0.0271936127970865,0.0975999999999999,-2.13,0.10000000000000009,-0.09545800614480618,FE4,After,2.13
-1.91,0.1128,0.02336955409366,0.1392,-2.03,0.11999999999999988,-0.18909965933916384,FE4,After,2.03
-1.7,0.0382,0.0179122893806151,0.1128,-1.91,0.20999999999999996,-0.042494416495951495,FE4,After,1.91
-1.86,0.0504,0.0255738024998631,0.0382,-1.7,-0.16000000000000014,-0.2071224101409176,FE4,After,1.7
-1.85,0.096,0.034794782798454,0.0504,-1.86,0.010000000000000009,-0.050099138315471345,FE4,After,1.86
-1.68,0.0672,0.0516120532400373,0.096,-1.85,0.17000000000000015,0.02667162027813852,FE4,After,1.85
-1.81,0.0392,0.0681657841856536,0.0672,-1.68,-0.13000000000000012,-0.1672899306875268,FE4,After,1.68
-1.94,0.0608,0.092120481510294,0.0392,-1.81,-0.1299999999999999,-0.048729301562082356,FE4,After,1.81
-2.04,0.0322,0.1097485813223114,0.0608,-1.94,-0.10000000000000009,-0.039141699425291526,FE4,After,1.94
-1.99,0.0608,0.0989358321187804,0.0322,-2.04,0.050000000000000044,0.16253750785811044,FE4,After,2.04
-2.3,0.0862,0.0699707475329168,0.0608,-1.99,-0.30999999999999983,-0.32741260205828715,FE4,After,1.99
-2.37,0.1478,0.0431907817709369,0.0862,-2.3,-0.07000000000000028,-0.20490020063429792,FE4,After,2.3
-2.0,0.093,0.0217215999048298,0.1478,-2.37,0.3700000000000001,0.035719999958762315,FE4,After,2.37
-1.89,0.0602,0.0206794590017241,0.093,-2.0,0.1100000000000001,-0.08654181967823996,FE4,After,2.0
-1.83,0.0728,0.0203284124671498,0.0602,-1.89,0.05999999999999983,-0.053563364170770254,FE4,After,1.89
-1.77,0.1134,0.023081649956265,0.0728,-1.83,0.06000000000000005,-0.0802870357017607,FE4,After,1.83
-1.55,0.031,0.0306170022564282,0.1134,-1.77,0.21999999999999997,-0.009025868433422714,FE4,After,1.77
-1.52,0.0128,0.0554076360862932,0.031,-1.55,0.030000000000000027,0.05994808053795893,FE4,After,1.55
-1.73,0.0072,0.0780053641747065,0.0128,-1.52,-0.20999999999999996,-0.08916012818453661,FE4,After,1.52
-1.86,0.0764,0.0962307127782272,0.0072,-1.73,-0.13000000000000012,0.04098690445790032,FE4,After,1.73
-1.98,0.0994,0.0969163493097241,0.0764,-1.86,-0.11999999999999988,-0.124185594118608,FE4,After,1.86
-2.06,0.1192,0.0976132155179787,0.0994,-1.98,-0.08000000000000007,-0.14148485227431337,FE4,After,1.98
-1.76,0.0606,0.0672317697887623,0.1192,-2.06,0.30000000000000004,0.12822589879207755,FE4,After,2.06
-1.88,0.116,0.0447405822887121,0.0606,-1.76,-0.11999999999999988,-0.18654785757439396,FE4,After,1.76
-1.8,0.0848,0.0295056397138296,0.116,-1.88,0.07999999999999985,-0.15784501360951397,FE4,After,1.88
-1.57,0.1505999999999999,0.0168909492945821,0.0848,-1.8,0.22999999999999998,0.046920826717349665,FE4,After,1.8
-1.28,0.1102,0.0129870686539831,0.1505999999999999,-1.57,0.29000000000000004,-0.06860944371948328,FE4,After,1.57
-0.98,0.089,0.0186818521964761,0.1102,-1.28,0.30000000000000004,0.05565216885013215,FE4,After,1.28
-0.74,0.0424,0.0312899332564512,0.089,-0.98,0.24,0.07453998850457752,FE4,After,0.98
-0.77,0.0158,0.0374313956455442,0.0424,-0.74,-0.030000000000000027,-0.06450394683765974,FE4,After,0.74
-1.02,0.1077999999999999,0.0642263455138479,0.0158,-0.77,-0.25,-0.1639257953440498,FE4,After,0.77
-1.09,0.0252,0.0942497072885958,0.1077999999999999,-1.02,-0.07000000000000006,-0.15953071309869504,FE4,After,1.02
-1.21,0.0272,0.1169174567508262,0.0252,-1.09,-0.11999999999999988,0.045776211260735056,FE4,After,1.09
-1.41,0.0456,0.094777510509353,0.0272,-1.21,-0.19999999999999996,-0.08289037496061918,FE4,After,1.21
-1.56,0.0952,0.0776241874685951,0.0456,-1.41,-0.15000000000000013,-0.11357938045034119,FE4,After,1.41
-1.65,0.2012,0.0515176231476902,0.0952,-1.56,-0.08999999999999986,-0.2314734775086191,FE4,After,1.56
-1.23,0.0467999999999999,0.0294710066467027,0.2012,-1.65,0.41999999999999993,-0.03524903666950269,FE4,After,1.65
-1.26,0.1002,0.019867764121142,0.0467999999999999,-1.23,-0.030000000000000027,-0.11028784913127802,FE4,After,1.23
-1.11,0.0252,0.0186109214291315,0.1002,-1.26,0.1499999999999999,-0.06897849614839005,FE4,After,1.26
-1.2,0.0866,0.0237653141318251,0.0252,-1.11,-0.08999999999999986,-0.10751939813795228,FE4,After,1.11
-1.16,0.0327999999999999,0.0347917962835035,0.0866,-1.2,0.040000000000000036,-0.11244725307680062,FE4,After,1.2
-1.29,0.0448,0.045473161701825,0.0327999999999999,-1.16,-0.13000000000000012,-0.12419160246892336,FE4,After,1.16
-1.41,0.0472,0.0756288090461812,0.0448,-1.29,-0.11999999999999988,-0.08546497708982098,FE4,After,1.29
-1.51,0.0238,0.0905318964807798,0.0472,-1.41,-0.10000000000000009,-0.04226228714651964,FE4,After,1.41
-1.7,0.0168,0.1104619647837164,0.0238,-1.51,-0.18999999999999995,-0.03335502309098759,FE4,After,1.51
-1.83,0.0412,0.1016991709218285,0.0168,-1.7,-0.13000000000000012,0.02725864831522659,FE4,After,1.7
-1.96,0.0952,0.0699637377456108,0.0412,-1.83,-0.1299999999999999,-0.09742894029480773,FE4,After,1.83
-2.07,0.116,0.0526106372307681,0.0952,-1.96,-0.10999999999999988,-0.24932275207379434,FE4,After,1.96
-2.1,0.1258,0.0308987736620354,0.116,-2.07,-0.03000000000000025,-0.265103741870282,FE4,After,2.07
-1.78,0.0917999999999999,0.0137812707174706,0.1258,-2.1,0.32000000000000006,0.02621539469334029,FE4,After,2.1
-1.48,0.0232,0.0219836897846353,0.0917999999999999,-1.78,0.30000000000000004,0.10908558583991525,FE4,After,1.78
-1.66,0.0965999999999999,0.028068936764161,0.0232,-1.48,-0.17999999999999994,-0.1839493723761978,FE4,After,1.48
-1.53,0.036,0.0440285592259995,0.0965999999999999,-1.66,0.1299999999999999,-0.029780966492395783,FE4,After,1.66
-1.6,0.0273999999999999,0.0781688547498778,0.036,-1.53,-0.07000000000000006,-0.008019088477285663,FE4,After,1.53
-1.87,0.0243999999999999,0.1107041047341038,0.0273999999999999,-1.6,-0.27,-0.12206176995892482,FE4,After,1.6
-1.91,0.1128,0.1028168865805784,0.0243999999999999,-1.87,-0.039999999999999813,0.10007121083810952,FE4,After,1.87
-1.99,0.1142,0.09381376705751,0.1128,-1.91,-0.08000000000000007,-0.18314296612781503,FE4,After,1.91
-1.91,0.134,0.0791147484570001,0.1142,-1.99,0.08000000000000007,-0.05563749364270007,FE4,After,1.99
-1.82,0.1362,0.0482170198018847,0.134,-1.91,0.08999999999999986,-0.15694263325648264,FE4,After_Scrape2,1.91
-1.58,0.0754,0.0259060594787389,0.1362,-1.82,0.24,-0.05645590225192121,FE4,After_Scrape2,1.82
-1.5,0.124,0.0215973634135762,0.0754,-1.58,0.08000000000000007,-0.06983998398676694,FE4,After_Scrape2,1.58
-1.26,0.1112,0.0174196053541396,0.124,-1.5,0.24,-0.04203384583374608,FE4,After_Scrape2,1.5
-1.14,0.0765999999999999,0.0256833704695574,0.1112,-1.26,0.1200000000000001,-0.11312182380171329,FE4,After_Scrape2,1.26
-0.95,0.1064,0.03473113553075,0.0765999999999999,-1.14,0.18999999999999995,0.0629422902476433,FE4,After_Scrape2,1.14
-0.86,0.0828,0.0480210734698828,0.1064,-0.95,0.08999999999999997,-0.08692361775045218,FE4,After_Scrape2,0.95
-0.9,0.0448,0.0851606842163695,0.0828,-0.86,-0.040000000000000036,-0.08364293335430636,FE4,After_Scrape2,0.86
-1.09,0.0304,0.0880180561124374,0.0448,-0.9,-0.19000000000000006,-0.13108663723468275,FE4,After_Scrape2,0.9
-1.28,0.072,0.0988404071816598,0.0304,-1.09,-0.18999999999999995,-0.07305865692841157,FE4,After_Scrape2,1.09
-1.41,0.0494,0.0946305050728842,0.072,-1.28,-0.1299999999999999,-0.1274595347646021,FE4,After_Scrape2,1.28
-1.57,0.0942,0.0672397287495123,0.0494,-1.41,-0.16000000000000014,-0.15370627941639547,FE4,After_Scrape2,1.41
-1.65,0.0752,0.0483438039919346,0.0942,-1.57,-0.07999999999999985,-0.22516771561798504,FE4,After_Scrape2,1.57
-1.67,0.049,0.0272394490051505,0.0752,-1.65,-0.020000000000000018,-0.15822786567597286,FE4,After_Scrape2,1.65
-1.69,0.1192,0.0224852154410495,0.049,-1.67,-0.020000000000000018,-0.10074944550826295,FE4,After_Scrape2,1.67
-1.35,0.0973,0.0140101211804201,0.1192,-1.69,0.33999999999999986,0.06350158177052762,FE4,After_Scrape2,1.69
-1.22,0.0382,0.0192260797585776,0.0973,-1.35,0.13000000000000012,-0.08037046557224353,FE4,After_Scrape2,1.35
-1.25,0.0218,0.0353490293272799,0.0382,-1.22,-0.030000000000000027,-0.057887681792583356,FE4,After_Scrape2,1.22
-1.46,0.0682,0.0552150687059312,0.0218,-1.25,-0.20999999999999996,-0.15696264145089467,FE4,After_Scrape2,1.25
-1.59,0.031,0.0771729304951504,0.0682,-1.46,-0.13000000000000012,-0.15211744607297736,FE4,After_Scrape2,1.46
-1.7,0.0834,0.0982893286794334,0.031,-1.59,-0.10999999999999988,0.004326450749526506,FE4,After_Scrape2,1.59
-1.75,0.0283999999999999,0.1122005792724127,0.0834,-1.7,-0.050000000000000044,-0.04196702602239974,FE4,After_Scrape2,1.7
-1.94,0.0264,0.1025614789707804,0.0283999999999999,-1.75,-0.18999999999999995,-0.060634917326166826,FE4,After_Scrape2,1.75
-2.09,0.1485999999999999,0.0664402364352144,0.0264,-1.94,-0.1499999999999999,-0.08660895880199121,FE4,After_Scrape2,1.94
-1.94,0.074,0.0464380731615376,0.1485999999999999,-2.09,0.1499999999999999,-0.13768607134662614,FE4,After_Scrape2,2.09
-2.07,0.1840999999999999,0.0278318303644965,0.074,-1.94,-0.1299999999999999,-0.26400116732594114,FE4,After_Scrape2,1.94
-1.58,0.1416,0.0207287668301382,0.1840999999999999,-2.07,0.48999999999999977,0.06116907359574454,FE4,After_Scrape2,2.07
-1.34,0.1242,0.0773953132087707,0.1416,-1.58,0.24,0.031084769782314198,FE4,After_Scrape2,1.58
-1.22,0.1082,0.093938647450888,0.1043,-1.13,-0.09000000000000008,-0.07715743777721246,WMC3,Before,1.13
-1.31,0.0288,0.0674184121942515,0.1082,-1.22,-0.09000000000000008,-0.14275524480329396,WMC3,Before,1.22
-1.34,0.0824,0.0511075756662561,0.0288,-1.31,-0.030000000000000027,0.028922042321918,WMC3,Before,1.31
-1.42,0.2056,0.0293763013627957,0.0824,-1.34,-0.07999999999999985,-0.16850619568554173,WMC3,Before,1.34
-1.0,0.0872,0.0134383625207979,0.2056,-1.42,0.41999999999999993,0.06746095377320291,WMC3,Before,1.42
-0.93,0.055,0.0106509879735531,0.0872,-1.0,0.06999999999999995,-0.06862629869528132,WMC3,Before,1.0
-0.97,0.0364,0.0130331931700102,0.055,-0.93,-0.039999999999999925,-0.11354152373180577,WMC3,Before,0.93
-1.02,0.0772,0.0295400437662233,0.0364,-0.97,-0.050000000000000044,-0.052655274406978536,WMC3,Before,0.97
