key,col,Cluster,E,N,slope_mm_yr_2005_2025,p_ar_2005_2025,p_ols_2005_2025,sig_2005_2025,rho_2005_2025,n_eff_2005_2025,boot_lo_mm_yr_2005_2025,boot_hi_mm_yr_2005_2025,boot_sig_2005_2025,n_2005_2025,cwb_loading_mm_per_m_2005_2025,slope_mm_yr_2011_2025,p_ar_2011_2025,p_ols_2011_2025,sig_2011_2025,rho_2011_2025,n_eff_2011_2025,boot_lo_mm_yr_2011_2025,boot_hi_mm_yr_2011_2025,boot_sig_2011_2025,n_2011_2025,cwb_loading_mm_per_m_2011_2025,slope_mm_yr_2006_2012,p_ar_2006_2012,p_ols_2006_2012,sig_2006_2012,rho_2006_2012,n_eff_2006_2012,boot_lo_mm_yr_2006_2012,boot_hi_mm_yr_2006_2012,boot_sig_2006_2012,n_2006_2012,cwb_loading_mm_per_m_2006_2012,dh_corr_mm_2006_2012,bhat_m_per_cwb_2006_2012,slope_mm_yr_2015_2017,p_ar_2015_2017,p_ols_2015_2017,sig_2015_2017,rho_2015_2017,n_eff_2015_2017,boot_lo_mm_yr_2015_2017,boot_hi_mm_yr_2015_2017,boot_sig_2015_2017,n_2015_2017,cwb_loading_mm_per_m_2015_2017,dh_corr_mm_2015_2017,bhat_m_per_cwb_2015_2017,slope_mm_yr_2017_2025,p_ar_2017_2025,p_ols_2017_2025,sig_2017_2025,rho_2017_2025,n_eff_2017_2025,boot_lo_mm_yr_2017_2025,boot_hi_mm_yr_2017_2025,boot_sig_2017_2025,n_2017_2025,cwb_loading_mm_per_m_2017_2025,dh_corr_mm_2017_2025,bhat_m_per_cwb_2017_2025
ceh27,,,,,,,,,,,,,,,,19.65368817988633,0.052604036349800834,0.052604036349800834,False,0.0,15.0,8.45811602652342,30.651663789571124,True,15.0,2753.992795759034,-200.57747980647903,7.328978319444135e-16,7.328978319444135e-16,True,0.0,4.0,-200.57747980647926,-200.57747980647903,True,3,5939.510005731731,-419.98022435243433,3.2885579082909935,398.283345345601,2.950931916911026e-16,2.950931916911026e-16,True,0.0,4.0,398.283345345601,398.2833453456014,True,3.0,8352.155155341485,259.0746816449345,3.2885579082909935,9.467580179421052,0.5966212911800911,0.5966212911800911,False,0.0,9.0,-11.57820981018865,27.256446135766375,False,9.0,2217.217502088578,111.59892887738631,3.2885579082909935
ceh28,,,,,,,,,,,,,,,,22.5667027247356,0.045485558407555596,0.045485558407555596,True,0.0,14.0,9.007228030870262,36.313989881930496,True,14.0,4051.4825171229304,-281.127025246026,4.102006341415514e-16,4.102006341415514e-16,True,0.0,4.0,-281.12702524602616,-281.127025246026,True,3,-4541.978239677262,-501.93618349253677,3.951914316330696,509.6626132750081,3.6896786388221836e-16,3.6896786388221836e-16,True,0.0,4.0,509.66261327500786,509.6626132750081,True,3.0,10325.105192036326,342.8221397743626,3.951914316330696,-0.025081034044554862,0.9981111586858327,0.9976672386958672,False,0.16827175739837222,5.695443631737231,-14.108503423530767,14.252975912314081,False,8.0,3959.1700783359706,-18.747508182075823,3.951914316330696
ceh3,ceh3,,240743.0,363388.0,-28.471049057206766,0.117743279309078,0.00394197197099604,False,0.47818942129031383,7.060131417449828,-47.44628361832481,-10.365605629359093,True,20.0,910.6032872957135,2.0779900600671475,0.8359674581965899,0.8359674581965899,False,0.0,15.0,-12.21430989349156,17.89861963176109,False,15.0,1215.686068073763,-164.81223895138274,0.0021402207018135382,0.0002804216610873113,True,0.09135020325365076,5.828146234143442,-186.5839885701439,-146.26944241046525,True,7,-741.2636144589173,-745.6561003502766,0.8892382992926375,336.21444345149035,1.0,1.0,False,0.0,4.0,336.21444345149035,336.21444345149035,True,3.0,5392.730100299227,194.39109326597693,0.8892382992926375,25.43587514512994,0.22427502396261173,0.22427502396261173,False,0.0,9.0,6.388657109932387,43.36521359192272,True,9.0,918.4525919597942,198.06265298764902,0.8892382992926375
ceh4,ceh4,3.0,241131.693,363211.05,-18.962038194314967,0.12290000810816211,0.07770711536102502,False,0.12595027726486244,15.525547448833407,-38.6833858592088,0.7944918086013555,False,20.0,1966.5626823115347,10.642231251489775,0.46301907383651947,0.46301907383651947,False,0.0,15.0,-5.276383600922353,25.84338567117328,False,15.0,2709.6172925214128,-176.5671587264026,0.1022595814826459,0.0011857197187540207,False,0.2806409683966704,4.0,-207.15675547648948,-146.62993987588123,True,7,-650.0401254112261,-750.9614530029004,1.893817220400226,1022.8501590415225,2.0554849823503787e-16,2.0554849823503787e-16,True,0.0,4.0,1022.850159041522,1022.8501590415225,True,3.0,19334.91035960942,194.35872553889666,1.893817220400226,16.852048022995014,0.589188947128659,0.589188947128659,False,0.0,9.0,-19.065523490076746,51.046898873516525,False,9.0,2222.040530751522,157.99396308581893,1.893817220400226
ceh5,ceh5,1.0,242521.077,364465.817,3.306806487834546,0.5718775876371577,0.5718775876371577,False,0.0,20.0,-6.9763954894063565,13.80017319310982,False,20.0,2422.1605363607423,16.226761848357363,0.10203714948456803,0.10203714948456803,False,0.0,15.0,5.031587336217724,26.876485839722,True,15.0,2653.039251548303,-76.36069150315717,0.07988210836108843,0.025843635546023945,False,0.13803401742338134,5.301916977576249,-111.04775484476853,-40.647847099250626,True,7,1403.880319641954,-346.29862563824423,2.5869490851289663,603.1185208676841,5.066662997788985e-16,5.066662997788985e-16,True,0.0,4.0,603.1185208676839,603.1185208676844,True,3.0,11771.935218945868,231.2667964215177,2.5869490851289663,1.0066390969338164,0.9562217301935486,0.9562217301935486,False,0.0,9.0,-22.44914371827047,19.939518726855255,False,9.0,2295.821038175251,58.10194139518465,2.5869490851289663
ceh6,ceh6,1.0,242621.679,364724.912,1.6096318692557787,0.668379014882664,0.668379014882664,False,0.0,20.0,-4.829651240572741,8.036241364904459,False,20.0,2259.750169894887,10.888353591571143,0.07833697220355146,0.07833697220355146,False,0.0,15.0,5.447431395827341,16.607296778145063,True,15.0,2112.411919180148,-36.2533396441509,0.04608041416945819,0.04608041416945819,True,0.0,7.0,-50.97052371554134,-14.864326606905287,True,7,2320.9060232666748,-193.5497326192458,2.4128504365576937,260.4290099077001,8.843569400265215e-16,8.843569400265215e-16,True,0.0,4.0,260.4290099076997,260.4290099077002,True,3.0,5063.905094183417,239.4531954390698,2.4128504365576937,3.9448915017824677,0.76946509959337,0.76946509959337,False,0.0,9.0,-9.58505667177193,17.278614689338667,False,9.0,1999.5413788658586,71.40292282848377,2.4128504365576937
ceh7,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.8148848427026,0.1013869181107758,0.1013869181107758,False,0.0,6.0,-105.13358458219959,-37.1670411799645,True,6,897.8022408061985,-197.5744155449966,2.1124258484590905,852.0379508174761,9.683397199011235e-16,9.683397199011235e-16,True,0.0,4.0,852.0379508174753,852.0379508174775,True,3.0,16901.60531435246,134.23031648319028,2.1124258484590905,,,,,,,,,,,,,
ceh8,,,,,,,,,,,,,,,,,,,,,,,,,,,-103.81783159656216,0.24698017500174707,0.022706899812006635,False,0.3685831324220813,4.0,-145.58880686306074,-57.08814312576044,True,7,-280.40084104711576,-415.9173401899295,1.8169265841733802,621.0418812044151,6.103052655492049e-16,6.103052655492049e-16,True,0.0,4.0,621.041881204415,621.0418812044156,True,3.0,12298.055228731162,129.5302520526835,1.8169265841733802,-206.26572125611435,5.430600829462742e-16,5.430600829462742e-16,True,0.0,4.0,-206.2657212561145,-206.26572125611418,True,3.0,5443.428330923315,-91.06103585849674,1.8169265841733802
ceh9,ceh9,3.0,241711.211,363459.012,-4.3242641075695865,0.7581559178390077,0.7354631870497876,False,0.08907469054523393,16.7284267527826,-28.632624402700095,19.79136357538966,False,20.0,2230.790833595497,29.67669352703206,0.1305503164914165,0.1305503164914165,False,0.0,15.0,6.054400635214264,52.24493197543328,True,15.0,3380.391408512148,-205.27903742571652,0.197144049073485,0.010055660041660199,False,0.36774059978861634,4.0,-269.9020278019728,-132.80618463718596,True,7,-1427.3988956796939,-827.5020611715873,2.4712474783389533,1208.0607951107934,9.209086458300413e-16,9.209086458300413e-16,True,0.0,4.0,1208.0607951107922,1208.0607951107954,True,3.0,23609.63543911491,172.3186061562535,2.4712474783389533,39.20892967357596,0.29465750073932273,0.29465750073932273,False,0.0,9.0,-9.864149113328853,82.04528620835781,False,9.0,2196.351083808762,280.6753578148592,2.4712474783389533
d10,,,,,,,,,,,,,,,,21.602755096567172,0.11488169593375588,0.11488169593375588,False,0.0,15.0,5.7683914711224,36.616474950754984,True,15.0,2571.6879945957,-303.8351363681361,2.683773938348638e-16,2.683773938348638e-16,True,0.0,4.0,-303.8351363681363,-303.8351363681361,True,3,3144.4464736226673,-598.6090260521823,4.420440794820385,672.9882088391827,4.194998282636789e-16,4.194998282636789e-16,True,0.0,4.0,672.9882088391824,672.9882088391831,True,3.0,13810.650256863872,349.22207429946417,4.420440794820385,14.739773303868198,0.5404438619405507,0.5404438619405507,False,0.0,9.0,-17.8663333325535,38.55935551898327,False,9.0,1738.454404047501,153.47747016471826,4.420440794820385
