well,E,N,cluster,network,dem,depth_bg,h_0_m,coeff_source,horizon_n,alpha,S_P_mm,S_E_mm,lambda,pflood_mm,exceeds_mean,unreachable
ceh5,242521.077,364465.817,1,Reference,9.588,0.8614999999999995,-0.8614999999999995,per-well,4,0.9028130519502244,342.34788917457246,95.7912744184057,1.0657397288700767,427.0581492017272,True,False
ceh6,242621.679,364724.912,1,Reference,8.461,0.6419999999999995,-0.6419999999999995,per-well,4,0.8824516745831295,331.09984920742716,92.02732918695747,1.0420324612101943,417.5582857968099,True,False
ceh9,241711.211,363459.012,3,Reference,7.983,1.0829999999999993,-1.0829999999999993,per-well,5,0.9670325687288659,430.78620463926154,124.80530148106364,1.3436183191824613,623.4401797371564,True,False
ceh10,242538.185,363173.915,2,Reference,5.778,1.7189393336868148,-1.7189393336868148,per-well,4,0.8960502848971472,338.57538812174414,94.5265717914985,1.6569017268330768,663.9457699683273,True,False
ceh11,242618.62,362688.287,1,Reference,3.534,0.9149999999999991,-0.9149999999999991,per-well,4,0.9093037088034294,346.0030991050289,97.01881944224701,1.2101731008867034,484.93480225826784,True,False
ceh13,240964.108,364066.298,4,Reference,11.235,1.3594117647058823,-1.3594117647058823,per-well,5,0.999123638766961,463.0882987309009,135.1713783547571,1.8120741950986206,840.8041523107075,True,False
ceh14,241292.0,364488.0,4,Reference,14.42,1.4847368421052636,-1.4847368421052636,per-well,5,0.9835722380871142,447.16511012827505,130.04937483687857,2.078667296066008,964.5036050577667,True,False
ceh16,240988.214,363614.897,5,Reference,6.097,1.1334253666954277,-1.1334253666954277,per-well,5,0.9636348798049789,427.4912391792788,123.75346623987872,1.6502958463723285,765.7388444270902,True,False
ceh17,240804.597413,363576.069469,5,Reference,6.001,2.280555555555555,-2.280555555555555,per-well,5,0.9454263107541645,410.23003183802456,118.26106330584687,3.310735618528636,1536.1844800788283,True,False
ceh18,241267.167,363202.889,3,Reference,4.644,0.6526315789473678,-0.6526315789473678,per-well,5,0.9456617927429558,410.44904019521834,118.3305586471853,1.191602420360789,552.9046579068539,True,False
ceh19,240845.741,363532.891,5,Reference,4.65,1.1577777777777776,-1.1577777777777776,per-well,5,0.9579658946983783,422.0458330291209,122.01751304605133,1.8844183817962599,874.3719238376376,True,False
ceh20,241153.0,363829.0,4,Reference,8.618,1.664754098360656,-1.664754098360656,per-well,5,0.9722427388362732,435.88472819369383,126.43496381965709,2.0071023033915334,931.2973802996746,True,False
ceh21,241470.51,362937.659,3,Reference,3.4719999999999995,0.6081249999999994,-0.6081249999999994,per-well,5,0.9585710879864198,422.624060238424,122.20170677188418,1.361747439223389,631.8521087019755,True,False
ceh23,242325.311,364428.124,1,Reference,9.958,0.7992857142857144,-0.7992857142857144,per-well,4,0.9115875929400604,347.29733908261414,97.453972545506,1.1498548423231794,460.7643569164952,True,False
ceh24,242938.911,363392.114,2,Reference,5.808,0.8412500000000005,-0.8412500000000005,per-well,4,0.9263188782829114,355.74693109128043,100.3012381481876,1.0833938418185871,434.1324212752498,True,False
ceh25,242512.557,364638.544,1,Reference,9.051,0.861946721311476,-0.861946721311476,per-well,4,0.8667374194029166,322.64281760923666,89.21136066793332,1.0623643119760862,425.7055682173811,True,False
ceh26,242172.261,364362.239,1,Reference,10.425,0.7850000000000001,-0.7850000000000001,per-well,4,0.9135150643601643,348.3928849068302,97.82252356035701,1.153345790045558,462.16323286424614,True,False
ceh27,242005.373,364330.297,1,Reference,10.9,0.7900000000000009,-0.7900000000000009,per-well,4,0.9017927326282209,341.77637538053307,95.59953188420272,1.0695835112314727,428.5984113658603,True,False
ceh28,242331.051,364122.039,2,Reference,10.536,0.8767391935565314,-0.8767391935565314,per-well,4,0.928816470793584,357.1970407903217,100.79096430061743,1.1696043284764115,468.67827696264624,True,False
ceh30,241072.0,363760.0,4,Reference,8.61,2.094118852459017,-2.094118852459017,per-well,5,0.9769695441756069,440.5586217209694,127.93109484991669,2.5421828976228924,1179.575285623591,True,False
ceh31,241075.0,363538.0,5,Reference,6.32,1.8607723577235777,-1.8607723577235777,per-well,5,0.9614970907982373,425.43011976026975,123.09604994858472,2.604742803358568,1208.603141465807,True,False
Ceh32,241167.0,364003.0,4,Reference,11.03,2.1408763586956514,-2.1408763586956514,per-well,5,0.9879587579947366,451.60462940226364,131.47512200623078,2.4408996869457975,1132.5797794092184,True,False
ceh33,240936.0,363808.0,4,Reference,8.77,2.1163114754098364,-2.1163114754098364,per-well,5,0.9809704721388893,444.55098742517424,129.21070413609664,2.5861376313344917,1199.9703239274243,True,False
ceh34,241334.0,363887.0,4,Reference,9.75,1.2879551630434776,-1.2879551630434776,per-well,5,0.9922550036800069,455.9921532739723,132.88593922956252,1.6191712926375104,751.2970218517024,True,False
ceh36,241161.0,363306.0,3,Reference,5.31,0.9746666666666668,-0.9746666666666668,per-well,5,0.9545764274322217,418.8210153869514,120.99086927531891,1.4883897210421053,690.6142480775568,True,False
ceh39,241719.0,363435.0,3,Reference,7.85,0.9209794031105503,-0.9209794031105503,per-well,5,0.9693129488332971,433.0108654787245,125.51606930936511,1.227152214740087,569.3997963557953,True,False
ceh40,242060.283,363398.508,3,Reference,7.77,0.961666666666666,-0.961666666666666,per-well,5,0.965495130448325,429.292333020785,124.3282882288662,1.3490557656799895,625.96316009053,True,False
ceh41,242284.022,363324.592,3,Reference,7.15,0.9008333333333329,-0.9008333333333329,per-well,5,0.965638264979937,429.43120788727936,124.37262361593878,1.185864979003705,550.2424796529372,True,False
