level,Cluster,Cluster_Label,well,fit_basis,n,fit_start,fit_end,beta_3_A,pvalue_beta_3_A,t_half_A_months,R2_A,alpha_B,pvalue_alpha_B,beta_1_B,beta_2_B,beta_3_B,pvalue_beta_3_B,t_efold_B_months,t_half_B_months,R2_B,drainage_datum_m,ratio_t_half_A_over_B,note
well,5,C5 (Coastal Forest),ceh17,comparison_window,100,2017-07,2026-02,0.05914428714985098,3.043796525077009e-06,11.7195964980312,0.6816679468891071,0.0899474077980983,0.2099302086400223,1.9573548834694992,1.3997068378687607,0.1013726972767744,0.005274894480690423,9.864589054681403,6.83761209063491,0.6864285100842966,3.7,1.7139896710553186,
well,3,C3 (Western Residual),ceh18,comparison_window,100,2017-08,2026-02,0.06073534830053992,1.6273119125762715e-08,11.412582622067278,0.7112385079145391,0.2516297314285104,0.061386926537555425,3.05140975136037,2.0022381009260988,0.1302755513344933,0.0008971264849917769,7.676037366615451,5.320623658542287,0.7210832788946778,3.7,2.144970844488187,
well,5,C5 (Coastal Forest),ceh19,comparison_window,100,2017-11,2026-02,0.0444637711288769,1.5556073212419215e-09,15.589032665512763,0.7322158131069044,0.23092488081126947,0.03006869117631856,2.0155358211272265,1.1045489111223188,0.11691529512107633,0.0007431564303146719,8.553200836249951,5.9286270444096205,0.7441982469894248,3.7,2.629450722526456,
well,4,C4 (Main Forest),ceh20,comparison_window,100,2017-06,2026-02,0.023344035717624414,0.013255539659292371,29.692688485591592,0.7245775699209325,0.00021964618906496203,0.9978215458201118,2.4297471371668684,2.1558928169684064,0.023410462532933524,0.3699270992785599,42.71594371931838,29.60843595400284,0.7232324482852854,3.7,1.0028455583307285,
well,3,C3 (Western Residual),ceh21,comparison_window,100,2017-11,2026-02,0.04366293804197634,3.019109609755991e-09,15.874955091056236,0.7683187871187818,0.17241172200553417,0.06636942608308358,2.133854128568605,1.3169587415476132,0.09841074818601302,0.0015549270585827923,10.161491691027797,7.043409315919227,0.7758379126859396,3.7,2.2538737107293065,
well,1,C1 (Lake Edge),ceh23,comparison_window,100,2016-02,2026-02,0.09441811522320448,4.2718510486924437e-16,7.341252035389024,0.7210161884804591,1.1292000400987567,3.474833641010581e-08,3.349631074636222,2.9272218774579084,0.3654650420569724,3.483884369156282e-12,2.7362398175530833,1.8966169148727787,0.7970469521194435,3.7,3.8707089332699853,
well,2,C2 (Dune),ceh24,comparison_window,100,2017-11,2026-02,0.07451392876448873,8.055089011853231e-11,9.302249821650527,0.7204800747442486,0.5751308352321814,0.0008536602202743525,3.720758162296362,2.8272122075803665,0.2055965687067393,9.758043927043054e-07,4.863894403930393,3.371394692625648,0.7507079131932234,3.7,2.7591696225890177,
well,1,C1 (Lake Edge),ceh25,comparison_window,100,2017-11,2026-02,0.13434145134502273,3.0353726803925703e-18,5.159592766195212,0.7260296484845832,1.171243112670781,1.0294408087342122e-06,4.873218227674201,3.708680848608292,0.39912979398774456,1.2865253073351783e-11,2.505450645537891,1.736646050986684,0.7864416061356673,3.7,2.971009989781029,
well,1,C1 (Lake Edge),ceh26,comparison_window,100,2017-11,2026-02,0.08761778537218887,6.568096449667204e-15,7.911032875523468,0.7115071659097336,1.1306512610700643,2.5697000089659055e-08,3.194703456553068,2.9198256926228545,0.36249703938635697,5.183929821256343e-12,2.758643220073803,1.9121457701649653,0.791310903434008,3.7,4.13725407286337,
well,1,C1 (Lake Edge),ceh27,comparison_window,100,2017-11,2026-02,0.09835636217726085,2.847728701555776e-18,7.047303958952185,0.782252702595886,0.8619440293827242,1.1334320170974262e-06,4.06496588591395,2.813618617923245,0.29822097629703687,2.0792141249435637e-11,3.3532181820904863,2.324273728718366,0.8297615466129714,3.7,3.032045611442744,
