ref_depth,Cluster,Cluster_Label,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,R2,AIC,beta_3_positive,beta_3_sig
0.9,5,C5 (Coastal Forest),1.6181262634056015,2.2537992887431746,0.052088076020118466,6.728367501693108e-40,6.7921348292247e-42,0.00028147920140809247,0.5983339708454858,-1147.0305778560119,True,True
1.0,1,C1 (Lake Edge),4.0860371471656745,2.386980365453657,0.2860760272875645,1.9853947741664776e-85,6.15131178783929e-40,1.0098961979278128e-53,0.8116969294308578,-1086.395105028364,True,True
1.0,2,C2 (Dune),3.3330758797989524,2.826587705988835,0.19945680171116667,3.88305948793687e-80,1.1926873035992714e-51,1.254084039269192e-33,0.7806621194145715,-1135.9304206602187,True,True
1.0,3,C3 (Western Residual),2.733341843033724,2.909865364909227,0.15169498334607748,2.9790593005743728e-81,2.2925276945867963e-64,1.1280777965063962e-22,0.7889120082673228,-1209.7591091668808,True,True
1.0,4,C4 (Main Forest),2.178266559888549,2.9375828978118292,0.013508561149084164,1.1595974568520745e-52,1.7599883878090474e-58,0.3048791880292771,0.7107464808163504,-1128.2582873839247,True,False
1.0,5,C5 (Coastal Forest),1.64328614386052,2.22594636707481,0.05937121338687042,2.965992785708393e-42,1.0441877378303918e-42,2.787258650024986e-05,0.6057149184132911,-1151.4632547161061,True,True
1.1,1,C1 (Lake Edge),4.1623865819568975,2.2152919017130857,0.2680478478492884,1.4249502307703394e-84,6.161816993503885e-35,1.2841806017872072e-52,0.8075696846866733,-1081.2566256720436,True,True
1.1,2,C2 (Dune),3.4186484538620023,2.6995704111000434,0.18939931694065504,1.609376128315686e-80,5.3127461788418504e-48,9.292749308994624e-34,0.7811955735142775,-1136.5343188912912,True,True
1.1,3,C3 (Western Residual),2.8235565262739235,2.7975337294570943,0.14890356734892166,1.1355716695587571e-83,7.114245450314212e-62,2.324532931142238e-24,0.7954197003799293,-1217.5564215061079,True,True
1.1,4,C4 (Main Forest),2.179433963239351,2.928886834721875,0.01625473299794212,1.186013463652153e-54,7.554262291425433e-59,0.2147523944407767,0.7113483485227817,-1128.7519417245962,True,False
1.1,5,C5 (Coastal Forest),1.6781607032415415,2.1860188471061437,0.06562245388844126,1.3498060737313353e-44,7.039295816359088e-43,2.3803755472434487e-06,0.6135104999952186,-1156.2359662186295,True,True
1.2,1,C1 (Lake Edge),4.225960560650368,2.065926600559791,0.2515787306327416,1.3980301433109947e-83,1.469910507399958e-30,1.8052637379469466e-51,0.8031840932272971,-1075.9158973565904,True,True
