Name_Original,Cluster,basis,window_months,n,fit_start,fit_end,beta_1_recharge,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,se_beta_3,pvalue_beta_3,R2,LCSC_percent,beta_3_significant_positive
nw5,3,comparison_window,100,100,2017-08,2026-02,3.551306865970753,5.753561842410473e-24,1.9621935666675294,9.660784046501045e-08,0.04938749799974052,0.01002856903905173,3.4694297558872804e-06,0.7124362765556518,28.158648005954536,True
nw6,3,full_record,,226,2005-04,2026-02,3.4680622467896858,1.4492651586213628e-50,1.3420442727957955,1.0811609874717475e-08,0.057410955432649645,0.006038054560746663,3.256135999260485e-18,0.664738476905917,28.834545888721564,True
nw6,3,comparison_window,100,100,2016-11,2026-02,3.2429760936546876,6.719739739438173e-21,1.210721814421495,0.0005884871038971823,0.053256456314237546,0.009486743775385154,1.8806421980820364e-07,0.6419251119103462,30.835873318851547,True
nw7,3,full_record,,227,2005-04,2026-02,2.9976494915918934,5.079029817834593e-51,1.9493788333880906,1.1566541003417997e-18,0.04785722328751194,0.006771763402087973,1.9823368133002013e-11,0.6906816620349937,33.35947057202318,True
nw7,3,comparison_window,100,100,2017-03,2026-02,2.776219030955962,8.621611097033314e-21,1.955550653444574,5.7061518666390155e-09,0.03976228784609344,0.011005007033050926,0.0004816445429427613,0.6712044710913491,36.02021270114486,True
nw9,5,full_record,,239,2006-03,2026-02,2.7913114687635834,4.744361722118828e-63,1.1764249789524022,2.457669061049108e-13,0.048834330845933784,0.004475910100014187,1.0468206193941048e-22,0.7272816749107137,35.82545377649854,True
nw9,5,comparison_window,100,100,2017-10,2026-02,2.770008935126385,2.5850097800776647e-26,1.0769293757536254,2.0261793031237756e-05,0.04971052760575251,0.007783190252401662,5.859351622810143e-09,0.7344382647289249,36.10096658241912,True
nw10,4,full_record,,207,2007-06,2026-02,3.4190110837868737,1.0253295474289677e-56,2.534962565677546,7.763849555695579e-27,0.04308230873837699,0.006430719831133455,1.9964712302237483e-10,0.7655429788739891,29.248223404189925,True
nw10,4,comparison_window,100,100,2017-06,2026-02,3.5069132330946733,8.716050723028222e-27,2.60547990357043,2.692949376165109e-13,0.04038580594586484,0.010113246858761516,0.0001267759894787602,0.7599271282827348,28.51510526587938,True
nw11,3,full_record,,224,2007-06,2026-02,4.361760251952595,2.8646891199424214e-70,2.20225171431858,1.8607245222236034e-21,0.07071980877038253,0.006115893172743481,1.7074227400742564e-24,0.7841846586333518,22.926523748120676,True
nw11,3,comparison_window,100,100,2017-10,2026-02,4.531642358097249,3.6544927410839716e-32,2.0582651699261523,8.339681752327535e-09,0.07429992272238592,0.0098873787821836,2.842166767111091e-11,0.7956092078609426,22.067054744802963,True
nw13,3,full_record,,164,2012-03,2026-02,4.753363709306496,4.424613442066265e-50,1.813396896300884,4.946892741828195e-10,0.08461823583680558,0.008017471620706998,4.023663034666035e-20,0.7693734853235091,21.037733721956183,True
nw13,3,comparison_window,100,100,2017-10,2026-02,4.834667351112664,3.4526529046660864e-34,1.7077998354969175,6.201748334484064e-07,0.08667432296229885,0.009528144493416962,1.1966201932835684e-14,0.8076421011950241,20.683946327141975,True
ceh1,3,full_record,,237,2006-05,2026-02,4.428506400037573,7.36845038138983e-71,2.4066533341820424,4.547279640908519e-23,0.06436834907974763,0.005988012696145898,3.6382149935713788e-22,0.7727414718503626,22.580976737247475,True
ceh1,3,comparison_window,100,100,2017-10,2026-02,4.4552775290471,3.389166186082023e-31,2.218719650910489,1.9332934190405693e-09,0.06513354855949535,0.00961064347841434,9.548588493595e-10,0.7904147851683789,22.445290859666855,True
ceh2,4,full_record,,225,2006-05,2026-02,2.826317885638215,9.858013111715084e-50,2.682388878681844,8.471134876601504e-31,0.02581615796871135,0.006619032956262256,0.00012733657723945505,0.7195148292325473,35.38172422435024,True
ceh2,4,comparison_window,100,100,2017-10,2026-02,2.7726074362979145,1.91532661099345e-19,2.841109717467088,3.216831847346935e-13,0.01740087547631728,0.011672710619568049,0.1392768473013305,0.6886642562919192,36.06713258099156,False
ceh4,3,full_record,,236,2006-06,2026-02,3.3150328830035978,1.0874693919707094e-76,1.155879670712319,1.3229833125570085e-13,0.06075504871748844,0.004266488582815975,1.6003984277483276e-33,0.791323865889872,30.165613292316614,True
ceh4,3,comparison_window,100,100,2017-10,2026-02,3.4979979314032397,4.23270370591804e-34,1.0265366433272218,2.4072869242432237e-05,0.06779121065960954,0.007239575305410204,3.1700490574522207e-15,0.8093888388430297,28.587781342650622,True
ceh5,1,full_record,,236,2006-06,2026-02,4.89331505641479,2.0294968646394782e-69,1.5261785852327776,2.1295733603796875e-10,0.08584064902609186,0.006141438459678917,1.1934150845010045e-32,0.751269565073541,20.436043632405617,True
ceh5,1,comparison_window,100,100,2017-10,2026-02,5.327605821962256,2.8221253844127073e-33,1.3296148222926605,0.00022934006989178596,0.09684048957480734,0.009570050056090688,7.416631065438056e-17,0.7918176158743278,18.770157429396335,True
ceh6,1,full_record,,237,2006-05,2026-02,4.824732643946405,9.399813067030361e-55,0.243199695892584,0.37274642664552937,0.10196654711018316,0.007228637683474384,4.125261247441723e-33,0.6490868872998882,20.726537070498626,True
ceh6,1,comparison_window,100,100,2017-10,2026-02,5.3384406265647435,4.79325697769868e-31,-0.24407428425283512,0.4978132566449238,0.11924569550288619,0.009888758317940456,5.284920381228035e-21,0.7534540981679287,18.732061850119223,True
ceh9,3,full_record,,228,2006-06,2026-02,3.117030955935638,7.5500061882394485e-53,2.151115085831645,7.628248374849847e-23,0.03667557089892752,0.005640040592106065,5.03443640764736e-10,0.711650818612212,32.08181163859601,True
ceh9,3,comparison_window,100,100,2017-10,2026-02,3.0739056799945916,2.0284537873393015e-26,2.2238698047276166,1.5148850330420835e-12,0.033057734019385915,0.008241758022858574,0.00011891879763678057,0.7708212082556205,32.531902540411046,True
ceh10,2,full_record,,233,2006-06,2026-02,4.903055782341986,8.104336198264817e-58,1.7784376259134478,3.363771959483809e-10,0.11130258235156619,0.009329272038463501,7.372305409446282e-26,0.6853627011094758,20.39544407390653,True
ceh10,2,comparison_window,100,100,2017-09,2026-02,4.588530273098856,2.9791492492927558e-21,1.5535414296808707,0.0009735795753351848,0.101344999712406,0.016462822294624743,1.682596462019415e-08,0.6259241344667572,21.793470686304346,True
ceh11,1,full_record,,235,2006-06,2026-02,4.181163991951689,8.41726352958542e-61,1.1478282807511615,4.5916190077704087e-07,0.07835069760411807,0.006175239038217815,2.2867932286411994e-28,0.7040760746233334,23.916784941344016,True
ceh11,1,comparison_window,100,100,2017-10,2026-02,4.491613244873714,1.1757799035773297e-29,0.7457252488975687,0.024815364824523525,0.09113621735239749,0.009529957255593415,1.1774177839410608e-15,0.7482093347034777,22.26371562915177,True
ceh13,4,full_record,,218,2006-06,2026-02,1.9705024939941675,2.487836695047812e-24,2.3854640724452665,1.6871733729827333e-19,0.00666542944152808,0.007628124687398498,0.38320397271917717,0.541894774923033,50.74847674884292,False
ceh13,4,comparison_window,100,100,2017-07,2026-02,2.09575834359353,1.6190874036289097e-11,2.585581425620944,9.679039238864089e-10,0.002178519933426588,0.012767184151202877,0.8648667179240345,0.5484927172712989,47.71542497048261,False
ceh14,4,full_record,,222,2006-06,2026-02,2.143051630726777,1.9403945237058783e-21,3.5811272349753387,7.049431847207624e-27,-0.01375157156341597,0.00888310946494086,0.12305210622827374,0.556476778803934,46.66243153744589,False
ceh14,4,comparison_window,100,100,2017-08,2026-02,2.28301388692672,1.9798761847790237e-10,3.755730960454567,1.0028942619588488e-12,-0.01912854063708714,0.01442881201851554,0.1880466973763491,0.5653473061596117,43.80174845743713,False
ceh16,5,full_record,,222,2007-08,2026-02,2.640061368900552,1.2226439894542147e-58,1.3572333278207178,1.064146876739024e-16,0.04365633277280282,0.004628892961750129,6.115170494744209e-18,0.7358775313334697,37.87790737669283,True
