ref_depth,Cluster,Cluster_Label,beta_2_atmospheric_draw,beta_3_drainage,mean_h_prev_m,mean_PET_m_month,h_disp_prev_mean_m,drainage_flux_m_month,et_flux_m_month,drainage_share_pct,all_beta3_pos_sig
1.2,3,C3 (Western Residual),2.699692093536614,0.14267864891628954,-0.7722,0.0548,0.4278,0.061035761441810596,0.14782463825854403,29.223233092236086,False
1.2,4,C4 (Main Forest),2.921588094338611,0.01764810959625755,-1.3185,0.0551,-0.1185,-0.002091409477773786,0.16095006543823442,-1.3165222034198316,False
1.2,5,C5 (Coastal Forest),2.1460914553692407,0.06986465064660037,-1.1527,0.0549,0.0473,0.003304747821605539,0.11782235478863023,2.7283306133719685,False
1.3,1,C1 (Lake Edge),1.9457704056789653,0.23492926340558312,-0.3836,0.0551,0.9164,0.21529485104350599,0.10719234334527408,66.76074423716607,False
1.3,2,C2 (Dune),2.491819355080441,0.1685913464909816,-0.5357,0.0547,0.7643,0.12886226973655812,0.13625514577789807,48.60573549515897,False
1.3,3,C3 (Western Residual),2.6039782710022057,0.1382132974871337,-0.7722,0.0548,0.5278,0.07294688159256439,0.14258372162721208,33.84525468904315,False
1.3,4,C4 (Main Forest),2.9058593428279917,0.019863516688452577,-1.3185,0.0551,-0.0185,-0.0003675971684260723,0.16008356971633525,-0.23015679807215655,False
1.3,5,C5 (Coastal Forest),2.089762892602222,0.07372921253349576,-1.1527,0.0549,0.1473,0.010860471140935234,0.1147298659338496,8.647537218144567,False
1.4,1,C1 (Lake Edge),1.8328769526546436,0.22149806895611832,-0.3836,0.0551,1.0164,0.22513598695272943,0.1009730516227268,69.0370275954914,False
1.4,2,C2 (Dune),2.4052575604547437,0.15994733803549738,-0.5357,0.0547,0.8643,0.13824998264384092,0.1315218612717505,51.24700214715432,False
1.4,3,C3 (Western Residual),2.517028077017828,0.13328624804206982,-0.7722,0.0548,0.6278,0.08367508444747777,0.13782266720807168,37.77694528367072,False
1.4,4,C4 (Main Forest),2.8873022271584654,0.021746788438073112,-1.3185,0.0551,0.0815,0.0017722295707214516,0.1590612596284954,1.1019033284332185,False
1.4,5,C5 (Coastal Forest),2.029183503803563,0.07642855344720251,-1.1527,0.0549,0.2473,0.01890094519180318,0.11140400289942179,14.50516305687091,False
1.5,1,C1 (Lake Edge),1.7337533305788808,0.20925137470901573,-0.3836,0.0551,1.1164,0.2336132886062633,0.09551233883762061,70.97997516042548,False
1.5,2,C2 (Dune),2.329042710307193,0.1518190879921329,-0.5357,0.0547,0.9643,0.14640626387574485,0.12735435791877972,53.47966516003622,False
1.5,3,C3 (Western Residual),2.4387298025078925,0.12814353001838238,-0.7722,0.0548,0.7278,0.09326091709374423,0.13353535824664978,41.12100913199337,False
1.5,4,C4 (Main Forest),2.8667259280503274,0.023280823094061612,-1.3185,0.0551,0.1815,0.004225326274211416,0.15792771287892146,2.605764465642321,False
1.5,5,C5 (Coastal Forest),1.966820337752656,0.07806165386440159,-1.1527,0.0549,0.3473,0.0271109798140979,0.10798020888644576,20.06865146045517,False
1.6,1,C1 (Lake Edge),1.646404243598621,0.1980771843400788,-0.3836,0.0551,1.2164,0.24094587103110585,0.09070028429348903,72.65148929445084,True
1.6,2,C2 (Dune),2.2618973516000453,0.14421920412243955,-0.5357,0.0547,1.0643,0.1534992599875807,0.12368278332397677,55.37850076927416,True
1.6,3,C3 (Western Residual),2.3686132938064706,0.12295907996157814,-0.7722,0.0548,0.8278,0.10178366099137193,0.12969605095692047,43.97087767851907,True
1.6,4,C4 (Main Forest),2.8449237506598406,0.024469391372463917,-1.3185,0.0551,0.2815,0.006887983247340877,0.15672663258820743,4.2098826025812395,True
1.6,5,C5 (Coastal Forest),1.9047206082827484,0.07876617584453936,-1.1527,0.0549,0.4473,0.03523227939331565,0.10457087777915491,25.201347455873794,True
1.7,1,C1 (Lake Edge),1.5691408442219184,0.18786867634495152,-0.3836,0.0551,1.3164,0.24731486298239816,0.08644384951072207,74.09989723863644,True
1.7,2,C2 (Dune),2.202659657532495,0.1371392883181741,-0.5357,0.0547,1.1643,0.1596777025203163,0.1204436076492778,57.00305429231446,True
1.7,3,C3 (Western Residual),2.306024053365374,0.11785119346014145,-0.7722,0.0548,0.9278,0.10934054938277016,0.12626890759889342,46.40753846789759,True
1.7,4,C4 (Main Forest),2.8226108705680697,0.025332692025848612,-1.3185,0.0551,0.3815,0.009664266276768353,0.15549741772460465,5.851397274859472,True
1.7,5,C5 (Coastal Forest),1.8444464324678043,0.07869626048805783,-1.1527,0.0549,0.5473,0.04307063215321246,0.10126177121256698,29.841276905823573,True
1.8,1,C1 (Lake Edge),1.500538335897896,0.17852697462784503,-0.3836,0.0551,1.4164,0.25286991868213254,0.08266454255592767,75.36332266709334,True
1.8,2,C2 (Dune),2.150296814606521,0.13055826288550054,-0.5357,0.0547,1.2643,0.16507093237713452,0.11758035563155944,58.40091284921268,True
