Cluster,Cluster_Label,Excluded_Well,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,R2,n
3,C3 (Western Residual),ceh18,3.599543053284082,1.8171971877486826,0.05740630506172926,0.8118183139693372,249
3,C3 (Western Residual),ceh21,3.6124039845623903,1.8346843050097357,0.057227761541729615,0.8113843928320267,249
3,C3 (Western Residual),ceh36,3.600535928033734,1.8351923681160949,0.057220682826025486,0.8116297249706884,249
3,C3 (Western Residual),ceh39,3.587903019773256,1.7962953251192184,0.05770437379965589,0.8130610325026846,249
3,C3 (Western Residual),ceh40,3.5923136373070976,1.8140562928579005,0.0574131551476375,0.8131838518566787,249
3,C3 (Western Residual),ceh41,3.5830840911337156,1.8031987892635253,0.05744894652433546,0.8131611924235332,249
3,C3 (Western Residual),ceh42,3.5833403905974603,1.8262040997027769,0.05704991643076371,0.8130848267152331,249
3,C3 (Western Residual),wmc2,3.584037801919459,1.7998970482729115,0.05752968135360825,0.8111300365753142,249
3,C3 (Western Residual),wmc3,3.6327463932585538,1.806907680421652,0.058062225528035936,0.8151945003636771,249
3,C3 (Western Residual),wmc4,3.53254569290733,1.8034216050793264,0.0560028037497043,0.8094377879519502,249
3,C3 (Western Residual),d25,3.553739283719095,1.8020251441437964,0.056765414978199105,0.8105334287955381,249
4,C4 (Main Forest),nw10,2.3611858060830664,2.550479353098299,0.01543538266941247,0.7059955528154354,237
4,C4 (Main Forest),ceh2,2.3940138884496207,2.562072499730429,0.016652366539726914,0.7252593397158298,236
4,C4 (Main Forest),ceh13,2.5670214811965515,2.59897178741696,0.020612190922568566,0.7286257401167122,237
4,C4 (Main Forest),ceh14,2.5558256038325746,2.4177708140500758,0.02444869220273386,0.73652860856156,237
4,C4 (Main Forest),ceh20,2.4668657313628692,2.6206972719816335,0.01692406403366814,0.7103524605561303,237
4,C4 (Main Forest),ceh30,2.4742800112691836,2.5924683648166416,0.01733578204147316,0.7162066502663869,237
4,C4 (Main Forest),ceh32,2.485839876862717,2.551827861158337,0.01860984554064262,0.7167522123436936,237
4,C4 (Main Forest),ceh33,2.4947220677108253,2.5857908501766387,0.018073626801120308,0.7230995398343167,237
4,C4 (Main Forest),ceh34,2.4842221022774695,2.5855331428189943,0.018573623828491204,0.7173185892160437,237
5,C5 (Coastal Forest),nw9,2.3505724653600635,1.1661233020254798,0.04786405506520249,0.7248490624270627,222
5,C5 (Coastal Forest),ceh16,2.367452733901501,1.2488203910671782,0.04539275402801555,0.6384664443728223,239
5,C5 (Coastal Forest),ceh17,2.5580347623989117,1.2317391342138215,0.04540182273996037,0.7235407009373148,239
5,C5 (Coastal Forest),ceh19,2.4462668329665958,1.3539635100925125,0.04498302712516412,0.6817369862198722,239
5,C5 (Coastal Forest),ceh31,2.4344824097096436,1.2070508261056858,0.04542368883634396,0.6720894574098866,239
