Name_Original,Cluster,Cluster_Label,Easting,Northing,basis,n,fit_start,fit_end,beta_3_drainage,se_beta_3,pvalue_beta_3,beta_3_significant_positive,t_half_months,t_efold_months,pastas_identified,reason
T41b,2,C2 (Dune),242715.085,363309.565,full_record,191,2010-04,2026-02,0.06335358837796971,0.005945348509705804,4.827255942855566e-21,True,10.940930076834876,15.784425564562582,1.0,
T41c,2,C2 (Dune),242721.13,363323.682,full_record,187,2010-04,2026-02,0.06602076213875376,0.005908518971032016,1.8540980053283012e-22,True,10.498927278409475,15.146750319215212,1.0,
T41d,2,C2 (Dune),242731.987,363353.284,full_record,187,2010-04,2026-02,0.06492814787488389,0.006211970424621558,2.276843226670087e-20,True,10.675603775047383,15.401640624756359,1.0,
WMC1,2,C2 (Dune),242765.629,363643.556,full_record,201,2009-01,2026-02,0.05648664299171265,0.0059782950166863994,1.0006990754686862e-17,True,12.270992642661367,17.70330023235251,1.0,
ceh24,2,C2 (Dune),242938.911,363392.114,full_record,188,2010-04,2026-02,0.0723881867969046,0.006624607392139278,9.158418317433295e-22,True,9.575418465787362,13.814408735028035,1.0,
ceh28,2,C2 (Dune),242331.051,364122.039,full_record,156,2010-04,2026-02,0.07396595896118256,0.007398056310653148,2.0029353123198013e-18,True,9.371164658646688,13.519732780383492,1.0,
nw3,2,C2 (Dune),242091.94,363939.361,full_record,210,2005-04,2026-02,0.06217730226909127,0.0059211495788157095,5.9474841456384706e-21,True,11.14791339064759,16.08303936494695,1.0,
nw4,2,C2 (Dune),242431.164,363744.512,full_record,244,2005-04,2026-02,0.05604164449035648,0.006281241496624289,1.1794153295611954e-16,True,12.368430421045558,17.84387323202262,1.0,
nw4b,2,C2 (Dune),242414.677,363751.66,full_record,240,2006-03,2026-02,0.06026258960648413,0.0067487781846115175,1.2125397617713878e-16,True,11.502114082488152,16.594042946544768,1.0,
D15,3,C3 (Western Residual),241980.565,363895.719,full_record,188,2010-04,2026-02,0.061402435411672514,0.0053840047396336915,3.6984371087132967e-23,True,11.288594270125301,16.28599897211734,1.0,
D25,3,C3 (Western Residual),242215.187,363143.807,full_record,166,2010-04,2026-02,0.06308268528940866,0.005710639126190974,1.5711012730459446e-21,True,10.98791494654908,15.852210403096079,1.0,
D38,3,C3 (Western Residual),242711.571,363069.196,full_record,186,2010-04,2026-02,0.10592224264171052,0.007119496968875424,2.4842786616044785e-33,True,6.54392470620703,9.440887721595649,1.0,
D9,3,C3 (Western Residual),242710.726,363910.68,full_record,183,2010-04,2026-02,0.0651327185043418,0.006315852112869608,6.897788656734588e-20,True,10.642073545782363,15.353266729275843,1.0,
T41a,3,C3 (Western Residual),242709.928,363275.666,full_record,187,2010-04,2026-02,0.09154620140571529,0.007669246173975154,1.0804295121077877e-24,True,7.571555891085522,10.923446135882699,1.0,
WMC2,3,C3 (Western Residual),241885.149,362855.856,full_record,199,2009-03,2026-02,0.04862827775130725,0.004960900301147956,1.0314987964897782e-18,True,14.253994025961813,20.56416649411602,1.0,
ceh1,3,C3 (Western Residual),241595.864,363948.335,full_record,238,2006-05,2026-02,0.06490719359580738,0.00585030448993255,2.8219307380343624e-23,True,10.67905022787364,15.406612805157456,1.0,
ceh10,3,C3 (Western Residual),242538.185,363173.915,full_record,230,2006-06,2026-02,0.11343248629904625,0.009152949761303313,2.787593436797709e-27,True,6.110658446933587,8.81581663795734,1.0,
ceh18,3,C3 (Western Residual),241267.167,363202.889,full_record,219,2007-09,2026-02,0.05231459300010996,0.005360812648773833,7.158284291090509e-19,True,13.249595204888402,19.115125295878688,1.0,
ceh21,3,C3 (Western Residual),241470.51,362937.659,full_record,188,2010-07,2026-02,0.04743788358206427,0.004766399716065159,5.836774759021406e-19,True,14.61168012187661,21.08019845088723,1.0,
ceh36,3,C3 (Western Residual),241161.0,363306.0,full_record,178,2011-02,2026-02,0.052466024506745985,0.005278316878232145,9.705740883775207e-19,True,13.211353196215995,19.059953739613373,1.0,
ceh39,3,C3 (Western Residual),241719.0,363435.0,full_record,151,2011-02,2026-02,0.03567030292352966,0.005635740394666294,2.7744318602934782e-09,True,19.432051980212247,28.03452502614877,1.0,
ceh4,3,C3 (Western Residual),241131.693,363211.05,full_record,237,2006-06,2026-02,0.06122034274042366,0.004206058504597547,1.3149636767212316e-34,True,11.32217085910337,16.334439750525966,1.0,
ceh40,3,C3 (Western Residual),242060.283,363398.508,full_record,139,2014-08,2026-02,0.03912661526275657,0.007107813170311355,1.7805182247035168e-07,True,17.715490489148724,25.558050275610462,1.0,
ceh41,3,C3 (Western Residual),242284.022,363324.592,full_record,139,2014-08,2026-02,0.03791509052638806,0.006822856404309278,1.395700048483123e-07,True,18.281564699879336,26.37472273220665,1.0,
ceh42,3,C3 (Western Residual),242120.528,362743.198,full_record,139,2014-08,2026-02,0.052789755084132806,0.007109767898312552,1.1147267265546243e-11,True,13.130335222341028,18.943069510481084,1.0,
ceh9,3,C3 (Western Residual),241711.211,363459.012,full_record,225,2006-06,2026-02,0.03942278715812566,0.004909004878846761,5.6400843731670135e-14,True,17.582399178924536,25.36604010236461,1.0,
nw1,3,C3 (Western Residual),241725.0,364139.0,full_record,251,2005-04,2026-02,0.10075676116097032,0.0077908210907870696,1.3804727385103146e-29,True,6.879411094334049,9.92489227003225,1.0,
nw11,3,C3 (Western Residual),241689.0,364237.0,full_record,225,2007-06,2026-02,0.07114185685370522,0.005979070492712987,1.4108703937708579e-25,True,9.743169650256952,14.056422536965561,1.0,
nw13,3,C3 (Western Residual),241761.0,364180.0,full_record,163,2012-03,2026-02,0.0839625031422614,0.00694756400688874,2.6485519385546628e-24,True,8.255437303786849,11.910078458543042,1.0,
nw2,3,C3 (Western Residual),241703.008,364112.082,full_record,251,2005-04,2026-02,0.07893113420388521,0.006134884166487283,2.3190112331826444e-29,True,8.781670091924596,12.669271892342543,1.0,
