well,Cluster,Cluster_Label,upstand_m,optimal_datum_primary,beta_1_at_primary,beta_2_at_primary,beta_3_at_primary,pvalue_beta_3_primary,R2_at_primary,optimal_datum_secondary,beta_3_at_secondary,pvalue_beta_3_secondary,R2_at_secondary,max_R2_datum,R2_at_max,beta_1_at_max,beta_2_at_max,beta_3_at_max,pvalue_beta_3_at_max,beta_3_positive_at_max,R2_at_uniform,beta_3_at_uniform,R2_gain_max_vs_uniform
ceh6,1,C1 (Lake Edge),0.15,0.5,4.090778093824023,3.3083259913915306,0.4610283666218579,3.836663731344104e-29,0.8321601116891392,0.5,0.4610283666218579,3.836663731344104e-29,0.8321601116891392,0.6,0.8333382061173784,4.270226760693879,2.9213394229502647,0.43354703384473536,2.722898966979159e-29,True,0.7402429968893641,0.11754832541687059,0.09309520922801429
ceh9,3,C3 (Western Residual),0.0,0.5,2.250510424415262,3.201579835219356,0.09196697692441794,0.0009624324949406796,0.765693117777724,0.5,0.09196697692441794,0.0009624324949406796,0.765693117777724,1.6,0.7822933801297203,2.809869818127365,2.523459684697366,0.07470308503015632,2.219946637724979e-05,True,0.7757849659571107,0.032967431271134114,0.006508414172609611
ceh10,2,C2 (Dune),0.04,0.5,2.2484501056448742,4.676497974105437,0.1576183572059345,0.0007031231262512523,0.5553462889013883,0.5,0.1576183572059345,0.0007031231262512523,0.5553462889013883,2.2,0.6736397654154376,4.074638389349049,2.4859539021631933,0.17854317529760338,1.282331724880207e-10,True,0.6576872972293031,0.10394971510285281,0.015952468186134494
ceh11,1,C1 (Lake Edge),0.05,0.5,2.8516810487860624,3.7601796897371025,0.34950513677647216,1.4366010408183124e-17,0.7684959118089693,0.5,0.34950513677647216,1.4366010408183124e-17,0.7684959118089693,1.0,0.7912136212230296,3.655225894399573,2.4760028603547517,0.27453879415521243,9.210562779177613e-20,True,0.7417314288476339,0.09069629119657069,0.04948219237539575
ceh13,4,C4 (Main Forest),0.09,,,,,,,0.5,0.012920237412035221,0.6458730215837525,0.5544385854721319,0.5,0.5544385854721319,1.9655442426112746,2.7103425052909706,0.012920237412035221,0.6458730215837525,True,0.5534854224941459,0.0008763612330390698,0.0009531629779859774
ceh14,4,C4 (Main Forest),0.0,,,,,,,0.5,0.025494992865434996,0.34505810898603906,0.5808343922111803,8.0,0.5877846137760319,2.116851979713994,3.9218974442550136,-0.01016388945294728,0.11347948664440802,False,0.5829825751425213,-0.01642776191288585,0.004802038633510586
ceh16,5,C5 (Coastal Forest),0.07,0.5,1.6578603730405805,2.475904823008528,0.06209975854187419,0.04531668875179417,0.7008336635004279,0.5,0.06209975854187419,0.04531668875179417,0.7008336635004279,2.0,0.7546447652343335,2.315526599317877,1.6574829087717102,0.07347740892201676,1.502620009358777e-06,True,0.749939199518936,0.03636512019502111,0.004705565715397597
ceh17,5,C5 (Coastal Forest),0.09,1.7,1.2357892978662437,2.200208462223532,0.09125399802790518,0.015948865801621966,0.6132491421840149,1.2,0.003919021854857586,0.8917644280897116,0.5893348315659732,2.5,0.6699598457035781,1.7615885143380232,1.5611410964247554,0.12388572286292587,4.331602657671955e-06,True,0.6566110908856376,0.05457368924583559,0.013348754817940511
ceh18,3,C3 (Western Residual),0.06,0.5,1.825362818995227,3.4263268167010823,0.17568563817306065,5.299279630932982e-05,0.6417391203796746,0.5,0.17568563817306065,5.299279630932982e-05,0.6417391203796746,1.4,0.687113701366882,2.7539362201277333,2.2696128676364387,0.15246393370743688,5.860632485661672e-08,True,0.6646607569340192,0.05433820725704427,0.02245294443286283
ceh19,5,C5 (Coastal Forest),0.15,0.6,1.22843215735577,2.1279005002741305,0.1037732284009625,0.00591422522107929,0.6504179636628202,0.5,0.07140484635664776,0.053480913381077536,0.6361995878016686,1.6,0.7498020427176343,1.9660462699599521,1.2297738362248114,0.12552494072156561,2.726373851683865e-10,True,0.7303889110581331,0.04203410530162176,0.019413131659501204
ceh20,4,C4 (Main Forest),0.11,1.4,2.103237549172302,2.5868551846053833,0.053829223707990745,0.03693412363721224,0.6766047038140689,0.5,0.010394402598637775,0.7072763586701845,0.662175643214301,3.2,0.6858095591352064,2.482860848528591,2.159937975491161,0.032754152702455464,0.007537596313434224,True,0.6856708541967955,0.027757261163726836,0.00013870493841083853
ceh21,3,C3 (Western Residual),0.05,0.6,1.4071526472407285,2.281655410683292,0.073069782220023,0.03464290970820079,0.6843284523740514,0.5,0.047156809917924536,0.15985270365012008,0.6760873335647823,1.8,0.7709299421163673,2.1042526004967237,1.4325980976661552,0.10651775535781367,2.6660566015089503e-09,True,0.7580007249317493,0.041428912013580246,0.012929217184618036
ceh23,1,C1 (Lake Edge),0.06,0.5,3.2365769309968195,3.3180358809275274,0.3895169867942344,1.244004319047193e-21,0.7905656848547397,0.5,0.3895169867942344,1.244004319047193e-21,0.7905656848547397,0.5,0.7905656848547397,3.2365769309968195,3.3180358809275274,0.3895169867942344,1.244004319047193e-21,True,0.6947467264133927,0.08841240705993962,0.09581895844134691
ceh24,2,C2 (Dune),0.15,0.5,3.306078282420801,3.5581277148887,0.2445060790081547,2.938969245903635e-12,0.7364129199485605,0.5,0.2445060790081547,2.938969245903635e-12,0.7364129199485605,0.9,0.7420255919570138,3.7771914725437172,2.882969862675105,0.20734661059547432,1.0191477864172154e-12,True,0.7062172997021801,0.07368112171708863,0.03580829225483373
ceh25,1,C1 (Lake Edge),0.025,0.5,4.391140788059701,4.758347502392671,0.45416489241685365,8.991466550672977e-23,0.7817898204254256,0.5,0.45416489241685365,8.991466550672977e-23,0.7817898204254256,0.8,0.7880727480589753,4.9737909462170595,3.642249835708679,0.39333841468797826,2.162481176842377e-23,True,0.7211213172733568,0.1332625805970834,0.0669514307856185
ceh26,1,C1 (Lake Edge),0.025,0.5,3.1108902074022096,3.225044763042056,0.38338378512548604,1.2556655991856511e-21,0.793050861477326,0.5,0.38338378512548604,1.2556655991856511e-21,0.793050861477326,0.6,0.7939423202570299,3.291982335337722,2.9027057324457752,0.35943679101988507,1.0171167120534965e-21,True,0.7043301219768078,0.0864849356398357,0.08961219828022216
ceh27,1,C1 (Lake Edge),0.04,0.5,3.628962207973997,3.682326429145413,0.35121347583524315,1.7433092173274404e-21,0.8112031224226314,0.5,0.35121347583524315,1.7433092173274404e-21,0.8112031224226314,0.8,0.8182121447423505,4.097091508333037,2.8978517422712677,0.3021799828673943,2.7514827158457197e-22,True,0.7660316566758627,0.09820726737177915,0.052180488066487785
ceh28,2,C2 (Dune),-0.14,0.5,3.0823683712398635,3.5669890704069727,0.2983909998724456,5.147591167207721e-14,0.7425805323454656,0.5,0.2983909998724456,5.147591167207721e-14,0.7425805323454656,0.7,0.7450321352681106,3.3761782183844034,3.0999650964933085,0.27224535295687424,3.2179340642006963e-14,True,0.6716389514294346,0.07118352920641605,0.07339318383867599
ceh30,4,C4 (Main Forest),0.06,1.7,1.9447268841886916,2.5347279822988966,0.0529148550991728,0.04293273987673153,0.7053608411061284,0.5,0.007081651702408541,0.743325132858925,0.6929207791901686,2.3,0.7079650654533929,2.127214663327156,2.3225009818517774,0.045490529229179316,0.02601803111788241,True,0.7055634878718751,0.02303045582439311,0.002401577581517822
ceh31,5,C5 (Coastal Forest),0.17,0.8,1.2302879967404756,2.4364973550671434,0.07347162510327246,0.045996780654538896,0.5316061179868283,0.5,0.03421375909228333,0.273068007665835,0.5179145452977161,1.7,0.5877211171063497,1.6848808819885903,1.9076470397387928,0.1392478443385706,5.4140583141289766e-05,True,0.5564744018818764,0.03850290920176273,0.03124671522447331
ceh32,4,C4 (Main Forest),0.04,,,,,,,0.5,0.0015255472355631267,0.9445325636759582,0.6744851075363826,3.0,0.6776239063617728,2.307954887518782,2.660303007023848,0.015600725124065002,0.3323087097825624,True,0.6775498110347693,0.012041242005263453,7.409532700353161e-05
