well,Cluster,Cluster_Label,ref_depth,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_3,R2,beta_3_positive,beta_3_sig
d15,2,C2 (Dune),2.0,4.154600870770895,2.4017382199816337,0.10216648787349158,1.6190925937837363e-11,0.8053287639247672,True,True
d15,2,C2 (Dune),2.1,4.178662106585572,2.3678856405113975,0.09848762904072074,1.884675372500861e-11,0.8047280040118997,True,True
d15,2,C2 (Dune),2.2,4.200538154336962,2.3369679563489565,0.09502103979766255,2.198997971961569e-11,0.804116106428078,True,True
d15,2,C2 (Dune),2.3,4.2204669733677065,2.3086765764463055,0.09175321812599599,2.5676142015129962e-11,0.8034994678289915,True,True
d15,2,C2 (Dune),2.4,4.238657845600885,2.2827387388319367,0.08867110118097768,2.996445616396702e-11,0.8028830733783479,True,True
d15,2,C2 (Dune),2.5,4.255294887728335,2.2589133606698235,0.08576221944830907,3.4917109257336586e-11,0.8022707817451566,True,True
d15,2,C2 (Dune),2.6,4.270540195142802,2.2369872654922967,0.08301478413216473,4.059858993172138e-11,0.8016655529310457,True,True
d15,2,C2 (Dune),2.7,4.2845366253237245,2.2167718014675692,0.08041772817096836,4.707504175461702e-11,0.8010696303691053,True,True
d15,2,C2 (Dune),2.8,4.297410243237346,2.198099839731899,0.07796071557049034,5.441363700424345e-11,0.8004846865120049,True,True
d15,2,C2 (Dune),2.9,4.309272458485951,2.1808231282090826,0.07563412957808742,6.268197289947625e-11,0.7999119392932129,True,True
d15,2,C2 (Dune),3.0,4.320221886424214,2.16480996981272,0.07342904719282488,7.194749469569632e-11,0.7993522453544566,True,True
d15,2,C2 (Dune),3.1,4.330345965179975,2.149943191756816,0.07133720531057879,8.22769508210627e-11,0.7988061747325712,True,True
d15,2,C2 (Dune),3.2,4.33972235870749,2.1361183731139413,0.06935096221651285,9.373588503562314e-11,0.7982740707391802,True,True
d15,2,C2 (Dune),3.3,4.348420173428097,2.1232422996186453,0.06746325699405571,1.063881698711631e-10,0.7977560980023842,True,True
d15,2,C2 (Dune),3.4,4.356501013153425,2.111231617298163,0.06566756859866726,1.202955846146022e-10,0.7972522810325828,True,True
d15,2,C2 (Dune),3.5,4.364019894115395,2.1000116593761238,0.06395787575781581,1.3551744000188363e-10,0.7967625351930838,True,True
d15,2,C2 (Dune),3.6,4.371026039201358,2.089515423774823,0.062328618441197234,1.5211025070961946e-10,0.7962866915744686,True,True
d15,2,C2 (Dune),3.7,4.3775635679939935,2.0796826812828315,0.06077466135053153,1.701274557278547e-10,0.7958245169690724,True,True
d15,2,C2 (Dune),3.8,4.383672096971979,2.070459196982043,0.05929125967210523,1.89619185813207e-10,0.7953757299018563,True,True
d15,2,C2 (Dune),3.9,4.389387262245681,2.0617960498058596,0.057874027192856156,2.1063207647933055e-10,0.794940013483287,True,True
d15,2,C2 (Dune),4.0,4.394741175470435,2.0536490371239946,0.0565189067842709,2.332091243759584e-10,0.7945170256982215,True,True
d15,2,C2 (Dune),4.1,4.399762822077861,2.04597815302622,0.055222143194581456,2.573895844466688e-10,0.7941064076240436,True,True
d15,2,C2 (Dune),4.2,4.404478409667238,2.038747130529086,0.05398025804929042,2.832089049205018e-10,0.793707789974972,True,True
d15,2,C2 (Dune),4.3,4.408911673288461,2.031923039273806,0.05279002693603616,3.1069869697659957e-10,0.7933207982924748,True,True
d15,2,C2 (Dune),4.4,4.413084143389158,2.0254759314456834,0.05164845843732166,3.3988673579766193e-10,0.7929450570400993,True,True
d15,2,C2 (Dune),4.5,4.417015381384582,2.019378529646755,0.050552774970018685,3.707969897016051e-10,0.7925801928115775,True,True
d15,2,C2 (Dune),4.6,4.420723187108694,2.0136059513148608,0.049500395291348954,4.0344967407338963e-10,0.7922258368213504,True,True
d15,2,C2 (Dune),4.7,4.42422378180877,2.008135465021719,0.04848891853530721,4.3786132691334743e-10,0.7918816268146555,True,True
d15,2,C2 (Dune),4.8,4.427531969836327,2.00294627461807,0.04751610964998715,4.740449029524028e-10,0.7915472085085286,True,True
d15,2,C2 (Dune),4.9,4.4306612817515605,1.9980193277397615,0.04657988611400338,5.12009883456338e-10,0.7912222366542172,True,True
d15,2,C2 (Dune),5.0,4.4336241011855,1.9933371456560935,0.04567830581861827,5.517623990239354e-10,0.790906375794626,True,True
d15,2,C2 (Dune),5.1,4.436431777486745,1.9888836718444023,0.04480955601073359,5.933053628957706e-10,0.7905993007767338,True,True
d15,2,C2 (Dune),5.2,4.439094725905984,1.9846441370207648,0.043971943200393666,6.366386124890844e-10,0.7903006970678041,True,True
d15,2,C2 (Dune),5.3,4.441622516838185,1.9806049386536335,0.043163883944579776,6.81759057101414e-10,0.7900102609151757,True,True
d15,2,C2 (Dune),5.4,4.4440239554415735,1.9767535332430435,0.042383896426850705,7.286608299132682e-10,0.7897276993820579,True,True
d15,2,C2 (Dune),5.5,4.446307152778884,1.9730783398699476,0.04163059275957625,7.773354426507346e-10,0.7894527302857486,True,True
d15,2,C2 (Dune),5.6,4.448479589481028,1.9695686537090444,0.04090267194229853,8.277719414269219e-10,0.7891850820597932,True,True
d15,2,C2 (Dune),5.7,4.450548172802147,1.966214568364343,0.0401989134158793,8.799570625014439e-10,0.7889244935575965,True,True
d15,2,C2 (Dune),5.8,4.452519287826622,1.963006906028091,0.03951817115783572,9.338753868306286e-10,0.7886707138117168,True,True
d15,2,C2 (Dune),5.9,4.454398843492973,1.9599371545880149,0.03885936826938437,9.895094924788564e-10,0.7884235017603954,True,True
d15,2,C2 (Dune),6.0,4.456192314016805,1.9569974109134343,0.03822149200947453,1.0468401040649257e-09,0.7881826259506653,True,True
d15,2,C2 (Dune),6.1,4.457904776224015,1.9541803296455749,0.037603589235336514,1.105846238588183e-09,0.7879478642255922,True,True
d15,2,C2 (Dune),6.2,4.4595409432431135,1.9514790768961383,0.037004762212947837,1.1665053470736467e-09,0.7877190034017112,True,True
d15,2,C2 (Dune),6.3,4.461105194951908,1.9488872883300428,0.03642416476432711,1.2287934515857622e-09,0.7874958389415234,True,True
d15,2,C2 (Dune),6.4,4.46260160552524,1.9463990311695443,0.0358609987217053,1.2926852772846912e-09,0.7872781746249128,True,True
