Match_ID,Original_Cluster,Cluster_Label,dist_coast_m,empirical_slope_m_yr,model_delta_mm_yr,obs_years,total_drift_m,Best_Original,Best_Detrended_FF,Best_Detrended_Summer,Best_Detrended_Full,Best_Detrended_L500,Best_Detrended_L1500,D_C1,D_C2,D_C3,D_C4,D_C5,D_C2_DT,D_C3_DT,Margin_C3_C2_Orig,Margin_C3_C2_DT
ceh21,C3,C3 (Western Residual),232.0,-0.0125494505494504,-20.061659751037343,15.671457905544148,-0.314395456303731,C5,C3,C5,C3,C3,C3,0.18507006322583086,0.08753323983006633,0.06648194540972197,0.1937778206523042,0.046059652755397806,0.07238415741677895,0.026673460987312825,-0.02105129442034437,-0.045710696429466124
ceh24,C2,C2 (Dune),1547.4,0.0018823529411779,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.061004577006930516,0.010561181939735986,0.047980851870200625,0.24724882086296984,0.10715549655133316,0.010561181939735986,0.047980851870200625,0.03741966993046464,0.03741966993046464
ceh28,C2,C2 (Dune),1690.3,0.0108668739180894,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.06571227068043206,0.018302019368352962,0.06903433201858356,0.28605807956469154,0.1374280784554518,0.018302019368352962,0.06903433201858356,0.05073231265023059,0.05073231265023059
ceh30,C4,C4 (Main Forest),,,,15.671457905544148,,C4,n/a,n/a,n/a,n/a,n/a,0.36646936878342895,0.17756048657782975,0.06973886430796494,0.014370975791351381,0.05089877686775024,,,-0.1078216222698648,
ceh31,C5,C5 (Coastal Forest),,,,15.671457905544148,,C5,n/a,n/a,n/a,n/a,n/a,0.23909643845956385,0.09401044795028046,0.03678437648847699,0.08036823179075603,0.015859409256790524,,,-0.057226071461803474,
ceh32,C4,C4 (Main Forest),,,,15.589322381930184,,C4,n/a,n/a,n/a,n/a,n/a,0.47908050439998173,0.26999316529594364,0.13285074355376936,0.005963412432080761,0.11302644009017093,,,-0.13714242174217428,
ceh33,C4,C4 (Main Forest),,,,15.589322381930184,,C4,n/a,n/a,n/a,n/a,n/a,0.4096518453412413,0.21043371695092938,0.0916308179209524,0.006469723244990511,0.07117478939394473,,,-0.11880289902997698,
ceh34,C4,C4 (Main Forest),,,,15.50444900752909,,C4,n/a,n/a,n/a,n/a,n/a,0.4156085346279579,0.21476668216126227,0.09288969564750416,0.004355308676727732,0.07693761489404427,,,-0.12187698651375811,
ceh36,C3,C3 (Western Residual),,,,15.085557837097879,,C3,n/a,n/a,n/a,n/a,n/a,0.15532385072969235,0.06291546782504354,0.026094823496385366,0.15036541957803562,0.054904379847629636,,,-0.03682064432865817,
ceh39,C3,C3 (Western Residual),770.8,0.0085216434336021,-5.294962655601662,15.085557837097879,-0.07987746538635225,C3,C3,C3,C3,C3,C3,0.18398794998983825,0.05763011076913116,0.015408007920276523,0.07337216562100524,0.04355810908979685,0.05838659014251979,0.01598713530951834,-0.04222210284885464,-0.04239945483300145
ceh40,C3,C3 (Western Residual),,,,11.589322381930184,,C3,n/a,n/a,n/a,n/a,n/a,0.1380023650376868,0.03645778947738565,0.034019421251417103,0.15949360354917985,0.08508972360255962,,,-0.0024383682259685457,
ceh41,C3,C3 (Western Residual),,,,11.589322381930184,,C3,n/a,n/a,n/a,n/a,n/a,0.1351232961076596,0.02910749583591621,0.027835112527858197,0.16119382941284166,0.07695181750833102,,,-0.0012723833080580116,
ceh42,C3,C3 (Western Residual),,,,11.589322381930184,,C3,n/a,n/a,n/a,n/a,n/a,0.14454419503075977,0.0739018849423827,0.047780788514853345,0.20182313672051622,0.07252599808784543,,,-0.026121096427529356,
wmc1,C2,C2 (Dune),1630.5,-0.0004166666666665,-0.0,17.169062286105408,-0.0,C2,C2,C2,C2,C2,C2,0.0880165942147012,0.025516600844150528,0.03756136392032694,0.20958344287316222,0.12582139696695538,0.025516600844150528,0.03756136392032694,0.012044763076176412,0.012044763076176412
wmc2,C3,C3 (Western Residual),457.5,0.0012254901960786,-13.881462655601661,16.999315537303218,-0.2359753638018637,C3,C3,C3,C3,C3,C3,0.1561473540126821,0.054644514672746336,0.020124456737763308,0.155133392559348,0.08826366685844933,0.058987371595181415,0.025006955275326148,-0.03452005793498303,-0.03398041631985527
wmc3,C3,C3 (Western Residual),,,,16.670773442847366,,C3,n/a,n/a,n/a,n/a,n/a,0.27378841855448177,0.12812255339723033,0.03806514478941814,0.060360591799326624,0.05005667458786944,,,-0.0900574086078122,
wmc4,C3,C3 (Western Residual),1371.3,0.0031868131868125,-0.0,14.001368925393566,-0.0,C3,C3,C3,C3,C3,C3,0.09879314230346514,0.023107635207851085,0.019234774419802037,0.16630730236286617,0.05882951162934891,0.023107635207851085,0.019234774419802037,-0.0038728607880490484,-0.0038728607880490484
l7,C2,C2 (Dune),2211.9,-0.0064705882352937,-0.0,16.83778234086242,-0.0,C2,C2,C2,C2,C2,C2,0.0760869281007217,0.02521413315240928,0.06030441810053655,0.2844173745448312,0.15211478326034145,0.02521413315240928,0.06030441810053655,0.03509028494812727,0.03509028494812727
d5,C2,C2 (Dune),1362.9,0.0068970588235317,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.08647875724264131,0.012066057815555586,0.04046036442552958,0.20513617427568354,0.09349543166011487,0.012066057815555586,0.04046036442552958,0.028394306609973996,0.028394306609973996
d6,C2,C2 (Dune),1473.9,0.0012647058823544,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.06900299923670272,0.008286933323055745,0.04397612977075149,0.23319516861925238,0.10615958393651614,0.008286933323055745,0.04397612977075149,0.03568919644769575,0.03568919644769575
d7,C2,C2 (Dune),1935.9,0.0077647058823546,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.0827917926076811,0.019296575054926657,0.06025780922200019,0.28775538188356,0.12855821779204324,0.019296575054926657,0.06025780922200019,0.040961234167073535,0.040961234167073535
d8,C2,C2 (Dune),1849.9,0.0044117647058843,-0.0,15.838466803559205,-0.0,C2,C2,C2,C2,C2,C2,0.07700148223567138,0.010733424702358496,0.04752606689187122,0.23017245131730057,0.11059425891042507,0.010733424702358496,0.04752606689187122,0.036792642189512725,0.036792642189512725
d9,C2,C2 (Dune),1791.9,0.0046764705882372,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.10657038883302139,0.01624867331790969,0.02512692318520693,0.1930528440811361,0.07722741568706804,0.01624867331790969,0.02512692318520693,0.008878249867297239,0.008878249867297239
d10,C2,C2 (Dune),1874.4,-0.000117647058822,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.07984813346720954,0.009367648114529392,0.04565120371612175,0.23753888878146556,0.10484249120257283,0.009367648114529392,0.04565120371612175,0.036283555601592354,0.036283555601592354
d15,C2,C2 (Dune),1290.6,0.0040000000000021,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.10292323313850693,0.012856212963033964,0.018125347820155735,0.16553229637333056,0.06510066621845123,0.012856212963033964,0.018125347820155735,0.005269134857121771,0.005269134857121771
d17,C2,C2 (Dune),1336.1,0.0023235294117661,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.07504111308126027,0.013841992079670407,0.05032527114756147,0.23511329432622396,0.11026369803663127,0.013841992079670407,0.05032527114756147,0.03648327906789106,0.03648327906789106
d25,C3,C3 (Western Residual),893.7,0.0303928571428596,-1.9266867219917003,15.9233401779603,-0.03067928809063307,C3,C3,C3,C3,C3,C3,0.11915599481836692,0.031274591556228915,0.025854868907430384,0.1749161551559395,0.06682890526839858,0.031862060046289775,0.025005297344587896,-0.005419722648798531,-0.0068567627017018795
d38,C2,C2 (Dune),1153.4,-0.0059264705882347,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.05914454913168443,0.03414364362887412,0.07315474393777144,0.30430273945894915,0.12207444806224577,0.03414364362887412,0.07315474393777144,0.03901110030889732,0.03901110030889732
d41,C2,C2 (Dune),1400.4,-0.0006470588235281,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.0433785551591328,0.010298508551450536,0.06783539064845057,0.285037543918633,0.12782585226184273,0.010298508551450536,0.06783539064845057,0.05753688209700003,0.05753688209700003
t41a,C2,C2 (Dune),1309.2,-0.004485294117646,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.075639913473589,0.02225373544213327,0.054306545406963225,0.26153942122930096,0.11023655642321828,0.02225373544213327,0.054306545406963225,0.032052809964829954,0.032052809964829954
t41b,C2,C2 (Dune),1338.7,0.0046323529411787,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.053526845271157475,0.010356883172889741,0.05935036891719747,0.2644936674949978,0.11966899831017208,0.010356883172889741,0.05935036891719747,0.04899348574430773,0.04899348574430773
t41c,C2,C2 (Dune),1353.5,-0.0059852941176463,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.044606388718167356,0.009224066218563087,0.06103853369382295,0.2768014500652113,0.12383586910970268,0.009224066218563087,0.06103853369382295,0.05181446747525986,0.05181446747525986
t41d,C2,C2 (Dune),1383.4,-0.0009411764705869,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.05151444820937545,0.012351469833808304,0.06502273605365783,0.27486921780051277,0.12765153333943335,0.012351469833808304,0.06502273605365783,0.05267126621984952,0.05267126621984952
d43,C2,C2 (Dune),1400.6,-0.0003529411764691,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.06134860404445508,0.003461709356444409,0.03626726571487715,0.23596537097964498,0.0923941874464318,0.003461709356444409,0.03626726571487715,0.03280555635843274,0.03280555635843274
d44,C2,C2 (Dune),1384.3,0.0007058823529428,-0.0,15.9233401779603,-0.0,C2,C2,C2,C2,C2,C2,0.043120235471911905,0.0171040138552504,0.07364729867235931,0.29141250075549385,0.13375324561732904,0.0171040138552504,0.07364729867235931,0.05654328481710891,0.05654328481710891
