id,easting,northing,longitude,latitude
R135,242763.5,363012.5,-4.35218837,53.14099542
R136,241615.3,363245.5,-4.36945354,53.14274785
R137,242265.7,362519.2,-4.35938082,53.13641774
R138,242225.1,364330.1,-4.36087948,53.15266997
R139,243780.8,363585.3,-4.33727276,53.14643935
R140,241382.3,363255.6,-4.37293885,53.14276922
R141,241971.7,362568.4,-4.36379593,53.13677249
R142,243728.3,363996.3,-4.33825767,53.15011532
R143,243293.5,364288.1,-4.34489635,53.15260830
R144,242228.5,364186.9,-4.36075809,53.15138486
R145,243230.9,364561.6,-4.34596562,53.15504628
R146,241630.8,363978.0,-4.36958434,53.14933123
R147,242940.7,362656.1,-4.34936685,53.13784674
R148,242732.4,363130.1,-4.35271065,53.14204245
R149,242057.3,363187.8,-4.36282293,53.14236090
R150,242256.8,362970.6,-4.35973604,53.14046928
R151,243604.0,363577.2,-4.33990994,53.14631471
R152,242630.5,364255.6,-4.35478595,53.15212085
R153,242595.3,362423.8,-4.35441140,53.13565841
R154,243097.7,363708.0,-4.34753737,53.14734053
R155,242247.3,364614.6,-4.36068804,53.15523173
R156,241145.4,363624.5,-4.37666041,53.14601178
R157,242486.4,363742.7,-4.35668647,53.14747172
R158,241900.3,364455.2,-4.36579393,53.15369718
R159,242805.3,362533.6,-4.35132900,53.13670658
R160,243255.8,363429.9,-4.34503940,53.14488937
R161,242121.7,362525.1,-4.36153434,53.13642808
R162,242935.7,363138.5,-4.34967809,53.14217788
R163,241331.3,362652.9,-4.37340206,53.13734104
R164,243256.9,363142.5,-4.34488229,53.14230843
R165,241890.8,363296.8,-4.36536374,53.14329045
R166,242487.0,362997.7,-4.35631103,53.14078080
R167,241464.8,363859.3,-4.37200547,53.14821576
R168,243360.4,363705.4,-4.34361168,53.14739452
R169,242020.7,362753.8,-4.36315555,53.13845216
R170,242745.3,364655.4,-4.35326726,53.15574551
R171,242426.4,363851.9,-4.35763654,53.14843472
R172,242324.6,362240.2,-4.35836385,53.13392939
R173,243587.1,363121.2,-4.33993965,53.14221421
R174,242436.8,363179.4,-4.35715023,53.14239786
R175,242750.0,364083.2,-4.35291588,53.15060777
R176,240938.5,363033.2,-4.37945737,53.14063945
R177,242963.7,363310.3,-4.34934411,53.14372914
R178,243132.9,363923.9,-4.34711732,53.14928999
R179,242290.5,361973.2,-4.35874168,53.13152128
R180,242427.5,364507.5,-4.35794286,53.15432320
R181,241774.7,362434.2,-4.36667182,53.13550873
R182,241300.5,363416.1,-4.37424023,53.14418634
R183,242963.5,363737.9,-4.34955682,53.14756952
R184,242466.1,362865.8,-4.35655833,53.13958998
R185,243205.8,362751.4,-4.34545410,53.13878076
R186,242084.6,364319.7,-4.36297348,53.15253491
R187,242020.6,363313.1,-4.36343293,53.14347537
R188,243095.5,364053.7,-4.34773968,53.15044475
R189,241641.3,362351.3,-4.36862310,53.13472454
R190,243784.1,363788.0,-4.33732238,53.14826086
R191,242517.9,364838.7,-4.35675519,53.15732456
R192,242333.2,363938.4,-4.35907146,53.14918402
R193,241261.1,362878.2,-4.37456214,53.13934360
R194,243269.6,362929.5,-4.34458835,53.14039913
R195,242385.9,364130.1,-4.35837855,53.15092134
R196,242743.4,362643.4,-4.35230738,53.13767446
R197,242581.9,362673.5,-4.35473423,53.13789710
R198,241414.1,362517.5,-4.37209841,53.13614964
R199,242175.9,363794.8,-4.36135061,53.14784770
R200,242569.3,364629.6,-4.35588428,53.15546177
R201,243665.2,363217.5,-4.33882008,53.14310205
R202,242317.7,362813.7,-4.35874918,53.13907814
R203,241784.9,362652.1,-4.36662711,53.13746878
R204,242638.9,363724.1,-4.35439917,53.14734975
R205,242926.0,363479.3,-4.34999016,53.14523588
R206,242123.0,362255.5,-4.36138207,53.13400710
R207,240932.1,363293.6,-4.37968229,53.14297624
R208,241954.3,362858.3,-4.36419883,53.13937101
R209,243647.3,364160.5,-4.33954801,53.15156629
R210,242120.0,363449.0,-4.36201517,53.14472540
R211,243911.7,363380.2,-4.33521732,53.14463564
R212,241644.1,362705.4,-4.36875632,53.13790564
R213,242336.4,363492.2,-4.35880392,53.14517750
R214,242299.6,362363.6,-4.35879793,53.13503029
R215,242554.4,364125.6,-4.35585896,53.15093078
R216,242637.7,363241.8,-4.35418006,53.14301769
R217,242080.1,363968.9,-4.36286763,53.14938294
R218,243505.6,362763.0,-4.34098200,53.13897311
R219,241802.5,364125.4,-4.36709212,53.15070611
R220,241666.3,362578.8,-4.36836218,53.13677521
