Well,Well_Normalized,TLM_NSE,SSM_NSE,dNSE,Cluster,beta_2_atmospheric_draw,beta_3_drainage
CEH33,ceh33,0.4283297739633154,0.7134286605911492,0.2850988866278338,4,2.238722358395596,0.0190295278611107
CEH34,ceh34,0.5171280271311414,0.6411511089890917,0.1240230818579503,4,2.6784928204855847,0.0077449963199931
CEH36,ceh36,-0.04993817943990364,0.7512126244174766,0.8011508038573802,3,1.0766524672432205,0.0454235725677783
CEH39,ceh39,0.5935015578825293,0.8148670470842438,0.2213654892017145,3,2.181073744481382,0.0306870511667029
CEH4,ceh4,-0.3482200349650031,0.8053672670464773,1.1535873020114804,3,1.0797739854615216,0.0666734649238728
CEH40,ceh40,0.38311533991647717,0.702342471584351,0.31922713166787386,3,1.769606609456833,0.034504869551675
CEH41,ceh41,0.6596490916887641,0.7877317128424715,0.1280826211537074,3,2.206018896765436,0.034361735020063
CEH42,ceh42,0.4224990859537432,0.7626625868699697,0.3401635009162265,3,1.2734290775207158,0.0506068509560272
CEH5,ceh5,-0.08982103516291828,0.7379478861582023,0.8277689213211206,1,1.3274007446290463,0.0971869480497756
CEH6,ceh6,-1.1159051296083944,0.6604679693124369,1.7763730989208313,1,-0.2328606416528892,0.1175483254168705
CEH9,ceh9,0.5236146565197375,0.8181701401377119,0.29455548361797446,3,2.2548689914323896,0.0329674312711341
D10,d10,0.39440318611621605,0.7728316655859679,0.3784284794697519,2,2.0355094423610995,0.0577259583494872
D15,d15,0.4037255188799431,0.8145171654318546,0.41079164655191147,2,2.0880465243617463,0.0610796590861814
D17,d17,0.014496497040219825,0.6979624438416132,0.6834659468013934,2,1.443691292075887,0.070847442889609
D25,d25,-0.026512951358151682,0.6560228265702845,0.6825357779284362,3,1.5606431916492975,0.0635964467877395
D38,d38,-0.3317360158335332,0.8305338717108592,1.1622698875443924,2,1.2869093703579793,0.1085485833941968
D41,d41,0.1714380136311191,0.7445238188793013,0.5730858052481822,2,1.3621749155217882,0.0655745719332681
D43,d43,0.20749222343554663,0.8163947470498617,0.6089025236143151,2,1.8455155803165624,0.0753671909105831
D44,d44,-0.014277391594354594,0.7436479603934434,0.757925351987798,2,1.399838365395726,0.0877392163295046
D5,d5,0.2131471328767307,0.7512842376517075,0.5381371047749768,2,1.7911888706344443,0.0679022383081894
D6,d6,0.39723341013498814,0.773832157115295,0.3765987469803068,2,2.0680911268459665,0.0650598368180693
D7,d7,0.102702559201299,0.6227454581132554,0.5200428989119564,2,1.3306416913870005,0.07650160957194
D8,d8,0.2302123403324272,0.7384274284474823,0.5082150881150551,2,1.6803048804263976,0.0552941490623224
D9,d9,0.33591806010348346,0.8205699652036353,0.4846519051001519,2,2.152581329326481,0.0620692320734493
L7,l7,0.5306354068700525,0.8624365629492128,0.3318011560791603,2,2.6001354638463194,0.0841231298403377
NW1,nw1,0.004384953420284554,0.8054251431851621,0.8010401897648776,3,2.004229639091758,0.101262263013017
NW10,nw10,0.13249122520401102,0.7011278210420802,0.5686365958380691,4,2.614290453405795,0.0413312720472437
NW11,nw11,-0.15930340569888313,0.833451711757957,0.9927551174568401,3,2.100756254658529,0.0747193454751797
NW13,nw13,-0.3161566657920689,0.8129525408236774,1.1291092066157464,3,1.7392493660910326,0.0867668830752223
NW2,nw2,-0.005004888048269152,0.8212762535108076,0.8262811415590767,3,1.8812523716956695,0.0789008110705284
NW3,nw3,-0.2882798499550665,0.5179918098133329,0.8062716597683994,2,1.7420040198108009,0.061512402335025
NW4,nw4,0.14227147600466317,0.6664422095417665,0.5241707335371033,2,1.2096329747684214,0.0540363853472045
NW4B,nw4b,0.12683297582190856,0.6545662703429376,0.527733294521029,2,1.2005262762602502,0.0592776443018872
NW5,nw5,0.4945890706687116,0.8075627673946906,0.31297369672597897,3,1.9903372992440849,0.0497640571773001
NW6,nw6,0.1033500468455616,0.6298557706749497,0.5265057238293881,3,1.2894221856064163,0.0517276502044431
NW7,nw7,0.34517533799543376,0.667531804451087,0.3223564664556532,3,1.9552459225680991,0.0408587302058284
NW9,nw9,-0.41131967142713766,0.8024577911227315,1.2137774625498692,5,1.1288261813903964,0.0489015945919915
T41A,t41a,0.21378607895334867,0.808460754337113,0.5946746753837643,2,1.7125620570462463,0.0940481792445841
T41B,t41b,0.3398545103800038,0.7500130313640444,0.4101585209840406,2,1.309770946940939,0.0649439475366996
T41C,t41c,0.3373227499713707,0.7837636799496783,0.44644092997830764,2,1.4555914392238876,0.0698310197840467
T41D,t41d,0.04978419478614693,0.7322717625925439,0.682487567806397,2,1.5169707826951015,0.0669384047747446
WMC1,wmc1,0.35984926855674115,0.7813048406615761,0.421455572104835,2,1.682037875156618,0.0555389303833692
WMC2,wmc2,0.5664611635564946,0.816309301843047,0.2498481382865524,3,1.8100808855710104,0.0469227474075692
WMC3,wmc3,0.6114304175599615,0.7430242171694843,0.13159379960952278,3,1.8406583073265763,0.0315683133734835
WMC4,wmc4,-0.29260948900841877,0.8151582041273736,1.1077676931357923,3,1.8075818231791057,0.0871119166888179
