,Max Temp ©,Min Temp (C),af Days,Rain (mm),Sun (hrs)
Apr 35,10.5,6.3,0,57.3,190.5
May 35,12.7,7.7,0,36.1,252.2
Jun 35,15.7,11.1,0,83.7,177.9
Jul 35,17.8,13,0,8.4,249.3
Aug 35,18,12.8,0,45.7,190
Sep 35,16.5,11.7,0,152.4,144.7
Oct 35,12.9,9.5,0,119.9,75.1
Nov 35,10.6,6.2,0,152.7,85.1
Dec 35,7.6,3.8,3,88.3,65.9
Jan 36,7.4,3.9,1,123.1,48.7
Feb 36,7.1,2.9,0,62.6,79.6
Mar 36,9.4,5,2,68.8,52.2
Apr 36,8.9,4.6,0,34.6,201.1
May 36,13.4,8,0,31,252
Jun 36,15.8,10.5,0,126.7,215.2
Jul 36,16.7,12.3,0,93.2,159.6
Aug 36,17.7,13.2,0,53.3,191.1
Sep 36,16.9,12.2,0,88.6,133
Oct 36,13.6,9,0,50.9,125.1
Nov 36,10.6,6.5,0,87.5,72.3
Dec 36,9.6,5.9,0,143.1,31.5
Jan 37,8.6,5.1,2,82.8,38.5
Feb 37,8.2,4.6,0,116.1,63.9
Mar 37,7.2,2.2,2,39.2,128.2
Apr 37,11.7,6.5,0,48.9,131.4
May 37,13.9,8.8,0,19,252.4
Jun 37,15.2,10.9,0,59.6,182.9
Jul 37,17.2,12.2,0,55.3,146.1
Aug 37,18.5,13.2,0,41,168.9
Sep 37,16.4,11.7,0,72.3,140.3
Oct 37,13.6,9.2,0,162.6,98.9
Nov 37,10.3,6.6,0,46.9,61.2
Dec 37,7.6,3.8,0,101.9,37.5
Jan 38,9,5.2,0,95.2,47.9
Feb 38,8.3,4.2,0,23.3,78
Mar 38,11.2,6.5,0,36.9,113.4
Apr 38,10.8,5.8,0,5.3,240.1
May 38,13,8.1,0,63,196.7
Jun 38,14.9,10.5,0,103.3,174.3
Jul 38,16.3,11.7,0,104.4,161.8
Aug 38,17.4,12.5,0,52.1,182.4
Sep 38,16.4,11.9,0,49.4,123.2
Oct 38,13.8,10.1,0,168.1,88.6
Nov 38,12.5,8.9,0,151.4,64.9
Dec 38,8.6,5,4,110.4,53.7
Jan 39,7.6,3.8,1,153.3,43.1
Feb 39,8.8,4.9,2,77.6,60.5
Mar 39,8.9,4.6,0,65.6,118.2
Apr 39,11.3,5.8,0,48.2,199
May 39,13.6,8.3,0,16.8,236.2
Jun 39,15.8,10.9,0,41.2,279.8
Jul 39,16.7,12.1,0,119.4,157.9
Aug 39,18.4,13.4,0,50.7,191.5
Sep 39,16.6,12.4,0,31.4,148.1
Oct 39,12.5,8,0,88.5,113.2
Nov 39,11.9,8.2,0,99.1,40.2
Dec 39,8.1,4.4,1,62.7,37.4
Jan 40,5.6,0.5,12,152.7,86.5
Feb 40,6.7,2.5,8,103.3,49
Mar 40,8.5,4.1,2,51.8,109.3
Apr 40,11.1,6.3,0,65.1,118.8
May 40,13.6,8.4,0,38.8,197.8
Jun 40,17.7,11.6,0,19.3,310.8
Jul 40,16.8,12,0,62.3,213.1
Aug 40,17.9,12.9,0,14.1,168.7
Sep 40,16,11,0,61.3,169.8
Oct 40,13.3,8.5,0,105,83.3
Nov 40,10.7,7.3,0,153.6,39.6
Dec 40,8.5,4.4,0,71.6,41
Jan 41,5,0.7,10,69.1,56.7
Feb 41,7.2,2.5,3,79.2,85.5
Mar 41,8.4,3,2,61.3,130.7
Apr 41,9.3,4.2,0,39.5,128.3
May 41,12.1,6.6,0,69.7,214.8
Jun 41,16.1,10.3,0,---,222.6
Jul 41,18.9,11.9,0,39.5,192.6
Aug 41,17.5,10.8,0,67.1,171.2
Sep 41,18.8,11.6,0,31.4,124.7
Oct 41,14.6,8.8,0,110.5,122.8
Nov 41,11.1,4.8,0,80.5,49.2
Dec 41,9.8,5.8,0,38.5,26.4
Jan 42,7.2,2.2,2,176.4,61.2
Feb 42,6,-0.7,17,26.6,64.9
Mar 42,9.7,2.7,5,82.7,77
Apr 42,13.8,5,0,29.2,219
May 42,14.2,7,0,79.8,213.1
Jun 42,17,8.9,0,1.3,269.5
Jul 42,17.9,11.3,0,51.7,199.3
Aug 42,18.4,12.7,0,76.7,130.9
Sep 42,16.3,10.4,0,87.8,126.5
Oct 42,13.4,8,0,104.1,80.9
Nov 42,10.2,2.7,7,31.8,55.7
Dec 42,10.5,6.5,0,129.7,23.5
Jan 43,8.9,4,5,134.3,58.5
Feb 43,9.5,5.1,0,51.5,74
Mar 43,10.9,3,6,26.3,153
Apr 43,12.9,6.2,1,28.5,167.3
May 43,14.7,7,0,79.1,237.2
Jun 43,16.7,10.2,0,66.8,237.7
Jul 43,19.4,11.3,0,39.3,247.2
Aug 43,18.2,11.8,0,73.7,154.4
Sep 43,16.5,9.3,0,79.2,127.4
Oct 43,14.6,7.9,0,125.9,110.3
Nov 43,10.8,5.5,2,64,50.8
Dec 43,8.3,2.4,9,60.4,56.6
Jan 44,9.5,5.5,1,104.2,31.2
Feb 44,7.5,2.6,5,47.3,74.3
Mar 44,8.8,2.5,7,14.5,129.9
Apr 44,12.9,6,0,42.8,159.7
May 44,14.4,7.2,0,56.8,198.9
Jun 44,16.2,9.7,0,52,185.7
Jul 44,18.4,12.5,0,108.3,119.3
Aug 44,19.8,11.5,0,54.5,221.5
Sep 44,16.2,9,0,117.7,138.2
Oct 44,13.1,7.3,0,77.3,93.4
Nov 44,10.5,5.5,2,89.7,34.7
Dec 44,8.6,4.2,3,52,40.6
Jan 45,5.6,-0.8,16,38.9,55
Feb 45,9.2,4.6,1,65.6,66.7
Mar 45,10.8,5.2,2,15.9,107.4
Apr 45,13.3,6.2,0,45.7,193.8
May 45,14.7,7.7,0,51.5,206.2
Jun 45,16.9,10.4,0,83.9,217.5
Jul 45,18.4,12,0,56.3,159
Aug 45,19.5,11.7,0,13.3,206.3
Sep 45,17.8,11.2,0,43.1,123
Oct 45,16,8.8,0,58,100.5
Nov 45,12,4.4,3,11.3,72.1
Dec 45,9.7,4.6,0,108.7,40
Jan 46,7.7,1.8,12,109.1,66
Feb 46,9,4.9,2,77.6,79.2
Mar 46,9.4,2.2,7,42.3,139.6
Apr 46,13,6.3,0,29.9,169.4
May 46,15.3,6.6,0,46.9,258.1
Jun 46,15.4,9.5,0,63.1,194.9
Jul 46,17.3,11.3,0,56.9,186.5
Aug 46,16.9,10.9,0,85,173.9
Sep 46,16.5,11.4,0,114.3,103.7
Oct 46,14.1,7.4,0,26.4,108.5
Nov 46,11.5,6.7,0,156.6,29.7
Dec 46,8.5,2.6,5,126.4,58.4
Jan 47,6.6,1.3,12,108.8,71.3
Feb 47,2.2,-3,24,20.7,77.5
Mar 47,7.3,1.7,10,143.9,89.1
Apr 47,10,5.1,0,95.5,150.7
May 47,15.8,8,0,80.3,210.2
Jun 47,17.4,10.5,0,68.6,185.7
Jul 47,17.5,11.6,0,55.6,153.4
Aug 47,23.7,12.9,0,18,283.7
Sep 47,18.1,11.5,0,92.2,135.5
Oct 47,15.1,7.9,0,9.2,136.4
Nov 47,10.9,6.1,3,98.5,65.9
Dec 47,8.7,4.4,4,53.9,40.5
Jan 48,8.1,4,1,194.8,55.7
Feb 48,7.8,2.8,11,34.6,80.3
Mar 48,12.4,4.5,0,48.9,170.1
Apr 48,11.9,5.2,0,35,206.4
May 48,15.5,6.7,0,31,289.3
Jun 48,15.5,9.9,0,76.2,181.1
Jul 48,17.8,12.2,0,64.6,185.9
Aug 48,17.3,12.1,0,102.4,122.7
Sep 48,15.8,11.4,0,58.6,95.9
Oct 48,13.8,8.3,0,64.4,108.5
Nov 48,12.1,6.6,1,65.7,74
Dec 48,9.8,4.6,5,102.5,71.3
Jan 49,9,4.7,2,60.5,40.3
Feb 49,8.8,4,5,27.9,102.9
Mar 49,9.6,2.7,4,60.7,149.9
Apr 49,11.3,6.6,1,47.2,156.1
May 49,14.5,6.8,0,41.9,260.4
Jun 49,18.3,10.2,0,7.9,292.9
Jul 49,20,12.4,0,46.9,232.1
Aug 49,19.3,12.9,0,53.8,196.9
Sep 49,19.5,12.3,0,52.6,214.7
Oct 49,15.5,10.4,0,136.9,85.3
Nov 49,11.4,6.5,0,90.4,57.7
Dec 49,9.9,5.4,0,71.4,44.7
Jan 50,8.4,2.7,11,23.4,67.8
Feb 50,8.8,3.7,3,123.2,60.6
Mar 50,10.7,4.4,0,54.4,125
Apr 50,10.6,5,0,65.9,166.4
May 50,15.7,7.6,0,15.8,260.5
Jun 50,18.2,11.4,0,33.5,229.3
Jul 50,18,12.6,0,57.3,184.9
Aug 50,17.7,12.8,0,100.9,184.4
Sep 50,15.6,10.8,0,175,113.3
Oct 50,13.1,8.1,1,80.1,102
Nov 50,9.9,4.3,3,93.6,79
Dec 50,5.8,1.5,8,87,39.2
Jan 51,7.4,2.8,4,80.2,64.1
Feb 51,7,2.1,2,80.9,91.7
Mar 51,7.4,2.2,4,110.2,85.5
Apr 51,9.7,3.5,1,38.5,199.5
May 51,13.7,6.5,0,65.6,240.8
Jun 51,17.2,9.8,0,17.6,244.3
Jul 51,17.9,12,0,27.3,204.2
Aug 51,17.3,12.3,0,142.6,162.7
Sep 51,16.9,12.1,0,107.2,120.7
Oct 51,14.3,8.1,0,26.5,140.1
Nov 51,11.7,6.6,0,155.3,59.6
Dec 51,9.3,4.3,3,143.3,49
Jan 52,6.9,2.3,5,89.7,78.9
Feb 52,7.5,2.3,6,22.1,87.7
Mar 52,9.5,4.1,3,52.9,128.4
Apr 52,12.3,5.9,2,50.7,156.9
May 52,15.9,8.7,0,61.7,206.6
Jun 52,15.9,10.3,0,46.5,200.2
Jul 52,19.1,12.6,0,28.6,165.3
Aug 52,18.3,12.3,0,87,168.2
Sep 52,14.8,8.6,0,80.7,130.6
Oct 52,12.7,7.3,0,99.3,124.4
Nov 52,8.5,3.6,3,68.1,73.6
Dec 52,7.7,2.8,8,89.9,45.4
Jan 53,7.3,3.5,7,39,37.5
Feb 53,7.6,3,4,73.3,55.1
Mar 53,9.9,2.2,6,20.2,152.8
Apr 53,11,3.8,1,75.1,228.3
May 53,16.2,8.6,0,68.8,230.5
Jun 53,17.1,10.3,0,23.7,220.3
Jul 53,18,12.4,0,51,204.1
Aug 53,18.6,12.4,0,79.1,174.4
Sep 53,17.1,11.9,0,98.9,117.6
Oct 53,13.8,8.2,0,76.3,109
Nov 53,11.9,8.5,0,124.7,61
Dec 53,11.2,5.9,0,39.5,43.1
Jan 54,7.2,2.9,8,55.9,57.6
Feb 54,7,0.7,8,80.1,81.3
Mar 54,9.8,3.5,5,73.2,150.3
Apr 54,11.8,4.4,0,32.4,227.3
May 54,14.7,7.8,0,68.2,201.6
Jun 54,15.7,10.3,0,80.6,181.3
Jul 54,16.1,11,0,78.2,128.2
Aug 54,16.4,11.6,0,85.8,159.2
Sep 54,15.7,10.6,0,86.5,164.6
Oct 54,14.2,10,0,157.2,57.5
Nov 54,11,5.9,0,168.2,69.9
Dec 54,9.4,5.9,0,79.2,30.6
Jan 55,6.3,1.5,10,80.7,47.7
Feb 55,5.5,0,13,60.3,113
Mar 55,7.6,1.1,11,34,195.6
Apr 55,11.9,5.4,1,52,179.9
May 55,13,7.1,0,58.6,207.3
Jun 55,16.2,10.5,0,100.9,146.8
Jul 55,21.8,11.9,0,25.8,341.4
Aug 55,21.3,13,0,26.9,270.9
Sep 55,17.3,11.9,0,53.7,176.7
Oct 55,13.4,7.5,0,32.7,109.5
Nov 55,11.3,5.2,1,27.8,70.4
Dec 55,9.6,5.2,3,90.9,36.8
Jan 56,7.7,2.8,3,89.3,53.4
Feb 56,5.4,-1.6,21,26.5,100.6
Mar 56,11,3.4,4,23.3,172.9
Apr 56,11.3,3.9,1,29.4,215
May 56,14.5,7.9,0,39.1,240.1
Jun 56,15.8,9.3,0,47.5,220.9
Jul 56,18,12.1,0,107.3,167
Aug 56,16.4,10.6,0,210.4,181.3
Sep 56,17.6,12,0,80.6,103.6
Oct 56,13.6,7.9,0,73.5,129.8
Nov 56,10.5,5.8,1,34.6,46.8
Dec 56,9.7,5.8,1,112.8,34.2
Jan 57,8.9,4.1,3,91.6,58
Feb 57,8.7,2.6,4,99.2,104.6
Mar 57,12.3,7,0,72,98.8
Apr 57,12.2,6,0,12.3,193.1
May 57,14.8,7,0,76.6,256.7
Jun 57,18.5,10.6,0,46.6,294.7
Jul 57,18.3,12.8,0,113.9,146.8
Aug 57,18.7,12.5,0,115.8,155.3
Sep 57,15.4,10.7,0,146.6,109.9
Oct 57,14.2,8.9,0,98.4,79.8
Nov 57,10.3,5.2,1,53.7,61.3
Dec 57,9.2,3.9,4,102.5,63.4
Jan 58,8,3.2,8,82.7,55.4
Feb 58,8.4,3.4,2,132.4,60.1
Mar 58,8.4,1.1,11,21.6,138.4
Apr 58,11,4,4,26.3,168.1
May 58,13.1,7,0,103.6,178.1
Jun 58,16.1,10.4,0,102.3,180.4
Jul 58,17.7,11.7,0,92,170.1
Aug 58,17.4,12.7,0,71.1,135
Sep 58,18.1,12.3,0,170.8,116.2
Oct 58,14.1,9.8,0,80.2,89.1
Nov 58,11.2,6.2,0,74.9,44.5
Dec 58,8.9,3.6,2,87.1,44
Jan 59,6.7,1.6,9,110.6,83
Feb 59,8.6,3.4,8,16.8,86.9
Mar 59,10.7,4.9,0,38.5,159.1
Apr 59,12.1,6.3,0,54.4,147
May 59,16.9,8.6,0,44.2,259.9
Jun 59,18.1,10.9,0,40.8,263.4
Jul 59,19.5,12.4,0,27.1,225.6
Aug 59,20.3,12.9,0,4.9,216.7
Sep 59,19.8,10.5,0,20.7,191.4
Oct 59,16.9,10.5,0,133.2,118.5
Nov 59,11,6.9,0,187,38.1
Dec 59,9.7,5.3,0,156,30.3
Jan 60,8.4,3,5,128.2,54
Feb 60,7.6,2.1,7,96.4,93.6
Mar 60,10.8,4.1,2,41,110.3
Apr 60,12.2,5.9,0,57.3,206.8
May 60,16.1,8.8,0,35.6,234.5
Jun 60,18.9,11.5,0,29.9,267
Jul 60,17.5,12.3,0,76.9,180.8
Aug 60,18.1,12.1,0,49,193.5
Sep 60,16.4,10.7,0,97.6,152.7
Oct 60,14.1,8,0,140.3,96.5
Nov 60,10.9,6.6,1,182.9,60.2
Dec 60,8,3,7,110.1,79.6
Jan 61,7.7,1.9,12,133.9,59.8
Feb 61,9.5,5.1,0,76.4,64.5
Mar 61,10.6,6.1,0,14.1,103.2
Apr 61,12.5,7.1,0,103.4,137.7
May 61,14.1,8.1,0,48.9,260.7
Jun 61,16,10.7,0,40.1,197.9
Jul 61,17,11.5,0,69.4,179.8
Aug 61,17.9,11.8,0,105.7,197.3
Sep 61,17.9,12.2,0,86.6,138.5
Oct 61,14.1,8.9,0,179.3,111.9
Nov 61,10.2,5.7,0,104.4,73.9
Dec 61,7,1.5,11,94.4,76.1
Jan 62,8,3.1,6,106.7,63.9
Feb 62,7.9,3.6,3,40.3,76.2
Mar 62,7.3,0.3,12,46.9,156.6
Apr 62,11,4.6,1,36.7,206.6
May 62,13.1,7.1,0,62.4,234.8
Jun 62,15.8,9.2,0,41.5,206.7
Jul 62,17.4,11.4,0,43.9,185
Aug 62,16.7,11.5,0,81.9,162
Sep 62,15.6,10.6,0,69.3,109.7
Oct 62,14.6,7.9,0,41.1,132.3
Nov 62,10,5.2,0,99.7,48.8
Dec 62,7.5,2,10,59.3,75.3
Jan 63,3.2,-2.8,21,19.1,93.1
Feb 63,5,-2.1,22,11.9,131.8
Mar 63,9.6,3.7,3,107.5,132.6
Apr 63,10.8,5.3,0,76.5,130.9
May 63,13,7.1,0,53.8,206.8
Jun 63,17.3,10.6,0,94.4,206.1
Jul 63,17.4,11,0,20.6,181.1
Aug 63,17.3,11.8,0,118.7,150.2
Sep 63,16.3,9.4,0,68.5,185.6
Oct 63,14.2,9.1,0,68.1,88.5
Nov 63,11.7,6.1,0,127.4,77
Dec 63,7.2,1.8,10,17.3,77.3
Jan 64,8.1,3.5,7,24.6,46.2
Feb 64,8.2,3,5,14.7,82.1
Mar 64,8.9,2.9,3,78.3,113.8
Apr 64,11.8,6.1,0,45,155.9
May 64,15.6,9.3,0,71.7,183.4
Jun 64,16,10.3,0,67.9,172.6
Jul 64,17.7,12.3,0,55.3,159.1
Aug 64,18.3,11.8,0,83.1,199.2
Sep 64,17.7,11.1,0,51.2,167.4
Oct 64,13.3,7.3,1,87.5,83.5
Nov 64,11.7,5.9,3,73.6,82.5
Dec 64,8.3,3.6,3,178.6,48
Jan 65,7.2,2.5,6,119,77.4
Feb 65,7.1,1.4,9,10,58
Mar 65,9.9,2.8,9,51.9,141.8
Apr 65,11.9,5.1,1,45.8,201.5
May 65,14.2,7.9,0,57.2,195.6
Jun 65,16.6,10.3,0,111.1,210.9
Jul 65,17.2,11.2,0,77.5,178.4
Aug 65,18.3,11.8,0,80.5,203.5
Sep 65,15.2,10.1,0,110.4,103.6
Oct 65,15.6,8.5,0,70.2,151.1
Nov 65,8.9,3.5,4,103.7,88.8
Dec 65,8.8,4.3,4,168.7,53.5
Jan 66,6.8,2.2,10,51.6,57.8
Feb 66,8.5,4.2,3,109.2,57.9
Mar 66,9.8,5.2,0,50.6,124.7
Apr 66,10.4,5,1,93.5,127.1
May 66,14.2,7.8,0,54.5,259.9
Jun 66,17.1,11.8,0,81.1,175.8
Jul 66,17.8,11.8,0,47.3,210.8
Aug 66,18.1,11.4,0,88.4,189.4
Sep 66,17.4,10.9,0,76.3,153.4
Oct 66,13.7,8.3,0,98,106.9
Nov 66,9.7,5.3,0,56.7,56.1
Dec 66,9.1,5.3,0,113.3,41.3
Jan 67,8,4.2,5,52.8,47.9
Feb 67,8.7,3.8,4,73.4,102.7
Mar 67,9.6,5.3,0,29.8,153.2
Apr 67,11.2,5.1,1,46.7,172.3
May 67,12.5,7.3,0,122.5,178.7
Jun 67,17.1,9.8,0,38.2,219.3
Jul 67,18.1,12.8,0,99.9,168
Aug 67,18.1,12.5,0,47.4,175.6
Sep 67,16.6,10.7,0,118.5,169.8
Oct 67,13.6,9.5,0,171.8,86.7
Nov 67,10.2,4.5,1,79.8,78.2
Dec 67,8.4,4.6,5,81.3,57.7
Jan 68,7.9,4.3,3,89.3,33.2
Feb 68,6.3,0.8,7,43.9,117.8
Mar 68,9.3,3.9,4,53.4,115.8
Apr 68,11.6,4.7,3,62.7,181.2
May 68,13,6.3,0,55.9,192.6
Jun 68,17.7,11,0,46.9,229.3
Jul 68,18.4,11.2,0,86.7,215.4
Aug 68,19,12.5,0,58.3,201.7
Sep 68,17.1,11.8,0,102.1,132.1
Oct 68,14.9,11,0,98.2,53.4
Nov 68,10.2,5.5,4,67.1,71.1
Dec 68,7.8,2.7,4,50.2,56
Jan 69,8.2,4.4,3,116.3,32.5
Feb 69,5.3,0.1,10,72.2,56.1
Mar 69,7.6,1.6,7,28,132
Apr 69,11.3,4.4,2,66.6,212.4
May 69,13.7,7.7,0,84.8,169.2
Jun 69,17.3,9.9,0,58.2,290.8
Jul 69,18.6,12.2,0,13,176.6
Aug 69,18.6,13,0,64.2,159
Sep 69,17.3,11.4,0,28.6,107.6
Oct 69,16.7,11.2,0,19.1,117
Nov 69,9.1,4,4,186.4,65.9
Dec 69,8,3,6,119.1,47.6
Jan 70,8,2.9,6,73.2,43.3
Feb 70,7,1.9,9,59.4,97.5
Mar 70,7.7,2.6,4,69.6,127.5
Apr 70,9.3,4.4,1,98,155.3
May 70,15.4,9,0,10.4,154.2
Jun 70,20,11.6,0,42.6,255.7
Jul 70,17.1,11.7,0,77.2,146.7
Aug 70,19.2,12.3,0,82.8,176.3
Sep 70,17.2,11.7,0,48.2,130
Oct 70,14,8.8,0,90.2,98.2
Nov 70,11.1,7.2,0,179,51.9
Dec 70,8.5,3.6,6,48.5,55.4
Jan 71,8.5,4.1,3,61,48.4
Feb 71,8.3,4.1,2,46.6,67.7
Mar 71,8.6,3.4,4,91.7,83.5
Apr 71,12.1,5.3,0,41.1,168.5
May 71,15.3,7.8,0,27.6,250.5
Jun 71,15.5,9.7,0,67.7,163.2
Jul 71,19.8,12.3,0,44.7,272.1
Aug 71,18.1,12.6,0,58.2,147.6
Sep 71,18.9,11.3,0,35.1,185.8
Oct 71,15.4,10,0,49.9,101.7
Nov 71,10.8,6.3,0,101.7,60
Dec 71,10.1,6.2,1,25.7,32.5
Jan 72,7.7,3.2,5,88.9,53.5
Feb 72,8.3,3.5,1,51.4,85.4
Mar 72,10.3,3.7,1,65.6,133.1
Apr 72,11.3,6.1,0,84.4,171.5
May 72,13.2,7.9,0,37.8,182.2
Jun 72,14.2,9.3,0,98.8,199.8
Jul 72,18.5,12,0,70.7,216.6
Aug 72,17.5,11,0,29.1,184.7
Sep 72,16.6,8.9,0,26.3,185.4
Oct 72,15.4,8.5,0,39.4,119.9
Nov 72,10.5,5.8,2,127.1,62
Dec 72,10.5,5.8,3,85.1,45.6
Jan 73,8.4,4.4,3,47.2,41.1
Feb 73,8.3,3.8,4,28,76.9
Mar 73,10.2,3.8,2,33.6,157.8
Apr 73,10.6,4.6,2,48.9,172.8
May 73,15.2,8.2,0,87.7,163.4
Jun 73,17.6,10.2,0,13.8,248.8
Jul 73,17.7,11.7,0,80.6,182.3
Aug 73,19.6,12.9,0,92.3,191.6
Sep 73,17.5,11.4,0,126.7,145.3
Oct 73,13.5,8,0,57.1,105.1
Nov 73,10.7,5.8,0,96.1,61.1
Dec 73,9.1,4.4,6,77.6,46.3
Jan 74,9.5,5.4,0,143.6,50.1
Feb 74,8.9,4.6,0,89.9,73.6
Mar 74,9.4,3.6,1,35.2,117.7
Apr 74,13.6,4.9,0,7.7,242.4
May 74,14,8.1,0,64.3,203.9
Jun 74,17.4,10.6,0,23.1,268.3
Jul 74,16.8,12.1,0,84,176.6
Aug 74,17.7,12.3,0,40.1,182
Sep 74,15.3,10.3,0,160,125.7
Oct 74,11.5,6.9,0,85.9,103.2
Nov 74,10,5.3,1,82.7,69.1
Dec 74,10.2,7,0,52.1,33.9
Jan 75,9.5,5.8,1,127.5,41
Feb 75,9.8,2.3,6,21.2,129.3
Mar 75,8.3,2.7,2,48.2,142.7
Apr 75,10.7,5.3,0,76.2,162
May 75,13.8,6.1,0,24.5,278.9
Jun 75,18.5,9.8,0,11.1,304.1
Jul 75,19.6,13.2,0,48.1,204.6
Aug 75,20.4,13.6,0,77.9,220.8
Sep 75,16.3,10.6,0,75.6,171.1
Oct 75,14.5,8.4,0,58,139.1
Nov 75,11,5.4,0,94.9,73.1
Dec 75,9.4,5.9,0,54.4,32.6
Jan 76,9,5.3,1,52.3,32.4
Feb 76,7.7,3,4,40.3,66.6
Mar 76,8.8,2.7,7,40.2,113.4
Apr 76,11.7,5.4,0,37.1,198.5
May 76,14.1,8.7,0,44.5,186.9
Jun 76,18.5,11.6,0,16,204
Jul 76,20.7,13.8,0,29.6,225.9
Aug 76,22.4,12.8,0,10.7,294.2
Sep 76,16.5,10.7,0,140.4,114.5
Oct 76,13.7,8.6,0,129.2,79.8
Nov 76,10.6,5.9,0,94.3,72
Dec 76,6.9,2.1,3,57.1,57.2
Jan 77,6.8,2.1,8,85.5,52.8
Feb 77,8.3,3.7,4,161.2,57.9
Mar 77,10,5.4,1,56.7,103.9
Apr 77,10.2,5.4,2,58.4,172.8
May 77,14.8,7.2,0,25.6,302.7
Jun 77,16.1,9.4,0,73.7,247.2
Jul 77,19.3,12.6,0,20.9,211.8
Aug 77,19.2,12.3,0,55.3,213.4
Sep 77,16,11.3,0,46.6,121.6
Oct 77,15.8,10.7,0,122.2,115.8
Nov 77,10,5.3,4,110,61.8
Dec 77,9.5,5.3,0,104.7,44.9
Jan 78,7.3,3.1,2,84.5,64.5
Feb 78,6.6,1.9,12,75.5,69.1
Mar 78,9.3,4.8,1,62.7,122.3
Apr 78,10.6,3.9,3,37.1,179.8
May 78,16.3,7.6,0,17.3,247.2
Jun 78,16.3,10,0,47.1,169
Jul 78,16.7,11.4,0,69.9,165.6
Aug 78,16.8,12.1,0,70.2,134
Sep 78,16.4,11.7,0,50.6,133.8
Oct 78,15,10.8,0,37.4,95.1
Nov 78,11.8,8.1,2,71.8,53.9
Dec 78,8.3,3.5,7,131.3,54
Jan 79,5.8,0.7,12,99.8,76.7
Feb 79,5.3,0.8,10,42.5,75.1
Mar 79,7.6,2.9,1,100.6,109
Apr 79,10.3,4.9,1,47,171.1
May 79,11.3,6.5,0,85.1,190.2
Jun 79,16.3,10.5,0,13.1,215.5
Jul 79,17.8,12.2,0,17.7,176.1
Aug 79,17.2,11.8,0,90.8,183.7
Sep 79,16.1,10.8,0,52.9,149.5
Oct 79,14.9,9.7,0,101.6,104
Nov 79,11.1,6.5,1,126.8,62
Dec 79,9.3,5.2,2,155.5,48.7
Jan 80,6.9,1.7,9,116,83.4
Feb 80,8.9,4.3,3,111.7,38.9
Mar 80,8.3,3.2,3,89.3,118.9
Apr 80,12.7,5.5,0,7,207.4
May 80,16.3,7.4,0,29.8,303.3
Jun 80,16.1,10.5,0,67.3,161.2
Jul 80,17.7,11.9,0,29.9,191.8
Aug 80,17.8,12.8,0,99.1,129.7
Sep 80,17,12.7,0,71.4,118.5
Oct 80,12.7,7.8,0,109.3,97
Nov 80,10.3,5.7,2,95.3,55.7
Dec 80,9.5,4.8,2,77.6,45.5
Jan 81,8.5,4,1,51.6,41.1
Feb 81,7.3,2,10,31.1,89
Mar 81,10.1,5.7,0,151.9,94.6
