well,E,N,dist_forest_m,dist_cost_m,dist_basis,dd_mm
ceh41,242284.022,363324.592,968.0136251393684,804.1622727292797,cost,4.0689451087915645
d9,242710.726,363910.68,1005.8953094674997,807.6618958860487,cost,4.005568142174145
d17,242446.951,363534.961,986.1877676208447,808.1197469214168,cost,3.997349971513569
l1,242804.097,364389.095,999.7019007265889,833.1891883642469,cost,3.572183352796771
l7,242812.0,364395.0,1007.8524581969996,845.4709054844085,cost,3.3807060424504662
d25,242215.187,363143.807,1011.517616619527,851.5603686236653,cost,3.289609660801384
ceh42,242120.528,362743.198,1155.9903754230445,989.1323219683622,cost,1.7747487128469246
wmc1,242765.629,363643.556,1190.401811236201,1007.1064635181235,cost,1.6372725380704278
d43,242664.714,363428.693,1226.238302300322,1017.9399192152687,cost,1.5596101064853345
ceh10,242538.185,363173.915,1263.0284308564896,1057.3033893710437,cost,1.3071668975576511
t41b,242715.085,363309.565,1334.4169686895334,1112.3190393886705,cost,1.0213006854636124
t41c,242721.13,363323.682,1331.5762434533822,1113.675563258976,cost,1.01510494632512
t41d,242731.987,363353.284,1324.1088545179246,1114.6955469575098,cost,1.0104710772886447
t41a,242709.928,363275.666,1349.0116556906041,1122.0601072046,cost,0.977635123230474
d41,242771.66,363342.853,1362.8696199359174,1154.5430525926972,cost,0.8450763067572009
d44,242819.407,363279.547,1437.7821054221224,1207.1266841189538,cost,0.6675078633766521
ceh37,242886.0,363346.0,1456.0863062958022,1220.4634762312603,cost,0.6287451307587497
d38,242711.571,363069.196,1465.3574213529753,1220.9719664061886,cost,0.6273126304524751
ceh24,242938.911,363392.114,1474.3530166378443,1238.6853499707472,cost,0.5793968487601102
ceh11,242618.62,362688.287,1600.278085015253,1364.2527671860307,cost,0.3298792353306782
ceh8,243149.932,363382.305,1655.0866709867562,1373.809019789228,cost,0.31603719247294043
pe,242739.0,362823.0,1625.2437000712032,1377.893783921449,cost,0.3102991313910741
ceh7,243385.803,363612.9,1743.468811582348,1417.2176318800828,cost,0.2601194035099253
