well,cluster_id,MSL5_bg_2017_m,MSL5_bg_2023_m,raw_change_mm,E,N,significant_25mm
nw11,3.0,-0.44,-0.5473333333333333,-107.33333333333334,241689.0,364237.0,True
nw1,3.0,-1.088666666666667,-1.196,-107.33333333333306,241725.0,364139.0,True
ceh10,2.0,-1.0746666666666669,-1.1814426229508197,-106.77595628415281,242538.185,363173.915,True
ceh2,4.0,-0.3153333333333333,-0.4166666666666667,-101.33333333333339,241421.0,363979.0,True
nw7,3.0,-1.0953333333333333,-1.1933333333333334,-98.00000000000009,241423.695,363584.862,True
nw2,3.0,0.0346666666666666,-0.0633333333333334,-98.0,241703.008,364112.082,True
wmc2,3.0,-0.3313333333333333,-0.4273333333333333,-95.99999999999997,241885.149,362855.856,True
ceh11,1.0,-0.3013333333333333,-0.3953333333333333,-94.00000000000003,242618.62,362688.287,True
d9,2.0,-0.25,-0.3426666666666667,-92.66666666666667,242710.726,363910.68,True
t41a,2.0,0.2006666666666667,0.1086666666666666,-92.00000000000009,242709.928,363275.666,True
wmc4,3.0,-0.5273333333333333,-0.6166666666666667,-89.33333333333337,241761.0,364180.0,True
nw13,3.0,-0.4753333333333333,-0.5626666666666666,-87.33333333333337,241761.0,364180.0,True
ceh26,1.0,-0.2146666666666666,-0.3006666666666666,-86.0,242172.261,364362.239,True
d25,3.0,-0.2799999999999999,-0.3657704918032787,-85.77049180327879,242215.187,363143.807,True
wmc3,3.0,-0.964,-1.0493333333333332,-85.33333333333326,241217.327,363562.323,True
d15,2.0,0.0373333333333333,-0.0386666666666666,-75.9999999999999,241980.565,363895.719,True
d44,2.0,-0.372,-0.4473333333333333,-75.33333333333331,242819.407,363279.547,True
d17,2.0,-0.0799999999999999,-0.1546666666666666,-74.66666666666669,242446.951,363534.961,True
ceh36,3.0,-0.5,-0.5740000000000001,-74.00000000000007,241161.0,363306.0,True
d5,2.0,-0.1939999999999999,-0.2646666666666666,-70.66666666666671,242083.407,363901.712,True
d43,2.0,-0.3933333333333333,-0.4639999999999999,-70.6666666666666,242664.714,363428.693,True
d41,2.0,-0.1306666666666666,-0.1966666666666666,-66.0,242771.66,363342.853,True
wmc1,2.0,-0.2786666666666667,-0.344,-65.3333333333333,242765.629,363643.556,True
t41c,2.0,-0.104,-0.1686666666666666,-64.66666666666661,242721.13,363323.682,True
t41b,2.0,-0.1653333333333333,-0.2266666666666666,-61.33333333333329,242715.085,363309.565,True
ceh27,1.0,-0.182,-0.24,-57.99999999999999,242005.373,364330.297,True
d6,2.0,-0.2466666666666666,-0.3033333333333333,-56.6666666666667,242114.898,364021.851,True
ceh6,1.0,-0.086,-0.1406666666666666,-54.666666666666615,242621.679,364724.912,True
nw4b,2.0,-0.1413333333333333,-0.1933333333333333,-51.99999999999999,242414.677,363751.66,True
t41d,2.0,-0.2786666666666667,-0.3299999999999999,-51.33333333333323,242731.987,363353.284,True
nw3,2.0,-0.278,-0.3286666666666667,-50.66666666666669,242091.94,363939.361,True
nw4,2.0,-0.1193333333333333,-0.1693333333333333,-50.0,242431.164,363744.512,True
d10,2.0,-0.1506666666666666,-0.1913333333333333,-40.666666666666714,242613.907,364118.797,True
ceh5,1.0,-0.2112203389830508,-0.2513333333333333,-40.11299435028251,242521.077,364465.817,True
d8,2.0,-0.1313333333333333,-0.1646666666666666,-33.3333333333333,242676.867,364024.231,True
d7,2.0,-0.2306666666666666,-0.2553333333333333,-24.666666666666696,242610.75,364204.554,False
l7,2.0,-1.304,-1.321333333333333,-17.33333333333298,242812.0,364395.0,False
ceh25,1.0,-0.346,-0.3586666666666666,-12.666666666666604,242512.557,364638.544,False
