well,Cluster,Cluster_Label,basis,fit_start,fit_end,pastas_gain,pastas_gain_se,pastas_efold_months,pastas_efold_months_se,pastas_f_evap,pastas_f_evap_se,pastas_base_level_m,pastas_base_level_m_se,pastas_beta_1_recharge,pastas_beta_2_atmospheric_draw,pastas_beta_3_drainage,pastas_R2,pastas_n_obs,pastas_ar1_gain,pastas_ar1_gain_se,pastas_ar1_efold_months,pastas_ar1_efold_months_se,pastas_ar1_f_evap,pastas_ar1_f_evap_se,pastas_ar1_base_level_m,pastas_ar1_base_level_m_se,pastas_ar1_beta_1_recharge,pastas_ar1_beta_2_atmospheric_draw,pastas_ar1_beta_3_drainage,pastas_ar1_R2,pastas_ar1_n_obs,pastas_ar1_ar1_alpha_days,ssmA_beta_1_recharge,ssmA_beta_2_atmospheric_draw,ssmA_beta_3_drainage,ssmA_gain,ssmA_efold_months,ssmA_inv_beta3_months,ssmA_f_evap,ssmA_base_level_m,ssmA_R2,ssmB_beta_1_recharge,ssmB_beta_2_atmospheric_draw,ssmB_beta_3_drainage,ssmB_gain,ssmB_efold_months,ssmB_inv_beta3_months,ssmB_f_evap,ssmB_base_level_m,ssmB_R2,identified,ident_reason
T41b,2,C2 (Dune),full_record,2010-03,2026-02,21.78102091068742,1.6664417357727235,5.612188213390787,0.43490011321204713,-0.6313566079374132,0.0590214443927471,-1.2207446675644513,0.11651269903350019,3.5549074309476483,2.244414297134611,0.16321123998385867,0.8544442376247592,191,19.750254882208285,2.903164830254379,5.250757127605811,0.7261994568397737,-0.6720761002473726,0.09054571159088512,-1.0945570247166632,0.1848541396382361,3.424928434860744,2.3018125461275463,0.17341186001331244,0.8531631267155192,191,84.99245237301426,3.87441507976966,1.427918693722528,0.0630381278313001,61.461455361399715,15.357989601808287,15.863415275849508,-0.3685507784590339,-3.7,0.730028471467179,3.301705979683595,2.501660160726233,0.20613800554207612,16.016968685619997,4.331898949860933,4.851119022764988,-0.757687139957256,-0.8784380357279731,0.7725488592592205,True,
T41c,2,C2 (Dune),comparison_window,2017-10,2026-02,22.415252445324565,2.7412227296564833,5.498071933011786,0.6331342861243179,-0.6232580884876187,0.08769312737643255,-1.2476145924591144,0.1938972521040008,3.727661870334876,2.3232954118330964,0.16630024040226243,0.8725001383152551,100,21.956454377398263,4.880297424009221,5.434123423769767,1.0977794200286906,-0.6399295004887752,0.13405952234293703,-1.212364142702101,0.3232853604169504,3.6905015576867966,2.3616608183635583,0.1680827648331854,0.8723799019219595,100,77.00921060609002,4.244655525586807,1.4016163300519249,0.0703125912868501,60.36835576532996,13.716128723259953,14.222203757508515,-0.3302073210895381,-3.7,0.7636211014005329,3.49604076243022,2.678819296316425,0.2108343917021642,16.581928281268798,4.223346016543369,4.743059194121673,-0.766243724931366,-0.871711845653599,0.7944689566998892,True,
T41c,2,C2 (Dune),full_record,2010-03,2026-02,21.600713494895825,1.5737637715513053,5.37238145232102,0.3942634796662995,-0.623260277196648,0.05589623025097186,-1.252929924631783,0.11056494881815386,3.6686717557978907,2.286537375462107,0.16984030442627673,0.8663710585100404,189,19.394113496321605,2.6451796476191816,4.967630386502506,0.6346014052474249,-0.6773325601605924,0.08662016426761694,-1.105787110515527,0.17150112324183708,3.536236147079218,2.3952078828335956,0.1823355394795395,0.8649564034726511,189,84.97884344699848,4.000918566647708,1.4745111262471469,0.0656362310153935,60.95594620156332,14.729830828653778,15.235487847641231,-0.3685431487006273,-3.7,0.7476830652065244,3.389434714294461,2.648630918932192,0.21965420754738874,15.430775272370852,4.031963245409344,4.552610264860315,-0.7814373611510987,-0.8656475532062062,0.7961407114251747,True,
T41d,2,C2 (Dune),comparison_window,2017-10,2026-02,18.23665501006381,2.3756169792286843,4.979685088422368,0.5785352150390811,-0.7673398925507191,0.10554431509683433,-1.139545687402789,0.16635903024578053,3.3179220529300433,2.545973951587001,0.18193698631130895,0.8685386954222629,100,17.27297873945,3.8241152158259393,4.765665355968162,0.9190436523675288,-0.7903518634727386,0.1647521919701012,-1.0928500309178697,0.2560407963252971,3.2694539417884547,2.584019015430796,0.1892814199047963,0.8680954183222069,100,64.0476105970538,3.967884145284753,1.426013265446176,0.0686374868257145,57.80928656901546,14.06337294796981,14.569298006776057,-0.35938883627456286,-3.7,0.7221335268842877,3.0151990408706144,3.0098295100571657,0.2492935177948231,12.094975703909896,3.4874733846020396,4.011335749303492,-0.9982191786543225,-0.7855646465521233,0.7700429595403998,True,
T41d,2,C2 (Dune),full_record,2010-03,2026-02,20.33047630371214,1.5794048724332435,5.4924747266242155,0.42472626410371517,-0.6980990988473948,0.061879931075028614,-1.321174209952436,0.10809374981720908,3.3841043997224562,2.362440231851751,0.16645475242036278,0.8582280732277966,189,18.23083021592646,2.590107340132841,5.000449729231256,0.6585128803187693,-0.7412873618551583,0.09451773046066114,-1.2034264745473129,0.1640870859889591,3.3044203768555094,2.4495250636196486,0.1812545198281078,0.8570144664974325,189,83.46191196592515,3.8088894333808807,1.538097237393862,0.0646289068168521,58.93476496785965,14.967385170660844,15.472952417930243,-0.4038177700602357,-3.7,0.7345738118870453,3.16015807595715,2.7021641364732125,0.22317473632484175,14.160017070020798,3.9597712617180902,4.480793912732358,-0.85507245888476,-0.9755435279418507,0.7849318928404988,True,
WMC1,2,C2 (Dune),comparison_window,2017-10,2026-02,27.43408791864612,4.021819073216972,8.028353042662149,1.1267462207511778,-0.6786439734826343,0.0975828056452714,-1.5223948394550864,0.25440605223163615,3.2129001797592665,2.1804153443948984,0.11711343162881516,0.850409607001965,100,26.426393735928585,7.124774710469619,7.700162942218377,1.9308681033087256,-0.6829318005697371,0.14584566356417483,-1.4863622628606923,0.4204725666668808,3.2184205429206676,2.1979617363674424,0.1217881098375142,0.8498669490454492,100,69.90126466579781,3.6656458229760265,1.5783855672683544,0.0578637165954361,63.34964358762168,16.777020217411952,17.281987035013117,-0.43058867209023244,-3.7,0.7065356756078185,2.999465454953981,2.532185270251857,0.1840727706374446,16.294998138870962,4.9156932143341585,5.432634042161678,-0.8442121798968033,-0.959563571683153,0.7355735111339352,True,
WMC1,2,C2 (Dune),full_record,2008-12,2026-02,28.150009190439278,2.2954281125445717,8.075563166891381,0.66925138143583,-0.6667651476746845,0.05864639545327292,-1.6007350400436888,0.14597676914591506,3.2786400556489603,2.186082920876915,0.11647030142933312,0.8509674428549511,203,28.254691180421872,4.373431182759032,8.037768403368622,1.206848045557253,-0.6509047813413572,0.0822194353801089,-1.630254921976382,0.25392738985536484,3.305363837157531,2.1514771256786522,0.11698460323105109,0.8508994662610047,203,74.86509186833672,3.6133754808870777,1.7264934609328555,0.0554332193706393,65.1842978255911,17.534972249179358,18.03972439907863,-0.47780627008323096,-3.7,0.7101932322693667,3.080948655458911,2.553675265501685,0.1824366468853276,16.887772868328767,4.964580620345507,5.481354854261053,-0.828860052885663,-1.020285090968922,0.7445918918947945,True,
WMC2,3,C3 (Western Residual),comparison_window,2017-10,2026-02,35.528132242453935,5.897863050809416,9.474252811494756,1.5494651725164945,-0.5932151849628164,0.09883555363506352,-2.0756284657081414,0.36828616278433707,3.558846555624462,2.111161817749047,0.100169818422705,0.8216923926831682,100,34.476414236828845,14.126584278240346,10.615643330938644,4.06185716640832,-0.6921354924247058,0.1481937254760746,-1.8540466445236172,0.7115989610874001,3.099423594106385,2.1452210755395744,0.0898998246399847,0.8118369076340273,100,178.18159076618545,3.329987730963831,1.787369324549538,0.0468729419458195,71.04285740828831,20.830269583116216,21.334270017783425,-0.5367495225071601,-3.7,0.7582588149844103,2.9910856215156065,2.2452468929849854,0.1058765459146377,28.250691365839895,8.935638439571527,9.444962445282675,-0.7506461456116061,-1.4952315907741314,0.7682186347291322,True,
WMC2,3,C3 (Western Residual),full_record,2009-02,2026-02,33.69244133670494,2.682762495783145,8.590278802551612,0.70130667889749,-0.5971782539132048,0.05483684154546332,-2.0296294613108916,0.17218754968443603,3.7024752352931047,2.2110376961692184,0.10989038159308406,0.8520175365198417,201,35.05710327217172,7.652520302290928,10.477772307373215,2.190784692169837,-0.6787022621086158,0.07972435791549834,-1.925230028750701,0.38022129226725615,3.1911507928710448,2.165841261851281,0.09102722401494523,0.8375594712644138,201,171.05814305599895,3.3585192316766417,1.8996447469152025,0.0475312242437666,70.6592200203446,20.53474366763132,21.038801670065194,-0.565619731755075,-3.7,0.7751117530030368,3.058148401131265,2.3344134143930257,0.11210648948794172,27.27895963114787,8.410183927759286,8.920090215719055,-0.763342097306162,-1.5055882999072288,0.7893743722281001,True,
ceh1,3,C3 (Western Residual),comparison_window,2017-10,2026-02,57.9796232749685,11.89461678987388,12.679877954497288,2.5834105633504216,-0.5380704599970393,0.10560145458944169,-3.2234198592294834,0.7140685414779824,4.396909407953542,2.3658470677028722,0.07583542561325707,0.7816835182146431,100,70.80357599657675,34.41615622501764,15.376557411930088,7.167759415071844,-0.495209817729687,0.11735650849451955,-3.976421584857887,1.8906973404674967,4.45810858867327,2.2076991416160423,0.06296445519769811,0.7755476236878499,100,222.96583600797285,4.442896387759367,2.2302018284227305,0.0656741646687899,67.65059609308969,14.721027369024695,15.22668777049899,-0.5019702540367955,-3.7,0.8015953289665837,4.427620381749472,2.2491468042523803,0.067578367918835,65.51830886278974,14.291804297231577,14.797634669145163,-0.5079809492076829,-3.581451740152401,0.8010141887864215,True,
