Well,Cluster,Easting,Northing,basis,Sy_median,beta_3,half_life_months,storage_drainage_index_months,n_events,Corrected,Confidence,Excluded,Exclude_Reason
ceh18,3,241267.167,363202.889,full_record,0.3656911242651991,0.0508196326495441,13.63935834286601,7.195863196946578,56,False,High,False,
ceh21,3,241470.51,362937.659,full_record,0.3978240291191235,0.0471074388740607,14.71417672298081,8.445036253885197,28,False,High,False,
ceh36,3,241161.0,363306.0,full_record,0.3582029057738907,0.0518296170608929,13.373573255337572,6.911162499098729,39,False,High,False,
ceh39,3,241719.0,363435.0,full_record,0.3471061323033559,0.0388882881068781,17.824060001174228,8.925724149887788,37,False,High,False,
ceh4,3,241131.693,363211.05,full_record,0.3495409073245975,0.0609720357416996,11.368280099689906,5.732806901927694,53,False,High,False,
ceh40,3,242060.283,363398.508,full_record,0.2838980794678165,0.0387724071734783,17.877331615202948,7.322168009780234,27,False,High,False,
ceh41,3,242284.022,363324.592,full_record,0.3082818737417183,0.0374821121868401,18.49274600920991,8.224773251971524,37,False,High,False,
ceh42,3,242120.528,362743.198,full_record,0.3499925773952378,0.0522805345166302,13.258226737132121,6.694510311173402,35,False,High,False,
ceh9,3,241711.211,363459.012,full_record,0.341342121954746,0.0371306912647693,18.667769356010453,9.192991305244606,53,False,High,False,
nw1,3,241725.0,364139.0,full_record,0.25902308797783236,0.101632151514631,6.820156517695678,2.5486333224043114,72,False,High,False,
nw11,3,241689.0,364237.0,full_record,0.28172610968527473,0.0707697324018017,9.794401604128415,3.9808842018187756,68,False,High,False,
nw13,3,241761.0,364180.0,full_record,0.24551409358042245,0.085152226918334,8.140094577029844,2.883237496723191,49,False,High,False,
nw2,3,241703.008,364112.082,full_record,0.2586633764945896,0.079619362914131,8.705761452870457,3.2487496386219075,68,False,High,False,
nw5,3,241711.757,363023.697,full_record,0.3056839748210488,0.0491445667196563,14.104248482115683,6.2200970570116905,56,False,High,False,
nw6,3,241444.307,363316.599,full_record,0.28102122353746317,0.0573223638458182,12.092089963776187,4.902470949965269,47,False,High,False,
nw7,3,241423.695,363584.862,full_record,0.3299835984960444,0.0480025436914189,14.43980104504034,6.874294008611743,48,False,High,False,
wmc3,3,241217.327,363562.323,full_record,0.3269661597877612,0.0348905006193059,19.866358127759487,9.371208609338256,37,False,High,False,
wmc4,3,241760.293,364180.707,full_record,0.251651945919933,0.0833920091737589,8.311913664481645,3.0176985590499568,51,False,High,False,
Ceh32,4,241167.0,364003.0,full_record,0.23859915069713414,0.0217103148582714,31.927090191226018,10.99012852898494,49,True,High,False,
ceh13,4,240964.108,364066.298,full_record,0.22912816143614934,0.0071636782759641,,,50,True,High,True,near-zero β₃ (τ outlier)
ceh14,4,241292.0,364488.0,full_record,0.19866226763630648,-0.0145585000364631,,,56,True,High,True,negative β₃
ceh2,4,241421.0,363979.0,full_record,0.2356179626455619,0.0262495258860921,26.406083811486987,8.976084507888212,60,True,High,False,
ceh20,4,241153.0,363829.0,full_record,0.2522333878798275,0.033163223061433,20.901080069205854,7.605816461583947,51,True,High,False,
ceh30,4,241072.0,363760.0,full_record,0.272427138235802,0.0340058422157673,20.38317934200605,8.011186328138852,49,True,High,False,
ceh33,4,240936.0,363808.0,full_record,0.25790252031577743,0.0297002896983511,23.338061264716465,8.683501842411175,49,True,High,False,
ceh34,4,241334.0,363887.0,full_record,0.2550418872111456,0.0160792422047994,43.10819948673028,15.861561382228551,50,True,High,False,
nw10,4,241435.0,364325.025,full_record,0.2520191133098513,0.0429073588775877,16.154505863142393,5.87356388047206,68,True,High,False,
ceh16,5,240988.214,363614.897,full_record,0.28244216759961277,0.0438026131130601,15.824334013380538,6.448066622660016,51,True,High,False,
ceh17,5,240804.597413,363576.069469,full_record,0.3102664647857606,0.0606779436407804,11.423379550622993,5.113331899026929,40,True,High,False,
ceh19,5,240845.741,363532.891,full_record,0.3373577944163413,0.0468118437225904,14.807089946458296,7.2066760800010865,42,True,High,False,
ceh31,5,241075.0,363538.0,full_record,0.29424143855469775,0.0502008812647892,13.807470368973728,5.861280342922548,44,True,High,False,
nw9,5,240937.259,363567.162,full_record,0.30571098107419814,0.0489379833716463,14.163787160905798,6.246905982058121,62,True,High,False,
