scenario,season,cluster,n_wells,dh_mean_m,dh_median_m,we_mean_mm,we_median_mm,sy_mean
broadleaf,annual,SITE,66,0.0031,0.0,0.8651287189560235,0.0,0.27517718110395767
broadleaf,winter,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
broadleaf,winter,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
broadleaf,winter,C3,26,0.0024,0.0,0.7277630865892459,0.0,0.30462007979112854
broadleaf,winter,C4,9,0.0252,0.024,6.198472435488481,6.0161410889704925,0.24619287974820014
broadleaf,winter,C5,5,0.0205,0.0196,6.339714329319119,6.318722642971675,0.3098746019448432
broadleaf,winter,SITE,66,0.0059,0.0,1.6122221790501867,0.0,0.27517718110395767
broadleaf,summer,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
broadleaf,summer,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
broadleaf,summer,C3,26,0.0006,0.0,0.17038418812456568,0.0,0.30462007979112854
broadleaf,summer,C4,9,-0.0031,-0.0027,-0.6767744678308768,-0.6282092708032201,0.24619287974820014
broadleaf,summer,C5,5,0.006,0.0055,1.890261680824396,1.5510831740616806,0.3098746019448432
broadleaf,summer,SITE,66,0.0003,0.0,0.11803525886186053,0.0,0.27517718110395767
broadleaf,msl5,C1,7,0.0,0.0,,,
broadleaf,msl5,C2,19,0.0,0.0,,,
broadleaf,msl5,C3,26,0.0,0.0,,,
broadleaf,msl5,C4,9,0.0,0.0,,,
broadleaf,msl5,C5,5,0.0,0.0,,,
broadleaf,msl5,SITE,66,0.0,0.0,,,
thinning,annual,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
thinning,annual,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
thinning,annual,C3,26,0.0022,0.0,0.6579179489965175,0.0,0.30462007979112854
thinning,annual,C4,9,0.0182,0.0173,4.502093770316872,4.458388649853731,0.24619287974820014
thinning,annual,C5,5,0.0192,0.0186,5.941437292906923,5.7494353496664585,0.3098746019448432
thinning,annual,SITE,66,0.0048,0.0,1.3232105616863017,0.0,0.27517718110395767
thinning,winter,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
thinning,winter,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
thinning,winter,C3,26,0.0026,0.0,0.7822559756239181,0.0,0.30462007979112854
thinning,winter,C4,9,0.0228,0.0216,5.654138637876475,5.644570513777417,0.24619287974820014
thinning,winter,C5,5,0.0227,0.0217,7.006823624837236,6.8258498796746965,0.3098746019448432
thinning,winter,SITE,66,0.0058,0.0,1.610000321686308,0.0,0.27517718110395767
thinning,summer,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
thinning,summer,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
thinning,summer,C3,26,0.0018,0.0,0.5335799223691168,0.0,0.30462007979112854
thinning,summer,C4,9,0.0135,0.0128,3.350048902757271,3.291776106951355,0.24619287974820014
thinning,summer,C5,5,0.0157,0.0156,4.876050960976613,4.673020819658221,0.3098746019448432
thinning,summer,SITE,66,0.0037,0.0,1.036420801686296,0.0,0.27517718110395767
thinning,msl5,C1,7,0.0,0.0,,,
thinning,msl5,C2,19,0.0,0.0,,,
thinning,msl5,C3,26,0.0,0.0,,,
thinning,msl5,C4,9,0.0,0.0,,,
thinning,msl5,C5,5,0.0,0.0,,,
thinning,msl5,SITE,66,0.0,0.0,,,
