well,stability,k
ceh21,0.26470022828307105,5
ceh23,0.9964344297677632,5
ceh24,0.9777777777777777,5
ceh25,0.980251380483399,5
ceh26,0.991757035235296,5
ceh27,0.9719025291275931,5
ceh28,0.9733333333333334,5
ceh30,1.0,5
ceh31,0.8766094816454528,5
Ceh32,0.987653901608654,5
ceh33,1.0,5
ceh34,1.0,5
ceh36,0.5051546391752577,5
ceh39,0.5372101614003182,5
ceh40,0.33494742667404537,5
ceh41,0.2999432785025524,5
ceh42,0.3128877025452085,5
WMC1,0.9826302729528535,5
WMC2,0.6231343283582089,5
wmc3,0.37281217524476284,5
wmc4,0.45216524079592424,5
L7,0.7430025445292621,5
D5,0.9729064039408867,5
D6,0.9746192893401016,5
D7,0.8166259168704156,5
D8,0.9773869346733668,5
D9,0.6445623342175066,5
D10,0.9800498753117207,5
D15,0.6781002638522428,5
D17,0.985,5
D25,0.49140595942905574,5
D38,0.57356608478803,5
D41,0.976,5
T41a,0.6178660049627791,5
T41b,0.9773869346733668,5
T41c,0.979328165374677,5
T41d,0.9830508474576272,5
D43,0.8656716417910447,5
D44,0.9624060150375939,5
nw1,0.42930001871607715,6
nw2,0.4741919044845661,6
nw3,0.9689402635412261,6
nw4,0.9789747061017557,6
nw4b,0.9786573045059608,6
nw5,0.49959908557390476,6
nw6,0.5356148681840511,6
nw7,0.2947849392921726,6
nw9,1.0,6
nw10,1.0,6
nw11,0.5473548066612953,6
nw13,0.35853662638175743,6
ceh1,0.4078125775857788,6
ceh2,1.0,6
ceh4,0.06963999492625778,6
ceh5,0.9744671415205057,6
ceh6,0.9491359414579229,6
ceh9,0.43512966161481015,6
ceh10,0.7195076223260388,6
ceh11,0.6670771756978653,6
ceh13,0.8738867684478371,6
ceh14,0.8326541623028341,6
ceh16,0.9841829630078102,6
ceh17,0.9962311557788945,6
ceh18,0.1750199123855038,6
ceh19,0.9879518072289157,6
ceh20,1.0,6
ceh21,0.09630541871921182,6
ceh23,0.9890230810520666,6
ceh24,0.9624832439678284,6
ceh25,0.9628121298654941,6
ceh26,0.983598527076788,6
ceh27,0.9645495879511224,6
ceh28,0.9155718611693455,6
ceh30,1.0,6
ceh31,0.8393931009038922,6
Ceh32,0.9862988880585184,6
ceh33,1.0,6
ceh34,1.0,6
ceh36,0.33372516972592403,6
ceh39,0.4967322118663333,6
ceh40,0.2528012854200267,6
ceh41,0.22482801751094433,6
ceh42,0.11707015163417363,6
WMC1,0.9786710600664089,6
WMC2,0.5348258706467661,6
wmc3,0.2926429822736212,6
