record,well,cluster,stability_wells,stability_months,replicate,splithalf_ari,n_wells,intact_rate,merge_rate
splithalf_replicate,,,,,104,0.48443084536139797,,,
splithalf_replicate,,,,,105,0.5111866345436438,,,
splithalf_replicate,,,,,106,0.5341422793242921,,,
splithalf_replicate,,,,,107,0.6070496443725893,,,
splithalf_replicate,,,,,108,0.5146326746115553,,,
splithalf_replicate,,,,,109,0.597214832785286,,,
splithalf_replicate,,,,,110,0.4636401797200558,,,
splithalf_replicate,,,,,111,0.6859881833839988,,,
splithalf_replicate,,,,,112,0.5449860038332228,,,
splithalf_replicate,,,,,113,0.453429386691091,,,
splithalf_replicate,,,,,114,0.4960863401173221,,,
splithalf_replicate,,,,,115,0.4384125893820821,,,
splithalf_replicate,,,,,116,0.5899924097364301,,,
splithalf_replicate,,,,,117,0.4577917882380146,,,
splithalf_replicate,,,,,118,0.7172089344074606,,,
splithalf_replicate,,,,,119,0.42924804427651536,,,
splithalf_replicate,,,,,120,0.6077436582109479,,,
splithalf_replicate,,,,,121,0.4580989090878081,,,
splithalf_replicate,,,,,122,0.639627846671974,,,
splithalf_replicate,,,,,123,0.4734471355795871,,,
splithalf_replicate,,,,,124,0.5735336297146135,,,
splithalf_replicate,,,,,125,0.6148511410079219,,,
splithalf_replicate,,,,,126,0.5468934924084368,,,
splithalf_replicate,,,,,127,0.4358521394257625,,,
splithalf_replicate,,,,,128,0.416254795410452,,,
splithalf_replicate,,,,,129,0.47049698007164914,,,
splithalf_replicate,,,,,130,0.7341331677628792,,,
splithalf_replicate,,,,,131,0.42679802837867326,,,
splithalf_replicate,,,,,132,0.3587812589824662,,,
splithalf_replicate,,,,,133,0.34386485600400324,,,
splithalf_replicate,,,,,134,0.44784876140808344,,,
splithalf_replicate,,,,,135,0.4416142283490007,,,
splithalf_replicate,,,,,136,0.514216490616347,,,
splithalf_replicate,,,,,137,0.5618373215857867,,,
splithalf_replicate,,,,,138,0.6745073484428585,,,
splithalf_replicate,,,,,139,0.4447957175470361,,,
splithalf_replicate,,,,,140,0.550422101316718,,,
splithalf_replicate,,,,,141,0.4464392177279178,,,
splithalf_replicate,,,,,142,0.7169903902456577,,,
splithalf_replicate,,,,,143,0.8130603697944118,,,
splithalf_replicate,,,,,144,0.37042275934013474,,,
splithalf_replicate,,,,,145,0.5216898175035358,,,
splithalf_replicate,,,,,146,0.5375865925080596,,,
splithalf_replicate,,,,,147,0.5576743316507758,,,
splithalf_replicate,,,,,148,0.44553061770827035,,,
splithalf_replicate,,,,,149,0.45885521659006107,,,
splithalf_replicate,,,,,150,0.6034452397135714,,,
splithalf_replicate,,,,,151,0.46387944231068906,,,
splithalf_replicate,,,,,152,0.5100018962517424,,,
splithalf_replicate,,,,,153,0.46371960224475733,,,
splithalf_replicate,,,,,154,0.434804775251637,,,
splithalf_replicate,,,,,155,0.53281518646815,,,
splithalf_replicate,,,,,156,0.3592040169127355,,,
splithalf_replicate,,,,,157,0.4034869520351796,,,
splithalf_replicate,,,,,158,0.8856044425459205,,,
splithalf_replicate,,,,,159,0.566299937889778,,,
splithalf_replicate,,,,,160,0.6484493775298296,,,
splithalf_replicate,,,,,161,0.7419759257724683,,,
splithalf_replicate,,,,,162,0.6024856973762083,,,
splithalf_replicate,,,,,163,0.49382178094556317,,,
splithalf_replicate,,,,,164,0.6333089116824298,,,
splithalf_replicate,,,,,165,0.48043730963346626,,,
splithalf_replicate,,,,,166,0.46655186978134444,,,
splithalf_replicate,,,,,167,0.5040942128990707,,,
splithalf_replicate,,,,,168,0.729362857385255,,,
splithalf_replicate,,,,,169,0.5390704910564633,,,
splithalf_replicate,,,,,170,0.461719072246724,,,
splithalf_replicate,,,,,171,0.8527495377978938,,,
splithalf_replicate,,,,,172,0.5389454490199058,,,
splithalf_replicate,,,,,173,0.7369426371396168,,,
splithalf_replicate,,,,,174,0.5963481323570303,,,
splithalf_replicate,,,,,175,0.4410561065600299,,,
splithalf_replicate,,,,,176,0.5287211691286677,,,
splithalf_replicate,,,,,177,0.40883649512110554,,,
splithalf_replicate,,,,,178,0.695802563082617,,,
splithalf_replicate,,,,,179,0.5491638159003172,,,
splithalf_replicate,,,,,180,0.5137233702038803,,,
splithalf_replicate,,,,,181,0.45239713703066897,,,
splithalf_replicate,,,,,182,0.4911276542713085,,,
splithalf_replicate,,,,,183,0.6574276543547881,,,
splithalf_replicate,,,,,184,0.39060137449400306,,,
splithalf_replicate,,,,,185,0.6421355083881731,,,
splithalf_replicate,,,,,186,0.3564724904270717,,,
splithalf_replicate,,,,,187,0.708368456013456,,,
splithalf_replicate,,,,,188,0.5066645758193508,,,
splithalf_replicate,,,,,189,0.6555028534107091,,,
splithalf_replicate,,,,,190,0.4724222840382886,,,
splithalf_replicate,,,,,191,0.7907200925420135,,,
splithalf_replicate,,,,,192,0.7086631030815342,,,
splithalf_replicate,,,,,193,0.6537064126496283,,,
splithalf_replicate,,,,,194,0.5546241559488979,,,
splithalf_replicate,,,,,195,0.4285743560318859,,,
splithalf_replicate,,,,,196,0.49653824773006755,,,
splithalf_replicate,,,,,197,0.565546021674793,,,
splithalf_replicate,,,,,198,0.6207972021731506,,,
splithalf_replicate,,,,,199,0.6199732278471832,,,
cluster_merge,,1,,,,,7,0.606,0.431
cluster_merge,,2,,,,,24,0.383,0.963
cluster_merge,,3,,,,,9,0.998,0.026
cluster_merge,,4,,,,,5,0.819,0.876
cluster_merge,,5,,,,,21,0.04,0.99
