well,cluster,n_months_pre,n_months_post,p90_p10_full,p90_p10_pre2018,p90_p10_post2018,p90_p10_pre2018_climnorm,p90_p10_post2018_climnorm,std_full,summer_min_post2018
D25,3,94,76,1.146,1.1070000000000002,1.1400000000000001,1.1070000000000002,0.998,0.40922326215117216,-1.29
WMC2,3,104,97,1.0,0.9780000000000002,1.0120000000000002,0.9780000000000002,0.9380000000000001,0.3738020822607375,-1.28
ceh 1,3,141,97,1.383,1.3900000000000001,1.2800000000000002,1.3900000000000001,1.268,0.4814227138833672,-1.48
ceh18,3,125,96,0.96,1.026,0.8650000000000001,1.026,0.826,0.3489320867399833,-1.47
ceh21,3,91,97,0.7050000000000005,0.7200000000000001,0.6439999999999999,0.7200000000000001,0.63,0.2574478796846501,-1.52
ceh36,3,83,97,0.7909999999999999,0.8680000000000001,0.7280000000000001,0.8680000000000001,0.706,0.29433911947877595,-1.1
ceh39,3,56,97,1.066,1.04,1.062,1.04,0.9700000000000001,0.3596404391641095,-1.21
ceh4,3,140,97,0.9380000000000002,0.97,0.772,0.97,0.7220000000000002,0.33919450202639495,-1.4
ceh40,3,42,97,0.81,0.7899999999999998,0.8260000000000001,0.7899999999999998,0.7440000000000001,0.3059178252001768,-1.22
ceh41,3,42,97,0.982,0.9729999999999998,0.966,0.9729999999999998,0.904,0.35140206534914425,-1.2
ceh42,3,42,97,0.886,0.8969999999999994,0.8680000000000001,0.8969999999999994,0.8560000000000001,0.35837359168438415,-0.97
ceh9,3,132,97,1.0760000000000003,1.087,1.056,1.087,0.982,0.3794078862695873,-1.42
nw1,3,153,97,1.1819999999999995,1.1680000000000001,1.19,1.1729999999999996,1.1540000000000001,0.42692077071840184,-2.39
nw11,3,128,97,1.176,1.1709999999999998,1.1900000000000002,1.1709999999999998,1.1460000000000001,0.4248306953216634,-1.61
nw13,3,68,97,1.1400000000000001,1.136,1.1460000000000001,1.136,1.0699999999999998,0.41442410370863814,-1.56
nw2,3,153,97,1.1800000000000002,1.1666666666666667,1.1820000000000002,1.174,1.1340000000000001,0.424065505146318,-1.58
nw5,3,151,95,1.1050000000000002,1.1195081967213114,1.086,1.124155737704918,1.054,0.40009135046195954,-1.39
nw6,3,138,89,0.8899999999999999,0.8799999999999999,0.8999999999999999,0.8799999999999999,0.8495947712418301,0.3291416063096846,-1.0
nw7,3,138,90,0.97075,0.9599999999999999,0.9281176470588243,0.9599999999999999,0.9430000000000001,0.36771877345258885,-1.83
wmc3,3,98,94,0.887,0.8777868852459014,0.8180000000000001,0.8777868852459014,0.8100000000000002,0.32006175606211984,-1.78
wmc4,3,71,97,1.1530000000000002,1.12,1.1580000000000001,1.12,1.084,0.4161524760715259,-1.58
Ceh32,4,89,97,1.1849999999999998,1.365217391304348,1.0660000000000005,1.365217391304348,1.088,0.4542164097359262,-2.57
ceh13,4,125,94,1.1440000000000001,1.076,1.1709999999999998,1.076,1.1800000000000002,0.42163592186014,-1.747843137254902
ceh14,4,128,95,1.4060000000000001,1.38,1.4580000000000004,1.38,1.5060000000000002,0.5325522591267121,-1.92
ceh2,4,129,97,1.125,1.0539999999999998,1.1340000000000003,1.0539999999999998,1.1520000000000001,0.4228585718630647,-1.94
ceh20,4,110,94,1.0680000000000005,1.1550000000000002,0.9910000000000001,1.1550000000000002,1.0150000000000001,0.40639890427131803,-2.03
ceh30,4,91,97,0.9730000000000001,1.0599999999999998,0.9080000000000001,1.0599999999999998,0.8780000000000003,0.36843552508310096,-2.44
ceh33,4,90,97,1.0839999999999999,1.167098360655738,0.9520000000000002,1.167098360655738,0.942,0.39154056450600905,-2.49
ceh34,4,88,97,1.1360000000000001,1.218,1.088,1.218,1.0780000000000003,0.43030954090630286,-1.68
nw10,4,115,93,1.166229508196721,1.1020000000000008,1.2000655737704915,1.1020000000000008,1.1980000000000004,0.42127403467261115,-1.74
ceh16,5,126,97,0.9100000000000001,0.9600000000000002,0.8020000000000002,0.9600000000000002,0.794,0.33114245249214036,-1.49
ceh17,5,126,95,0.8399999999999999,0.8849999999999998,0.6360000000000001,0.8849999999999998,0.6240000000000001,0.3059231016335608,-2.52
ceh19,5,118,97,0.68,0.7062131147540982,0.5800000000000001,0.7062131147540982,0.5520000000000002,0.252266873174513,-1.39
ceh31,5,90,95,0.806,0.8620000000000001,0.766,0.8620000000000001,0.746,0.2885383404493294,-2.15
nw9,5,143,97,0.9510016393442622,1.0488,0.7280000000000001,1.0488,0.702,0.36425554156681295,-1.36
