Well,Record_start,Record_end,N_months,Mean_WL_m,Std_WL_m,Seasonal_amplitude_m,Mean_Summer_Min_m,Mean_Winter_Max_m,Missing_pct
D10,2010-03-01,2026-02-01,191,-0.41921274422168303,0.37133360299217044,-0.7617073170731706,-0.881875,0.011764705882352941,23.599999999999998
D15,2010-03-01,2026-02-01,191,-0.38115183246073303,0.41378310644655536,-0.815625,-0.860625,0.09470588235294118,23.599999999999998
D17,2010-03-01,2026-02-01,191,-0.3605935112865849,0.3682256600766743,-0.7668750000000001,-0.815625,0.0711764705882353,23.599999999999998
D41,2010-03-01,2026-02-01,191,-0.4204394926148215,0.3458728852835091,-0.6915294715447154,-0.878125,-0.03058823529411765,23.599999999999998
D43,2010-03-01,2026-02-01,191,-0.6110896060423998,0.4086437493872263,-0.8518749999999999,-1.098125,-0.11235294117647059,23.599999999999998
D44,2010-03-01,2026-02-01,191,-0.6656620032615226,0.37945286401008893,-0.7637499999999999,-1.149375,-0.20058823529411765,23.599999999999998
D5,2010-03-01,2026-02-01,191,-0.5468779503905244,0.38135395968579083,-0.7462500000000001,-1.005,-0.11117647058823531,23.599999999999998
D6,2010-03-01,2026-02-01,191,-0.5375160930392241,0.40002266774709594,-0.8474999999999999,-1.041875,-0.07352941176470588,23.599999999999998
T41a,2010-03-01,2026-02-01,191,-0.4333452517771252,0.47189236354394526,-0.9140294715447154,-0.95375,0.10588235294117647,23.599999999999998
T41b,2010-03-01,2026-02-01,191,-0.3624873401424771,0.34910560652602507,-0.7209375,-0.8162499999999999,0.04058823529411765,23.599999999999998
T41c,2010-03-01,2026-02-01,191,-0.3957012727195335,0.3506266001539776,-0.7171544715447156,-0.86375,-0.0017647058823529419,23.599999999999998
T41d,2010-03-01,2026-02-01,191,-0.5944142552403122,0.3425848567232582,-0.7049695121951218,-1.04375,-0.19705882352941176,23.599999999999998
ceh22,2010-03-01,2026-02-01,191,-0.5677454044560185,0.23080627564955383,-0.39801829268292677,-0.825,-0.2805882352941177,23.599999999999998
ceh24,2010-03-01,2026-02-01,191,-0.3699214659685864,0.4167126152212499,-0.830625,-0.888125,0.09352941176470589,23.599999999999998
ceh25,2010-03-01,2026-02-01,191,-0.4081078877349584,0.4182119084793168,-0.8865624999999998,-0.9463217213114754,0.1641176470588235,23.599999999999998
ceh27,2010-03-01,2026-02-01,191,-0.3634439103939576,0.3610815423557679,-0.765625,-0.8456250000000001,0.07882352941176471,23.599999999999998
D38,2010-03-01,2026-02-01,190,-0.6444797041623667,0.43264214694877967,-0.8581454248366014,-1.158125,-0.10588235294117646,24.0
D7,2010-03-01,2026-02-01,190,-0.4974880855841806,0.38302963780026134,-0.757243658553913,-0.9456249999999999,-0.014705882352941176,24.0
ceh26,2010-04-01,2026-02-01,190,-0.38965660051768763,0.31454450887989105,-0.6796875000000001,-0.8574999999999999,-0.025312500000000005,24.0
D8,2010-04-01,2026-02-01,189,-0.39642303835114295,0.3488380195403002,-0.7062499999999999,-0.836875,-0.01625,24.4
ceh21,2010-06-01,2026-02-01,188,-1.0691716079525635,0.2574478796846501,-0.4524999999999999,-1.3318750000000001,-0.775625,24.8
ceh30,2010-06-01,2026-02-01,188,-1.7859927624694798,0.36843552508310096,-0.5412499999999996,-2.1128688524590165,-1.440625,24.8
ceh31,2010-06-01,2026-02-01,188,-1.6001846566338005,0.28812700979447486,-0.473897357723577,-1.895,-1.2925,24.8
Ceh32,2010-07-01,2026-02-01,187,-1.8269518716577542,0.45697834042068647,-0.536875,-2.164001358695652,-1.475,25.2
D9,2010-03-01,2026-02-01,187,-0.5407442798281756,0.4279908400140269,-0.8737083333333333,-1.018125,-0.09674059787849566,25.2
ceh33,2010-07-01,2026-02-01,187,-1.8115560620671518,0.39154056450600905,-0.5025000000000004,-2.136311475409836,-1.474375,25.2
