Year,Annual_P_mm,Annual_PET_mm,Months_complete,P_PET_ratio,Notes
1971,651.0,637.4450027062167,12.0,1.0212645753535392,
1972,804.5999999999999,623.6767835886828,12.0,1.2900913119938044,
1973,789.5999999999997,636.0154911057894,12.0,1.24147919514851,
1974,868.6,631.1275000715178,12.0,1.376267077415534,
1975,717.6,636.0815194879675,12.0,1.1281572848990382,
1976,691.6999999999998,648.7887630429535,12.0,1.0661405366452152,
1977,920.7999999999998,633.8661409193784,12.0,1.4526726394699738,
1978,755.3999999999999,625.1482681003881,12.0,1.2083533435922365,
1979,933.3999999999996,610.1006569684241,12.0,1.529911481554605,
1980,903.6999999999998,633.403540592875,12.0,1.4267365780022692,
1981,901.6999999999999,628.207823458393,12.0,1.4353530254303186,
1982,835.8,644.5615290415395,12.0,1.2966954469697118,
1983,805.1999999999998,638.9990545717529,12.0,1.2600957610800099,
1984,896.5,638.5347301858862,12.0,1.4039956757544205,
1985,870.0,617.4835316348795,12.0,1.4089444583186626,
1986,901.1999999999998,604.7274794600804,12.0,1.4902580593900236,
1987,864.1999999999999,620.2151358041037,12.0,1.3933874717191026,
1988,833.3999999999996,638.9517450106987,12.0,1.304323849974062,
1989,753.2999999999998,650.4789491149407,12.0,1.1580697592519484,
1990,778.7999999999997,655.3995514019151,12.0,1.188282778549555,
1991,622.8999999999999,634.7898046288603,12.0,0.9812696981864539,
1992,872.3999999999997,647.4526535206994,12.0,1.3474344344039493,
1993,805.2999999999998,630.8861034282172,12.0,1.2764586121393742,
1994,908.1,632.1483007958196,12.0,1.4365300023060747,
1995,709.0999999999999,656.4925291238162,12.0,1.0801341501119532,
1996,683.4999999999997,621.6429379774069,12.0,1.099505774526857,
1997,712.5999999999998,651.1260948941641,12.0,1.094411674770657,
1998,935.4999999999998,643.3761454039314,12.0,1.4540483147889542,
1999,905.5999999999997,651.8791232650602,12.0,1.3892146069414377,
2000,1208.8,646.5076806015701,12.0,1.8697380344734984,
2001,737.7999999999997,634.3102790237127,12.0,1.163153151381326,
2002,977.5999999999997,639.3345652621053,12.0,1.52908985860825,
2003,762.5999999999997,652.386671975577,12.0,1.168938656718218,
2004,803.8,648.3609736315884,12.0,1.2397414907590274,
2005,776.2999999999998,650.0278496107177,12.0,1.19425652372418,
2006,953.9999999999998,655.4361833555408,12.0,1.4555192774313213,
2007,773.6999999999999,653.6614019343298,12.0,1.1836403338340755,
2008,1039.7,648.7159722238484,12.0,1.6027044878143328,
2009,871.3,646.9782696497674,12.0,1.3467222020790064,
2010,736.1999999999999,628.7826292238318,12.0,1.1708338713312803,
2011,760.5999999999997,647.4500473308475,12.0,1.1747624440458686,
2012,1021.6999999999997,637.0259666318248,12.0,1.6038592671537062,
2013,843.9999999999998,633.6053149272641,12.0,1.3320595331446807,
2014,942.9999999999998,662.5331469160283,12.0,1.4233250130797137,
2015,973.9999999999999,631.1773486736495,12.0,1.5431478997887913,
2016,858.3999999999994,651.9506044222722,12.0,1.3166641677718405,
2017,870.9999999999999,659.4027134688491,12.0,1.3208923503180987,
2018,873.1999999999997,653.0100358769143,12.0,1.337192312561317,
2019,832.0,654.4261952664165,12.0,1.271342751891668,
2020,944.1999999999999,656.5692836326588,12.0,1.438081286373833,
2021,906.5999999999998,649.0418511992075,12.0,1.3968282604964732,
2022,747.1999999999998,668.2174541346759,12.0,1.1181988668158993,
2023,986.1999999999997,672.880636415357,12.0,1.465638846815078,
2024,911.1999999999998,657.8130345953276,12.0,1.3851960239136192,
2025,942.9999999999998,675.4635231813724,12.0,1.3960783486257773,
2026,247.2,77.3953132087707,1.0,3.1939918549484783,*
Long-term mean,841.9381443298968,625.3963777209917,11.77319587628866,1.368286867360237,Mean of yearly values
