Well,Record_start,Record_end,N_months,Mean_WL_m,Std_WL_m,Seasonal_amplitude_m,Mean_Summer_Min_m,Mean_Winter_Max_m,Missing_pct
T41b,2010-03-01,2026-02-01,192,-0.3616633367486339,0.34901518368289014,-0.7259375,-0.8162499999999999,0.04470588235294118,23.809523809523807
ceh25,2010-03-01,2026-02-01,192,-0.4044462943989071,0.41444624039234673,-0.880625,-0.9419467213114754,0.16205882352941176,23.809523809523807
ceh27,2010-03-01,2026-02-01,192,-0.36266094603825144,0.360298439390242,-0.765625,-0.8456250000000001,0.07882352941176471,23.809523809523807
ceh26,2010-04-01,2026-02-01,191,-0.3852871856493004,0.3128040598803512,-0.6775,-0.853125,-0.025000000000000005,24.206349206349206
D15,2010-03-01,2026-02-01,190,-0.3737049180327869,0.4086242894941613,-0.815625,-0.860625,0.09470588235294118,24.6031746031746
ceh24,2010-03-01,2026-02-01,190,-0.36347066436583264,0.4135485632171161,-0.830625,-0.888125,0.09352941176470589,24.6031746031746
wmc3,2009-06-01,2026-02-01,190,-1.243113891285591,0.31646547959478183,-0.4885882352941179,-1.58625,-0.9282352941176469,24.6031746031746
D10,2010-03-01,2026-02-01,189,-0.40986078584439245,0.365516570981816,-0.7467083333333332,-0.881875,0.011764705882352941,25.0
D41,2010-03-01,2026-02-01,189,-0.4060525631017435,0.3413906862200145,-0.6840416666666664,-0.865625,-0.019411764705882354,25.0
T41a,2010-03-01,2026-02-01,189,-0.4249362477231331,0.46959185215629706,-0.9041666666666667,-0.95375,0.10588235294117647,25.0
T41c,2010-03-01,2026-02-01,189,-0.384885072426056,0.35262320182826923,-0.722875,-0.86375,0.011176470588235295,25.0
T41d,2010-03-01,2026-02-01,189,-0.5864428831641946,0.3390306228434458,-0.6942916666666665,-1.04375,-0.19705882352941176,25.0
ceh21,2010-06-01,2026-02-01,189,-1.0694500824009021,0.2567908044934488,-0.4524999999999999,-1.3318750000000001,-0.775625,25.0
ceh30,2010-06-01,2026-02-01,189,-1.7859246248590508,0.3674555308484697,-0.5412499999999996,-2.1128688524590165,-1.440625,25.0
D38,2010-03-01,2026-02-01,188,-0.6378814963376351,0.4319558244603211,-0.8520833333333335,-1.158125,-0.10588235294117646,25.396825396825395
ceh33,2010-07-01,2026-02-01,188,-1.8116419602371814,0.3904940374080178,-0.5025000000000004,-2.136311475409836,-1.474375,25.396825396825395
D8,2010-04-01,2026-02-01,187,-0.38804111510476025,0.34415380820398994,-0.7062499999999999,-0.836875,-0.01625,25.793650793650798
Ceh32,2010-07-01,2026-02-01,186,-1.8186982196368766,0.45074878378491656,-0.536875,-2.16,-1.475,26.190476190476193
D9,2010-03-01,2026-02-01,185,-0.5299645547186531,0.4211088651386389,-0.8737083333333333,-1.018125,-0.02749999999999999,26.58730158730159
ceh34,2010-08-01,2026-02-01,185,-0.9505268054940186,0.42712017405607416,-0.5706249999999999,-1.3050000000000002,-0.5899999999999999,26.58730158730159
ceh31,2010-06-01,2026-02-01,184,-1.593944226657163,0.28739183956942504,-0.4797916666666664,-1.895,-1.2925,26.984126984126984
ceh36,2011-01-01,2026-02-01,180,-0.6808577413479052,0.2921698854862288,-0.5477083333333334,-1.0066666666666666,-0.343625,28.57142857142857
D7,2010-03-01,2026-02-01,175,-0.46522060889929745,0.37917070792695357,-0.7260795454545456,-0.9456249999999999,-0.014705882352941176,30.555555555555557
ceh23,2010-03-01,2026-02-01,172,-0.3732176896683187,0.3259638107601573,-0.6974285714285715,-0.8814285714285715,-0.005624999999999998,31.746031746031743
D25,2010-03-01,2026-02-01,169,-0.548380056261519,0.4113006694446404,-0.7823589743589744,-1.0230769230769232,-0.12687500000000002,32.93650793650794
wmc4,2012-02-01,2026-02-01,169,-0.7680652827626345,0.41492364227157846,-0.8141428571428574,-1.2792857142857144,-0.2780000000000001,32.93650793650794
nw13,2012-02-01,2026-02-01,165,-0.7266537506209638,0.41339747041992114,-0.7999487179487179,-1.2414285714285713,-0.24266666666666667,34.523809523809526
ceh28,2010-03-01,2026-02-01,161,-0.44569850320741267,0.3770269351606723,-0.7546753246753247,-0.927142857142857,-0.006666666666666667,36.11111111111111
ceh39,2011-01-01,2026-02-01,153,-0.5294219436408443,0.35710668711368665,-0.6520238095238092,-0.9415384615384615,-0.16571428571428573,39.285714285714285
ceh40,2014-07-01,2026-02-01,140,-0.5964578454332552,0.3048191137570462,-0.6025,-0.9791666666666669,-0.24999999999999997,44.44444444444444
ceh41,2014-07-01,2026-02-01,140,-0.4933524590163935,0.35013591371947655,-0.6991666666666667,-0.9274999999999999,-0.09333333333333334,44.44444444444444
ceh42,2014-07-01,2026-02-01,140,-0.46184379391100705,0.3571195338292453,-0.6716666666666666,-0.8383333333333333,-0.028333333333333346,44.44444444444444
