Name,E,N,DEM_Ground_Elev,DGPS_Ground_Elev,Upstand_m,Pipe_Top_Elev,Upstand_Estimated,dist_coast_m,aliases,ground_source,Name_norm,ground_elev_m,pipe_top_elev_m
ceh25,242512.557,364638.544,9.076,9.051,0.025,9.076,False,2202.0,nr ceh 6,dgps,ceh25,9.051,9.076
ceh26,242172.261,364362.239,10.45,10.425,0.025,10.45,False,1771.7,nr ceh 5,dgps,ceh26,10.425,10.450000000000001
ceh11,242618.62,362688.287,3.584,3.534,0.05,3.584,False,782.7,aber menai,dgps,ceh11,3.534,3.5839999999999996
ceh12,240339.0,364588.0,34.899,34.879,0.02,34.899,False,1138.5,nr fc 7,dgps,ceh12,34.879,34.899
ceh13,240964.108,364066.298,11.325,11.235,0.09,11.325,False,879.0,nr 2a,dgps,ceh13,11.235,11.325
ceh14,241292.0,364488.0,14.42,14.42,0.0,14.42,False,1404.7,nr 1a,dgps,ceh14,14.42,14.42
ceh15,240679.892,363754.368,5.914,5.865,0.049,5.914,False,481.5,Forest carpark,dgps,ceh15,5.865,5.914000000000001
ceh16,240988.214,363614.897,6.167,6.097,0.07,6.167,False,484.9,clearing;c,dgps,ceh16,6.097,6.167000000000001
ceh17,240804.597413,363576.069469,6.091,6.001,0.09,6.091,False,371.9,forest;f,dgps,ceh17,6.001,6.091
ceh18,241267.167,363202.889,5.204,5.144,0.06,5.204,False,302.0,warren;w,dgps,ceh18,5.144,5.204
ceh19,240845.741,363532.891,4.8,4.65,0.15,4.8,False,350.8,EDGE;e,dgps,ceh19,4.65,4.800000000000001
ceh20,241153.0,363829.0,8.728,8.618,0.11,8.728,True,752.0,nr 2c,dgps,ceh20,8.618,8.728
ceh21,241470.51,362937.659,4.222,4.172,0.05,4.222,False,232.0,r1,dgps,ceh21,4.172,4.2219999999999995
ceh22,241375.022,362906.94,3.281,3.231,0.05,3.281,False,146.7,sea/SD13,dgps,ceh22,3.231,3.2809999999999997
ceh23,242325.311,364428.124,10.018,9.958,0.06,10.018,False,1920.6,,dgps,ceh23,9.958,10.018
ceh24,242938.911,363392.114,5.958,5.808,0.15,5.958,False,1547.4,nr d44,dgps,ceh24,5.808,5.958
ceh34,241334.0,363887.0,9.8,9.75,0.05,9.8,False,890.6,,dgps,ceh34,9.75,9.8
ceh37,242886.0,363346.0,6.02,5.84,0.0,6.02,False,1478.0,W CEH24,lidar,ceh37,6.02,6.02
ceh27,242005.373,364330.297,10.94,10.9,0.04,10.94,False,1640.1,nr 1c,dgps,ceh27,10.9,10.94
ceh28,242331.051,364122.039,10.396,10.536,-0.14,10.396,False,1690.3,near NW3 by path,dgps,ceh28,10.536,10.395999999999999
ceh30,241072.0,363760.0,8.67,8.61,0.06,8.67,False,652.3,nr ceh20,dgps,ceh30,8.61,8.67
ceh31,241075.0,363538.0,6.49,6.32,0.17,6.49,False,460.2,nr wmc2,dgps,ceh31,6.32,6.49
Ceh32,241167.0,364003.0,11.07,11.03,0.04,11.07,False,911.9,near 1b,dgps,ceh32,11.03,11.069999999999999
ceh33,240936.0,363808.0,8.83,8.77,0.06,8.83,False,638.2,near cp,dgps,ceh33,8.77,8.83
ceh40,242060.283,363398.508,7.77,7.804,0.05,7.82,True,971.5,scraped slack,lidar,ceh40,7.77,7.819999999999999
ceh41,242284.022,363324.592,7.15,6.869,0.06,7.21,False,1071.4,scraped slack,lidar,ceh41,7.15,7.21
D7,242610.75,364204.554,9.875,9.775,0.1,9.875,False,1935.9,,dgps,d7,9.775,9.875
L1,242804.097,364389.095,9.366,10.062,0.07,9.436,False,2202.3,,dgps,l1,10.062,10.132
wmc3,241217.327,363562.323,8.69,8.61,0.08,8.69,False,552.8,2dish,dgps,wmc3,8.61,8.69
WMC2,241885.149,362855.856,4.552,4.502,0.05,4.552,False,457.5,nr 2g,dgps,wmc2,4.502,4.552
WMC1,242765.629,363643.556,7.335,7.285,0.05,7.335,False,1630.5,,dgps,wmc1,7.285,7.335
ceh42,242120.528,362743.198,3.62,3.615,0.13,3.75,False,525.5,scraped slack with water hole,lidar,ceh42,3.62,3.75
T41c,242721.13,363323.682,5.89,5.8,0.09,5.89,False,1353.5,,dgps,t41c,5.8,5.89
D41,242771.66,363342.853,5.92,5.84,0.08,5.92,False,1400.4,,dgps,d41,5.84,5.92
T41a,242709.928,363275.666,5.89,5.49,0.4,5.89,False,1309.2,,dgps,t41a,5.49,5.890000000000001
D31,243282.429,363259.347,4.657,4.607,0.05,4.657,False,1495.3,,dgps,d31,4.607,4.657
D34,242961.925,362945.353,3.341,3.341,0.0,3.341,False,1112.3,,dgps,d34,3.341,3.341
D33,243166.881,363196.273,4.676,4.566,0.11,4.676,False,1401.2,,dgps,d33,4.566,4.676
D6,242114.898,364021.851,10.875,10.825,0.05,10.875,False,1473.9,,dgps,d6,10.825,10.875
D5,242083.407,363901.712,10.6,10.5,0.1,10.6,False,1362.9,,dgps,d5,10.5,10.6
D9,242710.726,363910.68,9.156,9.136,0.02,9.156,False,1791.9,,dgps,d9,9.136,9.155999999999999
D10,242613.907,364118.797,9.643,9.603,0.04,9.643,False,1874.4,,dgps,d10,9.603,9.642999999999999
D15,241980.565,363895.719,10.521,10.371,0.15,10.521,False,1290.6,,dgps,d15,10.371,10.521
D8,242676.867,364024.231,9.326,9.276,0.05,9.326,False,1849.9,,dgps,d8,9.276,9.326
D17,242446.951,363534.961,7.979,7.929,0.05,7.979,False,1336.1,,dgps,d17,7.929,7.979
T29,243586.282,363466.962,4.03,3.98,0.05,4.03,False,1786.6,,dgps,t29,3.98,4.03
D29,243600.797,363438.979,3.849,3.799,0.05,3.849,False,1765.6,,dgps,d29,3.799,3.8489999999999998
D25,242215.187,363143.807,5.401,5.351,0.05,5.401,False,893.7,,dgps,d25,5.351,5.401
D43,242664.714,363428.693,6.907,6.907,0.0,6.907,False,1400.6,,dgps,d43,6.907,6.907
T41d,242731.987,363353.284,6.3,6.19,0.11,6.3,False,1383.4,,dgps,t41d,6.19,6.300000000000001
D44,242819.407,363279.547,5.81,5.73,0.08,5.81,False,1384.3,,dgps,d44,5.73,5.8100000000000005
T41b,242715.085,363309.565,5.71,5.71,0.0,5.71,False,1338.7,,dgps,t41b,5.71,5.71
D45,242898.911,362614.9,2.788,2.748,0.04,2.788,False,776.0,,dgps,d45,2.748,2.7880000000000003
D38,242711.571,363069.196,4.771,4.661,0.11,4.771,False,1153.4,,dgps,d38,4.661,4.771
D39,243000.256,362899.535,3.522,3.392,0.13,3.522,False,1073.8,,dgps,d39,3.392,3.522
ceh38,241130.0,363261.0,4.465,,0.0,4.465,False,258.4,Nr fence CEH4,lidar,ceh38,4.465,4.465
ceh39,241719.0,363435.0,7.85,,0.04,7.89,False,770.8,SW CEH9,lidar,ceh39,7.85,7.89
ceh35,241081.0,363212.0,4.35,,0.04,4.39,False,189.6,nr path CEH4,lidar,ceh35,4.35,4.39
ceh36,241161.0,363306.0,5.31,,0.03,5.34,False,312.9,N CEH4,lidar,ceh36,5.31,5.34
nw13,241761.0,364180.0,12.09,,0.05,12.14,True,1371.3,1d,lidar,nw13,12.09,12.14
Nw8b,241272.0,363487.0,7.33,,0.0,7.33,True,523.8,,lidar,nw8b,7.33,7.33
L7,242812.0,364395.0,10.86,10.86,0.06,10.92,False,2211.9,,dgps,l7,10.86,10.92
wmc4,241760.293,364180.707,12.09,,0.04,12.13,True,1371.3,,lidar,wmc4,12.09,12.129999999999999
L4,242897.825,364328.678,,9.246,0.12,9.366,False,2222.3,,dgps,l4,9.246,9.366
FE2,241135.0,363595.0,8.54,,0.06,8.6,False,538.9,f2,lidar,fe2,8.54,8.6
FE1,241338.0,363744.0,8.7,,0.1,8.8,False,770.9,f1,lidar,fe1,8.7,8.799999999999999
FE3,241104.1,363546.1,7.54,,0.06,7.6,False,481.2,f3,lidar,fe3,7.54,7.6
LIS1,241406.0,363720.0,8.55,,0.03,8.58,True,790.4,,lidar,lis1,8.55,8.58
FE4,241223.2,363692.4,9.13,,0.06,9.19,False,666.7,f4,lidar,fe4,9.13,9.190000000000001
p2,242303.0,364558.0,9.0,,0.03,9.03,True,2005.6,,lidar,p2,9.0,9.03
pw,242056.0,363286.0,6.88,,0.03,6.91,True,888.0,,lidar,pw,6.88,6.91
pe,242739.0,362823.0,5.15,,0.03,5.18,True,956.8,,lidar,pe,5.15,5.180000000000001
pdfs,240651.0,363372.0,3.547,,0.03,3.577,True,118.9,,lidar,pdfs,3.547,3.577
p1,241243.0,363283.0,6.825,,0.03,6.855,True,347.6,,lidar,p1,6.825,6.855
llyn rhos,242560.208,364820.878,7.34,7.34,0.0,7.34,False,,Llyn Rhos Ddu,dgps,llynrhos,7.34,7.34
d29b,243601.797,363438.979,3.849,3.799,0.05,,False,1765.6,co-located with D29 (nominal +1 m E),dgps,d29b,3.799,3.8489999999999998
