Well,Well_Normalized,Cluster,Easting,Northing,n,alpha,pvalue_alpha,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,R2,mean_resid,std_resid,ar1_phi,ar1_pvalue,ar1_sigma,ar1_significant,ar1_alpha
ceh14,ceh14,4.0,241292.0,364488.0,217,0.10996678928607169,0.0782276375790652,1.8103296562320934,3.82279043711099,0.013914426766424588,0.5781127827651789,3.8883387037563084e-17,0.1376859125104524,0.33259365330049173,6.428810238814678e-07,0.13005668952995322,True,0.05
ceh16,ceh16,5.0,240988.214,363614.897,223,0.044294502334406224,0.4102958128897109,2.5737216274151495,1.4071336772116831,0.05700033702598304,0.7427383023160368,2.491156259851178e-15,0.07371976590490852,-0.20048512722995668,0.002880629467855059,0.07236316186408465,True,0.05
ceh17,ceh17,5.0,240804.597413,363576.069469,219,0.02553449630509663,0.48208479798713183,2.1762516747605702,1.3289815893710837,0.07235156132660836,0.695246957246509,4.0987000703627353e-16,0.0719879707407269,-0.2133605442778659,0.0016517558150241302,0.07048929312454752,True,0.05
ceh18,ceh18,3.0,241267.167,363202.889,219,0.19098799677449654,0.0047134022474023,2.9912246881518536,2.048436344412329,0.10592644903041679,0.7510608590923047,1.666601914819727e-15,0.08888717874695493,-0.17177274869790432,0.011298079354292102,0.0876145672666566,True,0.05
ceh19,ceh19,5.0,240845.741,363532.891,215,0.1717019031282348,0.006978535995713611,2.184098228695113,1.0516117885505498,0.10071550531838556,0.7191089603700871,9.276817040646948e-16,0.06653397678862807,-0.2042158783210626,0.0028554417108309304,0.06508262940466168,True,0.05
ceh20,ceh20,4.0,241153.0,363829.0,202,-0.00880001003124663,0.8552833468178882,2.512383785420966,2.032243580468673,0.02807653980971802,0.7161528388558804,-6.232638167945185e-16,0.08579527361825082,-0.16227586403881697,0.02144436563998963,0.08471571380397638,True,0.05
ceh21,ceh21,3.0,241470.51,362937.659,188,0.16838060666255084,0.0054901757783579,2.2907341982702354,1.313116892936811,0.10151568851623874,0.7720638043275789,3.376067156331884e-15,0.06233372633688168,-0.0776113670697966,0.291887959592117,0.062268967461698126,False,0.05
ceh22,ceh22,,241375.022,362906.94,183,0.40990961171228685,6.729486177769688e-07,2.458840228549109,1.0119896331333316,0.17199178022721515,0.7830944907099833,1.4984977436197467e-16,0.060406962096753704,-0.05303816408050957,0.47949753133495393,0.060469819262197966,False,0.05
ceh23,ceh23,1.0,242325.311,364428.124,170,1.2521874928769612,8.0627510438573e-16,3.206949489366929,3.1257106625584483,0.3978215271585027,0.7635868435987153,-1.265001175705252e-15,0.10944982129564015,-0.11823814866223127,0.12493925604299289,0.10868812847549734,False,0.05
ceh24,ceh24,2.0,242938.911,363392.114,188,0.48282171783522754,1.2463946543769135e-06,3.9468546658581785,2.782799853700475,0.18693930910574819,0.783030998618963,-2.756660148377782e-15,0.11205383169796043,-0.2446632147349471,0.000710949727712429,0.10842497093560631,True,0.05
ceh25,ceh25,1.0,242512.557,364638.544,191,1.1724846281612578,2.2079013659330648e-16,4.560170940367843,3.589068759103701,0.39898826143587346,0.781253941929654,-4.580396562327871e-15,0.13094030445230428,-0.13514774476075647,0.06310538381485857,0.12934714723939925,False,0.05
ceh26,ceh26,1.0,242172.261,364362.239,190,1.1954503471912274,1.6470917595600827e-17,3.1198012354195455,3.0173088872651554,0.3805100025716486,0.7503861423273348,-2.776141889470589e-15,0.10654629651566468,-0.1289033499646412,0.07600148242769354,0.10548446884452992,False,0.05
ceh27,ceh27,1.0,242005.373,364330.297,191,0.8431855869315589,2.2281726929002239e-13,3.872410834036929,2.735126820360067,0.29367319695243427,0.8031048362548785,5.882438224715489e-16,0.1028263472541411,-0.13662213610151366,0.062013615507099364,0.10214340884106188,False,0.05
ceh28,ceh28,2.0,242331.051,364122.039,156,0.6785687441027353,5.516481318619606e-10,3.700709416480527,2.977370669872503,0.24380875865898488,0.7989532280668978,1.2141285128272545e-15,0.10479657378414775,-0.1519194572649024,0.05544821319890946,0.10200407987942224,False,0.05
ceh30,ceh30,4.0,241072.0,363760.0,188,0.00648321870784993,0.8866388225576545,2.3702622321483915,2.04254218038011,0.03675722441666819,0.6978754979291287,9.64358616602596e-16,0.08609607161591219,-0.19725932332055907,0.00678512776133684,0.08424035117810079,True,0.05
ceh31,ceh31,5.0,241075.0,363538.0,181,0.1554229458481178,0.016095128254159572,2.1844657028109324,1.6079627600353135,0.10859130850843537,0.6461832358468437,-4.621840050027931e-16,0.08782050070114145,-0.3179520182342745,1.3459278191427706e-05,0.08292852604105631,True,0.05
Ceh32,ceh32,4.0,241167.0,364003.0,184,-0.020759886490645196,0.6277293648027569,2.435243803929447,2.3409578617810496,0.015925670069887807,0.6860804834463963,1.7045543720467757e-16,0.09483674346454084,-0.11496363943485033,0.1225194466795861,0.09445277850498597,False,0.05
ceh33,ceh33,4.0,240936.0,363808.0,187,-0.01501270460252321,0.7280095332512779,2.3310111025404088,2.023378222638344,0.024810611412226496,0.688489567908859,1.6534604938936154e-16,0.08651832715807584,-0.1447350836279087,0.049239968446586395,0.08581218646042131,True,0.05
ceh34,ceh34,4.0,241334.0,363887.0,183,0.03170614180201337,0.5585679213387312,2.3762909825654694,2.4964593306785745,0.02547293903811909,0.7254855744305684,1.3234707804479667e-15,0.08745454527121871,-0.03912477596820886,0.6006038305821345,0.08757739726951154,False,0.05
ceh36,ceh36,3.0,241161.0,363306.0,178,0.26339933656951137,0.0009805607816745425,2.613407019353,1.416025807643623,0.12601805591675888,0.7513937693834091,1.179456033464141e-15,0.07596404697699284,-0.13332566390792105,0.07926995145177998,0.07550946953126025,False,0.05
ceh39,ceh39,3.0,241719.0,363435.0,151,0.15708995077656313,0.04403674279920497,2.829646061740331,2.330840813803131,0.07607837292702464,0.7949013003910372,3.5188923151364235e-15,0.08062951031756758,-0.10202233909015537,0.21439791463514668,0.0804764730625967,False,0.05
WMC1,wmc1,2.0,242765.629,363643.556,201,0.4332304157038307,9.177446034935739e-06,3.1384914785736773,2.4188626118416003,0.16900295702619272,0.7515259992038079,1.0881290340853524e-15,0.1009575631927476,-0.21843014603643354,0.0018874220120548666,0.09876255182795171,True,0.05
WMC2,wmc2,3.0,241885.149,362855.856,199,0.19883416019909114,0.0029263732511547753,3.110245760702011,2.2124058178136385,0.10078976720939516,0.8019054647564681,1.93480072834173e-15,0.08268652657990569,-0.08294306608014046,0.2456457137935661,0.08259981284334932,False,0.05
wmc3,wmc3,3.0,241217.327,363562.323,186,0.15902544734178248,0.019184965058905958,2.259974541288271,2.0011951176498832,0.0890436275470293,0.6695575683065358,2.286104400169005e-16,0.09246242265709911,-0.17020516130203475,0.021382947967855892,0.09132630764111851,True,0.05
wmc4,wmc4,3.0,241760.293,364180.707,168,0.2631216048377344,0.0021590942730706233,4.195733850055575,2.417713616433023,0.1512836379481396,0.830766716198887,-3.833573670149127e-15,0.0996225626413074,-0.1494250090446168,0.05567574538354971,0.09874386732959313,False,0.05
L7,l7,2.0,242812.0,364395.0,196,0.2416497956465303,5.349693622217492e-06,3.763359097625669,3.2130641487343152,0.163318489175204,0.8591065383148022,4.435227695313763e-16,0.08715690120348854,0.011104646932577851,0.8775655107834184,0.0872429126333426,False,0.05
D5,d5,2.0,242083.407,363901.712,191,0.43673930277052253,2.225252079574068e-06,3.5166410325779665,2.659787597507768,0.17531622582861386,0.7700768701074598,2.447722071568866e-15,0.10587383117627912,-0.11257111898559241,0.11971879010057233,0.1048243315323617,False,0.05
D6,d6,2.0,242114.898,364021.851,191,0.44240011746478936,4.7333910262636915e-08,3.6284278026253762,2.952595997649493,0.17341975382257152,0.8239876729340397,6.5683351718661095e-15,0.0932903032462907,-0.02152607121277185,0.7675946483446378,0.09316449347212723,False,0.05
D7,d7,2.0,242610.75,364204.554,168,0.5647412078553629,4.101491081283403e-09,3.991864365498924,2.846264559951072,0.21828048109806392,0.822822102047124,-6.344131569286609e-16,0.09709085333544623,-0.18417825448239797,0.017932553319201346,0.09534165195122152,True,0.05
D8,d8,2.0,242676.867,364024.231,185,0.4714777516099129,1.7852474468904898e-06,3.1405861145989644,2.4778766402199666,0.17162258758538448,0.7645185906982275,9.709950561316234e-16,0.09762031564883503,-0.15357406233881893,0.036619535436125,0.09623339266277665,True,0.05
D9,d9,3.0,242710.726,363910.68,183,0.29502402824134893,0.0005317705519468763,3.879850542023764,2.69150281508535,0.1371542442679174,0.803915682418118,-2.1003235580613616e-15,0.1032757116737825,-0.16422020596864068,0.02762941040959246,0.1017738620190679,True,0.05
