Well,Well_Normalized,Cluster,Easting,Northing,ridge_distance_m,n,alpha,beta_10,beta_11,beta_2,beta_3,R2,pvalue_b11,phi_resid,peak_lag,peak_r,peak_significant,sig_threshold
ceh2,ceh2,4.0,241421.0,363979.0,616.1834142526071,224,-0.028471558237475568,2.647721341416444,0.7280858939499792,2.4164538175911967,0.03711174886056797,0.7449112738200058,4.878501420748711e-05,0.0038303536033281148,2,0.18245342215954158,True,0.13125130791575532
ceh5,ceh5,1.0,242521.077,364465.817,771.8343199275258,235,0.8604121089761573,4.077259198038764,-0.2871563872382679,3.501495393379942,0.288077481668371,0.8205880016992273,0.14872789172257428,-0.17961158005609326,2,0.2741738238033664,True,0.12812920829028024
ceh6,ceh6,1.0,242621.679,364724.912,900.2275749970179,236,1.526033487030341,3.9612767949209546,-0.300906479860474,3.439623946383991,0.46823920297951827,0.7868941033494845,0.1916710686448432,-0.24457129576517492,2,0.2514558324954962,True,0.12812920829028024
ceh9,ceh9,3.0,241711.211,363459.012,1041.7104216935838,227,0.1079742043595574,2.8429581909274964,0.3997750913291493,2.2033194590149314,0.07501404910878702,0.7244813876676537,0.028164888608194136,-0.10508301979786054,2,0.1143662258576621,False,0.1303772606265969
ceh10,ceh10,2.0,242538.185,363173.915,1542.6396278619488,232,0.2156856659688942,4.372896644077612,0.5846053251939819,2.3227127723370717,0.19033101763596982,0.7183137315003743,0.029507518847443938,-0.05505982309131655,2,0.12407917807548034,False,0.12895853221211473
ceh11,ceh11,1.0,242618.62,362688.287,2009.1801061052122,234,0.7871250384391377,3.486117943021904,-0.13316365578842787,2.7910856976717966,0.2769436519837826,0.7677796166946197,0.4975876058834007,-0.17960374227180573,2,0.26415261904170656,True,0.128403869287762
ceh13,ceh13,4.0,240964.108,364066.298,897.6211118662371,217,-0.049586936483458195,1.7805544329620604,0.88347520798436,2.0330889402762424,0.015089909707706127,0.5845117135011559,1.6079935976216216e-05,-0.04055751016691883,3,0.16416770279894347,True,0.13336110821819525
ceh14,ceh14,4.0,241292.0,364488.0,458.1571782696414,221,0.01013003166873258,1.7717019879926565,0.9853132484823888,3.293809593972756,0.013346263331276796,0.6019173103613803,7.99929015762107e-05,0.26818416608476625,2,0.20796551072308894,True,0.13244452616629923
ceh16,ceh16,5.0,240988.214,363614.897,1167.7864660994294,221,0.04169292349072483,2.4877825209631332,0.39168471293146784,1.3140559051332603,0.06592945913290661,0.7503419822836368,0.004016147453362779,-0.2078214992769774,11,0.10691988846493192,False,0.13244452616629923
ceh17,ceh17,5.0,240804.597413,363576.069469,1321.905320974332,219,0.0031103662933113525,2.01669055127152,0.5798370246953604,1.1368781487232118,0.08412383141104174,0.7110097395273154,1.222938748949418e-05,-0.18052940047043944,11,0.1382483106672756,True,0.1327479504498049
ceh18,ceh18,3.0,241267.167,363202.889,1384.060927925483,219,0.1967814294240646,2.7727770838456234,0.6306683760249315,1.8912236128470847,0.12155726229826423,0.7478433960416092,0.00020005585486139284,-0.17819713341743842,9,-0.10178119337600045,False,0.1327479504498049
ceh19,ceh19,5.0,240845.741,363532.891,1324.003080420124,213,0.1864855885750625,2.091896851549733,0.3951551248258564,0.963987535996691,0.1160140485532471,0.7352403449661733,0.0014211071064154767,-0.1610706757991735,11,0.12431976102842747,False,0.13461335266971525
ceh20,ceh20,4.0,241153.0,363829.0,898.1369606023349,202,-0.058138318496958254,2.503893111770074,0.5719191022434746,1.7770145171464595,0.03106413384908139,0.7242382609613782,0.0007003906467906242,-0.19824714868666884,10,-0.15233584281626064,True,0.13824774070828524
ceh21,ceh21,3.0,241470.51,362937.659,1587.1433647849967,186,0.18130819063678477,2.1693286539829004,0.6020955801290483,1.1482183090974918,0.12330473849626412,0.7973755568734695,1.9294968861811416e-06,-0.10430788940683948,2,0.1143174176429506,False,0.1441020659303863
ceh22,ceh22,,241375.022,362906.94,1636.596671169777,185,0.5080452847348111,2.3821400023166546,0.12144643532429004,1.037062072060496,0.2031286989738988,0.7835982834262782,0.36287488400976525,0.003668485658897538,2,0.14945590362628103,True,0.14449311703179918
ceh23,ceh23,1.0,242325.311,364428.124,579.7834993314173,170,1.2322930056702226,3.3065278172959944,-0.3660047751645051,3.2669329247268144,0.38257349047962647,0.7608756346531605,0.1411491152857487,-0.08091626747712104,2,0.28998022764438186,True,0.15076923076923077
ceh24,ceh24,2.0,242938.911,363392.114,1625.090998964975,188,0.5170027490643286,3.954884890489401,-0.09659955123141997,2.9241180178215105,0.19254137553162934,0.7785285863300523,0.6848850252481143,-0.22296683348955934,2,0.23432478730030945,True,0.14371417272092624
ceh25,ceh25,1.0,242512.557,364638.544,775.0403977761414,189,1.1405615758521466,4.694044017353229,-0.28387246093230684,3.6024426104246854,0.38594026398632925,0.7796126819218073,0.3344423857777339,-0.12785320177056217,2,0.27832949565887494,True,0.14294769166793667
ceh26,ceh26,1.0,242172.261,364362.239,444.164885196926,188,1.1423174094997384,3.2702737222751233,-0.43356021784172866,3.094482283961058,0.35703728359190423,0.7552091093955304,0.05827709167443565,-0.11215502689202542,2,0.2834392432161357,True,0.1433293951289176
ceh27,ceh27,1.0,242005.373,364330.297,306.6178033611048,189,0.818411597151388,4.022470843977894,-0.6224272771246676,2.9032210257009217,0.27294605710019015,0.8108875767145167,0.0046255006414034775,-0.0956082527003971,2,0.28496978109967547,True,0.14294769166793667
ceh28,ceh28,2.0,242331.051,364122.039,693.162882821935,162,0.6862841630396113,3.5512063824994935,-0.1481400124932648,2.9748525573249966,0.23905405125388376,0.7645519264081599,0.5511156370749313,-0.14217605922384313,2,0.27628118660666445,True,0.15446963962286372
ceh30,ceh30,4.0,241072.0,363760.0,1003.635391962639,186,-0.047357171566659015,2.229952483202621,0.8564063011933197,1.720839421929467,0.04542815448038427,0.731012599912564,8.156756448630979e-07,-0.2303197768043654,3,0.16028635085951787,True,0.14449311703179918
ceh31,ceh31,5.0,241075.0,363538.0,1175.1889209824947,183,0.12084053666157005,2.0421226426686037,0.7241348710639912,1.3066732577631344,0.12069492919322923,0.6754384233098013,3.916698963297605e-05,-0.3052406994094983,9,-0.116151986839862,False,0.1456856526644446
Ceh32,ceh32,4.0,241167.0,364003.0,766.0926836878159,184,-0.09142497519823362,2.325846093599293,0.8110321213249272,2.0406921022515703,0.015239421367224967,0.7121026815157165,2.2997166403035875e-05,-0.1473255479645072,12,-0.18347935495069764,True,0.14488736910709626
ceh33,ceh33,4.0,240936.0,363808.0,1068.3913140792563,185,-0.07504291404294511,2.183368370925066,0.8816655665002847,1.69014317329638,0.03138500666855997,0.7244161981126946,4.201188546780514e-07,-0.1586992366429164,3,0.15993291138679466,True,0.14449311703179918
ceh34,ceh34,4.0,241334.0,363887.0,740.8272403199007,183,-0.04790945301729779,2.276729648758071,0.8689951052433792,2.1137247803678334,0.025001887350421026,0.754683596892079,1.0415683534150783e-06,-0.0636539785396955,3,0.20105702422697638,True,0.14528486606557584
ceh36,ceh36,3.0,241161.0,363306.0,1331.3741021966741,178,0.32140405980336983,2.4325143664973448,0.5408927257398766,1.396504582513694,0.1543530532994169,0.7673647543082021,0.0006686758666107047,-0.08920238249094249,11,0.11164810620844585,False,0.14732262148855446
ceh39,ceh39,3.0,241719.0,363435.0,1065.451078182382,151,0.22506576245998222,2.878142835709583,0.477765938399016,2.362505976408026,0.10732655997374699,0.7558393407266483,0.033560712694373045,-0.03519928636014779,12,-0.18676248764701778,True,0.1600333298618343
WMC1,wmc1,2.0,242765.629,363643.556,1328.5324951904647,201,0.4968501981151279,3.1393572272443007,-0.26203753829477994,2.6907915375648908,0.17775897128972645,0.7477206538792771,0.19242568885245193,-0.20423859032044825,2,0.20426648091301713,True,0.13894071618163384
WMC2,wmc2,3.0,241885.149,362855.856,1649.6892873922975,199,0.2212069742035121,2.9733009802524157,0.5854078112025489,2.09993529346471,0.12017984037237674,0.8041605070905677,0.0003649718348138602,-0.12034976158028453,2,0.1942844209183419,True,0.13929113468566548
wmc3,wmc3,3.0,241217.327,363562.323,1078.4148929136957,190,0.0919468685119485,2.063583440474104,0.9715643966445454,1.575886165779536,0.09534625489389607,0.7063989275895515,4.280988095699167e-08,-0.14373636605102233,10,-0.10622221265011253,False,0.14256902162084836
