Name,E,N,DEM_Ground_Elev,DGPS_Ground_Elev,Upstand_m,Pipe_Top_Elev,Upstand_Estimated,dist_coast_m,aliases,ground_source,Match_ID,ground_elev_m,pipe_top_elev_m,in_forest,in_1998_replant,dist_1998_replant_m,dist_broadleaf_restock_m
D31,243282.429,363259.347,4.657,4.607,0.05,4.657,False,1495.3,,dgps,d31,4.607,4.657,False,,2123.8132612221884,1830.4595567659321
D34,242961.925,362945.353,3.341,3.341,0.0,3.341,False,1112.3,,dgps,d34,3.341,3.341,False,,1922.6126884902787,1749.1730818607039
D33,243166.881,363196.273,4.676,4.566,0.11,4.676,False,1401.2,,dgps,d33,4.566,4.676,False,,2044.737188683377,1767.9588277189046
D6,242114.898,364021.851,10.875,10.825,0.05,10.875,False,1473.9,,dgps,d6,10.825,10.875,False,,790.1076368145066,439.3726394738224
D5,242083.407,363901.712,10.6,10.5,0.1,10.6,False,1362.9,,dgps,d5,10.5,10.6,False,,778.7489187768105,475.9005091279894
D9,242710.726,363910.68,9.156,9.136,0.02,9.156,False,1791.9,,dgps,d9,9.136,9.155999999999999,False,,1394.5606174403313,1037.421920383537
D10,242613.907,364118.797,9.643,9.603,0.04,9.643,False,1874.4,,dgps,d10,9.603,9.642999999999999,False,,1286.5134596913063,901.6094581245878
D15,241980.565,363895.719,10.521,10.371,0.15,10.521,False,1290.6,,dgps,d15,10.371,10.521,False,,681.0904732957914,395.25365709666943
D8,242676.867,364024.231,9.326,9.276,0.05,9.326,False,1849.9,,dgps,d8,9.276,9.326,False,,1350.7408496665387,977.5284395802923
D17,242446.951,363534.961,7.979,7.929,0.05,7.979,False,1336.1,,dgps,d17,7.929,7.979,False,,1249.2210390168123,984.2847318174219
T29,243586.282,363466.962,4.03,3.98,0.05,4.03,False,1786.6,,dgps,t29,3.98,4.03,False,,2342.874793136663,2010.928613488597
D29,243600.797,363438.979,3.849,3.799,0.05,3.849,False,1765.6,,dgps,d29,3.799,3.8489999999999998,False,,2364.419859913176,2034.8334298982995
D25,242215.187,363143.807,5.401,5.351,0.05,5.401,False,893.7,,dgps,d25,5.351,5.401,False,,1152.5416500481867,1092.4768815003122
D43,242664.714,363428.693,6.907,6.907,0.0,6.907,False,1400.6,,dgps,d43,6.907,6.907,False,,1491.5259993706168,1223.523809471654
T41d,242731.987,363353.284,6.3,6.19,0.11,6.3,False,1383.4,,dgps,t41d,6.19,6.300000000000001,False,,1585.7048581499444,1321.9407282343566
D44,242819.407,363279.547,5.81,5.73,0.08,5.81,False,1384.3,,dgps,d44,5.73,5.8100000000000005,False,,1697.5517991534641,1435.8699347515467
T41b,242715.085,363309.565,5.71,5.71,0.0,5.71,False,1338.7,,dgps,t41b,5.71,5.71,False,,1591.7251018048676,1333.2845920584532
D45,242898.911,362614.9,2.788,2.748,0.04,2.788,False,776.0,,dgps,d45,2.748,2.7880000000000003,False,,1995.8180481509783,1932.0201507884417
D38,242711.571,363069.196,4.771,4.661,0.11,4.771,False,1153.4,,dgps,d38,4.661,4.771,False,,1646.329360552731,1478.2095918789323
D39,243000.256,362899.535,3.522,3.392,0.13,3.522,False,1073.8,,dgps,d39,3.392,3.522,False,,1973.7556504410593,1807.8721207177002
ceh38,241130.0,363261.0,4.465,,0.0,4.465,False,258.4,Nr fence CEH4,lidar,ceh38,4.465,4.465,False,,200.02208437473817,921.2529030613114
ceh39,241719.0,363435.0,7.85,,0.04,7.89,False,770.8,SW CEH9,lidar,ceh39,7.85,7.89,False,,592.6450913365343,626.2056123387281
ceh35,241081.0,363212.0,4.35,,0.04,4.39,False,189.6,nr path CEH4,lidar,ceh35,4.35,4.39,False,,212.5581453951752,987.5167550625811
ceh36,241161.0,363306.0,5.31,,0.03,5.34,False,312.9,N CEH4,lidar,ceh36,5.31,5.34,False,,189.71711922487953,866.9680884729108
nw13,241761.0,364180.0,12.09,,0.05,12.14,True,1371.3,1d,lidar,nw13,12.09,12.14,False,,442.5643073315994,52.1633905304611
Nw8b,241272.0,363487.0,7.33,,0.0,7.33,True,523.8,,lidar,nw8b,7.33,7.33,False,,149.92052449694162,655.0462499808574
L7,242812.0,364395.0,10.86,10.86,0.06,10.92,False,2211.9,,dgps,l7,10.86,10.92,False,,1515.3280725575985,1111.2621882801036
wmc4,241760.293,364180.707,12.09,,0.04,12.13,True,1371.3,,lidar,wmc4,12.09,12.129999999999999,False,,442.01698410096276,51.19043095774472
L4,242897.825,364328.678,,9.246,0.12,9.366,False,2222.3,,dgps,l4,9.246,9.366,False,,1588.1690238042634,1187.3541862435911
FE2,241135.0,363595.0,8.54,,0.06,8.6,False,538.9,f2,lidar,fe2,8.54,8.6,True,,27.574415864810444,623.9658198842482
