Date,C1,C2,C3,C4,C5,Lake_Edge,Eastern_Block,Western_Block,Forest,Coastal_Forest,P_mm,PET_mm
2009-12-01,-0.06333333333333334,-0.5583333333333335,-0.6958333333333333,-1.3219999999999998,-0.9049999999999999,-0.06333333333333334,-0.5583333333333335,-0.6958333333333333,-1.3219999999999998,-0.9049999999999999,87.2,13.4383625207979
2010-01-01,-0.15333333333333335,-0.48833333333333345,-0.6475,-1.2720000000000002,-0.915,-0.15333333333333335,-0.48833333333333345,-0.6475,-1.2720000000000002,-0.915,55.0,10.6509879735531
2010-02-01,-0.05333333333333334,-0.4366666666666667,-0.5908333333333332,-1.2360000000000002,-0.9475,-0.05333333333333334,-0.4366666666666667,-0.5908333333333332,-1.2360000000000002,-0.9475,36.4,13.0331931700102
2010-03-01,-0.30666666666666664,-0.6216666666666667,-0.7824999999999999,-1.302,-1.0150000000000001,-0.30666666666666664,-0.6216666666666667,-0.7824999999999999,-1.302,-1.0150000000000001,77.2,29.5400437662233
2010-04-01,-0.049999999999999996,-0.21130434782608698,-0.5853846153846154,-1.312,-0.97,-0.049999999999999996,-0.21130434782608698,-0.5853846153846154,-1.312,-0.97,17.2,48.7896019580252
2010-05-01,-0.5157142857142858,-0.5783333333333335,-0.8838461538461538,-1.3479999999999999,-1.1125,-0.5157142857142858,-0.5783333333333335,-0.8838461538461538,-1.3479999999999999,-1.1125,38.199999999999996,71.3674034313911
2010-06-01,-0.6085714285714287,-0.6907500000000001,-1.0223076923076924,-1.5160000000000002,-1.2325,-0.6085714285714287,-0.6907500000000001,-1.0223076923076924,-1.5160000000000002,-1.2325,29.8,101.5308382205462
2010-07-01,-0.7357142857142858,-0.8679166666666666,-1.1557142857142857,-1.6833333333333333,-1.436,-0.7357142857142858,-0.8679166666666666,-1.1557142857142857,-1.6833333333333333,-1.436,126.6,109.4558764835984
2010-08-01,-0.47000000000000003,-0.6862499999999999,-0.9978571428571428,-1.67375,-1.2739999999999998,-0.47000000000000003,-0.6862499999999999,-0.9978571428571428,-1.67375,-1.2739999999999998,32.2,92.7898873492782
2010-09-01,-0.802857142857143,-0.9804166666666667,-1.2235714285714285,-1.7844444444444443,-1.458,-0.802857142857143,-0.9804166666666667,-1.2235714285714285,-1.7844444444444443,-1.458,94.0,73.6083399700177
2010-10-01,-0.6285714285714287,-0.8910416666666666,-1.2349999999999999,-1.862222222222222,-1.504,-0.6285714285714287,-0.8910416666666666,-1.2349999999999999,-1.862222222222222,-1.504,90.0,50.1738607055748
2010-11-01,-0.4528571428571429,-0.7895833333333334,-1.1807142857142858,-1.9144444444444444,-1.452,-0.4528571428571429,-0.7895833333333334,-1.1807142857142858,-1.9144444444444444,-1.452,86.0,21.8468880685325
2010-12-01,-0.40857142857142864,-0.6591666666666667,-1.0514285714285714,-1.7711111111111113,-1.336,-0.40857142857142864,-0.6591666666666667,-1.0514285714285714,-1.7711111111111113,-1.336,53.6,5.9957081270811
2011-01-01,-0.2357142857142857,-0.5775,-1.0235714285714286,-1.8455555555555558,-1.3679999999999999,-0.2357142857142857,-0.5775,-1.0235714285714286,-1.8455555555555558,-1.3679999999999999,52.6,12.409728501320501
2011-02-01,-0.31428571428571433,-0.5625,-0.938125,-1.6922222222222223,-1.3099999999999998,-0.31428571428571433,-0.5625,-0.938125,-1.6922222222222223,-1.3099999999999998,84.6,23.197049562791403
2011-03-01,-0.22999999999999998,-0.46166666666666667,-0.8662499999999999,-1.608888888888889,-1.228,-0.22999999999999998,-0.46166666666666667,-0.8662499999999999,-1.608888888888889,-1.228,29.6,29.178384455001602
2011-04-01,-0.4571428571428572,-0.6529166666666667,-1.033125,-1.701111111111111,-1.386,-0.4571428571428572,-0.6529166666666667,-1.033125,-1.701111111111111,-1.386,32.2,59.594238836987095
2011-05-01,-0.687142857142857,-0.8329166666666666,-1.1556250000000001,-1.8322222222222224,-1.47,-0.687142857142857,-0.8329166666666666,-1.1556250000000001,-1.8322222222222224,-1.47,77.8,76.2454018609684
2011-06-01,-0.8142857142857142,-0.9812500000000001,-1.266875,-1.9466666666666665,-1.56,-0.8142857142857142,-0.9812500000000001,-1.266875,-1.9466666666666665,-1.56,48.7999999999999,85.8071227815688
2011-07-01,-0.9328571428571429,-1.1216666666666668,-1.3762500000000002,-2.0411111111111113,-1.654,-0.9328571428571429,-1.1216666666666668,-1.3762500000000002,-2.0411111111111113,-1.654,48.599999999999994,96.5242869315626
2011-08-01,-1.0742857142857143,-1.2484086820065003,-1.4886221881390596,-2.128490687219011,-1.7399999999999998,-1.0742857142857143,-1.2484086820065003,-1.4886221881390596,-2.128490687219011,-1.7399999999999998,67.6,87.4552715778478
