Date,P_m,PET
1940-04-01,0.06509999999999999,0.04761237553806631
1940-05-01,0.038799999999999994,0.07168588681982421
1940-06-01,0.0193,0.09955517613813566
1940-07-01,0.062299999999999994,0.09766258498541494
1940-08-01,0.0141,0.0938627988095021
1940-09-01,0.0613,0.06733585932728305
1940-10-01,0.105,0.0455804141495033
1940-11-01,0.1536,0.02935146545813481
1940-12-01,0.0716,0.018865875854861387
1941-01-01,0.0691,0.008557252901086653
1941-02-01,0.0792,0.016603649208888405
1941-03-01,0.0613,0.02656307709204437
1941-04-01,0.0395,0.037142532451010325
1941-05-01,0.0697,0.06200630700650272
1941-06-01,0.0,0.0919886423567085
1941-07-01,0.0395,0.10725047210034885
1941-08-01,0.06709999999999999,0.08819002752045658
1941-09-01,0.0314,0.0774529251584607
1941-10-01,0.1105,0.0501320951005283
1941-11-01,0.0805,0.026471553423922586
1941-12-01,0.0385,0.023585505768838402
1942-01-01,0.1764,0.014801751993071361
1942-02-01,0.026600000000000002,0.009127271523409053
1942-03-01,0.08270000000000001,0.029625956751109867
1942-04-01,0.0292,0.05190676132176546
1942-05-01,0.0798,0.06866672735027528
1942-06-01,0.0013,0.08766869800940699
1942-07-01,0.0517,0.09995089755434194
1942-08-01,0.0767,0.09480030220344791
1942-09-01,0.0878,0.06679976452346457
1942-10-01,0.1041,0.045370366889010603
1942-11-01,0.0318,0.02114859821705041
1942-12-01,0.12969999999999998,0.025741824962927394
1943-01-01,0.1343,0.020560240640889214
1943-02-01,0.0515,0.02521557397741932
1943-03-01,0.0263,0.03191320854219755
1943-04-01,0.0285,0.05175237159425202
1943-05-01,0.07909999999999999,0.0695851060013151
1943-06-01,0.0668,0.09015273054069795
1943-07-01,0.039299999999999995,0.10367486196750592
1943-08-01,0.0737,0.09041771850895265
1943-09-01,0.0792,0.06321696110195907
1943-10-01,0.1259,0.046346258320544446
1943-11-01,0.064,0.025322618840313556
1943-12-01,0.060399999999999995,0.015020424927814602
1944-01-01,0.1042,0.023188233174435944
1944-02-01,0.047299999999999995,0.017592586971044277
1944-03-01,0.0145,0.025970143953960988
1944-04-01,0.0428,0.05185401140616048
1944-05-01,0.056799999999999996,0.07017005403678865
1944-06-01,0.052,0.0878997751589486
1944-07-01,0.1083,0.1059485225725396
1944-08-01,0.0545,0.09557335557049443
1944-09-01,0.1177,0.0623900721684805
1944-10-01,0.0773,0.0427578852807984
1944-11-01,0.0897,0.025952425248038452
1944-12-01,0.052,0.01864577717105986
1945-01-01,0.0389,0.007471040584868483
1945-02-01,0.06559999999999999,0.02452742163816873
1945-03-01,0.0159,0.037872963744032435
1945-04-01,0.045700000000000005,0.0537273317740118
1945-05-01,0.0515,0.07289201240180777
1945-06-01,0.0839,0.0923695176029886
1945-07-01,0.056299999999999996,0.1037254351674311
1945-08-01,0.013300000000000001,0.09517626265834543
1945-09-01,0.0431,0.07172318886177231
1945-10-01,0.058,0.05104854994660731
1945-11-01,0.011300000000000001,0.025366421870372344
1945-12-01,0.1087,0.019893591850809682
1946-01-01,0.10909999999999999,0.013445576059351465
1946-02-01,0.07759999999999999,0.022709340005032167
1946-03-01,0.0423,0.025339585582959817
1946-04-01,0.0299,0.05121368154255594
1946-05-01,0.0469,0.06916271639054278
1946-06-01,0.0631,0.08253879503532818
1946-07-01,0.0569,0.09637663989417994
1946-08-01,0.085,0.08408912596548228
1946-09-01,0.1143,0.06956945981362754
1946-10-01,0.0264,0.04540089789808135
1946-11-01,0.1566,0.029704163778988286
1946-12-01,0.1264,0.016317239957329862
1947-01-01,0.1088,0.012383441458188097
1947-02-01,0.0207,0.0
1947-03-01,0.1439,0.022215307350724394
1947-04-01,0.0955,0.04403077854657134
1947-05-01,0.0803,0.08123045983785955
1947-06-01,0.0686,0.09752548059978647
1947-07-01,0.055600000000000004,0.10164102250741619
1947-08-01,0.018,0.11328627994838858
1947-09-01,0.0922,0.07402729500300534
1947-10-01,0.0092,0.048019271673873806
1947-11-01,0.0985,0.0273377368863829
1947-12-01,0.053899999999999997,0.018829276406066266
1948-01-01,0.1948,0.01839468704649683
1948-02-01,0.0346,0.017766315388529467
1948-03-01,0.0489,0.03759225720538752
1948-04-01,0.035,0.04357617985041294
1948-05-01,0.031,0.06894581105268378
1948-06-01,0.0762,0.08310202931435215
1948-07-01,0.06459999999999999,0.09975305315609172
1948-08-01,0.1024,0.08854235543603463
1948-09-01,0.0586,0.06728710578585803
1948-10-01,0.0644,0.04602404394160456
1948-11-01,0.06570000000000001,0.030019074022686935
1948-12-01,0.1025,0.02066637329596941
1949-01-01,0.0605,0.021010470375393293
1949-02-01,0.027899999999999998,0.02140263575666293
1949-03-01,0.060700000000000004,0.02799298668529207
1949-04-01,0.047200000000000006,0.04820723569718402
1949-05-01,0.0419,0.06844142715153646
1949-06-01,0.0079,0.09576386800052564
1949-07-01,0.0469,0.10955542584438654
1949-08-01,0.0538,0.09654617413554907
1949-09-01,0.0526,0.07754941876433807
1949-10-01,0.1369,0.051967291685741594
1949-11-01,0.09040000000000001,0.026795273217313002
1949-12-01,0.0714,0.02047532976354841
1950-01-01,0.023399999999999997,0.01546339049726594
1950-02-01,0.1232,0.01958222020057549
1950-03-01,0.0544,0.03225463966136076
1950-04-01,0.0659,0.03886984427051075
1950-05-01,0.0158,0.07154394674972289
1950-06-01,0.0335,0.09657647033231745
1950-07-01,0.0573,0.10066673504436409
1950-08-01,0.1009,0.08981870006151747
1950-09-01,0.175,0.06360059280420591
1950-10-01,0.08009999999999999,0.04315293857265498
1950-11-01,0.09359999999999999,0.022128987478317506
1950-12-01,0.087,0.010234175217831279
1951-01-01,0.08020000000000001,0.01582899043929479
1951-02-01,0.0809,0.015711567685148527
1951-03-01,0.1102,0.022828958085905376
1951-04-01,0.0385,0.036963985908429316
1951-05-01,0.06559999999999999,0.06803464870419693
1951-06-01,0.0176,0.09489968014866075
1951-07-01,0.0273,0.10534583324555331
1951-08-01,0.1426,0.09322325421470751
1951-09-01,0.1072,0.07462205396479742
1951-10-01,0.0265,0.04877464777127305
1951-11-01,0.15530000000000002,0.03073637960635778
1951-12-01,0.1433,0.020327466031033036
1952-01-01,0.0897,0.014611214307582355
1952-02-01,0.0221,0.017821663215199395
1952-03-01,0.052899999999999996,0.03211671293381963
1952-04-01,0.0507,0.0495836278886181
1952-05-01,0.061700000000000005,0.07944016756760279
1952-06-01,0.0465,0.08774010856213982
1952-07-01,0.0286,0.10742031213235112
1952-08-01,0.087,0.09201615954062613
1952-09-01,0.08070000000000001,0.05731931168649036
1952-10-01,0.0993,0.041627183305114494
1952-11-01,0.0681,0.019598060892063753
1952-12-01,0.08990000000000001,0.015676516351097784
1953-01-01,0.039,0.017319168677338438
1953-02-01,0.0733,0.018714883159751953
1953-03-01,0.0202,0.028998391086462443
1953-04-01,0.0751,0.04172108386273023
1953-05-01,0.0688,0.0833891890309973
1953-06-01,0.0237,0.09486844742579728
1953-07-01,0.051,0.10590970083903044
1953-08-01,0.07909999999999999,0.09633867454257294
1953-09-01,0.0989,0.07300653564763285
1953-10-01,0.07629999999999999,0.04626209068781507
1953-11-01,0.1247,0.03274944586051398
1953-12-01,0.0395,0.02430315806534288
1954-01-01,0.0559,0.01469947577707622
1954-02-01,0.08009999999999999,0.012190246930017587
1954-03-01,0.0732,0.029645577760446868
1954-04-01,0.0324,0.04220492194097313
1954-05-01,0.0682,0.07162455905649447
1954-06-01,0.08059999999999999,0.08668266117331608
1954-07-01,0.0782,0.09139715399374808
1954-08-01,0.0858,0.08509144793280995
1954-09-01,0.0865,0.0658905730656804
1954-10-01,0.15719999999999998,0.05118918556242631
1954-11-01,0.1682,0.027764669676186363
1954-12-01,0.0792,0.023075568567296423
1955-01-01,0.08070000000000001,0.012417300911589704
1955-02-01,0.0603,0.009623693036275315
1955-03-01,0.034,0.02118463196907714
1955-04-01,0.052,0.04922250454781905
1955-05-01,0.0586,0.06789973212157746
1955-06-01,0.1009,0.09324013084724968
1955-07-01,0.0258,0.11691915723305303
1955-08-01,0.0269,0.10513114992994169
1955-09-01,0.053700000000000005,0.07219354566099065
1955-10-01,0.0327,0.0432603738348458
1955-11-01,0.027800000000000002,0.026353963708712347
1955-12-01,0.09090000000000001,0.021534930559187367
1956-01-01,0.08929999999999999,0.015922530788205293
1956-02-01,0.0265,0.006124565903756431
1956-03-01,0.0233,0.0327135421431562
1956-04-01,0.0294,0.040259347191494974
1956-05-01,0.0391,0.07145084672556715
1956-06-01,0.0475,0.08363434129383217
1956-07-01,0.10729999999999999,0.10265144334986126
1956-08-01,0.2104,0.0831094601610673
1956-09-01,0.08059999999999999,0.07511437499781116
1956-10-01,0.0735,0.045819843320407574
1956-11-01,0.0346,0.02693079688406719
1956-12-01,0.1128,0.023370635771806775
1957-01-01,0.0916,0.020795483505700072
1957-02-01,0.0992,0.019390427061902665
1957-03-01,0.072,0.04540670232932412
1957-04-01,0.0123,0.04860865886524008
1957-05-01,0.07659999999999999,0.06955450066836258
1957-06-01,0.0466,0.09718441073232163
1957-07-01,0.1139,0.1042973590456291
1957-08-01,0.1158,0.09258681651616973
1957-09-01,0.1466,0.06284487234676997
1957-10-01,0.0984,0.04660319830045262
1957-11-01,0.053700000000000005,0.023482234480241032
1957-12-01,0.1025,0.01801111236152283
1958-01-01,0.08270000000000001,0.016449606925794065
1958-02-01,0.13240000000000002,0.01922188538872199
1958-03-01,0.0216,0.021235289627079587
1958-04-01,0.0263,0.04048459753579455
1958-05-01,0.1036,0.06527766949433404
1958-06-01,0.1023,0.0907452920602391
1958-07-01,0.092,0.10156071130189841
1958-08-01,0.0711,0.09309657977162505
1958-09-01,0.1708,0.07662511243493937
1958-10-01,0.08020000000000001,0.050566781013695536
1958-11-01,0.07490000000000001,0.028155549942429445
