Well_Normalised,Assigned_Cluster,Best_Match_Cluster,Secondary_Cluster,Assigned_r,Best_Match_r,Delta_Assigned_vs_NextBest,Class,MCA_Count_r_gt_0_90,MCA_Flag,r_Cluster_1,r_Cluster_2,r_Cluster_3,r_Cluster_4,r_Cluster_5,r_Cluster_6,MCA_Cluster_Label
ceh27,1,1,2,0.9838722436906274,0.9838722436906274,0.022741829916469225,Fuzzy,2,False,0.9838722436906274,0.9611304137741582,0.8717247793650512,0.6626140506675597,0.677869806370236,0.6020008001468053,
ceh28,2,2,1,0.9627924379569296,0.9627924379569296,0.045943826509436625,Fuzzy,3,True,0.916848611447493,0.9627924379569296,0.902386824714176,0.7352538288990511,0.6477359224186598,0.4512447918541376,C1/C2/C3
ceh3,5,5,3,1.0,1.0,0.27535252632003504,Core,1,False,0.5210317910828585,0.5615137718034936,0.724647473679965,0.5465563444611691,1.0,0.6314757680053146,
ceh30,4,4,3,0.9881278005140763,0.9881278005140763,0.04335453433901548,Fuzzy,2,False,0.65513731647164,0.8384464601158466,0.9447732661750609,0.9881278005140763,0.5514085017229937,0.26358888468607966,
ceh31,3,3,4,0.9747925452161983,0.9747925452161983,0.04505207263924782,Fuzzy,3,True,0.7774951022161012,0.9067185226191198,0.9747925452161983,0.9297404725769505,0.6770272338954552,0.37508102072067867,C2/C3/C4
ceh32,4,4,3,0.9915868633709619,0.9915868633709619,0.10761200380317981,Core,1,False,0.5501322979603319,0.7583321554663938,0.8839748595677821,0.9915868633709619,0.4519106858353927,0.1903752977072743,
ceh33,4,4,3,0.99297223804793,0.99297223804793,0.07018751177778226,Core,2,False,0.6146476579417027,0.8082968647342766,0.9227847262701477,0.99297223804793,0.5149173081819074,0.24072413290923012,
ceh34,4,4,3,0.9965660363517839,0.9965660363517839,0.0761682401556173,Core,2,False,0.6080391649438962,0.8057115294977697,0.9203977961961666,0.9965660363517839,0.49835692659790665,0.22630287337687968,
ceh36,3,3,2,0.9726752006304529,0.9726752006304529,0.028537384109468378,Fuzzy,2,False,0.8609720974064553,0.9441378165209845,0.9726752006304529,0.8626310767176557,0.6912728608871171,0.39597931438836315,
ceh39,3,3,2,0.9820553473852863,0.9820553473852863,0.03557980546289152,Fuzzy,3,True,0.8271881566604004,0.9464755419223948,0.9820553473852863,0.9327194732752964,0.6252122883278487,0.45899036929867715,C2/C3/C4
ceh4,3,3,2,0.9561387373636644,0.9561387373636644,0.08697374857381945,Core,1,False,0.7875714261136663,0.8691649887898449,0.9561387373636644,0.8025665238064799,0.8369229647809219,0.49625719546237934,
ceh40,2,2,3,0.9682587164056464,0.9682587164056464,0.02017056995561428,Fuzzy,2,False,0.8636597607743164,0.9682587164056464,0.9480881464500321,0.8414979184935631,0.6260970135965709,0.4486919858298853,
ceh41,2,2,3,0.9742411846825265,0.9742411846825265,0.013779390451501672,Fuzzy,2,False,0.8659694332377988,0.9742411846825265,0.9604617942310248,0.8510343445487543,0.6361546361580818,0.4367679988593225,
ceh42,3,3,2,0.9538929842376898,0.9538929842376898,0.03379153679666502,Fuzzy,2,False,0.8655582956834841,0.9201014474410247,0.9538929842376898,0.8049471249633542,0.7237030837313934,0.4590179330209798,
ceh5,1,1,2,0.9855837969813642,0.9855837969813642,0.030926145593287768,Fuzzy,2,False,0.9855837969813642,0.9546576513880765,0.8207657576502062,0.6199346575801348,0.5141530606375911,0.5884441653945923,
ceh6,1,1,2,0.9619983388831428,0.9619983388831428,0.11501578207592933,Core,1,False,0.9619983388831428,0.8469825568072135,0.6838555682431713,0.45188978136625507,0.4704892870674443,0.7139762805128275,
ceh9,3,3,4,0.9770199295752929,0.9770199295752929,0.035329680793115936,Fuzzy,3,True,0.746665595825464,0.9095702316556551,0.9770199295752929,0.941690248782177,0.6404477397919104,0.332218303733186,C2/C3/C4
d10,2,2,3,0.9915261392920233,0.9915261392920233,0.04852065421123153,Fuzzy,3,True,0.9210079837722318,0.9915261392920233,0.9430054850807917,0.7894408638427636,0.6517584256969916,0.4707087357535652,C1/C2/C3
d15,2,2,3,0.988374733060457,0.988374733060457,0.015056075724070084,Fuzzy,2,False,0.8972133078329756,0.988374733060457,0.9733186573363869,0.8544813321716472,0.6555234710826549,0.4514806134239473,
d17,2,2,3,0.9916820156988022,0.9916820156988022,0.04596897851879378,Fuzzy,3,True,0.9302362377408617,0.9916820156988022,0.9457130371800084,0.7962521236217736,0.661895600947132,0.5003079221666127,C1/C2/C3
d25,3,3,2,0.9425809125928328,0.9425809125928328,0.018223656189085724,Fuzzy,2,False,0.8338632980905629,0.9243572564037471,0.9425809125928328,0.8301340006457811,0.674458694902581,0.5020891451676024,
d38,2,2,1,0.959133943961182,0.959133943961182,0.008414668131352832,Fuzzy,3,True,0.9507192758298292,0.959133943961182,0.9237717296496375,0.7239995507258221,0.7516159315197437,0.6028705138471183,C1/C2/C3
d41,2,2,1,0.985015661566463,0.985015661566463,0.03259173887530309,Fuzzy,3,True,0.9524239226911599,0.985015661566463,0.9195334866189802,0.7439756271595,0.6762220701457047,0.5250691031172625,C1/C2/C3
d43,2,2,3,0.996340583514549,0.996340583514549,0.04102113458455858,Fuzzy,3,True,0.9440009997760591,0.996340583514549,0.9553194489299904,0.7868391404884408,0.6885250830481549,0.5154569719926042,C1/C2/C3
d44,2,2,1,0.9861413332334297,0.9861413332334297,0.024057779081553377,Fuzzy,3,True,0.9620835541518763,0.9861413332334297,0.9198584900841554,0.7364709848921663,0.6806241210226289,0.5592160487757486,C1/C2/C3
d5,2,2,3,0.9897683162723434,0.9897683162723434,0.04161033478149656,Fuzzy,3,True,0.9161644801682656,0.9897683162723434,0.9481579814908468,0.8106044139906597,0.650795008920775,0.4753831737182424,C1/C2/C3
d6,2,2,3,0.9926751739747617,0.9926751739747617,0.051127055361173124,Core,3,True,0.9345527726133598,0.9926751739747617,0.9415481186135886,0.7835013848843244,0.6596572459254747,0.48434894301941334,C1/C2/C3
d7,2,2,3,0.969130076240483,0.969130076240483,0.04416631026860296,Fuzzy,3,True,0.9214794561479248,0.969130076240483,0.92496376597188,0.7489876299798687,0.6863330623524188,0.5224379507803689,C1/C2/C3
d8,2,2,3,0.9897349518781614,0.9897349518781614,0.05084612801178379,Core,3,True,0.9206125677622307,0.9897349518781614,0.9388888238663776,0.7947446625633389,0.641867531919192,0.48132517745094106,C1/C2/C3
d9,2,2,3,0.9837047810317825,0.9837047810317825,0.012717906047969296,Fuzzy,2,False,0.897795230579631,0.9837047810317825,0.9709868749838132,0.8346225046945749,0.6646250484249541,0.4686422976352294,
l7,2,2,3,0.9784112873584093,0.9784112873584093,0.04875294002284447,Fuzzy,3,True,0.9255125661135871,0.9784112873584093,0.9296583473355648,0.7564629475903186,0.6282520846740479,0.4891419744701138,C1/C2/C3
llynrhos,6,6,1,1.0,1.0,0.3593003083977051,Core,1,False,0.6406996916022949,0.5069884261629257,0.4194933627227709,0.2328255622037098,0.6314757680053146,1.0,
nw1,3,3,2,0.9677033093463583,0.9677033093463583,0.007208661151318796,Fuzzy,2,False,0.8618024559869797,0.9604946481950395,0.9677033093463583,0.8863710767325845,0.609948443488181,0.4441718091498028,
nw10,4,4,3,0.9862619026624948,0.9862619026624948,0.055215874057383485,Core,2,False,0.6879698785077827,0.8393570136411248,0.9310460286051113,0.9862619026624948,0.5218378035731295,0.4048170906557785,
nw11,3,3,2,0.9731357402424844,0.9731357402424844,0.015594625950673735,Fuzzy,3,True,0.8420964275230313,0.9575411142918107,0.9731357402424844,0.9128330443131499,0.5877496899805598,0.4284969759312103,C2/C3/C4
nw13,2,2,3,0.9819175010230107,0.9819175010230107,0.028170231438859106,Fuzzy,3,True,0.9246827477364133,0.9819175010230107,0.9537472695841516,0.8070146223475281,0.7672764593525716,0.5464565833040035,C1/C2/C3
nw2,3,3,2,0.9722069910438972,0.9722069910438972,0.016093559587871842,Fuzzy,2,False,0.8536521836117383,0.9561134314560253,0.9722069910438972,0.8964449903734479,0.6191497686465921,0.44336738695623745,
nw3,2,2,1,0.9690727684703326,0.9690727684703326,0.05846463852667516,Core,3,True,0.9106081299436575,0.9690727684703326,0.9064789652319527,0.7728275171166242,0.5692607943766803,0.5072635285255623,C1/C2/C3
nw4,2,2,1,0.9684019307731198,0.9684019307731198,0.052164646655665226,Core,2,False,0.9162372841174545,0.9684019307731198,0.8900292148400972,0.7527375950366153,0.5636751819927769,0.5004387786325984,
nw4b,2,2,1,0.971185738907528,0.971185738907528,0.04793064013330395,Fuzzy,2,False,0.9232550987742241,0.971185738907528,0.8895497130723821,0.7423463602510152,0.5660046804819043,0.5055904634728028,
nw5,3,3,4,0.9785306601807625,0.9785306601807625,0.05980096362463816,Core,3,True,0.7933742762530945,0.9160602974040927,0.9785306601807625,0.9187296965561244,0.6548183340883461,0.3774873400974102,C2/C3/C4
nw6,3,3,2,0.9691503781065154,0.9691503781065154,0.048924784094838025,Fuzzy,2,False,0.8198067282585065,0.9202255940116774,0.9691503781065154,0.8818274655422955,0.6563254979236877,0.47732978435435147,
nw7,3,3,4,0.9732531831763944,0.9732531831763944,0.03223460873387152,Fuzzy,2,False,0.7297719166894227,0.8671723293808986,0.9732531831763944,0.9410185744425229,0.7169001122225741,0.4526797500613663,
nw9,3,3,5,0.9316716367367478,0.9316716367367478,0.047935996807412895,Fuzzy,1,False,0.6573532196179035,0.7835769036480488,0.9316716367367478,0.8368980919952649,0.8837356399293349,0.4478596383265509,
t41a,2,2,3,0.974532431094841,0.974532431094841,0.03265328746259155,Fuzzy,3,True,0.9311613177367792,0.974532431094841,0.9418791436322494,0.7679905411903716,0.7073883285623324,0.5164281725632803,C1/C2/C3
t41b,2,2,1,0.9889861615218374,0.9889861615218374,0.038766333226747496,Fuzzy,3,True,0.9502198282950899,0.9889861615218374,0.9303838265272483,0.7585982975275555,0.6755056718880509,0.5300670629534388,C1/C2/C3
t41c,2,2,1,0.9919044260712206,0.9919044260712206,0.03187418392751573,Fuzzy,3,True,0.9600302421437049,0.9919044260712206,0.9297389486305921,0.7545314760152353,0.6812500113572979,0.5398147808894949,C1/C2/C3
t41d,2,2,1,0.9899449616454957,0.9899449616454957,0.03929222052638148,Fuzzy,3,True,0.9506527411191142,0.9899449616454957,0.9244555452398524,0.7545085965516948,0.6611507705348949,0.5166848058416132,C1/C2/C3
wmc1,2,2,3,0.9893879005984628,0.9893879005984628,0.03801887052313968,Fuzzy,3,True,0.9139661541076273,0.9893879005984628,0.9513690300753231,0.8188779824026746,0.6532109034307902,0.48719099543997224,C1/C2/C3
wmc2,3,3,2,0.9800034120155303,0.9800034120155303,0.02564389307482695,Fuzzy,2,False,0.8566558324903512,0.9543595189407034,0.9800034120155303,0.8772771415987116,0.656392726839258,0.4066665322368392,
wmc3,3,3,4,0.9730763473875453,0.9730763473875453,0.023694076553085752,Fuzzy,2,False,0.7432568771800074,0.8957812042401054,0.9730763473875453,0.9493822708344596,0.6030934816067967,0.3237983644208534,
wmc4,2,2,3,0.9798472198654036,0.9798472198654036,0.009914663971257842,Fuzzy,3,True,0.9062096741051644,0.9798472198654036,0.9699325558941457,0.8455567168872655,0.7464272305942011,0.5109941680139468,C1/C2/C3
