Well,Well_Normalized,Months_Used,OneStep_R2_Traditional,OneStep_R2_StateSpace,OneStep_R2_Improvement,Iterative_R2_Traditional,Iterative_R2_StateSpace,Iterative_R2_Improvement,Iterative_NSE_Traditional,Iterative_NSE_StateSpace,Iterative_NSE_Improvement,Beta_P_StateSpace,Beta_PET_StateSpace,Beta_hdisp_StateSpace,pvalue_beta_1_StateSpace,pvalue_beta_2_StateSpace,pvalue_beta_3_StateSpace,R2_StateSpace_fit
CEH20,ceh20,100,0.9441719877136333,0.9441827105901246,1.0722876491287003e-05,0.5783338548842928,0.6646281476284132,0.08629429274412037,0.5309713282213386,0.6574762642993055,0.12650493607796687,2.430200906327157,2.155440213263985,0.023344035717624414,3.7429664192680255e-22,2.5409839587373945e-13,0.013255539659292371,0.7245775699209325
CEH21,ceh21,100,0.9368442290095508,0.9379168352512735,0.0010726062417226734,0.6578818395751165,0.795171718726784,0.13728987915166757,0.5509489303054947,0.7927676671143432,0.24181873680884847,2.3321113924964356,1.0488392129639479,0.04366293804197634,4.626749374744879e-28,2.0792362494200185e-07,3.019109609755991e-09,0.7683187871187818
CEH23,ceh23,100,0.8605803331983085,0.87446488879695,0.013884555598641435,0.375617879841695,0.7193908637707072,0.3437729839290122,-1.9029390396233494,0.6047683183885852,2.5077073580119347,4.454754995199482,0.4303711241592479,0.09441811522320448,1.1523552051778758e-27,0.21312888760186643,4.2718510486924437e-16,0.7210161884804591
CEH24,ceh24,100,0.9007677261836631,0.9051182065300494,0.0043504803463862984,0.6234151985317952,0.8274895836246678,0.20407438509287268,0.4424877361062288,0.820462641532314,0.37797490542608514,4.523776571926335,1.517593086280558,0.07451392876448873,3.4581819099991267e-26,0.00010810294455723842,8.055089011853231e-11,0.7204800747442486
CEH25,ceh25,100,0.8578141175172299,0.8758169103448246,0.01800279282759465,0.484462943001878,0.7729896042460016,0.28852666124412363,0.003771649448279679,0.7450761531226154,0.7413045036743358,6.236704496931966,0.3271553883074013,0.13434145134502273,1.0880978760452869e-28,0.46333430743423415,3.0353726803925703e-18,0.7260296484845832
CEH26,ceh26,100,0.8799200497503884,0.8901514203434636,0.010231370593075217,0.5017673097822634,0.7179149075583391,0.21614759777607573,0.31072231676663253,0.6766419598983049,0.36591964313167236,4.267328325492921,0.48519926668381286,0.08761778537218887,6.97118238595109e-27,0.14977888772340528,6.568096449667204e-15,0.7115071659097336
CEH27,ceh27,100,0.9165712337326654,0.9251487428980819,0.008577509165416553,0.5220853434691334,0.792170663395218,0.27008531992608464,0.3102980700641713,0.765283016751576,0.45498494668740463,5.057644434469678,0.7684816680918257,0.09835636217726085,1.0906380341581578e-32,0.02183319964540776,2.847728701555776e-18,0.782252702595886
CEH28,ceh28,100,0.875202088344118,0.8829843355983601,0.007782247254242147,0.5026144385060233,0.5690789242567118,0.06646448575068853,-0.02297048910832289,0.4150390644355002,0.4380095535438231,4.479305720810877,1.5441012816685753,0.07805750655498356,2.2174323464861877e-27,9.19115176787523e-05,9.677770420080586e-12,0.7325758710689951
CEH30,ceh30,100,0.9430112950617022,0.9430794832045826,6.818814288034325e-05,0.6695582119505872,0.7421870515661261,0.0726288396155389,0.5949517135139567,0.7342850285526913,0.13933331503873458,2.2829453106027793,2.0620726214518035,0.02644979402466932,9.01822038178531e-22,4.921987462317299e-13,0.014936696225264851,0.7186074688480746
CEH31,ceh31,100,0.8842677846962385,0.8847089788173408,0.0004411941211023285,0.6747447095758025,0.7535666622858544,0.07882195271005199,0.24587525395479426,0.6790106261803798,0.4331353722255855,2.1635665105914845,1.3374600342552283,0.04020858524856575,2.8318594490453134e-15,7.933442911711173e-06,0.0013353264907680648,0.5631152915107336
