Name_Original,Cluster,Easting,Northing,LCSC_Empirical_Percent,LCSC_Regression_Percent,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,Model_R2,n
ceh2,4,241421.0,363979.0,49.121846341002225,36.60133672423393,2.7321406524967022,2.8911509119702172,0.023298180349297655,1.755196174858714e-21,5.773242068840868e-15,0.10392448430983418,0.6976817904623958,100
ceh4,3,241131.693,363211.05,59.20740043231536,28.98307783694102,3.4502891846960018,1.0865180530376621,0.06808119973247254,6.483332635816999e-34,7.88174798337157e-06,6.328252149222402e-15,0.8078379507477125,100
ceh5,1,242521.077,364465.817,45.87700010556014,18.80558589177376,5.317568969959272,1.3369353862416835,0.09844962252475586,6.66139141450434e-33,0.0002490492245042934,1.371457352991836e-16,0.7868499560302014,100
ceh6,1,242621.679,364724.912,41.985044914045304,18.928374024112728,5.283073964652784,-0.1993972056707111,0.12227230657184252,3.37042727033732e-30,0.5855093234833474,4.213751171869374e-20,0.7427615075934246,100
ceh9,3,241711.211,363459.012,52.93293340640483,32.73310406060552,3.0550112147888404,2.2548689914323896,0.032967431271134114,7.370737252759077e-27,4.108146802961138e-13,9.942699359927522e-05,0.7757849659571107,100
ceh10,2,242538.185,363173.915,45.981924565990056,21.93879659563797,4.558135154044079,1.5940808424810138,0.10526244812530527,1.0892550219648745e-22,0.00034080834044983863,1.6364851580294737e-09,0.6509183971373151,100
ceh11,1,242618.62,362688.287,45.46340923423779,22.404058113874825,4.463477084897849,0.7707385306228506,0.09195496324317853,3.024134753752678e-29,0.02163314561226742,2.7152715051469334e-15,0.7423435291644,100
ceh13,4,240964.108,364066.298,53.35074854400587,48.14607952053228,2.0770123132736944,2.617953452742237,0.0018685570950904336,8.144234951513106e-12,3.1025680512867607e-10,0.8850282413007406,0.555915667822683,100
ceh14,4,241292.0,364488.0,43.34824804882965,45.75575599526517,2.18551738081539,3.759212749805232,-0.019238029977685776,1.6335599952338162e-10,6.303037945413805e-13,0.1754071266124007,0.5680183197439533,100
ceh16,5,240988.214,363614.897,57.86522727853611,40.37463039435641,2.476802859202844,1.4709834361169234,0.037196846343319184,8.078891190871264e-26,2.4290483271009965e-09,3.7529898070951572e-06,0.7501360416615226,100
ceh17,5,240804.597413,363576.069469,67.2106905265909,49.5858047494291,2.0167062026184284,1.1554627394371497,0.05813446056369994,2.1751124111111076e-20,8.418817140265364e-07,2.6609111886375364e-05,0.6452980964077145,100
ceh18,3,241267.167,363202.889,54.62731894128643,31.078029563918744,3.217707216422077,1.520566883137912,0.055862960270977896,3.331412123370038e-21,1.7223375380279006e-05,1.8503354424296426e-06,0.6573959613113808,100
ceh19,5,240845.741,363532.891,68.0078764591298,45.36546996584872,2.2043197188363823,0.8782052306590638,0.044319941105690444,7.528244844138267e-26,1.5807366262199826e-05,9.262467612422487e-09,0.7313437787179916,100
ceh20,4,241153.0,363829.0,57.63016448937016,39.26521263865505,2.5467836102217856,2.1824804845925776,0.02755534443727639,5.636918267841966e-23,1.0712911850281956e-12,0.00663909891802805,0.7281787858220788,100
ceh21,3,241470.51,362937.659,67.02392355044915,43.087898729980914,2.3208372407916746,1.1373933671262015,0.042164298893332175,3.0608489463954654e-27,7.724565506104803e-08,3.864521850960441e-08,0.7582580993593208,100
ceh23,1,242325.311,364428.124,43.39045466558469,22.628207036011194,4.419263083498267,0.5771607511053972,0.09135440882765769,6.371988484391092e-26,0.111823931394063,8.726378427859294e-14,0.6969978761377298,100
ceh24,2,242938.911,363392.114,47.23010686297841,22.00164944745642,4.545113776074678,1.6091637599438755,0.07667006510467433,1.6684827115868373e-25,8.83766551112135e-05,4.916197744117984e-10,0.7075883442057698,100
ceh25,1,242512.557,364638.544,42.377658436273094,15.954300970630296,6.267902315750871,0.4138761755319629,0.13515260740185553,4.234308249858987e-28,0.37305572764067135,2.038536791202402e-17,0.7176060497567489,100
ceh26,1,242172.261,364362.239,40.90223743495282,23.19790739762383,4.310733648770537,0.5523507651622868,0.08768186817095602,1.5802738499357435e-26,0.11534287333426739,4.070534164316276e-14,0.7050137917907966,100
ceh27,1,242005.373,364330.297,49.69301469731187,19.71252378523727,5.072917151018993,0.8417008862490788,0.09922746582298836,2.310479832540092e-31,0.0182096256946682,5.636846721831389e-17,0.7665119911006114,100
ceh28,2,242331.051,364122.039,47.55797946359592,24.733083934366437,4.043167453980566,1.2549921365486063,0.06813176703580917,1.7753636851598305e-19,0.0030153664598913475,3.5242917353492535e-08,0.6034894994380091,100
ceh30,4,241072.0,363760.0,57.0679544240851,43.9721803348626,2.2741651480201153,2.1809562898035155,0.02362740995856743,4.3865570790089925e-21,2.7815048942858317e-13,0.0404264152769973,0.7056716332026067,100
ceh31,5,241075.0,363538.0,59.731556158189925,47.70813445965673,2.0960786065647286,1.3174312664466805,0.04188272118636342,4.835882133840525e-15,1.5942633426725288e-05,0.00209691917271771,0.5488325638262868,100
Ceh32,4,241167.0,364003.0,53.114554730794126,42.7699924962132,2.338087854676474,2.634215536575084,0.012214028744148389,6.079677809028181e-19,7.025064422816774e-14,0.33754547680984337,0.6775565911362609,100
ceh33,4,240936.0,363808.0,57.51501593512243,45.12053925861915,2.2162855684597678,2.2405098178840293,0.019494619449199314,8.470717522734182e-20,4.595314090288614e-13,0.10214155835333187,0.687044395345241,100
ceh34,4,241334.0,363887.0,56.07732604485839,42.54359469787374,2.3505301023610454,2.6788032882846395,0.007865978204142142,8.337245891387183e-23,4.8615358567491474e-18,0.32165126964569657,0.7689579402571354,100
ceh36,3,241161.0,363306.0,63.35237943957737,37.32794472214818,2.678958103489313,1.0776325199137138,0.04585426556018823,4.494424957100614e-24,3.1802640208071084e-05,3.3936225072200634e-08,0.7060755444545226,100
ceh39,3,241719.0,363435.0,52.479076992183714,33.30899465952317,3.002192081213403,2.1819735402056977,0.031045060278238452,3.899615065332383e-26,1.660074808854685e-12,0.00011900072578301459,0.7692631221987947,100
ceh40,2,242060.283,363398.508,57.0492892542408,35.69462339834656,2.801542374716081,1.769977220119078,0.03506531921082363,1.8312844428354093e-18,5.917555117988269e-07,0.0005736664096119122,0.6385822195972533,100
ceh41,2,242284.022,363324.592,47.06919919971972,31.360497387236745,3.188724935233282,2.2068707671092267,0.03499442158982912,1.8322515957769317e-22,6.765303241139672e-10,0.00024149069055728293,0.7126841142915605,100
ceh42,3,242120.528,362743.198,60.01999010373182,31.22451994577018,3.202611286696386,1.280300171834961,0.05254902240997159,8.955177729006955e-24,3.804265641132066e-05,3.59263794644577e-08,0.6959982957137473,100
WMC1,2,242765.629,363643.556,52.095979776065434,27.32472979583441,3.6596885219792643,1.684669962550828,0.056354793639857396,3.7000044566569586e-24,3.2767653088777007e-06,1.4510191871156034e-07,0.706531613220934,100
WMC2,3,241885.149,362855.856,55.78020804960586,29.723508138533127,3.364340424889532,1.8129149004880372,0.04760092843503831,1.8876219212317664e-27,4.819373397318098e-09,1.5090334787883538e-07,0.7600311077511088,100
wmc3,3,241217.327,363562.323,55.62918290175908,41.224336563995344,2.4257515908051834,1.6427354547913837,0.03616746900961054,7.440692484233725e-18,2.2351387714890882e-07,0.001476340840384732,0.6249604202799834,100
wmc4,3,241761.0,364180.0,45.64128312204233,20.721163036095167,4.82598393853691,1.8224309493893773,0.0890119658529919,7.20453976186391e-36,3.896890680959853e-08,2.150291147746066e-15,0.822418038481729,100
L7,2,242812.0,364395.0,46.28545356361272,22.73187572322628,4.399109040431057,2.6135050880893864,0.08587572870550925,5.521714627960024e-39,4.093095822894425e-17,2.8126281122844847e-13,0.8530763472980165,100
D5,2,242083.407,363901.712,44.5440927582325,23.364920313337702,4.279920438800542,1.8006295284699814,0.0698194021115176,1.2141495228119134e-26,3.0166475480329705e-06,2.2263241539985256e-09,0.7316743779783068,100
D6,2,242114.898,364021.851,51.86424520416302,22.84055016562506,4.378178252050146,2.0728353392152092,0.06595842130719626,2.962532571865082e-29,1.970634099459101e-08,6.757953952643043e-10,0.7683974280722564,100
D7,2,242610.75,364204.554,46.667539145541326,24.53615688238519,4.07561789237626,1.232595264632033,0.07406755469438503,1.9873959623107963e-21,0.002976357704251692,1.0282196525971951e-08,0.6399676880408594,100
D8,2,242676.867,364024.231,49.95494696325756,26.50076359415382,3.7734761734209203,1.6830408557027254,0.05606019787430246,7.679721386687815e-26,1.829855386416937e-06,2.1114237363211635e-08,0.7295555211627619,100
D9,2,242710.726,363910.68,44.394252159684044,23.14653951778288,4.320300229897113,2.154430419130763,0.062399876066929594,1.2328923308443968e-30,2.1983329690439587e-09,9.555551556839191e-10,0.7875773385182142,100
D10,2,242613.907,364118.797,50.313558481770656,24.223828108364263,4.128166677564515,2.038357969884161,0.05834868603517832,1.8325699489298556e-29,7.3757262932003435e-09,2.2819355467557702e-09,0.7760550500161343,100
D15,2,241980.565,363895.719,41.26695729710362,22.93233441086315,4.360655056234901,2.1016367403544995,0.06352284294706978,1.2098399658189634e-31,1.6578560931346219e-09,1.2537699907044815e-10,0.7962549087055022,100
D17,2,242446.951,363534.961,45.92040096907571,23.169172626441252,4.3160798882337925,1.4481231183155616,0.0717983615165974,3.280775603195013e-23,0.0006686419040271454,6.962265003111931e-09,0.6740468113685332,100
D25,3,242215.187,363143.807,51.71179491261885,28.827000949783752,3.4689699484937284,1.3361224332003168,0.05762626115238191,1.6771574643435677e-21,8.65545494033676e-05,5.165806301838602e-08,0.6597071505280593,100
D38,2,242711.571,363069.196,46.177590818579375,18.3848011278542,5.439275589905257,1.3135134204658598,0.11179894161826129,6.599974185301671e-34,0.0003099821762072271,1.6437547942464042e-17,0.7948893187528756,100
D41,2,242771.66,363342.853,46.69467801792608,25.02207714677095,3.9964707731270344,1.4688609405580704,0.06688189647229084,2.0729684685751248e-23,0.00016757225603036117,8.30181236403412e-09,0.6799999480730954,100
T41a,2,242709.928,363275.666,45.01888862753894,18.320797114065833,5.458277790938735,1.799551995650039,0.10428868868995965,2.47402867546917e-28,4.911442864233724e-05,1.85165590268784e-12,0.7363766456279048,100
T41b,2,242715.085,363309.565,49.100694969037114,25.160728130180964,3.9744477776081264,1.3099417274759126,0.0649445340148257,2.37898752025427e-25,0.0002770787225259307,7.128799383404606e-10,0.7085031452891457,100
T41c,2,242721.13,363323.682,48.46790100768841,23.735507601015893,4.21309717411394,1.4250703158523188,0.0715324434654534,5.83749657111483e-29,2.914750915085822e-05,7.149314045568156e-12,0.754821590952137,100
T41d,2,242731.987,363353.284,49.49542762628931,25.187338987488605,3.9702487051003423,1.5268195884405962,0.06911899807717811,2.2512967962119828e-26,1.4265531316238215e-05,5.69992188767963e-10,0.7248922291669055,100
D43,2,242664.714,363428.693,51.253780961721986,21.833915319997566,4.5800305870203015,1.8455155803165622,0.07536719091058319,6.510413563247483e-35,9.960016828781635e-09,3.742942605162958e-14,0.8191748699752062,100
D44,2,242819.407,363279.547,44.44125149134932,21.413118411348663,4.670034419041056,1.4112179638831313,0.08979476605937672,1.7397638861568587e-24,0.0009691663822640308,1.7974866358299897e-10,0.6853938522361351,100
