Date,C1,C2,C3,C4,C5,P_mm,PET_mm
2014-12-01,8.700999999999999,7.960315789473683,6.995615384615383,9.300333333333333,4.451600000000001,68.4,18.915756334531903
2015-01-01,8.770999999999999,8.111894736842103,7.115230769230768,9.420333333333332,4.5396,76.59999999999991,16.224687750791897
2015-02-01,8.612428571428572,7.965578947368421,6.972538461538462,9.322555555555557,4.437600000000001,34.0,15.2488183713555
2015-03-01,8.599571428571428,7.921894736842106,6.913307692307692,9.280333333333333,4.3676,59.0,27.2725843784911
2015-04-01,8.335285714285714,7.702947368421053,6.771384615384615,9.175888888888888,4.2716,36.0,43.9350512430031
2015-05-01,8.50242857142857,7.795052631578948,6.794076923076923,9.167,4.275600000000001,111.0,63.832019513994695
2015-06-01,8.133857142857144,7.51821052631579,6.622538461538462,9.058111111111112,4.1836,28.2,87.38066035927281
2015-07-01,8.042428571428571,7.400842105263159,6.512538461538463,8.932555555555556,4.1496,66.4,100.4313606932169
2015-08-01,7.951,7.263999999999999,6.519166666666667,8.809222222222223,4.0775999999999994,68.8,91.8240122857933
2015-09-01,7.872428571428572,6.926176470588237,6.4228695652173915,8.691444444444445,4.047600000000001,45.199999999999996,65.3623379320306
2015-10-01,8.025285714285713,6.932174541947926,6.406547398431931,8.6402058287796,4.0056,60.199999999999996,48.8574289518472
2015-11-01,8.572428571428572,7.56242105263158,6.608307692307692,8.777382513661202,4.1456,134.4,33.7392216320268
2015-12-01,9.010857142857143,8.341894736842107,7.502846153846154,9.38811111111111,4.8016000000000005,254.2,28.8951701427901
2016-01-01,9.001,8.352421052631582,7.586384615384615,9.691444444444446,4.8976,110.39999999999999,21.6872969315339
2016-02-01,9.012428571428572,8.370315789473686,7.648307692307693,9.899222222222223,4.935600000000001,81.19999999999999,20.0143482975744
2016-03-01,8.905285714285714,8.299789473684209,7.521769230769231,9.889222222222223,4.783600000000001,56.599999999999994,29.0482027611588
2016-04-01,8.756714285714287,8.210842105263158,7.421,9.880333333333333,4.7256,81.0,42.1190222339293
2016-05-01,8.409571428571429,7.92242105263158,7.136384615384615,9.701444444444443,4.5856,46.7999999999999,78.6351916208769
2016-06-01,8.286500000000002,7.9629473684210526,7.087923076923077,9.594777777777779,4.5036000000000005,72.0,98.3296444338138
2016-07-01,8.109833333333334,7.714526315789473,6.8940769230769225,9.459222222222222,4.3956,71.6,103.5994115651796
2016-08-01,8.083166666666667,7.64136842105263,6.786384615384615,9.32588888888889,4.315600000000001,61.7999999999999,96.44970901705969
2016-09-01,8.012975409836066,7.549789473684211,6.709461538461538,9.223666666666666,4.2736,94.59999999999991,74.4029118680738
2016-10-01,7.921499999999999,7.456631578947368,6.615230769230768,9.112555555555556,4.1976,25.0,44.6985104107848
2016-11-01,8.208166666666667,7.636105263157895,6.748307692307692,9.167,4.251599999999999,81.5999999999999,21.2069538142554
2016-12-01,8.179833333333333,7.621894736842106,6.715230769230768,9.086999999999998,4.2256,75.7999999999999,22.773608474564202
2017-01-01,8.339,7.746894736842106,6.795615384615384,9.099222222222224,4.2585999999999995,38.6,18.434174629542802
2017-02-01,8.498166666666666,7.871894736842106,6.8759999999999994,9.111444444444444,4.2916,104.0,21.6791181238867
2017-03-01,8.5815,8.029789473684211,6.987153846153846,9.247000000000002,4.3916,76.8,36.4946157009896
2017-04-01,8.161499999999998,7.681368421052633,6.753692307692308,9.135888888888887,4.2576,17.0,46.8449173392506
2017-05-01,7.951499999999999,7.481368421052631,6.5906153846153845,8.980333333333332,4.1576,31.4,82.2601411252541
2017-06-01,8.049833333333334,7.381329690346084,6.598692307692309,8.954777777777778,4.1516,129.1999999999999,97.71337816113571
2017-07-01,7.898166666666666,7.222222222222222,6.522600000000001,8.85811111111111,4.0856,78.8,102.93566746512809
2017-08-01,7.8065,6.979058823529411,6.4228,8.723666666666666,3.9816000000000003,60.0,91.43446940342339
2017-09-01,8.051499999999999,7.298333333333334,6.510999999999999,8.670333333333334,3.9676,86.2,66.5805413683813
2017-10-01,7.998166666666667,7.3566315789473675,6.467524590163935,8.619677595628415,3.9616000000000007,65.8,51.796538619055696
2017-11-01,8.493166666666667,7.778736842105264,6.755615384615384,8.883666666666667,4.243599999999999,104.0,25.1713664642
2017-12-01,8.696499999999999,8.037684210526317,6.963307692307692,9.003666666666666,4.3196,79.2,17.3753308217581
2018-01-01,8.728166666666667,8.124526315789474,7.072538461538461,9.142555555555553,4.3995999999999995,88.6,16.4170035972588
2018-02-01,8.821,8.134,7.090615384615385,9.335888888888888,4.453600000000001,62.0,12.951109575231099
2018-03-01,8.762428571428572,8.153947368421052,7.114461538461539,9.428111111111113,4.4856,94.8,22.319090100804203
2018-04-01,8.608142857142857,8.04136842105263,7.028307692307692,9.434777777777777,4.4436,65.0,48.2462715456948
2018-05-01,8.288142857142857,7.726631578947368,6.8102307692307695,9.272555555555556,4.2716,29.0,78.54107965310091
2018-06-01,7.976714285714286,7.3327777777777765,6.608395964691045,9.099222222222222,4.1396,10.8,106.3328578815325
2018-07-01,7.885285714285714,7.019647058823529,6.51804,8.921444444444443,4.0476,49.0,115.4822292937378
2018-08-01,7.781,6.7486875,6.413739130434783,8.777000000000001,3.9516000000000004,37.3999999999999,93.8156162625928
2018-09-01,7.976714285714286,6.830562500000001,6.448521739130436,8.67756466302368,3.949632786885246,87.0,65.9364870466716
2018-10-01,8.056714285714285,6.9080625,6.456999999999999,8.694777777777778,3.9836,97.5999999999999,44.874577486292
2018-11-01,8.496714285714287,7.463333333333334,6.652153846153846,8.842555555555556,4.1796,139.2,27.490103208106202
2018-12-01,8.649571428571429,7.706666666666665,6.848307692307693,9.002555555555555,4.3116,112.8,23.36955409366
2019-01-01,8.568142857142856,7.642222222222222,6.751384615384614,8.939222222222222,4.187600000000001,38.199999999999996,18.076552929987702
2019-02-01,8.505285714285714,7.607222222222223,6.7190769230769245,8.918111111111111,4.1516,50.4,25.217760212949003
2019-03-01,8.571,7.724999999999999,6.859076923076922,9.084777777777779,4.2776000000000005,96.0,33.730484548830404
2019-04-01,8.54957142857143,7.699444444444443,6.780230769230769,9.009222222222224,4.185600000000001,67.2,50.0922534573627
2019-05-01,8.302428571428573,7.4827777777777795,6.601769230769232,8.863666666666667,4.0616,39.199999999999996,66.8784092376173
2019-06-01,8.121,7.176117647058823,6.5048260869565215,8.759222222222222,3.971600000000001,60.8,91.6533869561705
2019-07-01,8.015285714285714,7.087294117647059,6.393521739130434,8.354,4.00675,32.2,109.6329361051349
2019-08-01,7.895285714285714,6.8061875,6.374227272727271,8.25542857142857,3.9717500000000006,60.8,98.5327580403241
2019-09-01,8.099571428571428,6.883687499999999,6.3946818181818195,7.491333333333333,3.9667499999999998,86.2,69.349319523664
2019-10-01,8.475285714285715,7.298470588235295,6.606,7.659666666666666,4.0916,147.79999999999998,42.6754453160693
2019-11-01,8.632428571428571,7.664444444444446,6.776384615384616,8.06042857142857,4.2096,93.0,21.5944084116632
2019-12-01,8.591000000000001,7.718888888888888,6.808307692307694,8.815888888888889,4.2316,60.199999999999996,20.6794590017241
2020-01-01,8.845285714285714,7.953888888888888,6.962153846153847,8.945888888888888,4.2996,72.8,20.3920814639079
