Well,Well_Normalized,Status,Model_B_Intercept,OneStep_R2_Model_A,OneStep_R2_Model_B,Iterative_NSE_Model_A,Iterative_NSE_Model_B,NSE_Intercept_Effect
CEH16,ceh16,ok,-0.09356710803692078,0.9356939283362286,0.9358771729613963,0.8326000962218242,0.6607004272016264,-0.17189966902019782
CEH17,ceh17,ok,-0.0023617115741303464,0.9062840787195574,0.9062839911988336,0.8519226810550846,0.8523922873675479,0.00046960631246328877
CEH18,ceh18,ok,0.06919206972832584,0.8881002283015718,0.8882282487531772,0.8171223507929573,0.838640696674505,0.021518345881547774
CEH19,ceh19,ok,0.048122538053603156,0.9286783966114368,0.9287399036961499,0.8626475569111975,0.8695693483273024,0.006921791416104828
CEH20,ceh20,ok,-0.16902491888444382,0.9355814295343209,0.9365777882606889,0.7351387164519163,-19.748776657731703,-20.48391537418362
CEH21,ceh21,ok,-0.011892984945999222,0.9317705632123872,0.9317741177286776,0.7977784516432531,0.7878420520511297,-0.009936399592123446
CEH23,ceh23,ok,0.6561497819236435,0.8875869487698341,0.8982997880337402,0.6202573039447483,0.853468500868837,0.23321119692408865
CEH24,ceh24,ok,0.2703337783936839,0.9062719032753468,0.9078653884860208,0.8209471873958283,0.8809264474444571,0.05997926004862886
CEH25,ceh25,ok,0.7649314472667648,0.8782696712786418,0.8925428174730942,0.7156682411330735,0.8670293237293585,0.151361082596285
CEH26,ceh26,ok,0.6677099499732329,0.8954035643249351,0.9072031144926377,0.600180933020963,0.8720660117647643,0.2718850787438013
CEH27,ceh27,ok,0.4791155339082517,0.9169171941651542,0.9224814923387479,0.7416768301485691,0.8819127976468127,0.14023596749824363
CEH28,ceh28,ok,0.4729035179733213,0.8684150538626171,0.873420714850276,0.47008031801073236,0.7794954145215249,0.3094150965107926
CEH30,ceh30,ok,-0.10311541608665477,0.9276862694890853,0.9282398001883619,0.7362754025921818,-2.3086831922412068,-3.0449585948333886
CEH31,ceh31,ok,0.11456376595212858,0.8817177041146583,0.8823603077687515,0.7260361149554695,0.7541422279350278,0.02810611297955834
CEH32,ceh32,ok,-0.14543806085290634,0.9282362889207236,0.9293937271309328,0.6229663863032842,-42.083327390053,-42.70629377635628
CEH33,ceh33,ok,-0.10650671141945733,0.9290509549964222,0.9296710551789918,0.7105307770227083,-5.7188423986701435,-6.429373175692852
CEH34,ceh34,ok,-0.15353937585815855,0.9488529946134634,0.9493995297702836,0.6845056005887635,-72.76037454710892,-73.44488014769769
CEH36,ceh36,ok,0.11453142307792782,0.9277337623296018,0.9280225626715509,0.8452508074763397,0.8711117608680345,0.025860953391694808
CEH39,ceh39,ok,-0.10512755715513412,0.9339966526525267,0.9341744537660589,0.7916921492110787,0.530320377001742,-0.2613717722093367
CEH40,ceh40,ok,0.12929850281583885,0.8846745217796982,0.8850009488529941,0.7646042222209786,0.8110979383480397,0.0464937161270611
CEH41,ceh41,ok,0.045722381561567965,0.9131485234727678,0.9131946812410142,0.779441287341984,0.8112967012132999,0.03185541387131585
CEH42,ceh42,ok,0.17566284341320448,0.9299748156351172,0.9306277876627554,0.7798062859071978,0.8291182674846359,0.0493119815774381
WMC1,wmc1,ok,0.1318135009339581,0.8967769608777941,0.8971582241757456,0.7883059662335955,0.8467271094436698,0.0584211432100743
WMC2,wmc2,ok,0.006489994319096842,0.9370894402249035,0.9370912966883884,0.7850496557594139,0.7909030659444272,0.005853410185013286
WMC3,wmc3,ok,0.04272703759283342,0.9142280986970878,0.9142611002096839,0.7161237338330091,0.7719236438393174,0.05579991000630835
WMC4,wmc4,ok,-0.045296548359011854,0.9344349899859208,0.9344846691305605,0.8430830714998487,0.8342186634730244,-0.00886440802682431
L7,l7,ok,-0.028146778974011504,0.9533628549044842,0.9533968554623754,0.8468001557274869,0.8261869480643186,-0.02061320766316832
D5,d5,ok,0.1379976442301781,0.9022157709828266,0.9026606367464336,0.7737894419761208,0.8201597832587226,0.04637034128260187
D6,d6,ok,0.13614303835136124,0.9279520201823572,0.9284003788070215,0.7986686945558223,0.8508556998337387,0.05218700527791631
D7,d7,ok,0.42455292977710757,0.8785716438115432,0.8827164158756748,0.7342677057782859,0.8109608006764377,0.07669309489815179
D8,d8,ok,0.1433867127739184,0.9065939677387906,0.9070066988750947,0.7403835358282509,0.822821353809519,0.08243781798126815
D9,d9,ok,-0.021364597167710532,0.92623398706059,0.9262416461245563,0.8113084479928737,0.7974059082694284,-0.01390253972344535
D10,d10,ok,0.06759526303745415,0.9231063309327999,0.9232085321492681,0.7779025847436928,0.8206331323959479,0.042730547652255146
D15,d15,ok,0.04598781125063165,0.9370458586230018,0.9370928076214844,0.8322174992646699,0.8502254911101489,0.018007991845478966
D17,d17,ok,0.23584457283901297,0.862707235821925,0.8638347403332957,0.7191096272792762,0.7891713152204631,0.07006168794118695
D25,d25,ok,0.061709993597596144,0.9269807447398738,0.9270532137990263,0.3670866105493207,0.41847463704505794,0.05138802649573726
D38,d38,ok,0.1625042796045012,0.92253141969378,0.9232381620077901,0.8495799627193541,0.8761655031972712,0.026585540477917058
D41,d41,ok,0.32566721340936966,0.8930880424794293,0.8955463605733486,0.720266023622905,0.854566699020147,0.134300675397242
T41A,t41a,ok,0.17068401915323664,0.902969082355285,0.9036124450150664,0.8230214557334924,0.8389537750512206,0.015932319317728205
T41B,t41b,ok,0.2784417288843857,0.8975554332135839,0.8992948789076526,0.7483127910339858,0.8492281829809152,0.10091539194692933
T41C,t41c,ok,0.2578959872219886,0.9198732596734511,0.9213973734577492,0.7786866415442165,0.8722930132459203,0.09360637170170383
T41D,t41d,ok,0.28093818841011486,0.9120677156550768,0.9141450069603776,0.7659609682504014,0.8794832046852321,0.11352223643483073
D43,d43,ok,0.10287068431924673,0.946496880102816,0.9467708639955672,0.8352125560929284,0.8733651360816912,0.03815257998876276
D44,d44,ok,0.34389961064277697,0.8766501979332644,0.8798925656753681,0.7581889867550133,0.8436302605328847,0.08544127377787136
