month,median_level_modelled_m,median_level_calibrated_m,n_wells_run,median_level_observed_m,n_wells_observed,above_fitted_range,spin_up,climate_flagged,open_water_ha,wet_floor_ha,open_water_ha_raw_level,wet_floor_ha_raw_level
1990-04,-1.046,-0.85,66,,,False,False,False,0.576,24.93,0.242,20.683
1990-05,-1.242,-1.078,66,,,False,False,False,0.21,20.057,0.102,17.157
1990-06,-1.397,-1.21,66,,,False,False,False,0.117,17.681,0.051,14.789
1990-07,-1.572,-1.276,66,,,False,False,False,0.087,16.606,0.023,12.516
1990-08,-1.71,-1.35,66,,,False,False,False,0.063,15.464,0.013,10.968
1990-09,-1.768,-1.388,66,,,False,False,False,0.053,14.921,0.01,10.379
1990-10,-1.633,-1.3,66,,,False,False,False,0.078,16.222,0.018,11.81
1990-11,-1.475,-1.234,66,,,False,False,False,0.105,17.288,0.036,13.735
1990-12,-1.177,-1.034,66,,,False,False,False,0.255,20.913,0.135,18.253
1991-01,-1.136,-0.965,66,,,False,False,False,0.345,22.329,0.162,18.978
1991-02,-1.148,-0.977,66,,,False,False,False,0.328,22.084,0.153,18.751
1991-03,-1.066,-0.86,66,,,False,False,False,0.551,24.689,0.221,20.287
1991-04,-1.018,-0.834,66,,,False,False,False,0.617,25.302,0.274,21.24
1991-05,-1.25,-1.08,66,,,False,False,False,0.208,20.016,0.098,17.015
1991-06,-1.36,-1.179,66,,,False,False,False,0.134,18.217,0.06,15.329
1991-07,-1.61,-1.288,66,,,False,False,False,0.083,16.419,0.02,12.07
1991-08,-1.793,-1.404,66,,,False,False,False,0.049,14.698,0.009,10.14
1991-09,-1.912,-1.481,66,,,False,False,False,0.035,13.652,0.005,9.048
1991-10,-1.738,-1.368,66,,,False,False,False,0.058,15.201,0.011,10.681
1991-11,-1.606,-1.286,66,,,False,False,False,0.083,16.438,0.02,12.114
1991-12,-1.664,-1.32,66,,,False,False,False,0.072,15.912,0.016,11.463
1992-01,-1.662,-1.319,66,,,False,False,False,0.072,15.937,0.016,11.491
1992-02,-1.622,-1.293,66,,,False,False,False,0.081,16.327,0.019,11.929
1992-03,-1.526,-1.261,66,,,False,False,False,0.093,16.835,0.029,13.08
1992-04,-1.521,-1.26,66,,,False,False,False,0.094,16.859,0.029,13.139
1992-05,-1.511,-1.254,66,,,False,False,False,0.096,16.949,0.031,13.263
1992-06,-1.635,-1.302,66,,,False,False,False,0.078,16.198,0.018,11.783
1992-07,-1.705,-1.347,66,,,False,False,False,0.064,15.513,0.013,11.022
1992-08,-1.617,-1.29,66,,,False,False,False,0.082,16.38,0.019,11.988
1992-09,-1.608,-1.287,66,,,False,False,False,0.083,16.43,0.02,12.094
1992-10,-1.528,-1.262,66,,,False,False,False,0.093,16.826,0.029,13.057
1992-11,-1.298,-1.099,66,,,False,False,False,0.191,19.663,0.079,16.252
1992-12,-1.149,-0.979,66,,,False,False,False,0.326,22.051,0.153,18.739
1993-01,-1.07,-0.88,66,,,False,False,False,0.504,24.224,0.217,20.21
1993-02,-1.157,-1.0,66,,,False,False,False,0.296,21.603,0.148,18.597
1993-03,-1.245,-1.079,66,,,False,False,False,0.209,20.04,0.1,17.108
1993-04,-1.239,-1.077,66,,,False,False,False,0.21,20.07,0.103,17.192
1993-05,-1.057,-0.85,66,,,False,False,False,0.576,24.928,0.23,20.464
1993-06,-1.086,-0.908,66,,,False,False,False,0.446,23.594,0.202,19.899
1993-07,-1.251,-1.08,66,,,False,False,False,0.208,20.016,0.097,16.999
1993-08,-1.39,-1.203,66,,,False,False,False,0.121,17.803,0.053,14.885
1993-09,-1.344,-1.172,66,,,False,False,False,0.138,18.329,0.064,15.554
1993-10,-1.43,-1.214,66,,,False,False,False,0.115,17.619,0.044,14.327
1993-11,-1.297,-1.094,66,,,False,False,False,0.195,19.754,0.079,16.269
1993-12,-1.079,-0.898,66,,,False,False,False,0.466,23.818,0.209,20.043
1994-01,-1.001,-0.83,66,,,False,False,False,0.629,25.408,0.295,21.58
1994-02,-0.874,-0.72,66,,,False,False,False,1.025,28.22,0.517,24.354
1994-03,-0.697,-0.554,66,,,False,False,False,2.139,33.063,1.136,28.854
1994-04,-0.61,-0.4,66,,,False,False,False,4.234,38.296,1.672,31.355
1994-05,-0.793,-0.66,66,,,False,False,False,1.337,29.882,0.742,26.321
1994-06,-1.044,-0.849,66,,,False,False,False,0.578,24.946,0.244,20.724
1994-07,-1.228,-1.074,66,,,False,False,False,0.214,20.137,0.108,17.379
1994-08,-1.253,-1.08,66,,,False,False,False,0.208,20.016,0.097,16.974
1994-09,-1.218,-1.071,66,,,False,False,False,0.217,20.195,0.113,17.542
1994-10,-1.217,-1.07,66,,,False,False,False,0.217,20.203,0.113,17.565
1994-11,-1.124,-0.942,66,,,False,False,False,0.383,22.826,0.171,19.201
1994-12,-0.861,-0.717,66,,,False,False,False,1.039,28.3,0.549,24.673
1995-01,-0.569,-0.364,66,,,False,False,False,4.962,39.628,2.002,32.592
1995-02,-0.442,-0.203,66,,,False,False,False,10.13,46.207,3.508,36.777
1995-03,-0.503,-0.296,66,,,False,False,False,6.719,42.299,2.679,34.702
1995-04,-0.695,-0.553,66,,,False,False,False,2.151,33.102,1.144,28.893
1995-05,-0.849,-0.712,66,,,False,False,False,1.061,28.428,0.579,24.955
1995-06,-1.115,-0.92,66,,,False,False,False,0.422,23.317,0.178,19.359
1995-07,-1.312,-1.14,66,,,False,False,False,0.159,18.902,0.074,16.046
1995-08,-1.614,-1.289,66,,,False,False,False,0.082,16.399,0.019,12.022
