Control,Zone,Control_well,Control_dist_coast_m,Clearfell_step_m,Clearfell_p,Easting_coef,Easting_se,Easting_p,R2,N,N_control_wells,Tier_mean_dist_coast_m,Tier_dist_span_m,Tier_clearfell_step_m,Tier_easting_coef,Spread_step_min_m,Spread_step_max_m,Spread_step_sd_m,Spread_easting_min,Spread_easting_max,Spread_easting_sd
Climate,Impact,NW5,459.7,-0.03293192268574291,0.33084294356180255,-2.710816213179624e-06,7.187589060318907e-07,0.00022845906611637296,0.3014984160813794,165,5,579.86,327.29999999999995,-0.019301975172133144,-8.712570169628217,-0.05404683892579614,0.04319164960055321,0.0366556157265214,-2.873512134588167e-06,1.5179343513114152e-06,1.7765232635738763e-06
Climate,Impact,WMC2,457.5,-0.05404683892579614,0.11868581412169288,-1.5977695471419305e-06,5.597805079983636e-07,0.0048740147604430465,0.13597775592604422,169,5,579.86,327.29999999999995,-0.019301975172133144,-8.712570169628217,-0.05404683892579614,0.04319164960055321,0.0366556157265214,-2.873512134588167e-06,1.5179343513114152e-06,1.7765232635738763e-06
Climate,Edge,CEH9,784.8,-0.0874815503220647,0.0003334076235359412,-1.0720403759426804e-06,4.146939873759049e-07,0.010631976530057942,0.2971960576448862,165,5,579.86,327.29999999999995,-0.10592280725925826,44.2040816802178,-0.12743539798673234,-0.04780768844097674,0.030657565685362955,-2.6153072273335e-06,-1.1045719714157954e-07,1.0122730629621724e-06
Climate,Edge,NW7,694.8,-0.04780768844097674,0.028237546235529053,-1.1045719714157954e-07,6.934861299595084e-07,0.8736729056722808,0.41122577067788746,150,5,579.86,327.29999999999995,-0.10592280725925826,44.2040816802178,-0.12743539798673234,-0.04780768844097674,0.030657565685362955,-2.6153072273335e-06,-1.1045719714157954e-07,1.0122730629621724e-06
Climate,Edge,NW6,502.5,-0.07534733088619956,0.0832580575835687,-2.3644907663861375e-06,1.226689611268132e-06,0.0559090720096121,0.0518587373382744,148,5,579.86,327.29999999999995,-0.10592280725925826,44.2040816802178,-0.12743539798673234,-0.04780768844097674,0.030657565685362955,-2.6153072273335e-06,-1.1045719714157954e-07,1.0122730629621724e-06
Climate,Edge,NW5,459.7,-0.10893907674851473,0.005773431111907035,-2.6153072273335e-06,6.526588672229592e-07,9.372676664180529e-05,0.18784268232130819,167,5,579.86,327.29999999999995,-0.10592280725925826,44.2040816802178,-0.12743539798673234,-0.04780768844097674,0.030657565685362955,-2.6153072273335e-06,-1.1045719714157954e-07,1.0122730629621724e-06
Climate,Edge,WMC2,457.5,-0.12743539798673234,0.002865228719907416,-1.5273999857609035e-06,5.750485117048503e-07,0.008680045373703175,0.09071235082053697,171,5,579.86,327.29999999999995,-0.10592280725925826,44.2040816802178,-0.12743539798673234,-0.04780768844097674,0.030657565685362955,-2.6153072273335e-06,-1.1045719714157954e-07,1.0122730629621724e-06
Combined,Impact,CEH32,911.9,0.014412956596897857,0.687091628573834,,,,0.1421770399007377,171,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,CEH34,890.6,0.02832490016262574,0.30070306224893734,,,,0.20222842839172783,171,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,CEH33,638.2,0.14125685751610334,3.152483172984285e-05,-5.4459999560658935e-06,1.2675098178896837e-06,2.9546650017626027e-05,0.17921975518932187,171,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,NW10,1322.6,0.07537560282420355,0.06354887048205884,6.163817980529558e-06,2.0242714368053475e-06,0.0027324978448679425,0.36499846591843665,162,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,CEH2,1014.0,0.09660270005803298,0.010010600417720712,6.018988053256558e-06,1.987130702740205e-06,0.00286433831740331,0.3415914892158336,165,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,CEH19,350.8,0.10500725783401789,0.0002312275665384167,2.0440754205540076e-07,8.11048734749698e-07,0.8013325496993376,0.6067189469725465,171,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,CEH17,371.9,0.11482773243161301,1.8724780360426208e-06,-6.057238557011669e-07,6.081358002144064e-07,0.3206921398730356,0.5790788869134447,171,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,CEH9,784.8,-0.010020855054969049,0.6736363108133934,-9.387594747993716e-07,5.219731965769887e-07,0.07402175802354598,0.2688390543892266,163,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,NW7,694.8,0.04319164960055321,0.03742460920494336,1.5179343513114152e-06,1.1025184589297642e-06,0.1706568537962042,0.31256433235661396,154,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,NW6,502.5,-0.0008597061218983574,0.980894758922283,-2.873512134588167e-06,1.6383704778045496e-06,0.0815778236893656,0.04905611060962001,150,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,NW5,459.7,-0.03293192268574291,0.33084294356180255,-2.710816213179624e-06,7.187589060318907e-07,0.00022845906611637296,0.3014984160813794,165,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Impact,WMC2,457.5,-0.05404683892579614,0.11868581412169288,-1.5977695471419305e-06,5.597805079983636e-07,0.0048740147604430465,0.13597775592604422,169,12,699.9416666666667,971.8,0.0656004116094361,1.1290135733622906,-0.05404683892579614,0.14125685751610334,0.06290613893066975,-5.4459999560658935e-06,6.163817980529558e-06,3.736087892782013e-06
Combined,Edge,CEH32,911.9,-0.03055248697520695,0.2719463509029244,,,,0.36705408087734315,173,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,CEH34,890.6,0.03546426892537873,0.1881249890227909,3.1708818291619227e-06,1.133429698287889e-06,0.005753533093889922,0.48664704810710857,173,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,CEH33,638.2,0.050424480207460064,0.011793956965291291,-7.026462851822499e-06,1.6104114489475106e-06,2.2387391097542722e-05,0.3932566126048579,173,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,NW10,1322.6,0.0013123628592779865,0.9691280844990933,2.7715388899834633e-06,1.0428317572692545e-06,0.008720205274007953,0.5235332825394261,156,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,CEH2,1014.0,0.004876186813789954,0.8688564130955241,2.060171826474724e-06,9.509252766714926e-07,0.031791609927337726,0.5074754787486159,162,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,CEH19,350.8,0.012880963926937513,0.6704936930136283,2.4117470679985153e-06,1.4774153909958185e-06,0.10447736711451021,0.5398317281590448,173,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,CEH17,371.9,0.031186857618739693,0.2040082629639451,5.926532586307803e-07,1.0034239201777725e-06,0.5555807435887073,0.5051000403099825,170,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,CEH9,784.8,-0.0874815503220647,0.0003334076235359412,-1.0720403759426804e-06,4.146939873759049e-07,0.010631976530057942,0.2971960576448862,165,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,NW7,694.8,-0.04780768844097674,0.028237546235529053,-1.1045719714157954e-07,6.934861299595084e-07,0.8736729056722808,0.41122577067788746,150,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,NW6,502.5,-0.07534733088619956,0.0832580575835687,-2.3644907663861375e-06,1.226689611268132e-06,0.0559090720096121,0.0518587373382744,148,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,NW5,459.7,-0.10893907674851473,0.005773431111907035,-2.6153072273335e-06,6.526588672229592e-07,9.372676664180529e-05,0.18784268232130819,167,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
Combined,Edge,WMC2,457.5,-0.12743539798673234,0.002865228719907416,-1.5273999857609035e-06,5.750485117048503e-07,0.008680045373703175,0.09071235082053697,171,12,699.9416666666667,971.8,-0.02054806280453444,-0.007150553379327531,-0.12743539798673234,0.050424480207460064,0.06023233677689118,-7.026462851822499e-06,3.1708818291619227e-06,3.0363385996961433e-06
FarField,Impact,NW4B,1471.7,-0.07658498277777988,0.19356228836601047,-1.2774937671245672e-06,5.294509943382513e-07,0.0169234179468171,0.0634163551736946,171,5,1945.52,866.3,-0.08559734449399103,-1.5191268336701231,-0.14860393650436293,-0.008343300858282113,0.0546899104008834,-1.8783164237537605e-06,-8.015325825506871e-07,4.41069136130993e-07
FarField,Impact,WMC1,1630.5,-0.06621185385070838,0.1534159143434128,-8.325865327122117e-07,3.2349566033020096e-07,0.01095164014115793,0.05502308910905762,169,5,1945.52,866.3,-0.08559734449399103,-1.5191268336701231,-0.14860393650436293,-0.008343300858282113,0.0546899104008834,-1.8783164237537605e-06,-8.015325825506871e-07,4.41069136130993e-07
FarField,Impact,CEH5,2075.5,-0.12522969206367734,0.1200167313341681,-1.8783164237537605e-06,6.64154799164519e-07,0.0052624361004944544,0.07326391526225517,171,5,1945.52,866.3,-0.08559734449399103,-1.5191268336701231,-0.14860393650436293,-0.008343300858282113,0.0546899104008834,-1.8783164237537605e-06,-8.015325825506871e-07,4.41069136130993e-07
FarField,Impact,L7,2211.9,-0.14860393650436293,0.019988546279775907,-1.3487515101024404e-06,4.286113430004679e-07,0.0019589638518182463,0.16529211922364773,171,5,1945.52,866.3,-0.08559734449399103,-1.5191268336701231,-0.14860393650436293,-0.008343300858282113,0.0546899104008834,-1.8783164237537605e-06,-8.015325825506871e-07,4.41069136130993e-07
FarField,Impact,CEH6,2338.0,-0.008343300858282113,0.9229998578762153,-8.015325825506871e-07,6.631760564300943e-07,0.22853533361553613,0.1146584060628415,171,5,1945.52,866.3,-0.08559734449399103,-1.5191268336701231,-0.14860393650436293,-0.008343300858282113,0.0546899104008834,-1.8783164237537605e-06,-8.015325825506871e-07,4.41069136130993e-07
FarField,Edge,NW4B,1471.7,-0.15823825772675296,0.008517017308659563,-1.2121147886418634e-06,4.897605329994209e-07,0.014325275537713853,0.09482664728877022,173,5,1945.52,866.3,-0.15709819877226833,-1.7409782634871465,-0.21211025128827046,-0.07878727774807535,0.04950911997828855,-1.6066399159042535e-06,-8.284563695110016e-07,3.152235365525203e-07
FarField,Edge,WMC1,1630.5,-0.15006087670147714,0.002721978390635437,-8.791801917204208e-07,3.23355687104475e-07,0.007250100471983358,0.07544848452910724,171,5,1945.52,866.3,-0.15709819877226833,-1.7409782634871465,-0.21211025128827046,-0.07878727774807535,0.04950911997828855,-1.6066399159042535e-06,-8.284563695110016e-07,3.152235365525203e-07
FarField,Edge,CEH5,2075.5,-0.18157898374495887,0.033362306226402134,-1.6066399159042535e-06,6.462099212107526e-07,0.013892936638609474,0.07759070172666749,173,5,1945.52,866.3,-0.15709819877226833,-1.7409782634871465,-0.21211025128827046,-0.07878727774807535,0.04950911997828855,-1.6066399159042535e-06,-8.284563695110016e-07,3.152235365525203e-07
FarField,Edge,L7,2211.9,-0.21211025128827046,0.002658257707825776,-1.2417462322039294e-06,4.421414445931758e-07,0.005571207367274677,0.1326103787395463,173,5,1945.52,866.3,-0.15709819877226833,-1.7409782634871465,-0.21211025128827046,-0.07878727774807535,0.04950911997828855,-1.6066399159042535e-06,-8.284563695110016e-07,3.152235365525203e-07
FarField,Edge,CEH6,2338.0,-0.07878727774807535,0.3859960720797518,-8.284563695110016e-07,6.471723597989337e-07,0.20227928179228025,0.15016627320890719,173,5,1945.52,866.3,-0.15709819877226833,-1.7409782634871465,-0.21211025128827046,-0.07878727774807535,0.04950911997828855,-1.6066399159042535e-06,-8.284563695110016e-07,3.152235365525203e-07
