h,P_m,PET,P_m_lag,h_prev,Delta_h,h_disp_prev,Drainage_Component,Well_Name,Tier,Period,neg_h_disp_prev
-1.35,0.0886,0.016843406399149,0.0886,-1.49,0.1399999999999999,2.21,-0.06428462565007509,CEH2,forest,After,-2.21
-1.18,0.062,0.0130734806917993,0.062,-1.35,0.17000000000000015,2.35,0.030494105388819033,CEH2,forest,After,-2.35
-1.11,0.0948,0.0219099754243658,0.0948,-1.18,0.06999999999999984,2.5200000000000005,-0.13816534652520512,CEH2,forest,After,-2.5200000000000005
-1.13,0.065,0.0476546327440168,0.065,-1.11,-0.019999999999999796,2.59,-0.07531776867189333,CEH2,forest,After,-2.59
-1.31,0.029,0.0774579471188726,0.029,-1.13,-0.18000000000000016,2.5700000000000003,-0.05414562146476337,CEH2,forest,After,-2.5700000000000003
-1.5,0.0108,0.1057139093761601,0.0108,-1.31,-0.18999999999999995,2.39,0.06277577037022802,CEH2,forest,After,-2.39
-1.7,0.049,0.115506484690514,0.049,-1.5,-0.19999999999999996,2.2,-0.028523267172545663,CEH2,forest,After,-2.2
-1.84,0.0373999999999999,0.0939167922714824,0.0373999999999999,-1.7,-0.14000000000000012,2.0,0.006297421984332641,CEH2,forest,After,-2.0
-1.93,0.087,0.0659618410912312,0.087,-1.84,-0.08999999999999986,1.86,-0.15820661121186103,CEH2,forest,After,-1.86
-1.89,0.0975999999999999,0.0444083991785766,0.0975999999999999,-1.93,0.040000000000000036,1.7700000000000002,-0.11578037738093645,CEH2,forest,After,-1.7700000000000002
-1.74,0.1392,0.0271936127970865,0.1392,-1.89,0.1499999999999999,1.8100000000000003,-0.16899512603206526,CEH2,forest,After,-1.8100000000000003
-1.56,0.1128,0.02336955409366,0.1128,-1.74,0.17999999999999994,1.9600000000000002,-0.07492438870169474,CEH2,forest,After,-1.9600000000000002
-1.6,0.0382,0.0179122893806151,0.0382,-1.56,-0.040000000000000036,2.14,-0.09954866570795363,CEH2,forest,After,-2.14
-1.6,0.0504,0.0255738024998631,0.0504,-1.6,0.0,2.1,-0.07336789067661066,CEH2,forest,After,-2.1
-1.46,0.096,0.034794782798454,0.096,-1.6,0.14000000000000012,2.1,-0.037028586380823014,CEH2,forest,After,-2.1
-1.54,0.0672,0.0516120532400373,0.0672,-1.46,-0.08000000000000007,2.24,-0.13090983798428493,CEH2,forest,After,-2.24
-1.68,0.0392,0.0681657841856536,0.0392,-1.54,-0.1399999999999999,2.16,-0.06774898398616053,CEH2,forest,After,-2.16
-1.79,0.0608,0.092120481510294,0.0608,-1.68,-0.1100000000000001,2.0200000000000005,-0.03438385853212109,CEH2,forest,After,-2.0200000000000005
-1.92,0.0322,0.1097485813223114,0.0322,-1.79,-0.1299999999999999,1.9100000000000001,0.07334388083555288,CEH2,forest,After,-1.9100000000000001
-1.94,0.0608,0.0989358321187804,0.0608,-1.92,-0.020000000000000018,1.7800000000000002,0.07387249984571817,CEH2,forest,After,-1.7800000000000002
-1.94,0.0862,0.0699707475329168,0.0862,-1.94,0.0,1.7600000000000002,-0.055215959124883085,CEH2,forest,After,-1.7600000000000002
-1.94,0.1478,0.0431907817709369,0.1478,-1.94,0.0,1.7600000000000002,-0.3003517669212066,CEH2,forest,After,-1.7600000000000002
-1.75,0.093,0.0217215999048298,0.093,-1.94,0.18999999999999995,1.7600000000000002,-0.013603066963427494,CEH2,forest,After,-1.7600000000000002
-1.69,0.0602,0.0206794590017241,0.0602,-1.75,0.06000000000000005,1.9500000000000002,-0.0540647894381234,CEH2,forest,After,-1.9500000000000002
-1.56,0.0728,0.0203284124671498,0.0728,-1.69,0.1299999999999999,2.0100000000000002,-0.02047332453321539,CEH2,forest,After,-2.0100000000000002
-1.29,0.1134,0.023081649956265,0.1134,-1.56,0.27,2.14,0.012615438080348873,CEH2,forest,After,-2.14
-1.24,0.031,0.0306170022564282,0.031,-1.29,0.050000000000000044,2.41,0.04475112835024321,CEH2,forest,After,-2.41
-1.44,0.0128,0.0554076360862932,0.0128,-1.24,-0.19999999999999996,2.46,-0.08761009509051723,CEH2,forest,After,-2.46
-1.6,0.0072,0.0780053641747065,0.0072,-1.44,-0.16000000000000014,2.2600000000000002,0.02868633684658914,CEH2,forest,After,-2.2600000000000002
-1.76,0.0764,0.0962307127782272,0.0764,-1.6,-0.15999999999999992,2.1,-0.11728672266147427,CEH2,forest,After,-2.1
-1.86,0.0994,0.0969163493097241,0.0994,-1.76,-0.10000000000000009,1.9400000000000002,-0.12019360825014763,CEH2,forest,After,-1.9400000000000002
-1.65,0.1192,0.0976132155179787,0.1192,-1.86,0.2100000000000002,1.84,0.13593737965496266,CEH2,forest,After,-1.84
-1.69,0.0606,0.0672317697887623,0.0606,-1.65,-0.040000000000000036,2.0500000000000003,-0.030490551005763672,CEH2,forest,After,-2.0500000000000003
-1.63,0.116,0.0447405822887121,0.116,-1.69,0.06000000000000005,2.0100000000000002,-0.14668536111440106,CEH2,forest,After,-2.0100000000000002
-1.37,0.0848,0.0295056397138296,0.0848,-1.63,0.2599999999999998,2.0700000000000003,0.10033059846138266,CEH2,forest,After,-2.0700000000000003
-1.01,0.1505999999999999,0.0168909492945821,0.1505999999999999,-1.37,0.3600000000000001,2.33,-0.0186832502584166,CEH2,forest,After,-2.33
-0.48,0.1102,0.0129870686539831,0.1102,-1.01,0.53,2.6900000000000004,0.2545827590038333,CEH2,forest,After,-2.6900000000000004
0.14,0.089,0.0186818521964761,0.089,-0.48,0.62,3.22,0.41951406628376453,CEH2,forest,After,-3.22
-0.13,0.0424,0.0312899332564512,0.0424,0.14,-0.27,3.8400000000000003,-0.3055365441372828,CEH2,forest,After,-3.8400000000000003
-0.46,0.0158,0.0374313956455442,0.0158,-0.13,-0.33,3.5700000000000003,-0.27420806334887565,CEH2,forest,After,-3.5700000000000003
-0.48,0.1077999999999999,0.0642263455138479,0.1077999999999999,-0.46,-0.019999999999999962,3.24,-0.15140615404462796,CEH2,forest,After,-3.24
-0.75,0.0252,0.0942497072885958,0.0252,-0.48,-0.27,3.22,-0.08846858607940056,CEH2,forest,After,-3.22
-1.05,0.0272,0.1169174567508262,0.0272,-0.75,-0.30000000000000004,2.95,-0.06337809409846312,CEH2,forest,After,-2.95
-1.23,0.0456,0.094777510509353,0.0456,-1.05,-0.17999999999999994,2.6500000000000004,-0.05447943023165225,CEH2,forest,After,-2.6500000000000004
-1.34,0.0952,0.0776241874685951,0.0952,-1.23,-0.1100000000000001,2.47,-0.17004901739462325,CEH2,forest,After,-2.47
-0.92,0.2012,0.0515176231476902,0.2012,-1.34,0.42000000000000004,2.3600000000000003,-0.008364096926381542,CEH2,forest,After,-2.3600000000000003
-0.9,0.0467999999999999,0.0294710066467027,0.0467999999999999,-0.92,0.020000000000000018,2.7800000000000002,-0.03279463844140988,CEH2,forest,After,-2.7800000000000002
-0.7,0.1002,0.019867764121142,0.1002,-0.9,0.20000000000000007,2.8000000000000003,-0.028836491250264766,CEH2,forest,After,-2.8000000000000003
-0.74,0.0252,0.0186109214291315,0.0252,-0.7,-0.040000000000000036,3.0,-0.06108307522916584,CEH2,forest,After,-3.0
-0.66,0.0866,0.0237653141318251,0.0866,-0.74,0.07999999999999996,2.96,-0.10011296120505114,CEH2,forest,After,-2.96
-0.82,0.0327999999999999,0.0347917962835035,0.0327999999999999,-0.66,-0.15999999999999992,3.04,-0.15913268592068508,CEH2,forest,After,-3.04
-0.98,0.0448,0.045473161701825,0.0448,-0.82,-0.16000000000000003,2.8800000000000003,-0.16429961063609574,CEH2,forest,After,-2.8800000000000003
-1.09,0.0472,0.0756288090461812,0.0472,-0.98,-0.1100000000000001,2.72,-0.0402771741825442,CEH2,forest,After,-2.72
-1.33,0.0238,0.0905318964807798,0.0238,-1.09,-0.24,2.6100000000000003,-0.06448661963547397,CEH2,forest,After,-2.6100000000000003
-1.49,0.0168,0.1104619647837164,0.0168,-1.33,-0.15999999999999992,2.37,0.08860483041612296,CEH2,forest,After,-2.37
-1.67,0.0412,0.1016991709218285,0.0412,-1.49,-0.17999999999999994,2.21,-0.023552583964375762,CEH2,forest,After,-2.21
-1.8,0.0952,0.0699637377456108,0.0952,-1.67,-0.13000000000000012,2.0300000000000002,-0.21056915252957556,CEH2,forest,After,-2.0300000000000002
-1.89,0.116,0.0526106372307681,0.116,-1.8,-0.08999999999999986,1.9000000000000001,-0.2756037540586243,CEH2,forest,After,-1.9000000000000001
-1.64,0.1258,0.0308987736620354,0.1258,-1.89,0.25,1.8100000000000003,-0.021349938040028257,CEH2,forest,After,-1.8100000000000003
-1.24,0.082,0.0184606463672913,0.082,-1.64,0.3999999999999999,2.0600000000000005,0.21862606561304673,CEH2,forest,After,-2.0600000000000005
-1.37,0.0232,0.0219836897846353,0.0232,-1.24,-0.13000000000000012,2.46,-0.13641853141882765,CEH2,forest,After,-2.46
-1.24,0.0965999999999999,0.028068936764161,0.0965999999999999,-1.37,0.13000000000000012,2.33,-0.06673414890261398,CEH2,forest,After,-2.33
-1.27,0.036,0.0440285592259995,0.036,-1.24,-0.030000000000000027,2.46,-0.013397854790516403,CEH2,forest,After,-2.46
-1.47,0.0273999999999999,0.0781688547498778,0.0273999999999999,-1.27,-0.19999999999999996,2.43,-0.06773740876962289,CEH2,forest,After,-2.43
-1.66,0.0243999999999999,0.1107041047341038,0.0243999999999999,-1.47,-0.18999999999999995,2.2300000000000004,0.03785994647861868,CEH2,forest,After,-2.2300000000000004
-1.79,0.1128,0.1028168865805784,0.1128,-1.66,-0.13000000000000012,2.04,-0.17210790172030893,CEH2,forest,After,-2.04
