Date,Impact_Mean,Edge_Mean,Control_Mean,Impact_BACI_Delta,Edge_BACI_Delta,Impact_CUSUM,Edge_CUSUM
2012-01-01,-1.69,-1.8175,-1.9025,0.21250000000000013,0.08500000000000019,5.073147554597937,2.0865092349258036
2012-02-01,-1.65,-1.8125,-1.9075,0.25750000000000006,0.09499999999999997,5.488782896453259,2.232666776234677
2012-03-01,-1.725,-1.9149999999999998,-1.9962499999999999,0.27124999999999977,0.08125000000000004,5.91816823830858,2.3650743175435505
2012-05-01,-1.7292757009345796,-2.0375,-2.1125,0.3832242990654202,0.07499999999999973,6.459527879229321,2.4912318588524234
2012-06-01,-1.7314485981308412,-2.1,-2.175,0.44355140186915865,0.07499999999999973,7.061214622953801,2.6173894001612963
2012-07-01,-1.733551401869159,-1.9674999999999998,-2.0625,0.3289485981308411,0.0950000000000002,7.548298562939964,2.7635469414701697
2012-10-01,-1.74,-1.8874999999999997,-1.9724999999999997,0.2324999999999997,0.08499999999999996,7.938933904795285,2.899704482779043
2012-11-01,-1.46,-1.6275,-1.718,0.258,0.09050000000000002,8.355069246650606,3.041362024087916
2012-12-01,-1.02,-1.1724999999999999,-1.201,0.18100000000000005,0.028500000000000192,8.694204588505928,3.1210195653967894
2013-01-01,-0.79,-0.9600000000000001,-0.882,0.09199999999999997,-0.07800000000000007,8.944339930361249,3.0941771067056627
2013-03-01,-0.69,-0.8775000000000001,-0.7460000000000001,0.05600000000000016,-0.13149999999999995,9.15847527221657,3.013834648014536
2013-04-01,-0.85,-0.9824999999999999,-0.78,-0.06999999999999995,-0.2024999999999999,9.246610614071892,2.8624921893234094
2013-05-01,-0.97,-1.0925,-0.9259999999999999,-0.04400000000000004,-0.1665000000000001,9.360745955927214,2.7471497306322825
2013-06-01,-1.1,-1.2025,-1.0379999999999998,-0.06200000000000028,-0.1645000000000001,9.456881297782536,2.633807271941156
2013-07-01,-1.22,-1.3125,-1.16,-0.06000000000000005,-0.15250000000000008,9.555016639637858,2.532464813250029
2013-08-01,-1.37,-1.4525000000000001,-1.308,-0.062000000000000055,-0.14450000000000007,9.651151981493179,2.4391223545589025
2013-09-01,-1.44,-1.51125,-1.372,-0.06799999999999984,-0.13924999999999987,9.7412873233485,2.351029895867776
2013-11-01,-1.39,-1.3925,-1.262,-0.1279999999999999,-0.13050000000000006,9.771422665203822,2.271687437176649
2013-12-01,-1.28,-1.33625,-1.2329999999999999,-0.04700000000000015,-0.10325000000000006,9.882558007059144,2.2195949784855222
2014-02-01,-0.7,-0.77,-0.624,-0.07599999999999996,-0.14600000000000002,9.964693348914466,2.1247525197943955
2014-04-01,-0.65,-0.7525000000000001,-0.6,-0.050000000000000044,-0.15250000000000008,10.072828690769787,2.023410061103269
2014-05-01,-0.835,-0.95,-0.8099999999999999,-0.025000000000000022,-0.14,10.20596403262511,1.934567602412142
2014-07-01,-1.13,-1.2225,-1.1190000000000002,-0.010999999999999677,-0.1034999999999997,10.353099374480431,1.8822251437210156
2014-08-01,-1.33,-1.4175,-1.3039999999999998,-0.026000000000000245,-0.11350000000000016,10.485234716335752,1.8198826850298886
2014-09-01,-1.45,-1.535,-1.4380000000000002,-0.011999999999999789,-0.09699999999999975,10.631370058191074,1.774040226338762
2014-11-01,-1.22,-1.3475000000000001,-1.2719999999999998,0.051999999999999824,-0.07550000000000034,10.841505400046396,1.7496977676476348
2014-12-01,-1.16,-1.265,-1.196,0.03600000000000003,-0.06899999999999995,11.035640741901718,1.731855308956508
2015-02-01,-1.1400000000000001,-1.24125,-1.155,0.014999999999999902,-0.08624999999999994,11.208776083757039,1.6967628502653813
2015-04-01,-1.26,-1.35,-1.2600000000000002,2.220446049250313e-16,-0.08999999999999986,11.366911425612361,1.6579203915742546
