Date,Control,Zone,BACI_raw,BACI_corrected,CWB
2023-09-01,Forest,Impact,0.31600000000000006,0.46782416551678874,-295.6256914781368
2023-10-01,Forest,Impact,0.3240000000000003,0.5163743531945553,-225.92778252438558
2023-11-01,Forest,Impact,0.272,0.4833448779529756,-194.71891324748856
2023-12-01,Forest,Impact,0.20000000000000007,0.45999708283043267,-110.60134790542885
2024-01-01,Forest,Impact,0.1419999999999999,0.44585097535909657,-35.10602450393256
2024-02-01,Forest,Impact,0.030000000000000027,0.3536208708176086,-2.4744662178541432
2024-03-01,Forest,Impact,-0.03600000000000009,0.3189583019743739,50.90932700703176
2024-04-01,Forest,Impact,-0.12600000000000006,0.23966085603783377,67.40318229278488
2024-05-01,Forest,Impact,-0.10000000000000009,0.23409818966724646,8.75742683205128
2024-06-01,Forest,Impact,-0.02400000000000002,0.2688853636127392,-67.14570052475021
2024-07-01,Forest,Impact,-0.04200000000000026,0.22691937736613985,-112.2711789507741
2024-08-01,Forest,Impact,-0.008000000000000007,0.22666678315640015,-175.78675526802238
2024-09-01,Forest,Impact,-2.220446049250313e-16,0.24097624505121604,-167.11155526189876
2024-10-01,Forest,Impact,0.029999999999999805,0.2771809363084766,-158.54043049819745
2024-11-01,Forest,Impact,0.07599999999999985,0.3265688152050378,-155.06495074771203
2024-12-01,Forest,Impact,0.13400000000000012,0.43002516896684373,-76.63523743312562
2025-01-01,Forest,Impact,0.07999999999999996,0.4139847227283878,-11.630429857909817
2025-02-01,Forest,Impact,0.03199999999999992,0.3678068687332998,-10.94158086085151
2025-03-01,Forest,Impact,0.03200000000000003,0.3512163632014888,-42.775681432495496
2025-04-01,Forest,Impact,0.038000000000000034,0.3556734573526299,-48.07582138279078
2025-05-01,Forest,Impact,-0.030000000000000027,0.25284504608137326,-112.53382312230526
2025-06-01,Forest,Impact,-0.07400000000000007,0.19164034305424876,-145.70822304610275
2025-07-01,Forest,Impact,0.10799999999999987,0.31766996769122047,-247.79387356287964
2025-08-01,Forest,Impact,0.28,0.43803809093996793,-342.24042377802414
2025-09-01,Forest,Impact,0.20800000000000018,0.4033626633271018,-278.3657314576027
2025-10-01,Forest,Impact,0.5214754098360654,0.7234392955978879,-269.08887586350437
2025-11-01,Forest,Impact,0.27600000000000025,0.5569279788460968,-131.10577747236505
2025-12-01,Forest,Impact,0.18600000000000005,0.5259571915484065,-28.519615546867342
2026-01-01,Forest,Impact,0.14,0.4974166969462882,-2.1280754936015e-12
2011-01-01,Forest,Edge,0.14250000000000007,0.06971726769419492,-321.03443463434746
2011-02-01,Forest,Edge,0.13649999999999984,0.08742537755745199,-277.91655544150296
2011-03-01,Forest,Edge,0.10599999999999987,0.04831548512712474,-295.7800111408686
2011-04-01,Forest,Edge,0.11599999999999988,0.03509380453417225,-341.4593212222198
2011-05-01,Forest,Edge,0.15649999999999986,0.06764205945216559,-358.18979432755225
2011-06-01,Forest,Edge,0.14949999999999997,0.03233991817248979,-413.48198835348524
2011-07-01,Forest,Edge,0.1559999999999997,0.004738317139528207,-479.69134652941193
2011-08-01,Forest,Edge,0.13037554585152855,-0.040123432998964675,-517.8316893516238
2012-10-01,Forest,Edge,0.2665000000000002,0.12805945984589853,-481.1526213153846
2012-11-01,Forest,Edge,0.19699999999999984,0.11528301035202286,-375.5652892816795
2012-12-01,Forest,Edge,0.1260000000000001,0.09358869226962185,-283.95735871607377
2013-01-01,Forest,Edge,-0.002000000000000224,-0.018006800411175684,-254.65883331073564
2013-02-01,Forest,Edge,-0.09949999999999992,-0.10008751047743339,-227.22446569946703
2013-03-01,Forest,Edge,-0.17449999999999977,-0.14547869829906718,-172.77322504152863
2013-04-01,Forest,Edge,-0.12650000000000006,-0.10909462024743061,-196.4929496012728
2013-05-01,Forest,Edge,-0.12050000000000005,-0.12558605094932293,-240.7343747783176
2013-06-01,Forest,Edge,-0.09850000000000003,-0.144016857817513,-318.9755614044127
2013-07-01,Forest,Edge,-0.07049999999999979,-0.1658218933350549,-414.8978339280689
2013-08-01,Forest,Edge,-0.06300000000000017,-0.18218162100102248,-461.78441099607323
2013-09-01,Forest,Edge,-0.06149999999999989,-0.18598668301745375,-473.5631782574557
2013-10-01,Forest,Edge,-0.036499999999999755,-0.10702558827921403,-373.1466088855528
2013-11-01,Forest,Edge,-0.011999999999999789,-0.08610969827930776,-381.6691139637671
2013-12-01,Forest,Edge,-0.022499999999999964,-0.048848491450886385,-292.9835285757073
2014-01-01,Forest,Edge,-0.10650000000000004,-0.06747471835021392,-171.0288647144987
2014-02-01,Forest,Edge,-0.08550000000000013,-0.012161499278479787,-107.84475721540709
2014-03-01,Forest,Edge,-0.13850000000000007,-0.06323546648317822,-105.77288958721807
2014-04-01,Forest,Edge,-0.11249999999999993,-0.054110919354204444,-139.44432197035428
2014-05-01,Forest,Edge,-0.11150000000000004,-0.05153156162130406,-138.14072476725775
2014-06-01,Forest,Edge,-0.06199999999999983,-0.036281854547606504,-204.68758544442966
2014-07-01,Forest,Edge,-0.028999999999999915,-0.045492011007409495,-286.23937161711905
2014-08-01,Forest,Edge,-0.031500000000000083,-0.04478313957921914,-281.90868362202747
2014-09-01,Forest,Edge,-0.0029999999999998916,-0.059530165370928874,-365.47851805068854
2014-10-01,Forest,Edge,0.02849999999999997,0.020055032050417504,-276.1799008607957
2014-11-01,Forest,Edge,0.039000000000000146,0.03836851172073292,-263.1367028452089
2014-12-01,Forest,Edge,-0.015000000000000124,0.0017478411871602664,-231.9375304241049
2015-01-01,Forest,Edge,-0.012500000000000178,0.02652103561570073,-191.53469547523378
2015-02-01,Forest,Edge,-0.03399999999999981,0.0053898315489947154,-192.57779497890985
2015-03-01,Forest,Edge,-0.03200000000000003,0.014295052353610397,-181.08466431509203
2015-04-01,Forest,Edge,-0.03249999999999975,-0.00019103484913825242,-209.2890458626231
