Date,Impact_BACI_Raw,Impact_BACI_ClimCorrected,Impact_CUSUM_ClimCorrected,Edge_BACI_Raw,Edge_BACI_ClimCorrected,Edge_CUSUM_ClimCorrected,CumWaterBalance_mm,Model2_Fitted_Impact,Post_Felling,Post_Scraping
2012-08-01,0.01666666666666683,-0.14263534054996255,5.627833426030896,-0.20416666666666639,-0.24149390567914897,2.527616279643637,-227.83395828843683,0.023113501612890303,0,0
2012-09-01,0.010054644808743074,-0.1338542819443196,5.774126336594857,-0.2316666666666669,-0.2653870384234182,2.467860977338783,-202.20354419002467,0.007720421149323586,0,0
2012-10-01,-0.08333333333333348,-0.19711786994572167,5.857155659157415,-0.23083333333333322,-0.25749503501722654,2.415997678440121,-152.04460455509792,-0.0224039689913509,0,0
2012-11-01,0.007500000000000062,-0.04358123409604623,6.09372161756965,-0.15999999999999992,-0.1719692241640295,2.4496601903946558,-47.63979665224416,-0.08510727150769279,0,0
2012-12-01,-0.07124999999999981,-0.06802366216777486,6.305845147910156,-0.21624999999999983,-0.2154940127685602,2.43979791374466,42.78560978251022,-0.13941484343596403,0,0
2013-01-01,-0.09124999999999994,-0.07113779101992138,6.514854549398515,-0.25125,-0.2465373586165961,2.398892291246628,70.901611056997,-0.15630071458381764,0,0
2013-02-01,-0.13750000000000007,-0.10162149331363293,6.693380248593162,-0.3075000000000001,-0.29909304005082765,2.305430987314365,97.15345453741428,-0.1720670122901062,0,0
2013-03-01,-0.125,-0.05712943744812991,6.916398003653313,-0.3125000000000001,-0.2965967433207532,2.214465980112176,150.42217106450136,-0.20405906815560915,0,0
2013-04-01,-0.21375,-0.16083519728666612,7.035709998874928,-0.34624999999999995,-0.3338511387258101,2.08624657750493,125.51992237390583,-0.18910330831707295,0,0
2013-05-01,-0.1825,-0.15686585315062024,7.158991338232589,-0.30500000000000005,-0.29899347225407724,1.9928848413694171,80.0959730660097,-0.16182265245311883,0,0
2013-06-01,-0.18625000000000014,-0.20831604112661034,7.230822489614259,-0.28874999999999995,-0.2939204583362353,1.9045961191517462,0.6722623090632851,-0.11412246447712886,0,0
2013-07-01,-0.1725000000000001,-0.25288511246747164,7.258084569655068,-0.2650000000000001,-0.28383563401707973,1.8263922212532309,-96.43253434544424,-0.055803393136267546,0,0
2013-08-01,-0.17125000000000012,-0.28050439018277606,7.257727371980573,-0.25375000000000014,-0.2793502093556158,1.7526737480161794,-144.50163554429986,-0.02693411542096312,0,0
2013-09-01,-0.1625000000000001,-0.27953866555758355,7.25833589893127,-0.23750000000000004,-0.2649242008578652,1.6933812832768784,-157.46292693653368,-0.019149840046155595,0,0
2013-10-01,-0.1900723140495868,-0.24751312694448713,7.290969964495063,-0.2575723140495867,-0.27103169845698805,1.6279813209384546,-58.22888169548209,-0.07874769270883873,0,0
2013-11-01,-0.2554803719008263,-0.3187498185018698,7.2523673385014735,-0.25798037190082646,-0.27280550685504645,1.5608075502019725,-67.93391090454772,-0.07291905900269556,0,0
2013-12-01,-0.15305268595041333,-0.1637696588548239,7.36874487215493,-0.23305268595041317,-0.2355638596391994,1.5308754266813374,19.569150352660756,-0.1254715326993285,0,0
2014-01-01,-0.2572107438016531,-0.19539454352016183,7.453497521143049,-0.28971074380165307,-0.2752261298092322,1.4612810329906694,140.341290083018,-0.19800470588523034,0,0
2014-02-01,-0.2126188016528926,-0.11356577179887456,7.620078941852455,-0.2651188016528926,-0.24190894896570347,1.4250038201435302,202.3428734512583,-0.2352415354577571,0,0
2014-03-01,-0.12826962809917353,-0.028682477494639924,7.871543656866096,-0.21576962809917355,-0.19243462160341435,1.4382009346586802,203.23221694859598,-0.23577565620827268,0,0
2014-04-01,-0.15285714285714286,-0.07420253571575611,8.07748831365862,-0.2553571428571429,-0.23692699642335094,1.4069056743538935,168.37826043460845,-0.21484311274512582,0,0
2014-05-01,-0.14749999999999996,-0.0687726789517725,8.288862827215128,-0.27,-0.251552815429479,1.3609845950429789,168.49933350685362,-0.21491582665196654,0,0
2014-06-01,-0.15000000000000002,-0.11194950399621698,8.457060515727193,-0.25750000000000006,-0.24858410506751952,1.3180322260940236,100.76994869883039,-0.17423900160752212,0,0
