spec,window_start,window_end,window_years,n_obs,n_wells,delta_0_mm_yr,delta_0_se,L_m,L_se,c_mm_yr,c_se,far_field_observed_mm_yr,n_far_field_wells,panel_max_dist_m,at_bound,reach_exceeds_panel,usable
forest_free,2009-11,2026-02,16.251882272416154,9976,61,-32.79812967773775,3.515348362203091,485.6324899127568,39.0253081399973,6.832570346693442,0.5512955434296184,0.5764273466148453,41,2338.0,False,False,True
forest_free,2009-12,2026-02,16.16974674880219,9952,61,-32.79465504793878,3.532824664503266,485.2214933421407,39.23831943629873,7.028620208136202,0.5534900221665842,0.5764273466148453,41,2338.0,False,False,True
forest_free,2010-01,2026-02,16.084873374401095,9928,61,-32.964323721130796,3.5534943439359394,484.6537317196653,39.24681584630412,7.064366428046741,0.5560004158488223,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-02,2026-02,16.0,9904,61,-33.232048314847226,3.5739104415308462,485.38515613496276,39.42094559957712,7.140799984421109,0.5585588971635759,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-03,2026-02,15.9233401779603,9880,61,-33.091777121363386,3.5941353319915788,489.2781465922871,40.789702450422766,7.043616968103783,0.5610182396150181,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-04,2026-02,15.838466803559205,9834,61,-33.464214034417346,3.624992461505435,491.9558288178808,41.31254388083848,7.285685004072659,0.5659744191726523,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-05,2026-02,15.756331279945243,9786,61,-33.37059360884584,3.659537904980331,491.3684511030022,41.71871786516297,7.208870299367053,0.5715808531694153,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-06,2026-02,15.671457905544148,9738,61,-32.693415605286944,3.4513600474871633,503.02483121515695,37.07834590010877,7.250327256126697,0.5835845752339116,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-07,2026-02,15.589322381930184,9689,61,-32.95050348718734,3.7319471637953825,489.70138462279886,42.73365465800585,7.317587464588877,0.5828087505341355,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-08,2026-02,15.50444900752909,9640,61,-32.785996096086315,3.7590081161541717,489.2704423303411,43.1657597037235,7.871251327883722,0.5873058085668486,4.190803310513747,41,2338.0,False,False,True
