control_tier,impact_zone,control_well,d_target_m,d_control_m,delta_E_m,baci_coef,baci_coef_se,baci_coef_p,baci_absorbs_mm_yr,baci_absorbs_se_mm_yr,model_predicts_mm_yr,z_test_baci_vs_model,consistent,clearfell_step_m,n_months,tier_d_control_m,tier_baci_absorbs_mm_yr,tier_model_predicts_mm_yr,tier_z_test_baci_vs_model,tier_consistent
FarField,Impact,NW4B,553.0,1471.7,-1197.6646000000183,-1.2774937671245672e-06,5.294509943382513e-07,0.0169234179468171,18.360108739269137,7.609256560244804,-12.118057415796542,4.0054065615688925,no,-0.0765849827777798,171,1946.0,20.1,-12.1,3.97,no
FarField,Impact,WMC1,553.0,1630.5,-1548.6166000000085,-8.325865327122117e-07,3.23495660330201e-07,0.0109516401411579,15.472287905934973,6.011648995383762,-12.118057415796542,4.589480414261985,no,-0.0662118538507083,169,1946.0,20.1,-12.1,3.97,no
FarField,Impact,CEH5,553.0,2075.5,-1304.0646000000124,-1.8783164237537605e-06,6.64154799164519e-07,0.0052624361004944,29.393351469790815,10.393209150126804,-12.118057415796542,3.9940896296771715,no,-0.1252296920636773,171,1946.0,20.1,-12.1,3.97,no
FarField,Impact,L7,553.0,2211.9,-1594.9876000000222,-1.3487515101024404e-06,4.286113430004679e-07,0.0019589638518182,25.81490320913636,8.203557327661231,-12.118057415796542,4.6239648374283115,no,-0.1486039365043629,171,1946.0,20.1,-12.1,3.97,no
FarField,Impact,CEH6,553.0,2338.0,-1404.666600000026,-8.015325825506871e-07,6.631760564300943e-07,0.2285353336155361,13.510632570248568,11.178495076645032,-12.118057415796542,2.292678022428129,no,-0.0083433008582821,171,1946.0,20.1,-12.1,3.97,no
FarField,Edge,NW4B,587.0,1471.7,-1342.6646000000183,-1.2121147886418634e-06,4.897605329994209e-07,0.0143252755377138,19.52956341415121,7.891009561625558,-10.9205197874557,3.8588323792797627,no,-0.1582382577267529,173,1946.0,20.9,-10.9,3.57,no
FarField,Edge,WMC1,587.0,1630.5,-1693.6166000000085,-8.791801917204208e-07,3.23355687104475e-07,0.0072501004719833,17.867930005066736,6.57168671261457,-10.9205197874557,4.3806789719999975,no,-0.1500608767014771,171,1946.0,20.9,-10.9,3.57,no
FarField,Edge,CEH5,587.0,2075.5,-1449.0646000000124,-1.6066399159042537e-06,6.462099212107526e-07,0.0138929366386094,27.937500325006212,11.236799051943585,-10.9205197874557,3.4581040323703927,no,-0.1815789837449588,173,1946.0,20.9,-10.9,3.57,no
FarField,Edge,L7,587.0,2211.9,-1739.9876000000222,-1.2417462322039294e-06,4.421414445931758e-07,0.0055712073672746,25.927476556579027,9.231847572458673,-10.9205197874557,3.9913999938607283,no,-0.2121102512882704,173,1946.0,20.9,-10.9,3.57,no
FarField,Edge,CEH6,587.0,2338.0,-1549.666600000026,-8.284563695110016e-07,6.471723597989337e-07,0.2022792817922802,15.405973984661747,12.034816685083285,-10.9205197874557,2.1875276093526352,no,-0.0787872777480753,173,1946.0,20.9,-10.9,3.57,no
