well,cluster,dist_coast_m,n_obs_withheld,delta_0_loo_mm_yr,delta_0_loo_se,L_loo_m,c_loo_mm_yr,delta_ref_loo_mm_yr,d_delta_0_mm_yr,d_delta_ref_mm_yr,abs_rank
ceh28,2,1690.3,161,-31.07722601528351,1.971914965550602,896.4244599699322,-0.5042829977265808,-26.381311884911995,0.20143345396648726,-0.0028667260701347175,25
t41a,3,1309.2,189,-31.081439940412324,1.9577777323137882,896.6557322655874,-0.48049503997382303,-26.362374186544137,0.19721952883767457,0.016070972297722363,26
ceh7,2,1863.4,115,-31.47448955356984,1.9723695997009585,907.9868988416653,-0.11004849931286675,-26.384932817324394,-0.19583008431984084,-0.0064876584825341865,27
ceh5,1,2075.5,238,-31.46945060653072,1.9735586509710636,907.1111951384561,-0.1210911252874003,-26.38675016108449,-0.19079113728072272,-0.0083050022426292,28
nw13,3,1371.3,165,-31.09790616958259,1.9688710403051572,897.3522959402271,-0.46639111325293897,-26.36602014403373,0.18075329966740838,0.012425014808130186,29
d5,2,1362.9,192,-31.100329417982454,1.972450373061424,897.4583496582158,-0.4702212822046754,-26.372482829434148,0.17833005126754387,0.005962329407712019,30
ceh10,3,1122.7,233,-31.44359456771831,1.9518822779846372,907.5439488517732,-0.09638584609271215,-26.34294374013244,-0.16493509846831245,0.03550141870941914,31
ceh37,2,1478.0,131,-31.11953183077207,1.9652217049487841,898.2558547619481,-0.4271256550483172,-26.349998037546722,0.15912763847792988,0.02844712129513738,32
wmc4,3,1371.3,169,-31.120502743101824,1.9684888598683001,897.9633831592529,-0.44465525246249116,-26.366643781051636,0.15815672614817444,0.011801377790224166,33
d43,2,1400.6,192,-31.120917222450636,1.9696843472771182,897.8275489754118,-0.4499336267900049,-26.371480893735484,0.1577422467993621,0.006964265106375933,34
ceh11,1,782.7,236,-31.434752851502857,2.020597899511996,893.7065566161707,-0.3082300029766732,-26.466963681498886,-0.15609338225285896,-0.08851852265702576,35
d17,2,1336.1,192,-31.130511110209806,1.9729097644258673,898.1091994502286,-0.4468035133675141,-26.377972862697998,0.1481483590401922,0.0004722961438616835,36
l7,2,2211.9,199,-31.135667937202868,1.9671782021295856,898.075756917459,-0.44485515580047325,-26.38012640641326,0.14299153204713022,-0.001681247571401201,37
ceh24,2,1547.4,190,-31.13696574199537,1.9675400844851407,898.3131864471219,-0.433231765298181,-26.370958609586207,0.14169372725462992,0.007486549255652619,38
t41b,2,1338.7,192,-31.143420354365023,1.9749108315162722,898.1943151804282,-0.44609490312006733,-26.388510336610764,0.13523911488497475,-0.010065177768904476,39
ceh27,1,1640.1,192,-31.14443073364401,1.9732996610325646,897.8072420610358,-0.4517494914514624,-26.39276417854836,0.13422873560598703,-0.014319019706501734,40
d8,2,1849.9,187,-31.156065963632955,1.973421069893073,898.8327549037283,-0.430055989685143,-26.38670096087162,0.12259350561704352,-0.008255802029761838,41
d9,3,1791.9,185,-31.162297211723708,1.9654263282006703,899.2118846675215,-0.4082166103225651,-26.37224558131137,0.11636225752629059,0.006199577530491496,42
t41c,2,1353.5,189,-31.162342910731866,1.974303645448796,898.7302442481351,-0.42569149228549413,-26.38697272013133,0.1163165585181325,-0.008527561289469077,43
d10,2,1874.4,189,-31.172798727635158,1.9729446696326274,899.37321916093,-0.40692280244342816,-26.38063431075081,0.10586074161484049,-0.0021891519089507483,44
d44,2,1384.3,192,-31.178109259538417,1.9719633701107693,899.1655958949459,-0.40780530019059374,-26.38474092688333,0.10055020971158157,-0.006295768041471916,45
p1,3,347.6,46,-31.376800843956403,1.970100970736564,902.4433080448396,-0.29546686647309495,-26.456959352954694,-0.0981413747064046,-0.07851419411283445,46
t41d,2,1383.4,189,-31.184637683415332,1.975754973544574,899.3560724714109,-0.4074808717910822,-26.390957640533216,0.09402178583466636,-0.012512481691356214,47
ceh25,1,2202.0,192,-31.189739132503536,1.9634987861984643,898.2925516730738,-0.4233580062176312,-26.404926525303658,0.08892033674646171,-0.026481366461798217,48
d41,2,1400.4,189,-31.195344541380326,1.9750492191737228,899.6008000180503,-0.3983438125152497,-26.392157095682865,0.08331492786967232,-0.013711936841005468,49
ceh18,3,302.0,194,-31.202403818126328,2.040621511303398,903.0969191245545,-0.2932393717479122,-26.3130758777678,0.07625565112367028,0.0653692810740587,50
wmc1,2,1630.5,203,-31.20808788968183,1.9756627378778622,900.477262597272,-0.37354833563196,-26.383045013859856,0.07057157956816695,-0.004599855017996646,51
ceh6,1,2338.0,239,-31.34037551040267,1.9725817421584335,902.5543766246851,-0.2874063135747648,-26.419168971042065,-0.06171604115267115,-0.0407238122002056,52
ceh23,1,1920.6,172,-31.334090343153644,1.9741709556626272,903.1539558857066,-0.27009465283849354,-26.40007386871071,-0.05543087390364576,-0.021628709868849683,53
d38,3,1153.4,188,-31.231558558423124,1.963179585742837,900.6708879945342,-0.34379433238355955,-26.373970403364837,0.04710091082687384,0.004474755477023251,54
pw,3,888.0,79,-31.299353012336596,1.9753049914803398,901.5885823131088,-0.2905534641132315,-26.38253912070395,-0.020693543086597543,-0.004093961862089657,55
p2,1,2005.6,79,-31.294324063544817,1.9696138312464087,902.5195260787431,-0.29461980480764777,-26.38778370074168,-0.015664594294818812,-0.009338541899818864,56
pe,2,956.8,79,-31.292411379093405,1.971563989110033,902.8569730370651,-0.28266213510614296,-26.37617507619489,-0.013751909843406906,0.0022700826469694846,57
ceh35,3,189.6,57,-31.290265333584827,1.9734341080831599,902.4807716677988,-0.2921785364833454,-26.38173494929639,-0.011605864334828908,-0.0032897904545308165,58
ceh26,1,1771.7,191,-31.28866068108046,1.975090296323053,901.6562560801746,-0.3274303226806113,-26.410893268467213,-0.010001211830463319,-0.03244810962535283,59
nw6,3,502.5,222,-31.28333468540433,1.9870817644077312,902.6972734760374,-0.3032185370269267,-26.388243289865347,-0.004675216154332418,-0.009798131023487144,60
l1,2,2202.3,28,-31.280192148249377,1.9697500249891358,902.5328712137474,-0.29502351121229575,-26.376481107081926,-0.0015326789993785894,0.0019640517599341933,61
