spec,window_years,window_start,window_end,window_mid,observed_span_years,n_obs,n_wells,delta_0_mm_yr,delta_0_se,L_m,L_se,c_mm_yr,c_se,beta_cwb_m_per_mm,cwb_trend_mm_yr,climate_term_mm_yr,identified_sum_mm_yr,panel_max_dist_m,at_bound,reach_exceeds_panel,usable
forest_free,12.0,2006-03,2018-02,2012-02,11.9233401779603,5849,57,-46.55682759225171,8092099.866756942,2601.827558003587,452226874.7885342,-21.99678486294788,8092099.829645655,0.0020459037532189186,9.146290991378276,18.7124310672932,-3.284353795654681,2338.0,False,True,False
forest_free,12.0,2006-06,2018-05,2012-05,11.915126625598905,5968,57,-44.763272370691695,6218305.582438598,2483.8422680440035,345043819.87721986,-22.914304482363736,6218305.591555979,0.0020369251898524985,11.979713200042395,24.40177958437484,1.4874751020111034,2338.0,False,True,False
forest_free,12.0,2006-09,2018-08,2012-08,11.915126625598905,6064,57,-39.30845030262492,6407080.305755911,2683.9337475139255,437467749.76965404,-23.491806008323007,6407080.292970544,0.0020314557775626043,10.386451423636082,21.099616752918855,-2.3921892554041513,2338.0,False,True,False
forest_free,12.0,2006-12,2018-11,2012-11,11.917864476386036,6153,57,-37.66525869106858,7158971.055374207,2850.9018057930207,541866023.8166122,-23.154725552972018,7158971.061358671,0.0020312230831272876,8.301699741905992,16.862604144951295,-6.292121408020723,2338.0,False,True,False
forest_free,12.0,2007-03,2019-02,2013-02,11.9233401779603,6252,57,-39.159339395995616,6232267.154778636,2975.759126375684,473596498.31886274,-22.83827896526307,6232267.158041011,0.0020502286884802557,9.800315109653148,20.092887193957406,-2.7453917713056626,2338.0,False,True,False
forest_free,12.0,2007-06,2019-05,2013-05,11.915126625598905,6351,57,-37.72394466181248,7521081.479726927,2908.3617338570884,579844603.8643998,-23.11558532594359,7521081.468428136,0.002041752114938805,11.108865427548198,22.681549481267105,-0.4340358446764867,2338.0,False,True,False
forest_free,12.0,2007-09,2019-08,2013-08,11.915126625598905,6447,61,-33.48407303256013,6084155.141968972,2950.219849311511,536063684.9807483,-23.562790555892278,6084155.161750629,0.0020191262241900645,9.499655963847944,19.181004477388928,-4.38178607850335,2338.0,False,True,False
forest_free,12.0,2007-12,2019-11,2013-11,11.917864476386036,6548,61,-31.570815636119313,3342294.015548543,2910.2483179422393,308098018.2112941,-22.631988994193403,3342294.0189115796,0.0019963585968412727,7.423365889354615,14.819700310711346,-7.812288683482057,2338.0,False,True,False
forest_free,12.0,2008-03,2020-02,2014-02,11.92060232717317,6653,61,-30.58601009616415,6634473.404879815,2567.7914468363915,556984857.0638751,-21.77332748674979,6634473.429642837,0.0019605276955458315,7.993527784322073,15.67153260627853,-6.1017948804712585,2338.0,False,True,False
forest_free,12.0,2008-06,2020-05,2014-05,11.915126625598905,6756,61,-24.261460297050334,3.2618893029690317,2026.523954382681,256.90292119177485,-23.547948021587803,2.6174749484961044,0.0018742032309060487,8.507595926247074,15.944963772215404,-7.602984249372399,2338.0,False,False,True
forest_free,12.0,2008-09,2020-08,2014-08,11.915126625598905,6861,61,-20.9855548035694,2.7403811362594954,1690.2308110224346,185.06826150564663,-21.632570358597388,1.760169381796372,0.0017940819315728585,6.831032241302229,12.255431518111976,-9.377138840485411,2338.0,False,False,True
forest_free,12.0,2008-12,2020-11,2014-11,11.917864476386036,6966,61,-24.539611224516744,3.3889959853226697,918.7443504252234,121.29463687650963,-16.834137963997733,1.022899906842781,0.0016752649302448953,6.121061439854368,10.254399566062347,-6.579738397935387,2338.0,False,False,True
forest_free,12.0,2009-03,2021-02,2015-02,11.9233401779603,7067,61,-28.457567780537566,3.5964314295813633,794.1527773042961,84.96932591629084,-12.05121677247182,1.0349942239349965,0.0016766300085161528,8.960064335547356,15.02271274321404,2.97149597074222,2338.0,False,False,True
forest_free,12.0,2009-06,2021-05,2015-05,11.915126625598905,7162,61,-52.42178871033986,10.522146988916257,400.3369620998448,66.69780857565974,-8.401480157152879,0.9594089145309473,0.0017058070068609542,11.48094314205567,19.584273257090782,11.182793099937903,2338.0,False,False,True
forest_free,12.0,2009-09,2021-08,2015-08,11.915126625598905,7255,61,-52.74276487879532,10.40119967024387,373.0303933611119,53.016318842545786,-6.229647785745004,0.9490346851298954,0.0016871272270885386,10.633279593505046,17.939695515447312,11.710047729702307,2338.0,False,False,True
forest_free,12.0,2009-12,2021-11,2015-11,11.917864476386036,7351,61,-53.09522163197851,10.350654000885974,378.22389997067836,55.06992369715367,-3.3431919160785464,0.9499158581737833,0.001688867734602961,9.66978800880038,16.330992968513574,12.987801052435028,2338.0,False,False,True
forest_free,12.0,2010-03,2022-02,2016-02,11.9233401779603,7444,61,-58.271888501870265,10.213062709464426,383.804636555608,52.12403548747376,-1.3964530228899705,0.9392720638567292,0.001674354914384953,11.719158961494845,19.622031399637354,18.225578376747382,2338.0,False,False,True
forest_free,12.0,2010-06,2022-05,2016-05,11.915126625598905,7467,61,-60.083887044558786,10.18904661142267,382.5939583259145,49.8252866054457,-0.968268226465109,0.9345336254493218,0.001664322558044142,13.416575227731759,22.329508803210185,21.361240576745075,2338.0,False,False,True
forest_free,12.0,2010-09,2022-08,2016-08,11.915126625598905,7485,61,-54.229505114817144,10.16267405558675,380.0579506144996,53.89462277571651,0.757469764468495,0.912973859588276,0.0016083045346957537,11.04870025969732,17.76967473016535,18.527144494633845,2338.0,False,False,True
forest_free,12.0,2010-12,2022-11,2016-11,11.917864476386036,7489,61,-46.177152045273566,10.296966222819403,390.8889334616275,69.5357583628232,-0.7388432109701409,0.9035468132034443,0.0016489573945050477,8.201638411131958,13.524152305092672,12.785309094122532,2338.0,False,False,True
forest_free,12.0,2011-03,2023-02,2017-02,11.9233401779603,7444,61,-49.73596626104478,10.376737592643124,390.76035728163004,64.98851959507971,-1.6984900659529178,0.8959237414394867,0.0016418365337585723,7.867543383008419,12.917220157153734,11.218730091200817,2338.0,False,False,True
forest_free,12.0,2011-06,2023-05,2017-05,11.915126625598905,7450,61,-48.46983505458053,10.386361974564075,403.2031254034398,73.4471595650596,-0.33601114598274595,0.8806665014535255,0.0015320715420281174,7.336399589575029,11.239889032134663,10.903877886151918,2338.0,False,False,True
forest_free,12.0,2011-09,2023-08,2017-08,11.915126625598905,7457,60,-33.44197231703125,5.611617966840519,470.5593721365744,57.68589687271368,0.25663281488367695,0.892999831473388,0.0014407497720517028,3.497009898508622,5.038316214138845,5.294949029022522,2338.0,False,False,True
forest_free,12.0,2011-12,2023-11,2017-11,11.917864476386036,7510,60,-27.668483314601755,5.277225312016142,523.795669818595,76.45735238195219,3.254248545101564,0.9038793445060637,0.001371526390335589,0.05364976251117922,0.07358206511931924,3.3278306102208832,2338.0,False,False,True
forest_free,12.0,2012-03,2024-02,2018-02,11.92060232717317,7528,60,-31.73060938058841,5.294230654523191,523.7998179699895,66.01940240231662,4.2835144034325845,0.8996953611235698,0.0012478372077323338,-0.7707350216830466,-0.9617518373584927,3.3217625660740917,2338.0,False,False,True
forest_free,12.0,2012-06,2024-05,2018-05,11.915126625598905,7537,60,-33.81891159932549,5.32511560134248,523.7933378886285,61.61432309771702,4.430977677575462,0.9072634728756808,0.0010974032921546978,-1.1734152173232626,-1.2877097225549687,3.143267955020493,2338.0,False,False,True
forest_free,12.0,2012-09,2024-08,2018-08,11.915126625598905,7539,60,-29.43982501714045,5.182279854766864,523.8006772373966,64.46169040873322,6.254789552878921,0.9132733899448808,0.0011850724115313501,-3.9267106645840277,-4.6534364766644645,1.6013530762144566,2338.0,False,False,True
forest_free,12.0,2012-12,2024-11,2018-11,11.917864476386036,7537,60,-27.83300845409981,4.973632680284212,523.8001098559689,64.8769565099127,10.93285785674639,0.8770210955107667,0.0013612988784968347,-6.409204573700225,-8.7248429982349,2.20801485851149,2338.0,False,False,True
forest_free,12.0,2013-03,2025-02,2019-02,11.9233401779603,7529,60,-31.521302119501865,4.792960762551687,523.800910979916,54.72713491188387,15.722216414273634,0.8443258170536811,0.00147522103645369,-5.334749003896373,-7.869933954748298,7.852282459525336,2338.0,False,False,True
