well,easting,northing,cluster,dist_coast_m,slope_m_yr,slope_se,slope_p,r2,n_years
nw11,241689.0,364237.0,3.0,1375.8,-0.010385964912280297,0.010036484058532202,0.3152496482651019,0.05925865806355646,19
nw13,241761.0,364180.0,3.0,1371.3,0.00443956043955987,0.013652662812350412,0.7506450104258344,0.00873481725043368,14
nw2,241703.008,364112.082,3.0,1282.2,-0.013727272727272317,0.008297623702085337,0.11448004923846755,0.12591085649887368,21
nw3,242091.94,363939.361,2.0,1396.9,-0.008874647092038156,0.004143006370950045,0.04535654933328139,0.194522843351968,21
nw4,242431.164,363744.512,2.0,1478.0,-0.013999999999999986,0.005964907302631674,0.02991262866164724,0.22476490362112245,21
nw5,241711.757,363023.697,3.0,459.7,-0.012265488609750009,0.007439560687361355,0.11564904004742639,0.1251561178428824,21
nw6,241444.307,363316.599,3.0,502.5,-0.010207792207791598,0.005418015007938294,0.07495423007604465,0.15741415802330105,21
nw7,241423.695,363584.862,3.0,694.8,-0.01859816790652401,0.006264255229990904,0.008221967549819511,0.32872331012219724,20
nw8,241276.11,363480.129,,520.9,-0.05916339869280601,0.015393040029260445,0.0049225755997563915,0.6487008901030328,10
nw8b,241272.0,363487.0,,523.8,0.008454545454545576,0.017785349053504727,0.6458513749093939,0.024493090167644005,11
nw9,240937.259,363567.162,5.0,419.4,-0.032784962406014834,0.009219184030459049,0.0022567893255474873,0.41265392324741645,20
t41a,242709.928,363275.666,2.0,1309.2,-0.004485294117646017,0.008284003980419884,0.5967157273780429,0.020510349982309606,16
t41b,242715.085,363309.565,2.0,1338.7,0.00463235294117877,0.008460831580473019,0.5926532635223928,0.020962755062699845,16
t41c,242721.13,363323.682,2.0,1353.5,-0.005985294117646369,0.008675567892082599,0.5015325162038969,0.03287968424197352,16
t41d,242731.987,363353.284,2.0,1383.4,-0.0009411764705869741,0.007782141583923946,0.9054567564011777,0.0010436679219893996,16
wmc1,242765.629,363643.556,2.0,1630.5,-0.0004166666666665055,0.008654034264307272,0.9622342285761406,0.00015451901278928926,17
wmc2,241885.149,362855.856,3.0,457.5,0.0012254901960786645,0.008609486272520343,0.8887043179990232,0.0013489247451071718,17
wmc4,241761.0,364180.0,3.0,1371.3,0.003186813186812576,0.013805627067511794,0.8213321582469408,0.0044207456499553155,14
