key,Cluster,E,N,dry_m,wet_m,swing_mm,amplification,n_dry,n_wet,flagged
ceh16,5.0,240988.214,363614.897,-1.2077777777777776,-0.4633333333333334,744.4444444444442,1.0461330742954909,3,4,False
ceh17,5.0,240804.597413,363576.069469,-2.3633333333333333,-1.7366666666666668,626.6666666666665,0.880625453586055,3,4,False
ceh18,3.0,241267.167,363202.889,-1.0955555555555556,-0.36083333333333334,734.7222222222223,1.0324708886237217,3,4,False
ceh19,5.0,240845.741,363532.891,-1.16,-0.6249999999999999,535.0,0.7518105601093716,3,4,False
ceh20,4.0,241153.0,363829.0,-1.7144444444444444,-0.6433333333333333,1071.111111111111,1.5051825128669454,3,4,False
ceh21,3.0,241470.51,362937.659,-1.25,-0.625,625.0,0.8782833646137519,3,4,False
ceh22,2.0,241375.022,362906.94,-0.7200000000000001,-0.27166666666666667,448.3333333333334,0.6300219335495981,3,4,False
ceh23,1.0,242325.311,364428.124,-0.49666666666666665,-0.14083333333333334,355.8333333333333,0.5000359955867627,3,4,False
ceh24,2.0,242938.911,363392.114,-0.6044444444444445,0.2075,811.9444444444445,1.1409876776737764,3,4,False
ceh25,1.0,242512.557,364638.544,-0.5927777777777778,-0.19250000000000003,400.2777777777778,0.5624917015148518,3,4,False
ceh26,1.0,242172.261,364362.239,-0.5294444444444444,-0.13416666666666666,395.2777777777777,0.5554654345979416,3,4,False
ceh27,1.0,242005.373,364330.297,-0.561111111111111,-0.05083333333333335,510.2777777777776,0.7170695736868719,3,4,False
ceh28,2.0,242331.051,364122.039,-0.7866666666666666,-0.08583333333333333,700.8333333333333,0.8810815151299821,2,4,False
ceh30,4.0,241072.0,363760.0,-2.1166666666666667,-1.1375,979.1666666666667,1.3759772712282115,3,4,False
ceh31,5.0,241075.0,363538.0,-1.837777777777778,-1.1566666666666667,681.1111111111112,0.9571336933479644,3,4,False
ceh32,4.0,241167.0,364003.0,-2.292222222222222,-1.0391666666666666,1253.0555555555557,1.7608605590100601,3,4,False
ceh33,4.0,240936.0,363808.0,-2.193333333333334,-1.1366666666666667,1056.6666666666672,1.4848844084403172,3,4,False
ceh34,4.0,241334.0,363887.0,-1.358888888888889,-0.17500000000000002,1183.888888888889,1.6636638666594714,3,4,False
ceh36,3.0,241161.0,363306.0,-0.9288888888888889,-0.24000000000000002,688.8888888888889,0.96806344188538,3,4,False
ceh37,2.0,242886.0,363346.0,-0.6877777777777777,0.1906392694063927,878.4170471841703,1.234398527575984,3,4,False
